# Gene Family	SampleCoenzyme_A_Biosynthesis_Abundance-CPM
UniRef50_A1SCK2|unclassified	197.338
UniRef50_Q72SD0: Pantothenate synthetase	196.178
UniRef50_Q72SD0: Pantothenate synthetase|unclassified	196.178
UniRef50_K2BPF1	196.052
UniRef50_K2BPF1|unclassified	196.052
UniRef50_Q8YQD7: Type III pantothenate kinase	196.014
UniRef50_Q8YQD7: Type III pantothenate kinase|unclassified	196.014
UniRef50_Q3ZYN7: Dephospho-CoA kinase	195.49
UniRef50_Q3ZYN7: Dephospho-CoA kinase|unclassified	195.49
UniRef50_C3NGW2: Ketol-acid reductoisomerase	195.237
UniRef50_C3NGW2: Ketol-acid reductoisomerase|unclassified	195.237
UniRef50_U1QY44	194.609
UniRef50_U1QY44|unclassified	194.609
UniRef50_UPI0003F98BEC: dephospho-CoA kinase	194.306
UniRef50_UPI0003F98BEC: dephospho-CoA kinase|unclassified	194.306
UniRef50_O83319: Dephospho-CoA kinase	194.093
UniRef50_O83319: Dephospho-CoA kinase|unclassified	194.093
UniRef50_UPI00047269DB: hypothetical protein	193.957
UniRef50_UPI00047269DB: hypothetical protein|unclassified	193.957
UniRef50_Q2JLD5: Type III pantothenate kinase	193.665
UniRef50_Q2JLD5: Type III pantothenate kinase|unclassified	193.665
UniRef50_Q83I84: Phosphopantetheine adenylyltransferase	193.156
UniRef50_Q83I84: Phosphopantetheine adenylyltransferase|unclassified	193.156
UniRef50_UPI00047444FF: hypothetical protein	193.15
UniRef50_UPI00047444FF: hypothetical protein|unclassified	193.15
UniRef50_UPI000289BFBD: dephospho-CoA kinase	193.104
UniRef50_UPI000289BFBD: dephospho-CoA kinase|unclassified	193.104
UniRef50_V5CH12: 2-dehydropantoate 2-reductase	192.174
UniRef50_V5CH12: 2-dehydropantoate 2-reductase|unclassified	192.174
UniRef50_D7DS35	191.815
UniRef50_D7DS35|unclassified	191.815
UniRef50_Q8ZT70: Putative 2-dehydropantoate 2-reductase	191.415
UniRef50_Q8ZT70: Putative 2-dehydropantoate 2-reductase|unclassified	191.415
UniRef50_Q03F16: Phosphopantetheine adenylyltransferase	189.48
UniRef50_Q03F16: Phosphopantetheine adenylyltransferase|unclassified	189.48
UniRef50_UPI0004650520: hypothetical protein	188.633
UniRef50_UPI0004650520: hypothetical protein|unclassified	188.633
UniRef50_Q3MC63: Type III pantothenate kinase	188.451
UniRef50_Q3MC63: Type III pantothenate kinase|unclassified	188.451
UniRef50_O83446: Type III pantothenate kinase	187.628
UniRef50_O83446: Type III pantothenate kinase|unclassified	187.628
UniRef50_Q21VD6	187.607
UniRef50_Q21VD6|unclassified	187.607
UniRef50_UPI000381AD8C: hypothetical protein	187.438
UniRef50_UPI000381AD8C: hypothetical protein|unclassified	187.438
UniRef50_UPI000219773E: dephospho-CoA kinase	187.251
UniRef50_UPI000219773E: dephospho-CoA kinase|unclassified	187.251
UniRef50_UPI00041D52B5: pantothenate kinase	187.187
UniRef50_UPI00041D52B5: pantothenate kinase|unclassified	187.187
UniRef50_UPI00047EF908: 2-dehydropantoate 2-reductase	185.204
UniRef50_UPI00047EF908: 2-dehydropantoate 2-reductase|unclassified	185.204
UniRef50_Q72MQ2: Panthotenate metabolism flavoprotein	185.1
UniRef50_Q72MQ2: Panthotenate metabolism flavoprotein|unclassified	185.1
UniRef50_Q98RB3: Probable phosphopantetheine adenylyltransferase	184.199
UniRef50_Q98RB3: Probable phosphopantetheine adenylyltransferase|unclassified	184.199
UniRef50_B3TAW6	182.713
UniRef50_B3TAW6|unclassified	182.713
UniRef50_UPI000473F93A: hypothetical protein, partial	182.613
UniRef50_UPI000473F93A: hypothetical protein, partial|unclassified	182.613
UniRef50_UPI000465F64C: pantothenate kinase, partial	182.58
UniRef50_UPI000465F64C: pantothenate kinase, partial|unclassified	182.58
UniRef50_UPI00047A7D81: hypothetical protein	181.424
UniRef50_UPI00047A7D81: hypothetical protein|unclassified	181.424
UniRef50_E4NBA3	181.417
UniRef50_E4NBA3|unclassified	181.417
UniRef50_UPI000395850F: dephospho-CoA kinase	181.057
UniRef50_UPI000395850F: dephospho-CoA kinase|unclassified	181.057
UniRef50_Q3AR95: Type III pantothenate kinase	180.984
UniRef50_Q3AR95: Type III pantothenate kinase|unclassified	180.984
UniRef50_W4SY40	180.314
UniRef50_W4SY40|unclassified	180.314
UniRef50_Q83ID9: Pantothenate synthetase	179.879
UniRef50_Q83ID9: Pantothenate synthetase|unclassified	179.879
UniRef50_Q46A30: Phosphopantetheine adenylyltransferase	179.536
UniRef50_Q46A30: Phosphopantetheine adenylyltransferase|unclassified	179.536
UniRef50_Q0AJF4: Type III pantothenate kinase	179.429
UniRef50_Q0AJF4: Type III pantothenate kinase|unclassified	179.429
UniRef50_UPI00036B50BF: hypothetical protein	178.642
UniRef50_UPI00036B50BF: hypothetical protein|unclassified	178.642
UniRef50_UPI0004773268: hypothetical protein	177.225
UniRef50_UPI0004773268: hypothetical protein|unclassified	177.225
UniRef50_UPI00046C994B: hypothetical protein	177.139
UniRef50_UPI00046C994B: hypothetical protein|unclassified	177.139
UniRef50_A7HM80: Type III pantothenate kinase	176.519
UniRef50_A7HM80: Type III pantothenate kinase|unclassified	176.519
UniRef50_UPI0002194C57: membrane protein	176.451
UniRef50_UPI0002194C57: membrane protein|unclassified	176.451
UniRef50_Q6NEB8: Pantothenate synthetase	175.969
UniRef50_Q6NEB8: Pantothenate synthetase|unclassified	175.969
UniRef50_UPI0004779113: hypothetical protein	174.727
UniRef50_UPI0004779113: hypothetical protein|unclassified	174.727
UniRef50_UPI000369F109: hypothetical protein	173.885
UniRef50_UPI000369F109: hypothetical protein|unclassified	173.885
UniRef50_UPI000311F20D: hypothetical protein	173.742
UniRef50_UPI000311F20D: hypothetical protein|unclassified	173.742
UniRef50_UPI00036503D2: hypothetical protein	172.807
UniRef50_UPI00036503D2: hypothetical protein|unclassified	172.807
UniRef50_Q6MEQ3: Dephospho-CoA kinase	172.765
UniRef50_Q6MEQ3: Dephospho-CoA kinase|unclassified	172.765
UniRef50_Q7VFH6: Dephospho-CoA kinase	172.225
UniRef50_Q7VFH6: Dephospho-CoA kinase|unclassified	172.225
UniRef50_UPI00042124A4: hypothetical protein	171.679
UniRef50_UPI00042124A4: hypothetical protein|unclassified	171.679
UniRef50_J1ARH1	171.221
UniRef50_J1ARH1|unclassified	171.221
UniRef50_UPI00046AEBFC: hypothetical protein	170.502
UniRef50_UPI00046AEBFC: hypothetical protein|unclassified	170.502
UniRef50_UPI0003B59E26: pantothenate kinase	170.285
UniRef50_UPI0003B59E26: pantothenate kinase|unclassified	170.285
UniRef50_Q7VEG0: Dephospho-CoA kinase	170.032
UniRef50_Q7VEG0: Dephospho-CoA kinase|unclassified	170.032
UniRef50_W5X4N2: Response regulator	169.977
UniRef50_W5X4N2: Response regulator|unclassified	169.977
UniRef50_Q6NHI5: Dephospho-CoA kinase	169.819
UniRef50_Q6NHI5: Dephospho-CoA kinase|unclassified	169.819
UniRef50_UPI0003B66DD2: 3-methyl-2-oxobutanoate hydroxymethyltransferase	168.624
UniRef50_UPI0003B66DD2: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	168.624
UniRef50_O29335	168.387
UniRef50_O29335|unclassified	168.387
UniRef50_UPI00035E6AB1: hypothetical protein	167.37
UniRef50_UPI00035E6AB1: hypothetical protein|unclassified	167.37
UniRef50_Q479J6: Type III pantothenate kinase	167.286
UniRef50_Q479J6: Type III pantothenate kinase|unclassified	167.286
UniRef50_UPI000375847A: hypothetical protein	167.26
UniRef50_UPI000375847A: hypothetical protein|unclassified	167.26
UniRef50_Q118E6: Aspartate 1-decarboxylase	166.34
UniRef50_Q118E6: Aspartate 1-decarboxylase|unclassified	166.34
UniRef50_F0YYG0: 2-dehydropantoate 2-reductase	166.092
UniRef50_F0YYG0: 2-dehydropantoate 2-reductase|unclassified	166.092
UniRef50_R6NVY6	165.482
UniRef50_R6NVY6|unclassified	165.482
UniRef50_UPI0004770C2E: 2-dehydropantoate 2-reductase	165.348
UniRef50_UPI0004770C2E: 2-dehydropantoate 2-reductase|unclassified	165.348
UniRef50_UPI00036FF687: hypothetical protein	165.008
UniRef50_UPI00036FF687: hypothetical protein|unclassified	165.008
UniRef50_UPI0004780BBF: pantothenate kinase	164.177
UniRef50_UPI0004780BBF: pantothenate kinase|unclassified	164.177
UniRef50_UPI00045E97EA: 2-dehydropantoate 2-reductase	163.713
UniRef50_UPI00045E97EA: 2-dehydropantoate 2-reductase|unclassified	163.713
UniRef50_UPI000472A13E: pantothenate kinase	163.037
UniRef50_UPI000472A13E: pantothenate kinase|unclassified	163.037
UniRef50_UPI000463B749: pantothenate kinase	162.93
UniRef50_UPI000463B749: pantothenate kinase|unclassified	162.93
UniRef50_Q3JEM4: Type III pantothenate kinase	162.427
UniRef50_Q3JEM4: Type III pantothenate kinase|unclassified	162.427
UniRef50_UPI00030FCEA0: hypothetical protein	162.245
UniRef50_UPI00030FCEA0: hypothetical protein|unclassified	162.245
UniRef50_Q7V3M6: Dephospho-CoA kinase	161.409
UniRef50_Q7V3M6: Dephospho-CoA kinase|unclassified	161.409
UniRef50_X0Y6M0: Marine sediment metagenome DNA, contig: S01H1_S41308 (Fragment)	160.459
UniRef50_X0Y6M0: Marine sediment metagenome DNA, contig: S01H1_S41308 (Fragment)|unclassified	160.459
UniRef50_F3KLR0	160.412
UniRef50_F3KLR0|unclassified	160.412
UniRef50_A1WVD8: Type III pantothenate kinase	160.182
UniRef50_A1WVD8: Type III pantothenate kinase|unclassified	160.182
UniRef50_A1RUA9: Aspartate 1-decarboxylase	160.138
UniRef50_A1RUA9: Aspartate 1-decarboxylase|unclassified	160.138
UniRef50_UPI00040A7090: pantoate--beta-alanine ligase	159.781
UniRef50_UPI00040A7090: pantoate--beta-alanine ligase|unclassified	159.781
UniRef50_UPI00041E3E68: dephospho-CoA kinase	159.421
UniRef50_UPI00041E3E68: dephospho-CoA kinase|unclassified	159.421
UniRef50_Q54I80: Pantoate--beta-alanine ligase	159.383
UniRef50_Q54I80: Pantoate--beta-alanine ligase|unclassified	159.383
UniRef50_UPI00047C6BD2: phosphopantetheine adenylyltransferase	158.797
UniRef50_UPI00047C6BD2: phosphopantetheine adenylyltransferase|unclassified	158.797
UniRef50_O24210: Pantoate--beta-alanine ligase	158.607
UniRef50_O24210: Pantoate--beta-alanine ligase|unclassified	158.607
UniRef50_UPI0003A862A9: hypothetical protein	157.944
UniRef50_UPI0003A862A9: hypothetical protein|unclassified	157.944
UniRef50_UPI0004769534: dephospho-CoA kinase	156.186
UniRef50_UPI0004769534: dephospho-CoA kinase|unclassified	156.186
UniRef50_Q5MZP5: Type III pantothenate kinase	155.665
UniRef50_Q5MZP5: Type III pantothenate kinase|unclassified	155.665
UniRef50_C5CFU0: Type III pantothenate kinase	155.512
UniRef50_C5CFU0: Type III pantothenate kinase|unclassified	155.512
UniRef50_Q58379: Putative pantoate kinase	155.328
UniRef50_Q58379: Putative pantoate kinase|unclassified	155.328
UniRef50_D0YSV8: DNA / pantothenate metabolism flavoprotein	155.23
UniRef50_D0YSV8: DNA / pantothenate metabolism flavoprotein|unclassified	155.23
UniRef50_UPI00047859D5: dephospho-CoA kinase	154.297
UniRef50_UPI00047859D5: dephospho-CoA kinase|unclassified	154.297
UniRef50_UPI00030F5079: hypothetical protein	154.261
UniRef50_UPI00030F5079: hypothetical protein|unclassified	154.261
UniRef50_UPI00036DFDAE: hypothetical protein	154.195
UniRef50_UPI00036DFDAE: hypothetical protein|unclassified	154.195
UniRef50_Q2Y796: Type III pantothenate kinase	152.988
UniRef50_Q2Y796: Type III pantothenate kinase|unclassified	152.988
UniRef50_Q0RC35: Pantothenate synthetase 3	152.669
UniRef50_Q0RC35: Pantothenate synthetase 3|unclassified	152.669
UniRef50_UPI0003C77E2B: phosphopantetheine adenylyltransferase, partial	152.255
UniRef50_UPI0003C77E2B: phosphopantetheine adenylyltransferase, partial|unclassified	152.255
UniRef50_UPI0003466DCB: hypothetical protein	151.841
UniRef50_UPI0003466DCB: hypothetical protein|unclassified	151.841
UniRef50_UPI00046ECC15: hypothetical protein	151.414
UniRef50_UPI00046ECC15: hypothetical protein|unclassified	151.414
UniRef50_UPI000378A4CE: hypothetical protein	150.846
UniRef50_UPI000378A4CE: hypothetical protein|unclassified	150.846
UniRef50_Q110U9: Bifunctional pantoate ligase/cytidylate kinase	150.747
UniRef50_Q110U9: Bifunctional pantoate ligase/cytidylate kinase|unclassified	150.747
UniRef50_UPI000417FE97: hypothetical protein	149.587
UniRef50_UPI000417FE97: hypothetical protein|unclassified	149.587
UniRef50_Q7NJM6: Bifunctional pantoate ligase/cytidylate kinase	149.157
UniRef50_Q7NJM6: Bifunctional pantoate ligase/cytidylate kinase|unclassified	149.157
UniRef50_UPI00047D73AC: hypothetical protein	148.547
UniRef50_UPI00047D73AC: hypothetical protein|unclassified	148.547
UniRef50_UPI00036E0F7E: hypothetical protein	148.517
UniRef50_UPI00036E0F7E: hypothetical protein|unclassified	148.517
UniRef50_A6W3A7: Type III pantothenate kinase	148.47
UniRef50_A6W3A7: Type III pantothenate kinase|unclassified	148.47
UniRef50_UPI000395C571: 2-dehydropantoate 2-reductase	148.446
UniRef50_UPI000395C571: 2-dehydropantoate 2-reductase|unclassified	148.446
UniRef50_UPI00042B88CF: Phosphoenolpyruvate carboxylase family protein isoform 3	148.419
UniRef50_UPI00042B88CF: Phosphoenolpyruvate carboxylase family protein isoform 3|unclassified	148.419
UniRef50_UPI0001E89526: 2-dehydropantoate 2-reductase	147.489
UniRef50_UPI0001E89526: 2-dehydropantoate 2-reductase|unclassified	147.489
UniRef50_UPI00047DA426: 3-methyl-2-oxobutanoate hydroxymethyltransferase	147.165
UniRef50_UPI00047DA426: 3-methyl-2-oxobutanoate hydroxymethyltransferase|unclassified	147.165
UniRef50_UPI00046FDEFF: dephospho-CoA kinase, partial	146.883
UniRef50_UPI00046FDEFF: dephospho-CoA kinase, partial|unclassified	146.883
UniRef50_O58252	146.756
UniRef50_O58252|unclassified	146.756
UniRef50_UPI0001E8921B: pantoate--beta-alanine ligase	146.161
UniRef50_UPI0001E8921B: pantoate--beta-alanine ligase|unclassified	146.161
UniRef50_UPI0004651FE5: hypothetical protein	145.798
UniRef50_UPI0004651FE5: hypothetical protein|unclassified	145.798
UniRef50_UPI00035D2FFF: hypothetical protein	145.262
UniRef50_UPI00035D2FFF: hypothetical protein|unclassified	145.262
UniRef50_W4LTR2	145.092
UniRef50_W4LTR2|unclassified	145.092
UniRef50_UPI000050F734: Dephospho-CoA kinase	144.971
UniRef50_UPI000050F734: Dephospho-CoA kinase|unclassified	144.971
UniRef50_B3DWU5: Type III pantothenate kinase	144.705
UniRef50_B3DWU5: Type III pantothenate kinase|unclassified	144.705
UniRef50_UPI00036781E2: MULTISPECIES: hypothetical protein	144.137
UniRef50_UPI00036781E2: MULTISPECIES: hypothetical protein|unclassified	144.137
UniRef50_Q7P0S9: Type III pantothenate kinase	143.051
UniRef50_Q7P0S9: Type III pantothenate kinase|unclassified	143.051
UniRef50_UPI000466626E: hypothetical protein	142.926
UniRef50_UPI000466626E: hypothetical protein|unclassified	142.926
UniRef50_D7EBF5	142.349
UniRef50_D7EBF5|unclassified	142.349
UniRef50_Q4FM76: Type III pantothenate kinase	142.194
UniRef50_Q4FM76: Type III pantothenate kinase|unclassified	142.194
UniRef50_P74045: Type III pantothenate kinase	141.564
UniRef50_P74045: Type III pantothenate kinase|unclassified	141.564
UniRef50_UPI00035D090C: hypothetical protein	141.531
UniRef50_UPI00035D090C: hypothetical protein|unclassified	141.531
UniRef50_J8VBS7	141.076
UniRef50_J8VBS7|unclassified	141.076
UniRef50_Q0RK33: Pantothenate synthetase 1	141.062
UniRef50_Q0RK33: Pantothenate synthetase 1|unclassified	141.062
UniRef50_R7IET9	140.89
UniRef50_R7IET9|unclassified	140.89
UniRef50_Q5QY78: Type III pantothenate kinase	140.658
UniRef50_Q5QY78: Type III pantothenate kinase|unclassified	140.658
UniRef50_UPI000476ABC3: transcriptional regulator	140.397
UniRef50_UPI000476ABC3: transcriptional regulator|unclassified	140.397
UniRef50_A1TYI2: Type III pantothenate kinase	140.17
UniRef50_A1TYI2: Type III pantothenate kinase|unclassified	140.17
UniRef50_Q2RYU8: Dephospho-CoA kinase	139.941
UniRef50_Q2RYU8: Dephospho-CoA kinase|unclassified	139.941
UniRef50_UPI0000E0E87B: 2-dehydropantoate 2-reductase	139.895
UniRef50_UPI0000E0E87B: 2-dehydropantoate 2-reductase|unclassified	139.895
UniRef50_UPI0003B64AC9: ApbA	139.756
UniRef50_UPI0003B64AC9: ApbA|unclassified	139.756
UniRef50_UPI000414FCE8: pantoate--beta-alanine ligase	139.713
UniRef50_UPI000414FCE8: pantoate--beta-alanine ligase|unclassified	139.713
UniRef50_UPI0002491D2D: dephospho-CoA kinase	138.957
UniRef50_UPI0002491D2D: dephospho-CoA kinase|unclassified	138.957
UniRef50_U3AFU8: Phosphopantothenoylcysteine decarboxylase / phosphopantothenoylcysteine synthetase	138.8
UniRef50_U3AFU8: Phosphopantothenoylcysteine decarboxylase / phosphopantothenoylcysteine synthetase|unclassified	138.8
UniRef50_UPI000374951A: hypothetical protein	138.767
UniRef50_UPI000374951A: hypothetical protein|unclassified	138.767
UniRef50_UPI0003713001: hypothetical protein	138.631
UniRef50_UPI0003713001: hypothetical protein|unclassified	138.631
UniRef50_Q3IJV0: Type III pantothenate kinase	138.071
UniRef50_Q3IJV0: Type III pantothenate kinase|unclassified	138.071
UniRef50_UPI000375B25F: hypothetical protein	137.799
UniRef50_UPI000375B25F: hypothetical protein|unclassified	137.799
UniRef50_Q607I0: Type III pantothenate kinase	137.794
UniRef50_Q607I0: Type III pantothenate kinase|unclassified	137.794
UniRef50_E1R684	137.616
UniRef50_E1R684|unclassified	137.616
UniRef50_UPI0003771405: hypothetical protein	137.296
UniRef50_UPI0003771405: hypothetical protein|unclassified	137.296
UniRef50_UPI000472EE26: fructose transporter	136.882
UniRef50_UPI000472EE26: fructose transporter|unclassified	136.882
UniRef50_UPI0004122803: dephospho-CoA kinase	135.152
UniRef50_UPI0004122803: dephospho-CoA kinase|unclassified	135.152
UniRef50_B0S9F1: Pantothenate synthetase	135.06
UniRef50_B0S9F1: Pantothenate synthetase|unclassified	135.06
UniRef50_R6NYF6	133.783
UniRef50_R6NYF6|unclassified	133.783
UniRef50_UPI0003FD14D6: hypothetical protein	133.405
UniRef50_UPI0003FD14D6: hypothetical protein|unclassified	133.405
UniRef50_UPI0002196D3C: membrane protein	132.747
UniRef50_UPI0002196D3C: membrane protein|unclassified	132.747
UniRef50_UPI0002557FB1: pantothenate kinase	132.587
UniRef50_UPI0002557FB1: pantothenate kinase|unclassified	132.587
UniRef50_UPI0003794F23: hypothetical protein	132.262
UniRef50_UPI0003794F23: hypothetical protein|unclassified	132.262
UniRef50_UPI00036431D3: hypothetical protein	132.225
UniRef50_UPI00036431D3: hypothetical protein|unclassified	132.225
UniRef50_C0ZTP4	131.71
UniRef50_C0ZTP4|unclassified	131.71
UniRef50_A9IH79: Type III pantothenate kinase	131.331
UniRef50_A9IH79: Type III pantothenate kinase|unclassified	131.331
UniRef50_UPI000248FFE5: dephospho-CoA kinase	130.944
UniRef50_UPI000248FFE5: dephospho-CoA kinase|unclassified	130.944
UniRef50_UPI0004731902: hypothetical protein, partial	130.358
UniRef50_UPI0004731902: hypothetical protein, partial|unclassified	130.358
UniRef50_Q31I33: Dephospho-CoA kinase	129.108
UniRef50_Q31I33: Dephospho-CoA kinase|unclassified	129.108
UniRef50_UPI00047B6EAA: hypothetical protein	128.755
UniRef50_UPI00047B6EAA: hypothetical protein|unclassified	128.755
UniRef50_K9EFQ5	128.706
UniRef50_K9EFQ5|unclassified	128.706
UniRef50_Q0VSN1: Type III pantothenate kinase	128.309
UniRef50_Q0VSN1: Type III pantothenate kinase|unclassified	128.309
UniRef50_Q1R0I9: Type III pantothenate kinase	128.16
UniRef50_Q1R0I9: Type III pantothenate kinase|unclassified	128.16
UniRef50_UPI0001B42DB2: 3-methyl-2-oxobutanoate hydroxymethyltransferase, partial	127.965
UniRef50_UPI0001B42DB2: 3-methyl-2-oxobutanoate hydroxymethyltransferase, partial|unclassified	127.965
UniRef50_A5EVK4: Type III pantothenate kinase	127.956
UniRef50_A5EVK4: Type III pantothenate kinase|unclassified	127.956
UniRef50_Q73M71: Dephospho-CoA kinase	127.782
UniRef50_Q73M71: Dephospho-CoA kinase|unclassified	127.782
UniRef50_UPI00037A3493: hypothetical protein	127.409
UniRef50_UPI00037A3493: hypothetical protein|unclassified	127.409
UniRef50_Q4FLP6: Pantothenate synthetase	126.209
UniRef50_Q4FLP6: Pantothenate synthetase|unclassified	126.209
UniRef50_UPI00037F767A: hypothetical protein, partial	125.652
UniRef50_UPI00037F767A: hypothetical protein, partial|unclassified	125.652
UniRef50_UPI0003B4DCFB: ketol-acid reductoisomerase	124.749
UniRef50_UPI0003B4DCFB: ketol-acid reductoisomerase|unclassified	124.749
UniRef50_Q7NCI5: Type III pantothenate kinase	124.65
UniRef50_Q7NCI5: Type III pantothenate kinase|unclassified	124.65
UniRef50_S2E7R6: DNA / pantothenate metabolism flavoprotein	124.472
UniRef50_S2E7R6: DNA / pantothenate metabolism flavoprotein|unclassified	124.472
UniRef50_Q97BQ0: Bifunctional phosphopantetheine adenylyltransferase/NTP phosphatase	124.278
UniRef50_Q97BQ0: Bifunctional phosphopantetheine adenylyltransferase/NTP phosphatase|unclassified	124.278
UniRef50_X6DV87	124.057
UniRef50_X6DV87|unclassified	124.057
UniRef50_Q1MS79: Type III pantothenate kinase	123.536
UniRef50_Q1MS79: Type III pantothenate kinase|unclassified	123.536
UniRef50_UPI000470D613: pantoate--beta-alanine ligase	123.495
UniRef50_UPI000470D613: pantoate--beta-alanine ligase|unclassified	123.495
UniRef50_UPI0003B446E7: 2-dehydropantoate 2-reductase	123.279
UniRef50_UPI0003B446E7: 2-dehydropantoate 2-reductase|unclassified	123.279
UniRef50_U1PHP3	122.591
UniRef50_U1PHP3|unclassified	122.591
UniRef50_UPI00037146CD: hypothetical protein	122.469
UniRef50_UPI00037146CD: hypothetical protein|unclassified	122.469
UniRef50_Q8EN08: Type II pantothenate kinase	122.363
UniRef50_Q8EN08: Type II pantothenate kinase|unclassified	122.363
UniRef50_UPI0002492F49: 2-dehydropantoate 2-reductase	122.145
UniRef50_UPI0002492F49: 2-dehydropantoate 2-reductase|unclassified	122.145
UniRef50_UPI0002374CAB: dephospho-CoA kinase, partial	121.204
UniRef50_UPI0002374CAB: dephospho-CoA kinase, partial|unclassified	121.204
UniRef50_S3ZIJ3	120.827
UniRef50_S3ZIJ3|unclassified	120.827
UniRef50_UPI00035C762E: hypothetical protein	120.628
UniRef50_UPI00035C762E: hypothetical protein|unclassified	120.628
UniRef50_A9BIX4: Type III pantothenate kinase	120.46
UniRef50_A9BIX4: Type III pantothenate kinase|unclassified	120.46
UniRef50_UPI0004746732: hypothetical protein	120.354
UniRef50_UPI0004746732: hypothetical protein|unclassified	120.354
UniRef50_R5SFQ2	120.166
UniRef50_R5SFQ2|unclassified	120.166
UniRef50_UPI0004721138: hypothetical protein	119.209
UniRef50_UPI0004721138: hypothetical protein|unclassified	119.209
UniRef50_UPI000371573D: hypothetical protein	117.765
UniRef50_UPI000371573D: hypothetical protein|unclassified	117.765
UniRef50_R6YZ61: Ketopantoate reductase PanE/ApbA	117.23
UniRef50_R6YZ61: Ketopantoate reductase PanE/ApbA|unclassified	117.23
UniRef50_UPI00036D2373: hypothetical protein	117.011
UniRef50_UPI00036D2373: hypothetical protein|unclassified	117.011
UniRef50_B2UQS1: Type III pantothenate kinase	116.509
UniRef50_B2UQS1: Type III pantothenate kinase|unclassified	116.509
UniRef50_Q3SLJ6: Type III pantothenate kinase	116.002
UniRef50_Q3SLJ6: Type III pantothenate kinase|unclassified	116.002
UniRef50_V4JU96	115.828
UniRef50_V4JU96|unclassified	115.828
UniRef50_Q8EUG2: Probable phosphopantetheine adenylyltransferase	115.135
UniRef50_Q8EUG2: Probable phosphopantetheine adenylyltransferase|unclassified	115.135
UniRef50_UPI0003B58160: aspartate decarboxylase	115.029
UniRef50_UPI0003B58160: aspartate decarboxylase|unclassified	115.029
UniRef50_UPI0004779AC3: 2-dehydropantoate 2-reductase	114.91
UniRef50_UPI0004779AC3: 2-dehydropantoate 2-reductase|unclassified	114.91
UniRef50_UPI00037956F8: hypothetical protein	114.183
UniRef50_UPI00037956F8: hypothetical protein|unclassified	114.183
UniRef50_UPI00037A2386: hypothetical protein	113.673
UniRef50_UPI00037A2386: hypothetical protein|unclassified	113.673
UniRef50_Q8DJS3: Type III pantothenate kinase	113.667
UniRef50_Q8DJS3: Type III pantothenate kinase|unclassified	113.667
UniRef50_UPI00047DA8A2: 2-dehydropantoate 2-reductase	113.629
UniRef50_UPI00047DA8A2: 2-dehydropantoate 2-reductase|unclassified	113.629
UniRef50_K0N996	112.465
UniRef50_K0N996|unclassified	112.465
UniRef50_Q8ZT71	112.154
UniRef50_Q8ZT71|unclassified	112.154
UniRef50_Q6MIK8: Dephospho-CoA kinase	111.067
UniRef50_Q6MIK8: Dephospho-CoA kinase|unclassified	111.067
UniRef50_UPI0002ED7B4E: hypothetical protein	111.019
UniRef50_UPI0002ED7B4E: hypothetical protein|unclassified	111.019
UniRef50_UPI00028809C7: membrane protein	110.608
UniRef50_UPI00028809C7: membrane protein|unclassified	110.608
UniRef50_UPI000373ADB1: hypothetical protein, partial	110.238
UniRef50_UPI000373ADB1: hypothetical protein, partial|unclassified	110.238
UniRef50_UPI0003B7501B: pantothenate kinase	110.118
UniRef50_UPI0003B7501B: pantothenate kinase|unclassified	110.118
UniRef50_UPI00034CB50A: hypothetical protein	109.885
UniRef50_UPI00034CB50A: hypothetical protein|unclassified	109.885
UniRef50_U7P068	109.278
UniRef50_U7P068|unclassified	109.278
UniRef50_E5KIB9: Cypemycin decarboxylase	109.268
UniRef50_E5KIB9: Cypemycin decarboxylase|unclassified	109.268
UniRef50_UPI00037245A6: hypothetical protein, partial	108.495
UniRef50_UPI00037245A6: hypothetical protein, partial|unclassified	108.495
UniRef50_UPI0004776DB1: hypothetical protein, partial	107.825
UniRef50_UPI0004776DB1: hypothetical protein, partial|unclassified	107.825
UniRef50_UPI0003B75540: phosphopantetheine adenylyltransferase	107.445
UniRef50_UPI0003B75540: phosphopantetheine adenylyltransferase|unclassified	107.445
UniRef50_UPI00036C474E: hypothetical protein, partial	107.395
UniRef50_UPI00036C474E: hypothetical protein, partial|unclassified	107.395
UniRef50_UPI00047E2277: hypothetical protein	107.263
UniRef50_UPI00047E2277: hypothetical protein|unclassified	107.263
UniRef50_UPI00042B7648: Dephospho-CoA kinase family isoform 1	107.213
UniRef50_UPI00042B7648: Dephospho-CoA kinase family isoform 1|unclassified	107.213
UniRef50_UPI00037CE96D: MULTISPECIES: hypothetical protein	107.209
UniRef50_UPI00037CE96D: MULTISPECIES: hypothetical protein|unclassified	107.209
UniRef50_UPI000470F2F7: hypothetical protein	107.184
UniRef50_UPI000470F2F7: hypothetical protein|unclassified	107.184
UniRef50_UPI00046F025B: hypothetical protein	107.088
UniRef50_UPI00046F025B: hypothetical protein|unclassified	107.088
UniRef50_UPI00035C0F68: hypothetical protein	106.007
UniRef50_UPI00035C0F68: hypothetical protein|unclassified	106.007
UniRef50_UPI00037726E7: hypothetical protein	105.465
UniRef50_UPI00037726E7: hypothetical protein|unclassified	105.465
UniRef50_S2EQK5	105.397
UniRef50_S2EQK5|unclassified	105.397
UniRef50_D2NSF8	105.198
UniRef50_D2NSF8|unclassified	105.198
UniRef50_UPI00047AEF1D: dephospho-CoA kinase	104.575
