# Gene Family	SampleCopper_homeostasis_Abundance-CPM
UniRef50_Q119J5	95.1261
UniRef50_Q119J5|unclassified	95.1261
UniRef50_A8V4D3: Cytochrome c family protein (Fragment)	95.087
UniRef50_A8V4D3: Cytochrome c family protein (Fragment)|unclassified	95.087
UniRef50_UPI00035F8CE7: hypothetical protein	94.9246
UniRef50_UPI00035F8CE7: hypothetical protein|unclassified	94.9246
UniRef50_C6BD10: Cytochrome c-type biogenesis protein CcmI	94.8969
UniRef50_C6BD10: Cytochrome c-type biogenesis protein CcmI|unclassified	94.8969
UniRef50_UPI0003B3BA29: cytochrome C biogenesis protein CcmE	94.7651
UniRef50_UPI0003B3BA29: cytochrome C biogenesis protein CcmE|unclassified	94.7651
UniRef50_E0TFV8: Cytochrome c-type biogenesis protein CycL	94.7592
UniRef50_E0TFV8: Cytochrome c-type biogenesis protein CycL|unclassified	94.7592
UniRef50_I1XMT3: CopG protein	94.7258
UniRef50_I1XMT3: CopG protein|unclassified	94.7258
UniRef50_E6WZ95	94.7164
UniRef50_E6WZ95|unclassified	94.7164
UniRef50_UPI0003B6A70E: hypothetical protein	94.4777
UniRef50_UPI0003B6A70E: hypothetical protein|unclassified	94.4777
UniRef50_UPI000373904E: hypothetical protein	94.4137
UniRef50_UPI000373904E: hypothetical protein|unclassified	94.4137
UniRef50_I3BR54: Cytochrome C biogenesis protein	94.3134
UniRef50_I3BR54: Cytochrome C biogenesis protein|unclassified	94.3134
UniRef50_D7CRR0: Cytochrome C biogenesis protein	94.2563
UniRef50_D7CRR0: Cytochrome C biogenesis protein|unclassified	94.2563
UniRef50_A7HFZ5	94.0504
UniRef50_A7HFZ5|unclassified	94.0504
UniRef50_A8LP76: Cytochrome c-type biogenesis protein CycH	93.9967
UniRef50_A8LP76: Cytochrome c-type biogenesis protein CycH|unclassified	93.9967
UniRef50_UPI000465A89B: hypothetical protein	93.8174
UniRef50_UPI000465A89B: hypothetical protein|unclassified	93.8174
UniRef50_C8P727	93.7802
UniRef50_C8P727|unclassified	93.7802
UniRef50_UPI000370E5DA: hypothetical protein	93.7634
UniRef50_UPI000370E5DA: hypothetical protein|unclassified	93.7634
UniRef50_UPI000464F999: cytochrome C biogenesis protein, partial	93.7357
UniRef50_UPI000464F999: cytochrome C biogenesis protein, partial|unclassified	93.7357
UniRef50_A3ZUD1: GGDEF protein	93.4051
UniRef50_A3ZUD1: GGDEF protein|unclassified	93.4051
UniRef50_UPI0003B5A984: cytochrome C553	93.3499
UniRef50_UPI0003B5A984: cytochrome C553|unclassified	93.3499
UniRef50_G7LFN4: Copper-exporting ATPase	93.264
UniRef50_G7LFN4: Copper-exporting ATPase|unclassified	93.264
UniRef50_K1YU41	93.0539
UniRef50_K1YU41|unclassified	93.0539
UniRef50_Q74FA8: Cytochrome c	93.0235
UniRef50_Q74FA8: Cytochrome c|unclassified	93.0235
UniRef50_E2CM19: CytoChrome c-type biogenesis protein CycK	92.9183
UniRef50_E2CM19: CytoChrome c-type biogenesis protein CycK|unclassified	92.9183
UniRef50_H4VIH6: Cytochrome C biogenesis family protein	92.7086
UniRef50_H4VIH6: Cytochrome C biogenesis family protein|unclassified	92.7086
UniRef50_G8PJI8: Protein containing DUF411	92.7075
UniRef50_G8PJI8: Protein containing DUF411|unclassified	92.7075
UniRef50_Q0AP38: Cytochrome C biogenesis protein	92.6919
UniRef50_Q0AP38: Cytochrome C biogenesis protein|unclassified	92.6919
UniRef50_UPI0004760746: ErfK/YbiS/YcfS/YnhG family protein	92.4908
UniRef50_UPI0004760746: ErfK/YbiS/YcfS/YnhG family protein|unclassified	92.4908
UniRef50_UPI000474B6F2: cytochrome C biogenesis protein, partial	92.3962
UniRef50_UPI000474B6F2: cytochrome C biogenesis protein, partial|unclassified	92.3962
UniRef50_I8SSD9: Heavy metal translocating P-type ATPase (Fragment)	92.3556
UniRef50_I8SSD9: Heavy metal translocating P-type ATPase (Fragment)|unclassified	92.3556
UniRef50_C7MEX0	92.2272
UniRef50_C7MEX0|unclassified	92.2272
UniRef50_A4BAC3: Response regulator receiver domain protein (CheY-like)	92.0144
UniRef50_A4BAC3: Response regulator receiver domain protein (CheY-like)|unclassified	92.0144
UniRef50_A0A011PYI3	91.8643
UniRef50_A0A011PYI3|unclassified	91.8643
UniRef50_C1DGF7	91.7233
UniRef50_C1DGF7|unclassified	91.7233
UniRef50_UPI00036AB968: hypothetical protein	91.6716
UniRef50_UPI00036AB968: hypothetical protein|unclassified	91.6716
UniRef50_UPI0004709478: cytochrome C	91.6128
UniRef50_UPI0004709478: cytochrome C|unclassified	91.6128
UniRef50_UPI000476AEAC: hypothetical protein	91.6013
UniRef50_UPI000476AEAC: hypothetical protein|unclassified	91.6013
UniRef50_K1UHM4: ATPase, P-type (Transporting), HAD superfamily, subfamily IC/heavy metal translocating P-type ATPase (Fragment)	91.5296
UniRef50_K1UHM4: ATPase, P-type (Transporting), HAD superfamily, subfamily IC/heavy metal translocating P-type ATPase (Fragment)|unclassified	91.5296
UniRef50_Q59207: Nitrogen fixation protein FixI	91.4138
UniRef50_Q59207: Nitrogen fixation protein FixI|unclassified	91.4138
UniRef50_B3E6P7	91.3385
UniRef50_B3E6P7|unclassified	91.3385
UniRef50_UPI00029AA658: major facilitator superfamily permease, partial	91.3164
UniRef50_UPI00029AA658: major facilitator superfamily permease, partial|unclassified	91.3164
UniRef50_Q1YF46	90.8081
UniRef50_Q1YF46|unclassified	90.8081
UniRef50_UPI0003691E74: hypothetical protein	90.7761
UniRef50_UPI0003691E74: hypothetical protein|unclassified	90.7761
UniRef50_UPI0003139AD1: hypothetical protein	90.7176
UniRef50_UPI0003139AD1: hypothetical protein|unclassified	90.7176
UniRef50_UPI0004104DB5: hypothetical protein	90.6626
UniRef50_UPI0004104DB5: hypothetical protein|unclassified	90.6626
UniRef50_UPI0003AD00E2: hypothetical protein	90.5612
UniRef50_UPI0003AD00E2: hypothetical protein|unclassified	90.5612
UniRef50_D7BGT1	90.5435
UniRef50_D7BGT1|unclassified	90.5435
UniRef50_UPI00047E4057: hypothetical protein, partial	90.3407
UniRef50_UPI00047E4057: hypothetical protein, partial|unclassified	90.3407
UniRef50_B7VGQ9: Cytochrome C biogenesis protein	90.2476
UniRef50_B7VGQ9: Cytochrome C biogenesis protein|unclassified	90.2476
UniRef50_Q5FQF8: Cytochrome c-type biogenesis protein CycH	90.0946
UniRef50_Q5FQF8: Cytochrome c-type biogenesis protein CycH|unclassified	90.0946
UniRef50_P40680: Probable L,D-transpeptidase ErfK/SrfK	89.8965
UniRef50_P40680: Probable L,D-transpeptidase ErfK/SrfK|unclassified	89.8965
UniRef50_UPI00036A4717: hypothetical protein	89.7912
UniRef50_UPI00036A4717: hypothetical protein|unclassified	89.7912
UniRef50_UPI0003690E7A: hypothetical protein	89.7436
UniRef50_UPI0003690E7A: hypothetical protein|unclassified	89.7436
UniRef50_UPI00047600E5: ErfK/YbiS/YcfS/YnhG	89.613
UniRef50_UPI00047600E5: ErfK/YbiS/YcfS/YnhG|unclassified	89.613
UniRef50_UPI00036D9D8D: hypothetical protein, partial	89.5111
UniRef50_UPI00036D9D8D: hypothetical protein, partial|unclassified	89.5111
UniRef50_Q0A801: Tetratricopeptide TPR_2 repeat protein	89.4022
UniRef50_Q0A801: Tetratricopeptide TPR_2 repeat protein|unclassified	89.4022
UniRef50_A3WA55: Cytochrome c biogenesis factor	89.3749
UniRef50_A3WA55: Cytochrome c biogenesis factor|unclassified	89.3749
UniRef50_UPI0003B5A950: MFS transporter	89.3606
UniRef50_UPI0003B5A950: MFS transporter|unclassified	89.3606
UniRef50_B3QG11	89.122
UniRef50_B3QG11|unclassified	89.122
UniRef50_E6RP71: Cytochrome c-type biogenesis protein	89.013
UniRef50_E6RP71: Cytochrome c-type biogenesis protein|unclassified	89.013
UniRef50_R6HM12	88.9732
UniRef50_R6HM12|unclassified	88.9732
UniRef50_UPI0002559358: aldehyde dehydrogenase	88.904
UniRef50_UPI0002559358: aldehyde dehydrogenase|unclassified	88.904
UniRef50_UPI00047718A9: hypothetical protein	88.7259
UniRef50_UPI00047718A9: hypothetical protein|unclassified	88.7259
UniRef50_UPI0004724366: ATPase	88.6717
UniRef50_UPI0004724366: ATPase|unclassified	88.6717
UniRef50_A5GF22: Cytochrome C family protein	88.6393
UniRef50_A5GF22: Cytochrome C family protein|unclassified	88.6393
UniRef50_Q223K8: Tetratricopeptide TPR_2	88.4512
UniRef50_Q223K8: Tetratricopeptide TPR_2|unclassified	88.4512
UniRef50_UPI0003741E46: hypothetical protein	88.4014
UniRef50_UPI0003741E46: hypothetical protein|unclassified	88.4014
UniRef50_C6E2X2	88.2945
UniRef50_C6E2X2|unclassified	88.2945
UniRef50_A5PB57: Cytochrome c biogenesis protein	88.2588
UniRef50_A5PB57: Cytochrome c biogenesis protein|unclassified	88.2588
UniRef50_A5FMV4	88.1723
UniRef50_A5FMV4|unclassified	88.1723
UniRef50_UPI0002D5CB4D: hypothetical protein	88.1015
UniRef50_UPI0002D5CB4D: hypothetical protein|unclassified	88.1015
UniRef50_Q082J2	87.9834
UniRef50_Q082J2|unclassified	87.9834
UniRef50_Q2SE57: Cytochrome c biogenesis factor	87.9821
UniRef50_Q2SE57: Cytochrome c biogenesis factor|unclassified	87.9821
UniRef50_H0J8B3: Cytochrome c-type biogenesis protein	87.9646
UniRef50_H0J8B3: Cytochrome c-type biogenesis protein|unclassified	87.9646
UniRef50_UPI0002EC1413: hypothetical protein	87.938
UniRef50_UPI0002EC1413: hypothetical protein|unclassified	87.938
UniRef50_UPI00046279DE: hypothetical protein	87.8639
UniRef50_UPI00046279DE: hypothetical protein|unclassified	87.8639
UniRef50_Q47G77: TPR repeat	87.8296
UniRef50_Q47G77: TPR repeat|unclassified	87.8296
UniRef50_A0A011QAN8	87.8259
UniRef50_A0A011QAN8|unclassified	87.8259
UniRef50_X1UG02: Marine sediment metagenome DNA, contig: S12H4_S03189 (Fragment)	87.7718
UniRef50_X1UG02: Marine sediment metagenome DNA, contig: S12H4_S03189 (Fragment)|unclassified	87.7718
UniRef50_X0SFS4: CopG protein	87.6122
UniRef50_X0SFS4: CopG protein|unclassified	87.6122
UniRef50_UPI000371E604: hypothetical protein	87.5992
UniRef50_UPI000371E604: hypothetical protein|unclassified	87.5992
UniRef50_E1VNN5: Cytochrome C biogenesis protein	87.4661
UniRef50_E1VNN5: Cytochrome C biogenesis protein|unclassified	87.4661
UniRef50_C6E3F0: Cytochrome C family protein	87.3145
UniRef50_C6E3F0: Cytochrome C family protein|unclassified	87.3145
UniRef50_A9U7R8: Predicted protein (Fragment)	87.1826
UniRef50_A9U7R8: Predicted protein (Fragment)|unclassified	87.1826
UniRef50_Q2S3F4	87.1458
UniRef50_Q2S3F4|unclassified	87.1458
UniRef50_G2I845: Multicopper oxidase	87.0538
UniRef50_G2I845: Multicopper oxidase|unclassified	87.0538
UniRef50_UPI0003B72B65: multidrug transporter CflA	86.927
UniRef50_UPI0003B72B65: multidrug transporter CflA|unclassified	86.927
UniRef50_V9TV04: CcmH superfamily protein	86.7252
UniRef50_V9TV04: CcmH superfamily protein|unclassified	86.7252
UniRef50_B3PFV9	86.6799
UniRef50_B3PFV9|unclassified	86.6799
UniRef50_A7U526: Multicopper oxidase protein (Fragment)	86.5119
UniRef50_A7U526: Multicopper oxidase protein (Fragment)|unclassified	86.5119
UniRef50_UPI00046B6DEF: hypothetical protein	86.4902
UniRef50_UPI00046B6DEF: hypothetical protein|unclassified	86.4902
UniRef50_B3PIP7: Putative lipoprotein	86.4459
UniRef50_B3PIP7: Putative lipoprotein|unclassified	86.4459
UniRef50_B0SV06	86.3091
UniRef50_B0SV06|unclassified	86.3091
UniRef50_L8DMS9: Conserved membrane protein	86.2697
UniRef50_L8DMS9: Conserved membrane protein|unclassified	86.2697
UniRef50_K4QGN6: Cytochrome C-type biogenesis protein	86.1926
UniRef50_K4QGN6: Cytochrome C-type biogenesis protein|unclassified	86.1926
UniRef50_UPI0001FFE95F: copper resistance transporter	86.1063
UniRef50_UPI0001FFE95F: copper resistance transporter|unclassified	86.1063
UniRef50_A8G1R7	86.0844
UniRef50_A8G1R7|unclassified	86.0844
UniRef50_UPI000463A5F9: hypothetical protein	85.8598
UniRef50_UPI000463A5F9: hypothetical protein|unclassified	85.8598
UniRef50_A1SVC6	85.8591
UniRef50_A1SVC6|unclassified	85.8591
UniRef50_UPI000364A660: hypothetical protein	85.8111
UniRef50_UPI000364A660: hypothetical protein|unclassified	85.8111
UniRef50_Q11JY1: Tetratricopeptide TPR_2	85.6586
UniRef50_Q11JY1: Tetratricopeptide TPR_2|unclassified	85.6586
UniRef50_Q222P3	85.6032
UniRef50_Q222P3|unclassified	85.6032
UniRef50_N0DZQ6	85.3534
UniRef50_N0DZQ6|unclassified	85.3534
UniRef50_V5YQG1: Heavy metal translocating P-type ATPase	85.3112
UniRef50_V5YQG1: Heavy metal translocating P-type ATPase|unclassified	85.3112
UniRef50_T0Y9T0: Heavy metal translocating P-type ATPase (Fragment)	85.2771
UniRef50_T0Y9T0: Heavy metal translocating P-type ATPase (Fragment)|unclassified	85.2771
UniRef50_K9U506	85.021
UniRef50_K9U506|unclassified	85.021
UniRef50_A5GCS5: Cytochrome C family protein	84.9376
UniRef50_A5GCS5: Cytochrome C family protein|unclassified	84.9376
UniRef50_U1DK92	84.8284
UniRef50_U1DK92|unclassified	84.8284
UniRef50_UPI00038F6009: Predicted protein	84.7479
UniRef50_UPI00038F6009: Predicted protein|unclassified	84.7479
UniRef50_C1D9H5: Cytochrome c biogenesis protein	84.6903
UniRef50_C1D9H5: Cytochrome c biogenesis protein|unclassified	84.6903
UniRef50_UPI0003780B6E: hypothetical protein	84.6848
UniRef50_UPI0003780B6E: hypothetical protein|unclassified	84.6848
UniRef50_W8GIG0	84.6003
UniRef50_W8GIG0|unclassified	84.6003
UniRef50_D9QH03	84.5584
UniRef50_D9QH03|unclassified	84.5584
UniRef50_C7RAW4: TPR repeat-containing protein	84.4436
UniRef50_C7RAW4: TPR repeat-containing protein|unclassified	84.4436
UniRef50_B5ECP4: Laccase family multicopper oxidase	84.3477
UniRef50_B5ECP4: Laccase family multicopper oxidase|unclassified	84.3477
UniRef50_M5DZU4	84.3125
UniRef50_M5DZU4|unclassified	84.3125
UniRef50_R4YSM4	84.2464
UniRef50_R4YSM4|unclassified	84.2464
UniRef50_UPI000465C8A9: MULTISPECIES: hypothetical protein	84.2438
UniRef50_UPI000465C8A9: MULTISPECIES: hypothetical protein|unclassified	84.2438
UniRef50_G6YKJ2: CopG protein	84.1402
UniRef50_G6YKJ2: CopG protein|unclassified	84.1402
UniRef50_A4BUK6: Cytochrome C biogenesis protein	83.9116
UniRef50_A4BUK6: Cytochrome C biogenesis protein|unclassified	83.9116
UniRef50_UPI00036618FE: hypothetical protein	83.9048
UniRef50_UPI00036618FE: hypothetical protein|unclassified	83.9048
UniRef50_UPI0003B6819C: MFS transporter	83.7888
UniRef50_UPI0003B6819C: MFS transporter|unclassified	83.7888
UniRef50_B7KLY2	83.78
UniRef50_B7KLY2|unclassified	83.78
UniRef50_B1XXQ6	83.5475
UniRef50_B1XXQ6|unclassified	83.5475
UniRef50_B1XWF2: Tetratricopeptide TPR_2 repeat protein	83.3239
UniRef50_B1XWF2: Tetratricopeptide TPR_2 repeat protein|unclassified	83.3239
UniRef50_K8AK93	83.2341
UniRef50_K8AK93|unclassified	83.2341
UniRef50_UPI00036F1987: hypothetical protein	83.1788
UniRef50_UPI00036F1987: hypothetical protein|unclassified	83.1788
UniRef50_UPI000378A1F0: hypothetical protein	83.1689
UniRef50_UPI000378A1F0: hypothetical protein|unclassified	83.1689
UniRef50_Q1NJV1: Cytochrome c family protein	83.1609
UniRef50_Q1NJV1: Cytochrome c family protein|unclassified	83.1609
UniRef50_K2PBG0: Cytochrome-c-type biogenesis protein	82.9784
UniRef50_K2PBG0: Cytochrome-c-type biogenesis protein|unclassified	82.9784
UniRef50_B3PGH3	82.9178
UniRef50_B3PGH3|unclassified	82.9178
UniRef50_Q47GU3	82.8574
UniRef50_Q47GU3|unclassified	82.8574
UniRef50_W0B8G7: Protein involved in biosynthesis of c-type cytochromes	82.7674
UniRef50_W0B8G7: Protein involved in biosynthesis of c-type cytochromes|unclassified	82.7674
UniRef50_UPI0003B5342D: hypothetical protein	82.7428
UniRef50_UPI0003B5342D: hypothetical protein|unclassified	82.7428
UniRef50_L7URA8	82.7082
UniRef50_L7URA8|unclassified	82.7082
UniRef50_M4MFY8	82.3723
UniRef50_M4MFY8|unclassified	82.3723
UniRef50_A5G6S3	82.3626
UniRef50_A5G6S3|unclassified	82.3626
UniRef50_J2YAN2	82.2892
UniRef50_J2YAN2|unclassified	82.2892
UniRef50_A0A059IS93	82.0255
UniRef50_A0A059IS93|unclassified	82.0255
UniRef50_UPI0004761C58: transporter	81.8018
UniRef50_UPI0004761C58: transporter|unclassified	81.8018
UniRef50_R0FTB7: C-type cytochrome biogenesis protein	81.6225
UniRef50_R0FTB7: C-type cytochrome biogenesis protein|unclassified	81.6225
UniRef50_A9D3Z5: Cytochrome-c-type biogenesis protein	81.5605
UniRef50_A9D3Z5: Cytochrome-c-type biogenesis protein|unclassified	81.5605
UniRef50_M4MFL6	81.5265
UniRef50_M4MFL6|unclassified	81.5265
UniRef50_UPI00029AA74B: two component heavy metal response transcriptional regulator	81.4456
UniRef50_UPI00029AA74B: two component heavy metal response transcriptional regulator|unclassified	81.4456
UniRef50_A0M0W4	81.3856
UniRef50_A0M0W4|unclassified	81.3856
UniRef50_X8EWJ4: Multicopper oxidase, type 1, CueO domain protein	81.0486
UniRef50_X8EWJ4: Multicopper oxidase, type 1, CueO domain protein|unclassified	81.0486
UniRef50_UPI00046E6D23: hypothetical protein	80.9951
UniRef50_UPI00046E6D23: hypothetical protein|unclassified	80.9951
UniRef50_A7HRM8: Tetratricopeptide domain protein	80.8817
UniRef50_A7HRM8: Tetratricopeptide domain protein|unclassified	80.8817
UniRef50_I5BT05: Heavy metal translocating P-type ATPase	80.7181
UniRef50_I5BT05: Heavy metal translocating P-type ATPase|unclassified	80.7181
UniRef50_M1FDB3: Cytochrome c-type biogenesis protein CycH	80.7065
UniRef50_M1FDB3: Cytochrome c-type biogenesis protein CycH|unclassified	80.7065
UniRef50_R8QBG6	80.6443
UniRef50_R8QBG6|unclassified	80.6443
UniRef50_A1AWN9: Cytochrome C biogenesis protein	80.6407
UniRef50_A1AWN9: Cytochrome C biogenesis protein|unclassified	80.6407
UniRef50_UPI0004708AAC: hypothetical protein	80.5381
UniRef50_UPI0004708AAC: hypothetical protein|unclassified	80.5381
UniRef50_W7XB26	80.4475
UniRef50_W7XB26|unclassified	80.4475
UniRef50_F3B291	80.3164
UniRef50_F3B291|unclassified	80.3164
UniRef50_J3C281	80.1941
UniRef50_J3C281|unclassified	80.1941
UniRef50_Q12MG1	79.9725
UniRef50_Q12MG1|unclassified	79.9725
UniRef50_Q12NL1	79.5904
UniRef50_Q12NL1|unclassified	79.5904
UniRef50_D0LMR0: Cytochrome C family protein	79.5785
UniRef50_D0LMR0: Cytochrome C family protein|unclassified	79.5785
UniRef50_A4BUK5: TPR repeat	79.5167
UniRef50_A4BUK5: TPR repeat|unclassified	79.5167
UniRef50_W0TN64	79.5108
UniRef50_W0TN64|unclassified	79.5108
UniRef50_A0A046SM21: L,d-transpeptidase LdtB	79.3317
UniRef50_A0A046SM21: L,d-transpeptidase LdtB|unclassified	79.3317
UniRef50_G9YJT1	79.2938
UniRef50_G9YJT1|unclassified	79.2938
UniRef50_B8JEP1: Cytochrome c family protein	79.2135
UniRef50_B8JEP1: Cytochrome c family protein|unclassified	79.2135
UniRef50_W1RQ24: CopG family transcripitonal regulator	79.0006
UniRef50_W1RQ24: CopG family transcripitonal regulator|unclassified	79.0006
UniRef50_Q52730: CycH	78.9741
UniRef50_Q52730: CycH|unclassified	78.9741
UniRef50_Q2JYE9: Cytochrome c-type biogenesis protein	78.9009
UniRef50_Q2JYE9: Cytochrome c-type biogenesis protein|unclassified	78.9009
UniRef50_UPI0003B6A31A: multicopper oxidase	78.7336
UniRef50_UPI0003B6A31A: multicopper oxidase|unclassified	78.7336
UniRef50_Q222P4: Cytochrome c family protein	78.689
UniRef50_Q222P4: Cytochrome c family protein|unclassified	78.689
UniRef50_P39176: Probable L,D-transpeptidase ErfK/SrfK	78.4687
UniRef50_P39176: Probable L,D-transpeptidase ErfK/SrfK|unclassified	78.4687
UniRef50_A5GCG7: Cytochrome C family protein	78.4665
UniRef50_A5GCG7: Cytochrome C family protein|unclassified	78.4665
UniRef50_UPI0004146B2F: hypothetical protein	78.4644
UniRef50_UPI0004146B2F: hypothetical protein|unclassified	78.4644
UniRef50_UPI00036C8E3F: hypothetical protein	78.4617
UniRef50_UPI00036C8E3F: hypothetical protein|unclassified	78.4617
UniRef50_UPI00047CE929: hypothetical protein	78.3803
UniRef50_UPI00047CE929: hypothetical protein|unclassified	78.3803
UniRef50_A0A010PCS9	78.3699
UniRef50_A0A010PCS9|unclassified	78.3699
UniRef50_UPI00047E27A3: hypothetical protein	78.3558
UniRef50_UPI00047E27A3: hypothetical protein|unclassified	78.3558
UniRef50_A6GP85: Transcriptional regulator, MerR family protein	78.3384
UniRef50_A6GP85: Transcriptional regulator, MerR family protein|unclassified	78.3384
UniRef50_A4AQS0: Cytochrome c family protein	78.1335
UniRef50_A4AQS0: Cytochrome c family protein|unclassified	78.1335
UniRef50_E4TG06	77.9223
UniRef50_E4TG06|unclassified	77.9223
UniRef50_X1M282: Marine sediment metagenome DNA, contig: S06H3_L04421	77.8269
UniRef50_X1M282: Marine sediment metagenome DNA, contig: S06H3_L04421|unclassified	77.8269
UniRef50_N6W9Y3: Cytochrome c-type biogenesis protein CycL	77.8233
UniRef50_N6W9Y3: Cytochrome c-type biogenesis protein CycL|unclassified	77.8233
UniRef50_B5H2T1	77.6337
UniRef50_B5H2T1|unclassified	77.6337
UniRef50_UPI000375E567: hypothetical protein, partial	77.5818
UniRef50_UPI000375E567: hypothetical protein, partial|unclassified	77.5818
UniRef50_UPI000465E4F0: metal ABC transporter ATPase	77.5492
UniRef50_UPI000465E4F0: metal ABC transporter ATPase|unclassified	77.5492
UniRef50_A0LDE6: Cytochrome C biogenesis protein	77.5229
UniRef50_A0LDE6: Cytochrome C biogenesis protein|unclassified	77.5229
UniRef50_UPI000462EE86: hypothetical protein	77.4828
UniRef50_UPI000462EE86: hypothetical protein|unclassified	77.4828
UniRef50_W1VEP9: Putative nitrite reductase NO-forming (Fragment)	77.4164
UniRef50_W1VEP9: Putative nitrite reductase NO-forming (Fragment)|unclassified	77.4164
UniRef50_Q2IG32: Cytochrome c family protein	77.3028
UniRef50_Q2IG32: Cytochrome c family protein|unclassified	77.3028
UniRef50_UPI000381B186: hypothetical protein, partial	77.0412
UniRef50_UPI000381B186: hypothetical protein, partial|unclassified	77.0412
UniRef50_UPI0002EFCDD5: hypothetical protein	77.0202
UniRef50_UPI0002EFCDD5: hypothetical protein|unclassified	77.0202
UniRef50_B1XXR7: Cytochrome c family protein	76.9648
UniRef50_B1XXR7: Cytochrome c family protein|unclassified	76.9648
UniRef50_Q0AJY2	76.9032
UniRef50_Q0AJY2|unclassified	76.9032
UniRef50_L2F6C4: Cytochrome C-type biogenesis protein	76.8734
UniRef50_L2F6C4: Cytochrome C-type biogenesis protein|unclassified	76.8734
UniRef50_X3X673	76.7482
UniRef50_X3X673|unclassified	76.7482
UniRef50_A1WTQ7	76.5084
UniRef50_A1WTQ7|unclassified	76.5084
UniRef50_UPI00035C90D2: hypothetical protein	76.0686
UniRef50_UPI00035C90D2: hypothetical protein|unclassified	76.0686
UniRef50_UPI00036691E9: hypothetical protein	75.9335
UniRef50_UPI00036691E9: hypothetical protein|unclassified	75.9335
UniRef50_A9I314: Cytochrome C-type biogenesis protein	75.7789
UniRef50_A9I314: Cytochrome C-type biogenesis protein|unclassified	75.7789
UniRef50_A0A024EKC5	75.7108
UniRef50_A0A024EKC5|unclassified	75.7108
UniRef50_R7EE50: Metal transporting ATPase	75.6926
UniRef50_R7EE50: Metal transporting ATPase|unclassified	75.6926
UniRef50_UPI00047A1ECD: ATPase	75.5728
UniRef50_UPI00047A1ECD: ATPase|unclassified	75.5728
UniRef50_UPI000379CAC2: hypothetical protein	75.548
UniRef50_UPI000379CAC2: hypothetical protein|unclassified	75.548
UniRef50_C4K969: Transcriptional regulator, XRE family	75.2927
UniRef50_C4K969: Transcriptional regulator, XRE family|unclassified	75.2927
UniRef50_W0GYQ5	75.2536
UniRef50_W0GYQ5|unclassified	75.2536
UniRef50_D2Q6M7: ActP copper transport ATPase	75.2535
UniRef50_D2Q6M7: ActP copper transport ATPase|unclassified	75.2535
UniRef50_I3IAN9: CcmI	75.1748
UniRef50_I3IAN9: CcmI|unclassified	75.1748
UniRef50_K8RF92: Heavy metal translocating P-type ATPase	75.1303
UniRef50_K8RF92: Heavy metal translocating P-type ATPase|unclassified	75.1303
UniRef50_UPI0003B6D36D: cytochrome C	75.0739
UniRef50_UPI0003B6D36D: cytochrome C|unclassified	75.0739
UniRef50_Q2CI92	74.8602
UniRef50_Q2CI92|unclassified	74.8602
UniRef50_B6IVR6: Cytochrome c-type biogenesis protein CycH	74.744
UniRef50_B6IVR6: Cytochrome c-type biogenesis protein CycH|unclassified	74.744
UniRef50_UPI000381040D: hypothetical protein	74.7065
UniRef50_UPI000381040D: hypothetical protein|unclassified	74.7065
UniRef50_A3ZAS8	74.6227
UniRef50_A3ZAS8|unclassified	74.6227
UniRef50_B1LU05: Cytochrome c-type biogenesis protein CcmI	74.4725
UniRef50_B1LU05: Cytochrome c-type biogenesis protein CcmI|unclassified	74.4725
UniRef50_UPI00040B28E9: MULTISPECIES: ATP-binding protein	74.4556
UniRef50_UPI00040B28E9: MULTISPECIES: ATP-binding protein|unclassified	74.4556
UniRef50_UPI0002379F5A: copper resistance D domain-containing protein	74.3348
UniRef50_UPI0002379F5A: copper resistance D domain-containing protein|unclassified	74.3348
UniRef50_E0UIQ8	74.2608
UniRef50_E0UIQ8|unclassified	74.2608
UniRef50_U5NEL2: Diguanylate cyclase	74.2383
UniRef50_U5NEL2: Diguanylate cyclase|unclassified	74.2383
UniRef50_UPI00047DFF44: hypothetical protein, partial	74.0824
UniRef50_UPI00047DFF44: hypothetical protein, partial|unclassified	74.0824
UniRef50_V7ZTI2	73.7974
UniRef50_V7ZTI2|unclassified	73.7974
UniRef50_UPI000361FC6F: hypothetical protein	73.6193
UniRef50_UPI000361FC6F: hypothetical protein|unclassified	73.6193
UniRef50_UPI00035CEDC9: hypothetical protein	73.5505
UniRef50_UPI00035CEDC9: hypothetical protein|unclassified	73.5505
UniRef50_UPI0004756882: major facilitator transporter	73.5252
UniRef50_UPI0004756882: major facilitator transporter|unclassified	73.5252
UniRef50_C1DN34	73.4629
UniRef50_C1DN34|unclassified	73.4629
UniRef50_Q0A802: Cytochrome C biogenesis protein	73.4065
UniRef50_Q0A802: Cytochrome C biogenesis protein|unclassified	73.4065
UniRef50_D9SIN5	73.2643
UniRef50_D9SIN5|unclassified	73.2643
UniRef50_UPI0004630BA7: multicopper oxidase	73.1361
UniRef50_UPI0004630BA7: multicopper oxidase|unclassified	73.1361
UniRef50_B0C665	73.059
UniRef50_B0C665|unclassified	73.059
UniRef50_C5BHY6: Cytochrome C-type biogenesis protein CcmH	72.8048
UniRef50_C5BHY6: Cytochrome C-type biogenesis protein CcmH|unclassified	72.8048
UniRef50_A6Q966	72.8022
UniRef50_A6Q966|unclassified	72.8022
UniRef50_UPI0004780E80: hypothetical protein	72.7541
UniRef50_UPI0004780E80: hypothetical protein|unclassified	72.7541
