# Gene Family	SampleCopper_homeostasis_Abundance-RPKs
UniRef50_A3ZAS8|unclassified	20.3301511961
UniRef50_B1LU05: Cytochrome c-type biogenesis protein CcmI	20.2892218320
UniRef50_B1LU05: Cytochrome c-type biogenesis protein CcmI|unclassified	20.2892218320
UniRef50_UPI00040B28E9: MULTISPECIES: ATP-binding protein	20.2846362311
UniRef50_UPI00040B28E9: MULTISPECIES: ATP-binding protein|unclassified	20.2846362311
UniRef50_UPI0002379F5A: copper resistance D domain-containing protein	20.2517161556
UniRef50_UPI0002379F5A: copper resistance D domain-containing protein|unclassified	20.2517161556
UniRef50_E0UIQ8	20.2315608734
UniRef50_E0UIQ8|unclassified	20.2315608734
UniRef50_U5NEL2: Diguanylate cyclase	20.2254423727
UniRef50_U5NEL2: Diguanylate cyclase|unclassified	20.2254423727
UniRef50_UPI00047DFF44: hypothetical protein, partial	20.1829574191
UniRef50_UPI00047DFF44: hypothetical protein, partial|unclassified	20.1829574191
UniRef50_V7ZTI2	20.1053136701
UniRef50_V7ZTI2|unclassified	20.1053136701
UniRef50_UPI000361FC6F: hypothetical protein	20.0567827662
UniRef50_UPI000361FC6F: hypothetical protein|unclassified	20.0567827662
UniRef50_UPI00035CEDC9: hypothetical protein	20.0380564747
UniRef50_UPI00035CEDC9: hypothetical protein|unclassified	20.0380564747
UniRef50_UPI0004756882: major facilitator transporter	20.0311574458
UniRef50_UPI0004756882: major facilitator transporter|unclassified	20.0311574458
UniRef50_C1DN34	20.0141908223
UniRef50_C1DN34|unclassified	20.0141908223
UniRef50_Q0A802: Cytochrome C biogenesis protein	19.9988069857
UniRef50_Q0A802: Cytochrome C biogenesis protein|unclassified	19.9988069857
UniRef50_D9SIN5	19.9600645639
UniRef50_D9SIN5|unclassified	19.9600645639
UniRef50_UPI0004630BA7: multicopper oxidase	19.9251527765
UniRef50_UPI0004630BA7: multicopper oxidase|unclassified	19.9251527765
UniRef50_B0C665	19.9041355706
UniRef50_B0C665|unclassified	19.9041355706
UniRef50_C5BHY6: Cytochrome C-type biogenesis protein CcmH	19.8348830272
UniRef50_C5BHY6: Cytochrome C-type biogenesis protein CcmH|unclassified	19.8348830272
UniRef50_A6Q966	19.8341820059
UniRef50_A6Q966|unclassified	19.8341820059
UniRef50_UPI0004780E80: hypothetical protein	19.8210874841
UniRef50_UPI0004780E80: hypothetical protein|unclassified	19.8210874841
UniRef50_UPI00037E16EE: hypothetical protein	19.8150700047
UniRef50_UPI00037E16EE: hypothetical protein|unclassified	19.8150700047
UniRef50_UPI0001E2C224: ErfK/YbiS/YcfS/YnhG	19.7701310745
UniRef50_UPI0001E2C224: ErfK/YbiS/YcfS/YnhG|unclassified	19.7701310745
UniRef50_UPI0003611718: hypothetical protein	19.7255423353
UniRef50_UPI0003611718: hypothetical protein|unclassified	19.7255423353
UniRef50_Q936W0: CopD protein (Fragment)	19.7176083335
UniRef50_Q936W0: CopD protein (Fragment)|unclassified	19.7176083335
UniRef50_A5VDH2: Cytochrome c biogenesis factor-like protein	19.6905086189
UniRef50_A5VDH2: Cytochrome c biogenesis factor-like protein|unclassified	19.6905086189
UniRef50_A5GFA6	19.5848407764
UniRef50_A5GFA6|unclassified	19.5848407764
UniRef50_UPI00037ECA10: hypothetical protein, partial	19.5627934592
UniRef50_UPI00037ECA10: hypothetical protein, partial|unclassified	19.5627934592
UniRef50_A9DBZ3	19.5570601490
UniRef50_A9DBZ3|unclassified	19.5570601490
UniRef50_F4QXQ3	19.4858511076
UniRef50_F4QXQ3|unclassified	19.4858511076
UniRef50_X8F7N6: Putative copper-exporting ATPase	19.4618692101
UniRef50_X8F7N6: Putative copper-exporting ATPase|unclassified	19.4618692101
UniRef50_Q2BJ65	19.4183632851
UniRef50_Q2BJ65|unclassified	19.4183632851
UniRef50_UPI000361720B: hypothetical protein	19.4057511272
UniRef50_UPI000361720B: hypothetical protein|unclassified	19.4057511272
UniRef50_UPI000361DE18: hypothetical protein	19.3673995168
UniRef50_UPI000361DE18: hypothetical protein|unclassified	19.3673995168
UniRef50_UPI000466CAAD: hypothetical protein, partial	19.3641679359
UniRef50_UPI000466CAAD: hypothetical protein, partial|unclassified	19.3641679359
UniRef50_UPI000363B591: hypothetical protein	19.3363081365
UniRef50_UPI000363B591: hypothetical protein|unclassified	19.3363081365
UniRef50_UPI000475AC67: hypothetical protein	19.2826465978
UniRef50_UPI000475AC67: hypothetical protein|unclassified	19.2826465978
UniRef50_S5T797: Putative metal-binding protein	19.2263607767
UniRef50_S5T797: Putative metal-binding protein|unclassified	19.2263607767
UniRef50_UPI00036FCFA2: hypothetical protein	19.2116434752
UniRef50_UPI00036FCFA2: hypothetical protein|unclassified	19.2116434752
UniRef50_E8WRV5: Cytochrome c family protein	19.1755733007
UniRef50_E8WRV5: Cytochrome c family protein|unclassified	19.1755733007
UniRef50_G8PN70: Cytochrome c-type biogenesis protein cycH (TPR domain)	19.1686180182
UniRef50_G8PN70: Cytochrome c-type biogenesis protein cycH (TPR domain)|unclassified	19.1686180182
UniRef50_UPI000467D0F7: hypothetical protein	19.1382103851
UniRef50_UPI000467D0F7: hypothetical protein|unclassified	19.1382103851
UniRef50_A1WWS7: Tetratricopeptide TPR_2 repeat protein	19.0879889204
UniRef50_A1WWS7: Tetratricopeptide TPR_2 repeat protein|unclassified	19.0879889204
UniRef50_Q8NMT9: Putative L,D-transpeptidase LppS	19.0815595829
UniRef50_Q8NMT9: Putative L,D-transpeptidase LppS|unclassified	19.0815595829
UniRef50_G5QZK2: Copper resistance protein D	19.0205307180
UniRef50_G5QZK2: Copper resistance protein D|unclassified	19.0205307180
UniRef50_UPI00030B0D39: hypothetical protein	19.0069336291
UniRef50_UPI00030B0D39: hypothetical protein|unclassified	19.0069336291
UniRef50_Z4YZ05	18.9594302891
UniRef50_Z4YZ05|unclassified	18.9594302891
UniRef50_UPI00046EF915: ATPase	18.9315551259
UniRef50_UPI00046EF915: ATPase|unclassified	18.9315551259
UniRef50_E8WR30: Cytochrome C family protein	18.8969064940
UniRef50_E8WR30: Cytochrome C family protein|unclassified	18.8969064940
UniRef50_S6PGY7: Heavy metal translocating P-type ATPase	18.8548885286
UniRef50_S6PGY7: Heavy metal translocating P-type ATPase|unclassified	18.8548885286
UniRef50_S5AWH7: Metal-binding protein	18.8176020716
UniRef50_S5AWH7: Metal-binding protein|unclassified	18.8176020716
UniRef50_E3HM61: Cytochrome c-type biogenesis protein CcmH	18.8063613048
UniRef50_E3HM61: Cytochrome c-type biogenesis protein CcmH|unclassified	18.8063613048
UniRef50_B1XWF1: Cytochrome C biogenesis protein	18.7452395256
UniRef50_B1XWF1: Cytochrome C biogenesis protein|unclassified	18.7452395256
UniRef50_UPI00035D4353: hypothetical protein	18.7298032766
UniRef50_UPI00035D4353: hypothetical protein|unclassified	18.7298032766
UniRef50_A0A023HY12	18.6895929471
UniRef50_A0A023HY12|unclassified	18.6895929471
UniRef50_UPI00025594C6: hypothetical protein	18.6812010503
UniRef50_UPI00025594C6: hypothetical protein|unclassified	18.6812010503
UniRef50_D7AJL8: Cytochrome c, 4 heme-binding sites	18.6311681579
UniRef50_D7AJL8: Cytochrome c, 4 heme-binding sites|unclassified	18.6311681579
UniRef50_G6WXB6: Cation transport ATPase (Fragment)	18.5561188102
UniRef50_G6WXB6: Cation transport ATPase (Fragment)|unclassified	18.5561188102
UniRef50_C6WP34: Copper resistance D domain protein	18.5139672575
UniRef50_C6WP34: Copper resistance D domain protein|unclassified	18.5139672575
UniRef50_UPI000346D02B: ATPase P	18.4573192528
UniRef50_UPI000346D02B: ATPase P|unclassified	18.4573192528
UniRef50_L0WDR3: Cytochrome C biogenesis protein	18.4434265112
UniRef50_L0WDR3: Cytochrome C biogenesis protein|unclassified	18.4434265112
UniRef50_W1UYX7: Cadmium-exporting ATPase	18.4247715301
UniRef50_W1UYX7: Cadmium-exporting ATPase|unclassified	18.4247715301
UniRef50_A0A011P2L9: Putative copper-exporting P-type ATPase V	18.4067475477
UniRef50_A0A011P2L9: Putative copper-exporting P-type ATPase V|unclassified	18.4067475477
UniRef50_B3PGR2: Cytochrome c-type biogenesis protein cycL	18.3886744769
UniRef50_B3PGR2: Cytochrome c-type biogenesis protein cycL|unclassified	18.3886744769
UniRef50_Q5WC42: Putative L,D-transpeptidase YkuD	18.3474174533
UniRef50_Q5WC42: Putative L,D-transpeptidase YkuD|unclassified	18.3474174533
UniRef50_D4W8B2: Cation transporting ATPase, C-terminal domain protein	18.2562867514
UniRef50_D4W8B2: Cation transporting ATPase, C-terminal domain protein|unclassified	18.2562867514
UniRef50_A9BMW5: Diguanylate cyclase	18.2485897430
UniRef50_A9BMW5: Diguanylate cyclase|unclassified	18.2485897430
UniRef50_R6FXA9: Copper-(Or silver)-translocating P-type ATPase	18.2195388376
UniRef50_R6FXA9: Copper-(Or silver)-translocating P-type ATPase|unclassified	18.2195388376
UniRef50_UPI000362A8A5: hypothetical protein	18.2175376657
UniRef50_UPI000362A8A5: hypothetical protein|unclassified	18.2175376657
UniRef50_UPI0003779517: hypothetical protein	18.2056077720
UniRef50_UPI0003779517: hypothetical protein|unclassified	18.2056077720
UniRef50_A0A011AFR3: Putative membrane protein	18.1969892130
UniRef50_A0A011AFR3: Putative membrane protein|unclassified	18.1969892130
UniRef50_K9CLA2	18.1874083019
UniRef50_K9CLA2|unclassified	18.1874083019
UniRef50_UPI000368CD1B: hypothetical protein	18.0313211497
UniRef50_UPI000368CD1B: hypothetical protein|unclassified	18.0313211497
UniRef50_UPI0002628420: cytochrome C biogenesis protein	17.9893121915
UniRef50_UPI0002628420: cytochrome C biogenesis protein|unclassified	17.9893121915
UniRef50_UPI00047B3A12: cytochrome C biogenesis protein	17.9733237179
UniRef50_UPI00047B3A12: cytochrome C biogenesis protein|unclassified	17.9733237179
UniRef50_W9UZT7	17.9126464030
UniRef50_W9UZT7|unclassified	17.9126464030
UniRef50_A0A031MEI3: Cytochrome C	17.9105501399
UniRef50_A0A031MEI3: Cytochrome C|unclassified	17.9105501399
UniRef50_Q39Y56: Cytochrome c	17.8945875779
UniRef50_Q39Y56: Cytochrome c|unclassified	17.8945875779
UniRef50_Q222P1: Cytochrome c family protein	17.8872733437
UniRef50_Q222P1: Cytochrome c family protein|unclassified	17.8872733437
UniRef50_UPI0003B4A111: copper resistance protein B	17.8824313524
UniRef50_UPI0003B4A111: copper resistance protein B|unclassified	17.8824313524
UniRef50_Q2G8I6: Tetratricopeptide TPR_4	17.8427438019
UniRef50_Q2G8I6: Tetratricopeptide TPR_4|unclassified	17.8427438019
UniRef50_UPI0003B41A69: ATPase	17.8383946599
UniRef50_UPI0003B41A69: ATPase|unclassified	17.8383946599
UniRef50_G4A2P6: TPR-repeat-containing protein	17.8268557905
UniRef50_G4A2P6: TPR-repeat-containing protein|unclassified	17.8268557905
UniRef50_Q39TN9: Cytochrome c	17.8234651308
UniRef50_Q39TN9: Cytochrome c|unclassified	17.8234651308
UniRef50_UPI00037A11AA: hypothetical protein	17.8126467867
UniRef50_UPI00037A11AA: hypothetical protein|unclassified	17.8126467867
UniRef50_U3B0B1: CopG protein	17.7303346122
UniRef50_U3B0B1: CopG protein|unclassified	17.7303346122
UniRef50_UPI00035E8BDB: hypothetical protein	17.7160691580
UniRef50_UPI00035E8BDB: hypothetical protein|unclassified	17.7160691580
UniRef50_B3DUM9: Cytochrome c family protein	17.7106587643
UniRef50_B3DUM9: Cytochrome c family protein|unclassified	17.7106587643
UniRef50_UPI0004078958: hypothetical protein	17.6615112051
UniRef50_UPI0004078958: hypothetical protein|unclassified	17.6615112051
UniRef50_A0A037XUM7	17.6551844186
UniRef50_A0A037XUM7|unclassified	17.6551844186
UniRef50_C6E632: Cytochrome C family protein	17.6447839407
UniRef50_C6E632: Cytochrome C family protein|unclassified	17.6447839407
UniRef50_N6W3E5: TPR repeat protein	17.6268722042
UniRef50_N6W3E5: TPR repeat protein|unclassified	17.6268722042
UniRef50_UPI000477231D: cytochrome C	17.6257228212
UniRef50_UPI000477231D: cytochrome C|unclassified	17.6257228212
UniRef50_UPI00036FEB33: hypothetical protein	17.5536185350
UniRef50_UPI00036FEB33: hypothetical protein|unclassified	17.5536185350
UniRef50_K7SCX6	17.5503230698
UniRef50_K7SCX6|unclassified	17.5503230698
UniRef50_UPI000381D2F2: hypothetical protein	17.5293212141
UniRef50_UPI000381D2F2: hypothetical protein|unclassified	17.5293212141
UniRef50_UPI000360685D: hypothetical protein, partial	17.5289188289
UniRef50_UPI000360685D: hypothetical protein, partial|unclassified	17.5289188289
UniRef50_UPI0004772931: multicopper oxidase	17.5278426876
UniRef50_UPI0004772931: multicopper oxidase|unclassified	17.5278426876
UniRef50_UPI0002D45C95: hypothetical protein	17.5177969098
UniRef50_UPI0002D45C95: hypothetical protein|unclassified	17.5177969098
UniRef50_D7AFD8: Cytochrome c, 3 heme-binding sites	17.5051394084
UniRef50_D7AFD8: Cytochrome c, 3 heme-binding sites|unclassified	17.5051394084
UniRef50_R6MB94	17.4832441166
UniRef50_R6MB94|unclassified	17.4832441166
UniRef50_A5G555	17.4653456989
UniRef50_A5G555|unclassified	17.4653456989
UniRef50_K0CAR8: Likely secreted protein containing plastocyanin domain	17.4626945800
UniRef50_K0CAR8: Likely secreted protein containing plastocyanin domain|unclassified	17.4626945800
UniRef50_UPI00035E78C8: hypothetical protein	17.3934071109
UniRef50_UPI00035E78C8: hypothetical protein|unclassified	17.3934071109
UniRef50_Q7MM17	17.3749780940
UniRef50_Q7MM17|unclassified	17.3749780940
UniRef50_W8L4L7	17.3689282697
UniRef50_W8L4L7|unclassified	17.3689282697
UniRef50_UPI00035CCE7C: hypothetical protein, partial	17.3623694291
UniRef50_UPI00035CCE7C: hypothetical protein, partial|unclassified	17.3623694291
UniRef50_UPI000237CA67: CotA-like multicopper oxidase	17.3052094630
UniRef50_UPI000237CA67: CotA-like multicopper oxidase|unclassified	17.3052094630
UniRef50_T5KV16: Cytochrome C biogenesis protein (Fragment)	17.2728173347
UniRef50_T5KV16: Cytochrome C biogenesis protein (Fragment)|unclassified	17.2728173347
UniRef50_B5EIT6: Cytochrome c	17.2472379165
UniRef50_B5EIT6: Cytochrome c|unclassified	17.2472379165
UniRef50_UPI00045E7A5A: hypothetical protein	17.2322911471
UniRef50_UPI00045E7A5A: hypothetical protein|unclassified	17.2322911471
UniRef50_Q0AT76	17.2086231475
UniRef50_Q0AT76|unclassified	17.2086231475
UniRef50_Q222N6	17.1707443720
UniRef50_Q222N6|unclassified	17.1707443720
UniRef50_I5BZ35	17.1639318586
UniRef50_I5BZ35|unclassified	17.1639318586
UniRef50_H5WQS0	17.1219848840
UniRef50_H5WQS0|unclassified	17.1219848840
UniRef50_A9B1R9: Heat shock protein DnaJ domain protein	17.1109524640
UniRef50_A9B1R9: Heat shock protein DnaJ domain protein|unclassified	17.1109524640
UniRef50_Q8VQB0: Cytochrome c (Fragment)	17.0830037427
UniRef50_Q8VQB0: Cytochrome c (Fragment)|unclassified	17.0830037427
UniRef50_UPI0003B2F44C: multicopper oxidase	17.0617495740
UniRef50_UPI0003B2F44C: multicopper oxidase|unclassified	17.0617495740
UniRef50_UPI0003B669CB: hypothetical protein	17.0569482305
UniRef50_UPI0003B669CB: hypothetical protein|unclassified	17.0569482305
UniRef50_UPI00016AFFD0: cation-transporting ATPase membrane protein, partial	17.0568969248
UniRef50_UPI00016AFFD0: cation-transporting ATPase membrane protein, partial|unclassified	17.0568969248
UniRef50_F8A3K0: Cytochrome c oxidase caa3-type, assembly factor CtaG-related protein	17.0535067239
UniRef50_F8A3K0: Cytochrome c oxidase caa3-type, assembly factor CtaG-related protein|unclassified	17.0535067239
UniRef50_UPI000370579F: hypothetical protein	17.0111871989
UniRef50_UPI000370579F: hypothetical protein|unclassified	17.0111871989
UniRef50_A5GBC9	16.9844541789
UniRef50_A5GBC9|unclassified	16.9844541789
UniRef50_A4A3M6	16.9675864954
UniRef50_A4A3M6|unclassified	16.9675864954
UniRef50_D6Z1N3: Cytochrome C family protein	16.9512360718
UniRef50_D6Z1N3: Cytochrome C family protein|unclassified	16.9512360718
UniRef50_A7HBD4: Cytochrome C family protein	16.9247506780
UniRef50_A7HBD4: Cytochrome C family protein|unclassified	16.9247506780
UniRef50_UPI0004795286: hypothetical protein	16.9172117889
UniRef50_UPI0004795286: hypothetical protein|unclassified	16.9172117889
UniRef50_S6JNF9: Cytochrome c-type biogenesis protein	16.8761356720
UniRef50_S6JNF9: Cytochrome c-type biogenesis protein|unclassified	16.8761356720
UniRef50_G0QA67	16.8717628582
UniRef50_G0QA67|unclassified	16.8717628582
UniRef50_D3PCA9: Multiheme c-type cytochrome	16.8323000418
UniRef50_D3PCA9: Multiheme c-type cytochrome|unclassified	16.8323000418
UniRef50_C4WDY2: Copper resistance protein D	16.8164027465
UniRef50_C4WDY2: Copper resistance protein D|unclassified	16.8164027465
UniRef50_A5GK82: Predicted metal-binding protein	16.7586004954
UniRef50_A5GK82: Predicted metal-binding protein|unclassified	16.7586004954
UniRef50_L5WHA3: Multicopper oxidase	16.7322027678
UniRef50_L5WHA3: Multicopper oxidase|unclassified	16.7322027678
UniRef50_UPI00047197E5: hypothetical protein, partial	16.7057105551
UniRef50_UPI00047197E5: hypothetical protein, partial|unclassified	16.7057105551
UniRef50_Q1YJ35	16.6653067823
UniRef50_Q1YJ35|unclassified	16.6653067823
UniRef50_UPI000255B47C: Bcr/CflA subfamily drug resistance transporter	16.6586220740
UniRef50_UPI000255B47C: Bcr/CflA subfamily drug resistance transporter|unclassified	16.6586220740
UniRef50_Q0FSN2	16.6535445982
UniRef50_Q0FSN2|unclassified	16.6535445982
UniRef50_UPI0003B4DA32: hypothetical protein	16.6170126523
UniRef50_UPI0003B4DA32: hypothetical protein|unclassified	16.6170126523
UniRef50_UPI00038F84CB: Copper-exporting P-type ATPase A, partial	16.6087550792
UniRef50_UPI00038F84CB: Copper-exporting P-type ATPase A, partial|unclassified	16.6087550792
UniRef50_Q02JW6	16.5630555177
UniRef50_Q02JW6|unclassified	16.5630555177
UniRef50_UPI0002260A14: copper resistance protein A, partial	16.5608307981
UniRef50_UPI0002260A14: copper resistance protein A, partial|unclassified	16.5608307981
UniRef50_UPI00037E1087: hypothetical protein	16.5361484071
UniRef50_UPI00037E1087: hypothetical protein|unclassified	16.5361484071
UniRef50_UPI00030A5CA5: hypothetical protein	16.5255200379
UniRef50_UPI00030A5CA5: hypothetical protein|unclassified	16.5255200379
UniRef50_G2TFP6: TPR repeat-containing protein	16.5174199702
UniRef50_G2TFP6: TPR repeat-containing protein|unclassified	16.5174199702
UniRef50_A3MU40	16.5034945549
UniRef50_A3MU40|unclassified	16.5034945549
UniRef50_R6JYT7	16.4820655745
UniRef50_R6JYT7|unclassified	16.4820655745
UniRef50_UPI0003B431A9: MerR family transcriptional regulator	16.4520232428
UniRef50_UPI0003B431A9: MerR family transcriptional regulator|unclassified	16.4520232428
UniRef50_UPI0003685202: hypothetical protein	16.4413189604
UniRef50_UPI0003685202: hypothetical protein|unclassified	16.4413189604
UniRef50_B9M4K8: Cytochrome C family protein	16.4261984500
UniRef50_B9M4K8: Cytochrome C family protein|unclassified	16.4261984500
UniRef50_A7HBH8	16.4019975017
UniRef50_A7HBH8|unclassified	16.4019975017
UniRef50_Q748V2: Lipoprotein cytochrome c	16.3820045555
UniRef50_Q748V2: Lipoprotein cytochrome c|unclassified	16.3820045555
UniRef50_L0GXP1	16.3512086695
UniRef50_L0GXP1|unclassified	16.3512086695
UniRef50_A4BHE7: Cytochrome c-type biogenesis protein CcmH	16.3448187704
UniRef50_A4BHE7: Cytochrome c-type biogenesis protein CcmH|unclassified	16.3448187704
UniRef50_K8X8J0	16.3392803508
UniRef50_K8X8J0|unclassified	16.3392803508
UniRef50_T1BH12: Nitrite reductase, copper-containing (Fragment)	16.3034472821
UniRef50_T1BH12: Nitrite reductase, copper-containing (Fragment)|unclassified	16.3034472821
UniRef50_S9PIK3: Cytochrome c family protein	16.2956019384
UniRef50_S9PIK3: Cytochrome c family protein|unclassified	16.2956019384
UniRef50_B6WT74	16.2700489586
UniRef50_B6WT74|unclassified	16.2700489586
UniRef50_UPI00046FDB5A: hypothetical protein	16.2608634310
UniRef50_UPI00046FDB5A: hypothetical protein|unclassified	16.2608634310
UniRef50_D5WYH1: Cytochrome c family protein	16.2453030146
UniRef50_D5WYH1: Cytochrome c family protein|unclassified	16.2453030146
UniRef50_UPI0003B743B9: hypothetical protein	16.2358016622
UniRef50_UPI0003B743B9: hypothetical protein|unclassified	16.2358016622
UniRef50_D0LN70	16.2250084825
UniRef50_D0LN70|unclassified	16.2250084825
UniRef50_A5G8M2	16.2201587390
UniRef50_A5G8M2|unclassified	16.2201587390
UniRef50_H0BZ21	16.2182712688
UniRef50_H0BZ21|unclassified	16.2182712688
UniRef50_U1ER99	16.2125021609
UniRef50_U1ER99|unclassified	16.2125021609
UniRef50_W6ZS82: Glutamate synthase	16.2114221574
UniRef50_W6ZS82: Glutamate synthase|unclassified	16.2114221574
UniRef50_UPI00034DAFB8: ATPase P	16.2065071789
UniRef50_UPI00034DAFB8: ATPase P|unclassified	16.2065071789
UniRef50_Q0B8W9	16.1902724572
UniRef50_Q0B8W9|unclassified	16.1902724572
UniRef50_Q1D7D9: Cytochrome c-type biogenesis protein, CcmH/CycL/Ccl2/NrfF family	16.1494400739
UniRef50_Q1D7D9: Cytochrome c-type biogenesis protein, CcmH/CycL/Ccl2/NrfF family|unclassified	16.1494400739
UniRef50_A5G705: Cytochrome C family protein	16.1361804435
UniRef50_A5G705: Cytochrome C family protein|unclassified	16.1361804435
UniRef50_F0EPT7	16.1300813008
UniRef50_F0EPT7|unclassified	16.1300813008
UniRef50_Q2SF40: Predicted membrane protein	16.1229929737
UniRef50_Q2SF40: Predicted membrane protein|unclassified	16.1229929737
UniRef50_G8NYJ8	16.0824317752
UniRef50_G8NYJ8|unclassified	16.0824317752
UniRef50_A3ZY60: Probable cytochrome c-554	16.0439426985
UniRef50_A3ZY60: Probable cytochrome c-554|unclassified	16.0439426985
UniRef50_D0LK57: Cytochrome c family protein	16.0421267257
UniRef50_D0LK57: Cytochrome c family protein|unclassified	16.0421267257
UniRef50_F5T323: Putative metal-binding protein	16.0370499920
UniRef50_F5T323: Putative metal-binding protein|unclassified	16.0370499920
UniRef50_K2AX63	16.0309621001
UniRef50_K2AX63|unclassified	16.0309621001
UniRef50_UPI000370775A: hypothetical protein	16.0208609335
UniRef50_UPI000370775A: hypothetical protein|unclassified	16.0208609335
UniRef50_W8L8K4	16.0150120725
UniRef50_W8L8K4|unclassified	16.0150120725
UniRef50_A7H6V1: Cytochrome C family protein	16.0072123519
UniRef50_A7H6V1: Cytochrome C family protein|unclassified	16.0072123519
UniRef50_Q21UG1	15.9951653533
UniRef50_Q21UG1|unclassified	15.9951653533
UniRef50_UPI0003624AC5: hypothetical protein	15.9781947849
UniRef50_UPI0003624AC5: hypothetical protein|unclassified	15.9781947849
UniRef50_UPI00035F8419: hypothetical protein	15.9753147658
UniRef50_UPI00035F8419: hypothetical protein|unclassified	15.9753147658
UniRef50_A0A011MUK6	15.9586522108
UniRef50_A0A011MUK6|unclassified	15.9586522108
UniRef50_X0XHA2: Marine sediment metagenome DNA, contig: S01H1_S29650 (Fragment)	15.9156952470
UniRef50_X0XHA2: Marine sediment metagenome DNA, contig: S01H1_S29650 (Fragment)|unclassified	15.9156952470
UniRef50_UPI000367B294: hypothetical protein	15.9021778183
UniRef50_UPI000367B294: hypothetical protein|unclassified	15.9021778183
UniRef50_A0YC58: Cytochrome c biogenesis factor	15.8998858528
UniRef50_A0YC58: Cytochrome c biogenesis factor|unclassified	15.8998858528
UniRef50_UPI0004679D75: hypothetical protein	15.8950749749
UniRef50_UPI0004679D75: hypothetical protein|unclassified	15.8950749749
UniRef50_UPI0003690D29: hypothetical protein	15.8536345209
UniRef50_UPI0003690D29: hypothetical protein|unclassified	15.8536345209
UniRef50_X0USQ1: Marine sediment metagenome DNA, contig: S01H1_S05323 (Fragment)	15.8299354737
UniRef50_X0USQ1: Marine sediment metagenome DNA, contig: S01H1_S05323 (Fragment)|unclassified	15.8299354737
UniRef50_UPI0004646764: hypothetical protein	15.7962459988
UniRef50_UPI0004646764: hypothetical protein|unclassified	15.7962459988
UniRef50_R7D4B5	15.7913699778
UniRef50_R7D4B5|unclassified	15.7913699778
UniRef50_Q2VZG8: Cytochrome c-type biogenesis protein cycH	15.7714769408
UniRef50_Q2VZG8: Cytochrome c-type biogenesis protein cycH|unclassified	15.7714769408
UniRef50_UPI0003F6A5E4: hypothetical protein	15.7162878326
UniRef50_UPI0003F6A5E4: hypothetical protein|unclassified	15.7162878326
UniRef50_A0A011NQW6	15.7137179426
UniRef50_A0A011NQW6|unclassified	15.7137179426
UniRef50_UPI0004628066: hypothetical protein	15.6931438158
UniRef50_UPI0004628066: hypothetical protein|unclassified	15.6931438158
UniRef50_UPI00047AEF2E: copper oxidase	15.6845528206
UniRef50_UPI00047AEF2E: copper oxidase|unclassified	15.6845528206
UniRef50_Q21JJ1: Tetratricopeptide TPR_2	15.6669257831
UniRef50_Q21JJ1: Tetratricopeptide TPR_2|unclassified	15.6669257831
UniRef50_S6L0G1	15.6497531827
UniRef50_S6L0G1|unclassified	15.6497531827
UniRef50_UPI00047DA2C5: hypothetical protein	15.6351824699
UniRef50_UPI00047DA2C5: hypothetical protein|unclassified	15.6351824699
UniRef50_UPI0003B5328A: nitrite reductase	15.6347450819
UniRef50_UPI0003B5328A: nitrite reductase|unclassified	15.6347450819
UniRef50_UPI00046FE993: hypothetical protein	15.5919632330
UniRef50_UPI00046FE993: hypothetical protein|unclassified	15.5919632330
UniRef50_I0HRB7: Cytochrome c-type biogenesis protein CcmH	15.5855423082
UniRef50_I0HRB7: Cytochrome c-type biogenesis protein CcmH|unclassified	15.5855423082
UniRef50_UPI00035CFB09: hypothetical protein	15.5626410429
UniRef50_UPI00035CFB09: hypothetical protein|unclassified	15.5626410429
UniRef50_D9SGY0: Cytochrome C biogenesis protein	15.5621286016
UniRef50_D9SGY0: Cytochrome C biogenesis protein|unclassified	15.5621286016
UniRef50_Q74FA7: Lipoprotein cytochrome c	15.5270275545
UniRef50_Q74FA7: Lipoprotein cytochrome c|unclassified	15.5270275545
UniRef50_UPI000382BA92: hypothetical protein	15.5221686983
UniRef50_UPI000382BA92: hypothetical protein|unclassified	15.5221686983
UniRef50_G9AGV5	15.5220467360
UniRef50_G9AGV5|unclassified	15.5220467360
UniRef50_I2AWU4: Drug:H+ antiporter-1 family protein	15.5048076923
UniRef50_I2AWU4: Drug:H+ antiporter-1 family protein|unclassified	15.5048076923
UniRef50_UPI000379F21F: hypothetical protein	15.5038072802
UniRef50_UPI000379F21F: hypothetical protein|unclassified	15.5038072802
UniRef50_Q1K1I7	15.4807527869
UniRef50_Q1K1I7|unclassified	15.4807527869
UniRef50_M2TJF6: CopG protein	15.4622123043
UniRef50_M2TJF6: CopG protein|unclassified	15.4622123043
UniRef50_R6A8C9: Putative cytochrome C-type biogenesis protein CcmH	15.4428015547
UniRef50_R6A8C9: Putative cytochrome C-type biogenesis protein CcmH|unclassified	15.4428015547
UniRef50_UPI00035F7C54: hypothetical protein	15.4318178434
UniRef50_UPI00035F7C54: hypothetical protein|unclassified	15.4318178434
UniRef50_W0IHY4: Metal-binding protein	15.4159836313
UniRef50_W0IHY4: Metal-binding protein|unclassified	15.4159836313
UniRef50_UPI0000397D83: COG2132: Putative multicopper oxidases	15.4124149660
UniRef50_UPI0000397D83: COG2132: Putative multicopper oxidases|unclassified	15.4124149660
UniRef50_A5CWP7	15.3616481039
UniRef50_A5CWP7|unclassified	15.3616481039
UniRef50_A7I3W3	15.3425966856
