# Gene Family	SampleCysteine_Biosynthesis_Abundance-CPM
UniRef50_C3A2J3: Sulphate transport system permease protein 1|unclassified	326.515
UniRef50_K8CK96: Sulfate permease	324.78
UniRef50_K8CK96: Sulfate permease|unclassified	324.78
UniRef50_C3XR46	323.718
UniRef50_C3XR46|unclassified	323.718
UniRef50_UPI0003B63337: sulfate transporter	321.944
UniRef50_UPI0003B63337: sulfate transporter|unclassified	321.944
UniRef50_L8ULG3	321.482
UniRef50_L8ULG3|unclassified	321.482
UniRef50_C4LAQ4	317.511
UniRef50_C4LAQ4|unclassified	317.511
UniRef50_UPI0004712CCE: hypothetical protein	315.922
UniRef50_UPI0004712CCE: hypothetical protein|unclassified	315.922
UniRef50_R9NU01: Pyridoxal-5'-phosphate-dependent protein subunit beta	315.808
UniRef50_R9NU01: Pyridoxal-5'-phosphate-dependent protein subunit beta|unclassified	315.808
UniRef50_X8C2M3: Pyridoxal-phosphate dependent enzyme family protein	312.572
UniRef50_X8C2M3: Pyridoxal-phosphate dependent enzyme family protein|unclassified	312.572
UniRef50_W5XJZ6: Sugar kinase, ribokinase	308.592
UniRef50_W5XJZ6: Sugar kinase, ribokinase|unclassified	308.592
UniRef50_N7PG81	308.359
UniRef50_N7PG81|unclassified	308.359
UniRef50_UPI000369170B: hypothetical protein	307.793
UniRef50_UPI000369170B: hypothetical protein|unclassified	307.793
UniRef50_UPI000471E251: hypothetical protein	305.555
UniRef50_UPI000471E251: hypothetical protein|unclassified	305.555
UniRef50_UPI00036F988D: hypothetical protein	301.13
UniRef50_UPI00036F988D: hypothetical protein|unclassified	301.13
UniRef50_UPI0003456F68: hypothetical protein	300.064
UniRef50_UPI0003456F68: hypothetical protein|unclassified	300.064
UniRef50_UPI000465E1CF: cysteine biosynthesis protein CysZ	296.093
UniRef50_UPI000465E1CF: cysteine biosynthesis protein CysZ|unclassified	296.093
UniRef50_UPI00035C292F: hypothetical protein	292.97
UniRef50_UPI00035C292F: hypothetical protein|unclassified	292.97
UniRef50_X1UV07: Marine sediment metagenome DNA, contig: S12H4_S19759	291.338
UniRef50_X1UV07: Marine sediment metagenome DNA, contig: S12H4_S19759|unclassified	291.338
UniRef50_UPI00046D4B77: elongation factor Tu	291.124
UniRef50_UPI00046D4B77: elongation factor Tu|unclassified	291.124
UniRef50_UPI000288E019: sulfate ABC transporter membrane protein	291.073
UniRef50_UPI000288E019: sulfate ABC transporter membrane protein|unclassified	291.073
UniRef50_UPI0004708F1B: hypothetical protein, partial	289.576
UniRef50_UPI0004708F1B: hypothetical protein, partial|unclassified	289.576
UniRef50_K9DLZ7	288.642
UniRef50_K9DLZ7|unclassified	288.642
UniRef50_X0Y875: Marine sediment metagenome DNA, contig: S01H1_S43089 (Fragment)	283.674
UniRef50_X0Y875: Marine sediment metagenome DNA, contig: S01H1_S43089 (Fragment)|unclassified	283.674
UniRef50_UPI00047EEB19: hypothetical protein	282.807
UniRef50_UPI00047EEB19: hypothetical protein|unclassified	282.807
UniRef50_UPI0003651545: hypothetical protein	282.314
UniRef50_UPI0003651545: hypothetical protein|unclassified	282.314
UniRef50_UPI00047032C6: hypothetical protein	281.928
UniRef50_UPI00047032C6: hypothetical protein|unclassified	281.928
UniRef50_D2Z027: O-ureido-L-serine synthase	281.386
UniRef50_D2Z027: O-ureido-L-serine synthase|unclassified	281.386
UniRef50_W1JYS3	277.467
UniRef50_W1JYS3|unclassified	277.467
UniRef50_R6NHM2	274.944
UniRef50_R6NHM2|unclassified	274.944
UniRef50_O81155: Cysteine synthase, chloroplastic/chromoplastic	274.735
UniRef50_O81155: Cysteine synthase, chloroplastic/chromoplastic|unclassified	274.735
UniRef50_T0HF39	274.537
UniRef50_T0HF39|unclassified	274.537
UniRef50_G7G6B8: CysZ protein	272.085
UniRef50_G7G6B8: CysZ protein|unclassified	272.085
UniRef50_J2IF05	268.906
UniRef50_J2IF05|unclassified	268.906
UniRef50_UPI000364ACE5: hypothetical protein	268.328
UniRef50_UPI000364ACE5: hypothetical protein|unclassified	268.328
UniRef50_UPI00047CBFD0: hypothetical protein	266.653
UniRef50_UPI00047CBFD0: hypothetical protein|unclassified	266.653
UniRef50_Q2BQK9: CysZ protein	266.095
UniRef50_Q2BQK9: CysZ protein|unclassified	266.095
UniRef50_UPI0002B9D806: hypothetical protein	262.525
UniRef50_UPI0002B9D806: hypothetical protein|unclassified	262.525
UniRef50_M1FCV9	259.868
UniRef50_M1FCV9|unclassified	259.868
UniRef50_W7X3C6	256.49
UniRef50_W7X3C6|unclassified	256.49
UniRef50_B2GHM4: Cysteine synthase	256.395
UniRef50_B2GHM4: Cysteine synthase|unclassified	256.395
UniRef50_T3HSU3	256.328
UniRef50_T3HSU3|unclassified	256.328
UniRef50_UPI00047D863E: hypothetical protein	255.86
UniRef50_UPI00047D863E: hypothetical protein|unclassified	255.86
UniRef50_P38076: Cysteine synthase	253.446
UniRef50_P38076: Cysteine synthase|unclassified	253.446
UniRef50_UPI000470C3EE: adenylylsulfate kinase	252.247
UniRef50_UPI000470C3EE: adenylylsulfate kinase|unclassified	252.247
UniRef50_UPI0004644F15: hypothetical protein	252.161
UniRef50_UPI0004644F15: hypothetical protein|unclassified	252.161
UniRef50_E1EA19: Sulfate permease family protein	251.915
UniRef50_E1EA19: Sulfate permease family protein|unclassified	251.915
UniRef50_T0LZ32	249.954
UniRef50_T0LZ32|unclassified	249.954
UniRef50_K2AJ87: Sulfate permease subfamily (Fragment)	249.381
UniRef50_K2AJ87: Sulfate permease subfamily (Fragment)|unclassified	249.381
UniRef50_Q7DDL5: Cysteine synthase	248.836
UniRef50_Q7DDL5: Cysteine synthase|unclassified	248.836
UniRef50_X1J9W9: Marine sediment metagenome DNA, contig: S03H2_S11649 (Fragment)	245.506
UniRef50_X1J9W9: Marine sediment metagenome DNA, contig: S03H2_S11649 (Fragment)|unclassified	245.506
UniRef50_A1U6R6	245.444
UniRef50_A1U6R6|unclassified	245.444
UniRef50_UPI000416D15E: hypothetical protein	244.388
UniRef50_UPI000416D15E: hypothetical protein|unclassified	244.388
UniRef50_UPI00037DA92D: hypothetical protein, partial	243.518
UniRef50_UPI00037DA92D: hypothetical protein, partial|unclassified	243.518
UniRef50_UPI000369DA75: hypothetical protein	238.887
UniRef50_UPI000369DA75: hypothetical protein|unclassified	238.887
UniRef50_UPI0004024188: hypothetical protein	238.812
UniRef50_UPI0004024188: hypothetical protein|unclassified	238.812
UniRef50_UPI00036069BB: hypothetical protein	238.811
UniRef50_UPI00036069BB: hypothetical protein|unclassified	238.811
UniRef50_UPI0003768CB1: hypothetical protein	238.701
UniRef50_UPI0003768CB1: hypothetical protein|unclassified	238.701
UniRef50_H9UV24: CysZ protein	238.194
UniRef50_H9UV24: CysZ protein|unclassified	238.194
UniRef50_O67507: Cysteine synthase	237.494
UniRef50_O67507: Cysteine synthase|unclassified	237.494
UniRef50_UPI00016C3B85: putative sulfite reductase hemoprotein beta-component, partial	235.326
UniRef50_UPI00016C3B85: putative sulfite reductase hemoprotein beta-component, partial|unclassified	235.326
UniRef50_U3U0G8: Pyridoxal-5'-phosphate-dependent protein subunit beta	234.748
UniRef50_U3U0G8: Pyridoxal-5'-phosphate-dependent protein subunit beta|unclassified	234.748
UniRef50_X8C3X1: O-phosphoserine sulfhydrylase	234.514
UniRef50_X8C3X1: O-phosphoserine sulfhydrylase|unclassified	234.514
UniRef50_UPI00041970B8: molybdate ABC transporter permease	232.427
UniRef50_UPI00041970B8: molybdate ABC transporter permease|unclassified	232.427
UniRef50_C5TN57	231.251
UniRef50_C5TN57|unclassified	231.251
UniRef50_S9R3N9: Sulfate permease	230.415
UniRef50_S9R3N9: Sulfate permease|unclassified	230.415
UniRef50_UPI000404F64D: sulfite reductase	229.286
UniRef50_UPI000404F64D: sulfite reductase|unclassified	229.286
UniRef50_Q6BSU5: Sulfate adenylyltransferase	224.878
UniRef50_Q6BSU5: Sulfate adenylyltransferase|unclassified	224.878
UniRef50_K6GI83: AAA domain protein	224.587
UniRef50_K6GI83: AAA domain protein|unclassified	224.587
UniRef50_L8BCZ8: Sulfate transporter, CysZ-type	222.411
UniRef50_L8BCZ8: Sulfate transporter, CysZ-type|unclassified	222.411
UniRef50_UPI0004731D91: hypothetical protein, partial	220.643
UniRef50_UPI0004731D91: hypothetical protein, partial|unclassified	220.643
UniRef50_UPI000463E58D: adenylyltransferase, partial	214.81
UniRef50_UPI000463E58D: adenylyltransferase, partial|unclassified	214.81
UniRef50_A0A011NUK4	214.798
UniRef50_A0A011NUK4|unclassified	214.798
UniRef50_UPI00037F7F4C: hypothetical protein	214.769
UniRef50_UPI00037F7F4C: hypothetical protein|unclassified	214.769
UniRef50_V8DNY0	214.391
UniRef50_V8DNY0|unclassified	214.391
UniRef50_M0VBS3	213.554
UniRef50_M0VBS3|unclassified	213.554
UniRef50_R6F3N5: Cysteine synthase	208.866
UniRef50_R6F3N5: Cysteine synthase|unclassified	208.866
UniRef50_UPI00046A3685: sulfate permease	205.525
UniRef50_UPI00046A3685: sulfate permease|unclassified	205.525
UniRef50_Q43725: Cysteine synthase, mitochondrial	204.34
UniRef50_Q43725: Cysteine synthase, mitochondrial|unclassified	204.34
UniRef50_UPI0003B65350: adenylylsulfate kinase	204.04
UniRef50_UPI0003B65350: adenylylsulfate kinase|unclassified	204.04
UniRef50_UPI00037C93EA: hypothetical protein	203.649
UniRef50_UPI00037C93EA: hypothetical protein|unclassified	203.649
UniRef50_UPI0003B76C26: MFS transporter	203.498
UniRef50_UPI0003B76C26: MFS transporter|unclassified	203.498
UniRef50_P47999: Cysteine synthase, chloroplastic/chromoplastic	203.063
UniRef50_P47999: Cysteine synthase, chloroplastic/chromoplastic|unclassified	203.063
UniRef50_UPI0003732821: hypothetical protein	200.248
UniRef50_UPI0003732821: hypothetical protein|unclassified	200.248
UniRef50_UPI00037ACA67: hypothetical protein	199.316
UniRef50_UPI00037ACA67: hypothetical protein|unclassified	199.316
UniRef50_UPI00016C4CC1: sulfite reductase	197.273
UniRef50_UPI00016C4CC1: sulfite reductase|unclassified	197.273
UniRef50_F9KW03	191.721
UniRef50_F9KW03|unclassified	191.721
UniRef50_UPI000474DB83: hypothetical protein	191.587
UniRef50_UPI000474DB83: hypothetical protein|unclassified	191.587
UniRef50_UPI000289DBC8: MFS transporter	190.345
UniRef50_UPI000289DBC8: MFS transporter|unclassified	190.345
UniRef50_W2T8G3: Pyridoxal-phosphate dependent protein	188.739
UniRef50_W2T8G3: Pyridoxal-phosphate dependent protein|unclassified	188.739
UniRef50_W1U7M1: Sulfate permease family protein (Fragment)	188.542
UniRef50_W1U7M1: Sulfate permease family protein (Fragment)|unclassified	188.542
UniRef50_M5VZJ0	187.54
UniRef50_M5VZJ0|unclassified	187.54
UniRef50_Z5XBF8	185.265
UniRef50_Z5XBF8|unclassified	185.265
UniRef50_B5WCM7: Sulfate permease and related transporter (MFS superfamily)-like protein	184.735
UniRef50_B5WCM7: Sulfate permease and related transporter (MFS superfamily)-like protein|unclassified	184.735
UniRef50_Q8KA48: Cysteine synthase	184.639
UniRef50_Q8KA48: Cysteine synthase|unclassified	184.639
UniRef50_UPI00037C63D7: hypothetical protein	184.261
UniRef50_UPI00037C63D7: hypothetical protein|unclassified	184.261
UniRef50_D0N3C1: Cysteine synthase, putative	181.881
UniRef50_D0N3C1: Cysteine synthase, putative|unclassified	181.881
UniRef50_I5BRL1: Phosphoadenosine phosphosulfate reductase	181.446
UniRef50_I5BRL1: Phosphoadenosine phosphosulfate reductase|unclassified	181.446
UniRef50_UPI0003066F6E: hypothetical protein	180.356
UniRef50_UPI0003066F6E: hypothetical protein|unclassified	180.356
UniRef50_UPI00037E0178: hypothetical protein	180.247
UniRef50_UPI00037E0178: hypothetical protein|unclassified	180.247
UniRef50_C3BFZ1: Sulphate transporter	178.58
UniRef50_C3BFZ1: Sulphate transporter|unclassified	178.58
UniRef50_UPI000470976D: hypothetical protein, partial	177.493
UniRef50_UPI000470976D: hypothetical protein, partial|unclassified	177.493
UniRef50_UPI000288CD36: putative transporter, partial	174.824
UniRef50_UPI000288CD36: putative transporter, partial|unclassified	174.824
UniRef50_W9UNF4	172.287
UniRef50_W9UNF4|unclassified	172.287
UniRef50_UPI0003F529A8: sulfite reductase	171.501
UniRef50_UPI0003F529A8: sulfite reductase|unclassified	171.501
UniRef50_R7UAM8	168.541
UniRef50_R7UAM8|unclassified	168.541
UniRef50_Q92UV5: Fe(3+) ions import ATP-binding protein FbpC 2	166.67
UniRef50_Q92UV5: Fe(3+) ions import ATP-binding protein FbpC 2|unclassified	166.67
UniRef50_Q59966: Cysteine synthase, plasmid	166.48
UniRef50_Q59966: Cysteine synthase, plasmid|unclassified	166.48
UniRef50_K8CRK8	165.045
UniRef50_K8CRK8|unclassified	165.045
UniRef50_UPI000380C865: hypothetical protein	164.745
UniRef50_UPI000380C865: hypothetical protein|unclassified	164.745
UniRef50_UPI0002D8E5AE: cysteine synthase	164.62
UniRef50_UPI0002D8E5AE: cysteine synthase|unclassified	164.62
UniRef50_G8R2Z5: Cysteine synthase	163.632
UniRef50_G8R2Z5: Cysteine synthase|unclassified	163.632
UniRef50_L8EJV9: Pyridoxal-5'-phosphate-dependent protein subunit beta	161.23
UniRef50_L8EJV9: Pyridoxal-5'-phosphate-dependent protein subunit beta|unclassified	161.23
UniRef50_UPI0002D680E7: sulfite reductase subunit alpha	160.446
UniRef50_UPI0002D680E7: sulfite reductase subunit alpha|unclassified	160.446
UniRef50_D1A8C6: Pyridoxal-5'-phosphate-dependent protein beta subunit	158.956
UniRef50_D1A8C6: Pyridoxal-5'-phosphate-dependent protein beta subunit|unclassified	158.956
UniRef50_R5GU06: STAS domain protein	158.519
UniRef50_R5GU06: STAS domain protein|unclassified	158.519
UniRef50_UPI000368BEAB: hypothetical protein	158.467
UniRef50_UPI000368BEAB: hypothetical protein|unclassified	158.467
UniRef50_A0A011ND95: Cysteine synthase A	158.391
UniRef50_A0A011ND95: Cysteine synthase A|unclassified	158.391
UniRef50_UPI00036466FE: hypothetical protein	158.248
UniRef50_UPI00036466FE: hypothetical protein|unclassified	158.248
UniRef50_UPI00037ED303: hypothetical protein	157.843
UniRef50_UPI00037ED303: hypothetical protein|unclassified	157.843
UniRef50_B7TQG0: Putative mitochondrial cysteine synthase (Fragment)	157.808
UniRef50_B7TQG0: Putative mitochondrial cysteine synthase (Fragment)|unclassified	157.808
UniRef50_C4SP79: Sulfate transporter ychM	157.768
UniRef50_C4SP79: Sulfate transporter ychM|unclassified	157.768
UniRef50_X1NLS0: Marine sediment metagenome DNA, contig: S06H3_S04955 (Fragment)	156.633
UniRef50_X1NLS0: Marine sediment metagenome DNA, contig: S06H3_S04955 (Fragment)|unclassified	156.633
UniRef50_H5TPJ8: Putative cysteine synthase	155.235
UniRef50_H5TPJ8: Putative cysteine synthase|unclassified	155.235
UniRef50_UPI0000393839: COG3842: ABC-type spermidine/putrescine transport systems, ATPase components	154.325
UniRef50_UPI0000393839: COG3842: ABC-type spermidine/putrescine transport systems, ATPase components|unclassified	154.325
UniRef50_F4FMG8: Sulfite reductase flavoprotein alpha-component	152.383
UniRef50_F4FMG8: Sulfite reductase flavoprotein alpha-component|unclassified	152.383
UniRef50_UPI00047B2BDF: hypothetical protein	151.17
UniRef50_UPI00047B2BDF: hypothetical protein|unclassified	151.17
UniRef50_K5VMX0	151.019
UniRef50_K5VMX0|unclassified	151.019
UniRef50_UPI0004670D85: cysteine synthase	150.824
UniRef50_UPI0004670D85: cysteine synthase|unclassified	150.824
UniRef50_X1UR84: Marine sediment metagenome DNA, contig: S12H4_S20999 (Fragment)	150.382
UniRef50_X1UR84: Marine sediment metagenome DNA, contig: S12H4_S20999 (Fragment)|unclassified	150.382
UniRef50_W8YPI7	149.747
UniRef50_W8YPI7|unclassified	149.747
UniRef50_A3X2E5: Sulfate permease	149.091
UniRef50_A3X2E5: Sulfate permease|unclassified	149.091
UniRef50_UPI00047C8867: membrane protein	148.428
UniRef50_UPI00047C8867: membrane protein|unclassified	148.428
UniRef50_UPI0003B32903: adenylylsulfate kinase	148.354
UniRef50_UPI0003B32903: adenylylsulfate kinase|unclassified	148.354
UniRef50_A9G7W0: Probable bifunctional SAT/APS kinase 2	148.343
UniRef50_A9G7W0: Probable bifunctional SAT/APS kinase 2|unclassified	148.343
UniRef50_B7IEM0: Pyridoxal-5'-phosphate-dependent enzyme, beta subunit	148.011
UniRef50_B7IEM0: Pyridoxal-5'-phosphate-dependent enzyme, beta subunit|unclassified	148.011
UniRef50_UPI000369F380: hypothetical protein	147.84
UniRef50_UPI000369F380: hypothetical protein|unclassified	147.84
UniRef50_L8BB78: Sulfate transporter, CysZ-type	147.393
UniRef50_L8BB78: Sulfate transporter, CysZ-type|unclassified	147.393
UniRef50_U3PBN2: Cystathionine beta-synthase	146.682
UniRef50_U3PBN2: Cystathionine beta-synthase|unclassified	146.682
UniRef50_F2U6K3: Cysteine synthase	146.506
UniRef50_F2U6K3: Cysteine synthase|unclassified	146.506
UniRef50_UPI0002DA7A52: hypothetical protein	146.302
UniRef50_UPI0002DA7A52: hypothetical protein|unclassified	146.302
UniRef50_R6ANW8	146.259
UniRef50_R6ANW8|unclassified	146.259
UniRef50_UPI00036EEA83: hypothetical protein	145.949
UniRef50_UPI00036EEA83: hypothetical protein|unclassified	145.949
UniRef50_UPI00047C1194: hypothetical protein	145.591
UniRef50_UPI00047C1194: hypothetical protein|unclassified	145.591
UniRef50_UPI00036A1325: hypothetical protein	145.335
UniRef50_UPI00036A1325: hypothetical protein|unclassified	145.335
UniRef50_A7NS86	144.873
UniRef50_A7NS86|unclassified	144.873
UniRef50_D1PXH7: STAS domain protein	144.316
UniRef50_D1PXH7: STAS domain protein|unclassified	144.316
UniRef50_X1RNR8: Marine sediment metagenome DNA, contig: S12H4_L02272 (Fragment)	143.655
UniRef50_X1RNR8: Marine sediment metagenome DNA, contig: S12H4_L02272 (Fragment)|unclassified	143.655
UniRef50_G2NQN9: Pyridoxal-5'-phosphate-dependent protein beta subunit	143.552
UniRef50_G2NQN9: Pyridoxal-5'-phosphate-dependent protein beta subunit|unclassified	143.552
UniRef50_V4JNJ8	142.793
UniRef50_V4JNJ8|unclassified	142.793
UniRef50_W7QMV2	142.755
UniRef50_W7QMV2|unclassified	142.755
UniRef50_UPI000477BEB3: hypothetical protein, partial	142.466
UniRef50_UPI000477BEB3: hypothetical protein, partial|unclassified	142.466
UniRef50_H6R5G8: Cysteine synthase	142.407
UniRef50_H6R5G8: Cysteine synthase|unclassified	142.407
UniRef50_A0A011PI38: Putative sulfate transporterc	142.085
UniRef50_A0A011PI38: Putative sulfate transporterc|unclassified	142.085
UniRef50_Q7NWX3: Sulfate/thiosulfate import ATP-binding protein CysA 2	139.32
UniRef50_Q7NWX3: Sulfate/thiosulfate import ATP-binding protein CysA 2|unclassified	139.32
UniRef50_Q89DM6: Bll7413 protein	137.557
UniRef50_Q89DM6: Bll7413 protein|unclassified	137.557
UniRef50_W4I2V8: Pyridoxal-5'-phosphate-dependent protein subunit beta	137.357
UniRef50_W4I2V8: Pyridoxal-5'-phosphate-dependent protein subunit beta|unclassified	137.357
UniRef50_UPI0001FFF1B8: molybdopterin oxidoreductase, partial	137.2
UniRef50_UPI0001FFF1B8: molybdopterin oxidoreductase, partial|unclassified	137.2
UniRef50_UPI00047607DB: adenylylsulfate kinase	137.121
UniRef50_UPI00047607DB: adenylylsulfate kinase|unclassified	137.121
UniRef50_UPI00040C6168: FAD-binding protein	136.961
UniRef50_UPI00040C6168: FAD-binding protein|unclassified	136.961
UniRef50_UPI000467AF13: membrane protein, partial	135.558
UniRef50_UPI000467AF13: membrane protein, partial|unclassified	135.558
UniRef50_W7WSX5: Dicarboxylic acid uptake system A	135.464
UniRef50_W7WSX5: Dicarboxylic acid uptake system A|unclassified	135.464
UniRef50_C9N171	135.362
UniRef50_C9N171|unclassified	135.362
UniRef50_A0A011QL13: Cysteine synthase A	135.149
UniRef50_A0A011QL13: Cysteine synthase A|unclassified	135.149
UniRef50_M1X4A7: Sulfate permease	134.201
UniRef50_M1X4A7: Sulfate permease|unclassified	134.201
UniRef50_R5G7W3: Sulfate transporter	132.863
UniRef50_R5G7W3: Sulfate transporter|unclassified	132.863
UniRef50_UPI0003B774DF: hypothetical protein	131.943
UniRef50_UPI0003B774DF: hypothetical protein|unclassified	131.943
UniRef50_F3KCS8: Cysteine synthase	131.445
UniRef50_F3KCS8: Cysteine synthase|unclassified	131.445
UniRef50_P57162: Serine acetyltransferase	131.359
UniRef50_P57162: Serine acetyltransferase|unclassified	131.359
UniRef50_V7IX34: Pyridoxal-5'-phosphate-dependent protein subunit beta (Fragment)	131.011
UniRef50_V7IX34: Pyridoxal-5'-phosphate-dependent protein subunit beta (Fragment)|unclassified	131.011
UniRef50_UPI00047B8E24: ABC transporter ATP-binding protein	130.357
UniRef50_UPI00047B8E24: ABC transporter ATP-binding protein|unclassified	130.357
UniRef50_UPI0002E69439: hypothetical protein	129.927
UniRef50_UPI0002E69439: hypothetical protein|unclassified	129.927
UniRef50_U6NR59: Pyridoxal phosphate-dependent enzyme domain containing protein	129.332
UniRef50_U6NR59: Pyridoxal phosphate-dependent enzyme domain containing protein|unclassified	129.332
UniRef50_A0A011PCB6	128.534
UniRef50_A0A011PCB6|unclassified	128.534
UniRef50_UPI00036E74BD: hypothetical protein	128.102
UniRef50_UPI00036E74BD: hypothetical protein|unclassified	128.102
UniRef50_UPI00035C83ED: MULTISPECIES: hypothetical protein	127.493
UniRef50_UPI00035C83ED: MULTISPECIES: hypothetical protein|unclassified	127.493
UniRef50_UPI0003708F88: hypothetical protein	126.958
UniRef50_UPI0003708F88: hypothetical protein|unclassified	126.958
UniRef50_UPI0002EE8679: hypothetical protein	126.957
UniRef50_UPI0002EE8679: hypothetical protein|unclassified	126.957
UniRef50_A0A011MEN7	126.647
UniRef50_A0A011MEN7|unclassified	126.647
UniRef50_Q9YCR6: Probable adenylyl-sulfate kinase	126.314
UniRef50_Q9YCR6: Probable adenylyl-sulfate kinase|unclassified	126.314
UniRef50_A7HK96: Pyridoxal-5'-phosphate-dependent protein beta subunit	125.752
UniRef50_A7HK96: Pyridoxal-5'-phosphate-dependent protein beta subunit|unclassified	125.752
UniRef50_UPI00017463C5: sulfite reductase flavoprotein subunit	125.379
UniRef50_UPI00017463C5: sulfite reductase flavoprotein subunit|unclassified	125.379
UniRef50_K1U485: Na+/sulfate symporter (Fragment)	125.129
UniRef50_K1U485: Na+/sulfate symporter (Fragment)|unclassified	125.129
UniRef50_P71405: Serine acetyltransferase	124.283
UniRef50_P71405: Serine acetyltransferase|unclassified	124.283
UniRef50_K4RBM2: Pyridoxal-5'-phosphate-dependent protein beta subunit	123.938
UniRef50_K4RBM2: Pyridoxal-5'-phosphate-dependent protein beta subunit|unclassified	123.938
UniRef50_X0VMJ7: Marine sediment metagenome DNA, contig: S01H1_S07664 (Fragment)	122.841
UniRef50_X0VMJ7: Marine sediment metagenome DNA, contig: S01H1_S07664 (Fragment)|unclassified	122.841
UniRef50_X8FLE9: Pyridoxal-phosphate dependent enzyme family protein	121.71
UniRef50_X8FLE9: Pyridoxal-phosphate dependent enzyme family protein|unclassified	121.71
UniRef50_UPI00037E3516: hypothetical protein	121.683
UniRef50_UPI00037E3516: hypothetical protein|unclassified	121.683
UniRef50_M1WQS7: Sulfate permease	120.18
UniRef50_M1WQS7: Sulfate permease|unclassified	120.18
UniRef50_UPI00047710D5: phosphoadenosine phosphosulfate reductase	118.988
UniRef50_UPI00047710D5: phosphoadenosine phosphosulfate reductase|unclassified	118.988
UniRef50_A1UG51: Spermidine/putrescine import ATP-binding protein PotA	118.719
UniRef50_A1UG51: Spermidine/putrescine import ATP-binding protein PotA|unclassified	118.719
UniRef50_F6CV80	118.495
UniRef50_F6CV80|unclassified	118.495
UniRef50_P74089: Serine acetyltransferase	118.298
UniRef50_P74089: Serine acetyltransferase|unclassified	118.298
UniRef50_Y8CBT5	117.674
UniRef50_Y8CBT5|unclassified	117.674
UniRef50_UPI000361022B: hypothetical protein	117.296
UniRef50_UPI000361022B: hypothetical protein|unclassified	117.296
UniRef50_G0J3X6: Pyridoxal-5'-phosphate-dependent protein beta subunit	116.856
UniRef50_G0J3X6: Pyridoxal-5'-phosphate-dependent protein beta subunit|unclassified	116.856
UniRef50_W0YBN4	116.831
UniRef50_W0YBN4|unclassified	116.831
UniRef50_P66876: Cystathionine gamma-synthase	115.756
UniRef50_P66876: Cystathionine gamma-synthase|unclassified	115.756
UniRef50_D9PFR7	115.441
UniRef50_D9PFR7|unclassified	115.441
UniRef50_UPI000468A625: ABC transporter ATP-binding protein	114.935
UniRef50_UPI000468A625: ABC transporter ATP-binding protein|unclassified	114.935
UniRef50_Q2J3X5: PepSY-associated TM helix	114.863
UniRef50_Q2J3X5: PepSY-associated TM helix|unclassified	114.863
UniRef50_Q56002: Serine acetyltransferase	111.939
UniRef50_Q56002: Serine acetyltransferase|unclassified	111.939
UniRef50_UPI000471CE1E: hypothetical protein	111.563
UniRef50_UPI000471CE1E: hypothetical protein|unclassified	111.563
UniRef50_I9KEB8: Cysteine synthase	111.493
UniRef50_I9KEB8: Cysteine synthase|unclassified	111.493
UniRef50_V7J5J7: Pyridoxal-5'-phosphate-dependent protein subunit beta (Fragment)	110.756
UniRef50_V7J5J7: Pyridoxal-5'-phosphate-dependent protein subunit beta (Fragment)|unclassified	110.756
UniRef50_UPI00036EE928: hypothetical protein	110.654
UniRef50_UPI00036EE928: hypothetical protein|unclassified	110.654
UniRef50_UPI0004636051: hypothetical protein	109.759
UniRef50_UPI0004636051: hypothetical protein|unclassified	109.759
UniRef50_UPI0004743B0B: hypothetical protein	109.665
UniRef50_UPI0004743B0B: hypothetical protein|unclassified	109.665
UniRef50_Q8G564: Cystathionine beta-synthase	109.449
UniRef50_Q8G564: Cystathionine beta-synthase|unclassified	109.449
UniRef50_P46794: Cystathionine beta-synthase	108.88
UniRef50_P46794: Cystathionine beta-synthase|unclassified	108.88
UniRef50_W7QIW2: Sulfate transport protein CysZ	108.604
UniRef50_W7QIW2: Sulfate transport protein CysZ|unclassified	108.604
UniRef50_B8H9Q5: Pyridoxal-5'-phosphate-dependent protein beta subunit	108.291
UniRef50_B8H9Q5: Pyridoxal-5'-phosphate-dependent protein beta subunit|unclassified	108.291
UniRef50_UPI000380EC47: hypothetical protein	107.963
UniRef50_UPI000380EC47: hypothetical protein|unclassified	107.963
UniRef50_P56858: Probable adenylyl-sulfate kinase	107.428
UniRef50_P56858: Probable adenylyl-sulfate kinase|unclassified	107.428
UniRef50_UPI00047B0569: hypothetical protein	107.41
UniRef50_UPI00047B0569: hypothetical protein|unclassified	107.41
UniRef50_Q54CN7: Cysteine synthase	106.959
UniRef50_Q54CN7: Cysteine synthase|unclassified	106.959
UniRef50_P0A4K2: Cystathionine beta-lyase	106.913
UniRef50_P0A4K2: Cystathionine beta-lyase|unclassified	106.913
UniRef50_UPI00035EE397: hypothetical protein	106.771
UniRef50_UPI00035EE397: hypothetical protein|unclassified	106.771
UniRef50_UPI00047769FC: sulfate transporter	106.705
UniRef50_UPI00047769FC: sulfate transporter|unclassified	106.705
UniRef50_I3TWX0: Cystathionine beta-synthase	106.536
UniRef50_I3TWX0: Cystathionine beta-synthase|unclassified	106.536
UniRef50_G5RYJ1: Cysteine synthase	106.456
UniRef50_G5RYJ1: Cysteine synthase|unclassified	106.456
UniRef50_UPI00037323C4: hypothetical protein	105.647
UniRef50_UPI00037323C4: hypothetical protein|unclassified	105.647
UniRef50_UPI00034BF59A: hypothetical protein	105.621
UniRef50_UPI00034BF59A: hypothetical protein|unclassified	105.621
UniRef50_S7HM18: Cysteine synthase	105.441
