# Gene Family	SamplecAMP_signaling_in_bacteria_Abundance-CPM
UniRef50_Q09B32: Proteoliaisin, putative	42.2482
UniRef50_Q09B32: Proteoliaisin, putative|unclassified	42.2482
UniRef50_UPI0001C37AC8: cell wall endopeptidase	42.1529
UniRef50_UPI0001C37AC8: cell wall endopeptidase|unclassified	42.1529
UniRef50_UPI00036B01D4: hypothetical protein	42.0943
UniRef50_UPI00036B01D4: hypothetical protein|unclassified	42.0943
UniRef50_UPI000368C93E: hypothetical protein	42.0846
UniRef50_UPI000368C93E: hypothetical protein|unclassified	42.0846
UniRef50_J3CEQ8: Metalloendopeptidase-like membrane protein	42.0515
UniRef50_J3CEQ8: Metalloendopeptidase-like membrane protein|unclassified	42.0515
UniRef50_UPI000471A0A5: hypothetical protein	42.0146
UniRef50_UPI000471A0A5: hypothetical protein|unclassified	42.0146
UniRef50_UPI00035E5A99: hypothetical protein, partial	41.9744
UniRef50_UPI00035E5A99: hypothetical protein, partial|unclassified	41.9744
UniRef50_W4S6A5: M23 peptidase	41.9658
UniRef50_W4S6A5: M23 peptidase|unclassified	41.9658
UniRef50_F0E612: Diguanylate cyclase (Fragment)	41.9435
UniRef50_F0E612: Diguanylate cyclase (Fragment)|unclassified	41.9435
UniRef50_G4RFJ4: Adenylate cyclase	41.9364
UniRef50_G4RFJ4: Adenylate cyclase|unclassified	41.9364
UniRef50_A8ZU10: Peptidase M23B	41.8843
UniRef50_A8ZU10: Peptidase M23B|unclassified	41.8843
UniRef50_G8NX41	41.8779
UniRef50_G8NX41|unclassified	41.8779
UniRef50_UPI0004677581: diguanylate cyclase, partial	41.875
UniRef50_UPI0004677581: diguanylate cyclase, partial|unclassified	41.875
UniRef50_UPI00034A51D3: ArsR family transcriptional regulator	41.7527
UniRef50_UPI00034A51D3: ArsR family transcriptional regulator|unclassified	41.7527
UniRef50_A7C4M9: Peptidase M23B	41.7327
UniRef50_A7C4M9: Peptidase M23B|unclassified	41.7327
UniRef50_UPI000478F5FB: molecular chaperone TorD	41.6808
UniRef50_UPI000478F5FB: molecular chaperone TorD|unclassified	41.6808
UniRef50_A0A023DJM3	41.6547
UniRef50_A0A023DJM3|unclassified	41.6547
UniRef50_B1X1Y6: RfrA family pentapeptide repeat	41.5757
UniRef50_B1X1Y6: RfrA family pentapeptide repeat|unclassified	41.5757
UniRef50_F7QN15: Metalloendopeptidase-like protein	41.5527
UniRef50_F7QN15: Metalloendopeptidase-like protein|unclassified	41.5527
UniRef50_B8DJU5: Adenylate cyclase	41.5455
UniRef50_B8DJU5: Adenylate cyclase|unclassified	41.5455
UniRef50_UPI000381DCDC: hypothetical protein	41.5294
UniRef50_UPI000381DCDC: hypothetical protein|unclassified	41.5294
UniRef50_UPI0003735A51: hypothetical protein, partial	41.5251
UniRef50_UPI0003735A51: hypothetical protein, partial|unclassified	41.5251
UniRef50_K2JBC0: Peptidase M23B	41.516
UniRef50_K2JBC0: Peptidase M23B|unclassified	41.516
UniRef50_UPI0003645985: hypothetical protein	41.4865
UniRef50_UPI0003645985: hypothetical protein|unclassified	41.4865
UniRef50_UPI0003632241: hypothetical protein	41.4359
UniRef50_UPI0003632241: hypothetical protein|unclassified	41.4359
UniRef50_UPI0003B62B4D: ArsR family transcriptional regulator	41.4337
UniRef50_UPI0003B62B4D: ArsR family transcriptional regulator|unclassified	41.4337
UniRef50_Q2FU66	41.401
UniRef50_Q2FU66|unclassified	41.401
UniRef50_H0P477	41.3231
UniRef50_H0P477|unclassified	41.3231
UniRef50_UPI0003716207: hypothetical protein	41.3045
UniRef50_UPI0003716207: hypothetical protein|unclassified	41.3045
UniRef50_E4B0V0	41.2278
UniRef50_E4B0V0|unclassified	41.2278
UniRef50_G8NZ68	41.2102
UniRef50_G8NZ68|unclassified	41.2102
UniRef50_K9SD53: Peptidase M23	41.1792
UniRef50_K9SD53: Peptidase M23|unclassified	41.1792
UniRef50_UPI0002E4BBC7: hypothetical protein	41.0873
UniRef50_UPI0002E4BBC7: hypothetical protein|unclassified	41.0873
UniRef50_Q8THN5: Transcriptional regulator, ArsR family	40.9756
UniRef50_Q8THN5: Transcriptional regulator, ArsR family|unclassified	40.9756
UniRef50_U7JUM9	40.9664
UniRef50_U7JUM9|unclassified	40.9664
UniRef50_M4VB35: Cell wall-binding protein associated metalloendopeptidase	40.9046
UniRef50_M4VB35: Cell wall-binding protein associated metalloendopeptidase|unclassified	40.9046
UniRef50_UPI00035DAB35: hypothetical protein	40.8523
UniRef50_UPI00035DAB35: hypothetical protein|unclassified	40.8523
UniRef50_D4TY60: Peptidase, M23 family	40.8265
UniRef50_D4TY60: Peptidase, M23 family|unclassified	40.8265
UniRef50_UPI0003F69977: hypothetical protein	40.8089
UniRef50_UPI0003F69977: hypothetical protein|unclassified	40.8089
UniRef50_UPI0002FAB5C7: hypothetical protein	40.784
UniRef50_UPI0002FAB5C7: hypothetical protein|unclassified	40.784
UniRef50_UPI0004755257: hypothetical protein	40.5744
UniRef50_UPI0004755257: hypothetical protein|unclassified	40.5744
UniRef50_K6VIL0	40.5542
UniRef50_K6VIL0|unclassified	40.5542
UniRef50_UPI0004777AFF: hypothetical protein	40.3661
UniRef50_UPI0004777AFF: hypothetical protein|unclassified	40.3661
UniRef50_K4L3E6: M23 peptidase domain-containing protein	40.3457
UniRef50_K4L3E6: M23 peptidase domain-containing protein|unclassified	40.3457
UniRef50_G6FUU1: Tetratricopeptide TPR_1 repeat-containing protein	40.3446
UniRef50_G6FUU1: Tetratricopeptide TPR_1 repeat-containing protein|unclassified	40.3446
UniRef50_UPI0003808EDB: hypothetical protein	40.3233
UniRef50_UPI0003808EDB: hypothetical protein|unclassified	40.3233
UniRef50_G0CUR5	40.3083
UniRef50_G0CUR5|unclassified	40.3083
UniRef50_UPI00037BCE04: hypothetical protein	40.2393
UniRef50_UPI00037BCE04: hypothetical protein|unclassified	40.2393
UniRef50_E3J016: Peptidase M23	40.1557
UniRef50_E3J016: Peptidase M23|unclassified	40.1557
UniRef50_X0TD30: Marine sediment metagenome DNA, contig: S01H1_S00722 (Fragment)	40.139
UniRef50_X0TD30: Marine sediment metagenome DNA, contig: S01H1_S00722 (Fragment)|unclassified	40.139
UniRef50_K8M771	40.0479
UniRef50_K8M771|unclassified	40.0479
UniRef50_F3XNK4	40.024
UniRef50_F3XNK4|unclassified	40.024
UniRef50_UPI00036CC112: hypothetical protein	40.0121
UniRef50_UPI00036CC112: hypothetical protein|unclassified	40.0121
UniRef50_E8N914: FOG: FHA domain	39.9672
UniRef50_E8N914: FOG: FHA domain|unclassified	39.9672
UniRef50_A0A023S2E8: Peptidase M23	39.9462
UniRef50_A0A023S2E8: Peptidase M23|unclassified	39.9462
UniRef50_Q0AB17: Peptidase M23B	39.8972
UniRef50_Q0AB17: Peptidase M23B|unclassified	39.8972
UniRef50_UPI00037ED7AB: hypothetical protein	39.8682
UniRef50_UPI00037ED7AB: hypothetical protein|unclassified	39.8682
UniRef50_UPI000478FF8B: hypothetical protein	39.8202
UniRef50_UPI000478FF8B: hypothetical protein|unclassified	39.8202
UniRef50_B7JX22	39.8032
UniRef50_B7JX22|unclassified	39.8032
UniRef50_W0IYV4: Peptidase M23	39.7342
UniRef50_W0IYV4: Peptidase M23|unclassified	39.7342
UniRef50_UPI0004777667: SAM-dependent methlyltransferase	39.7194
UniRef50_UPI0004777667: SAM-dependent methlyltransferase|unclassified	39.7194
UniRef50_D5EBV8	39.696
UniRef50_D5EBV8|unclassified	39.696
UniRef50_E1YHG2	39.6943
UniRef50_E1YHG2|unclassified	39.6943
UniRef50_A0YR04	39.6164
UniRef50_A0YR04|unclassified	39.6164
UniRef50_UPI000374EA1D: hypothetical protein	39.5869
UniRef50_UPI000374EA1D: hypothetical protein|unclassified	39.5869
UniRef50_UPI000418080D: MULTISPECIES: hypothetical protein	39.567
UniRef50_UPI000418080D: MULTISPECIES: hypothetical protein|unclassified	39.567
UniRef50_X7UGZ8	39.5543
UniRef50_X7UGZ8|unclassified	39.5543
UniRef50_UPI00046EC7A6: hypothetical protein	39.4915
UniRef50_UPI00046EC7A6: hypothetical protein|unclassified	39.4915
UniRef50_UPI0003796C88: hypothetical protein	39.4533
UniRef50_UPI0003796C88: hypothetical protein|unclassified	39.4533
UniRef50_A0A011AAH6: FHA domain-containing protein	39.4381
UniRef50_A0A011AAH6: FHA domain-containing protein|unclassified	39.4381
UniRef50_D6Z8Y9: Peptidase M23	39.4367
UniRef50_D6Z8Y9: Peptidase M23|unclassified	39.4367
UniRef50_Q0VSN5: Peptidase, M23/M37 family	39.3016
UniRef50_Q0VSN5: Peptidase, M23/M37 family|unclassified	39.3016
UniRef50_UPI000361D723: hypothetical protein	39.2534
UniRef50_UPI000361D723: hypothetical protein|unclassified	39.2534
UniRef50_R2NJA7: Phage minor structural protein	39.2169
UniRef50_R2NJA7: Phage minor structural protein|unclassified	39.2169
UniRef50_I8I544: M23 peptidase domain protein	39.2111
UniRef50_I8I544: M23 peptidase domain protein|unclassified	39.2111
UniRef50_UPI000369C16E: hypothetical protein	39.1911
UniRef50_UPI000369C16E: hypothetical protein|unclassified	39.1911
UniRef50_D7AAF2: Diguanylate cyclase	39.1711
UniRef50_D7AAF2: Diguanylate cyclase|unclassified	39.1711
UniRef50_A7TB41: Predicted protein (Fragment)	39.167
UniRef50_A7TB41: Predicted protein (Fragment)|unclassified	39.167
UniRef50_D9TNJ3: Peptidase M23	39.1458
UniRef50_D9TNJ3: Peptidase M23|unclassified	39.1458
UniRef50_UPI000361E24C: hypothetical protein	39.1116
UniRef50_UPI000361E24C: hypothetical protein|unclassified	39.1116
UniRef50_F1YIB8: Peptidase M23	39.1041
UniRef50_F1YIB8: Peptidase M23|unclassified	39.1041
UniRef50_E8N3D4	38.9925
UniRef50_E8N3D4|unclassified	38.9925
UniRef50_I4Z2Q4: Putative integral membrane protein	38.9587
UniRef50_I4Z2Q4: Putative integral membrane protein|unclassified	38.9587
UniRef50_B4VRD4	38.9294
UniRef50_B4VRD4|unclassified	38.9294
UniRef50_UPI00036FCC44: hypothetical protein	38.8743
UniRef50_UPI00036FCC44: hypothetical protein|unclassified	38.8743
UniRef50_H0HY85	38.8562
UniRef50_H0HY85|unclassified	38.8562
UniRef50_A0A011PJN7	38.8359
UniRef50_A0A011PJN7|unclassified	38.8359
UniRef50_B8HFN4: Peptidase M23	38.8059
UniRef50_B8HFN4: Peptidase M23|unclassified	38.8059
UniRef50_A0A011S169	38.8017
UniRef50_A0A011S169|unclassified	38.8017
UniRef50_UPI0003A95632: hypothetical protein	38.7776
UniRef50_UPI0003A95632: hypothetical protein|unclassified	38.7776
UniRef50_UPI00036B1BF9: hypothetical protein, partial	38.755
UniRef50_UPI00036B1BF9: hypothetical protein, partial|unclassified	38.755
UniRef50_UPI0004193900: hypothetical protein	38.6713
UniRef50_UPI0004193900: hypothetical protein|unclassified	38.6713
UniRef50_V7EUP0	38.6614
UniRef50_V7EUP0|unclassified	38.6614
UniRef50_M7AD13	38.653
UniRef50_M7AD13|unclassified	38.653
UniRef50_Q1ART8	38.6413
UniRef50_Q1ART8|unclassified	38.6413
UniRef50_UPI0004626918: hypothetical protein	38.5929
UniRef50_UPI0004626918: hypothetical protein|unclassified	38.5929
UniRef50_W6RHI7	38.5671
UniRef50_W6RHI7|unclassified	38.5671
UniRef50_B4VN51	38.5656
UniRef50_B4VN51|unclassified	38.5656
UniRef50_UPI0004643DED: SAM-dependent methlyltransferase	38.4983
UniRef50_UPI0004643DED: SAM-dependent methlyltransferase|unclassified	38.4983
UniRef50_UPI0002E33623: hypothetical protein	38.489
UniRef50_UPI0002E33623: hypothetical protein|unclassified	38.489
UniRef50_B0K426: Peptidase M23B	38.4804
UniRef50_B0K426: Peptidase M23B|unclassified	38.4804
UniRef50_Q2S8Y8: Membrane protein related to metalloendopeptidase	38.4749
UniRef50_Q2S8Y8: Membrane protein related to metalloendopeptidase|unclassified	38.4749
UniRef50_A0LQU0: FHA domain containing protein	38.4565
UniRef50_A0LQU0: FHA domain containing protein|unclassified	38.4565
UniRef50_Q1BVH1: Tetratricopeptide TPR_4	38.4203
UniRef50_Q1BVH1: Tetratricopeptide TPR_4|unclassified	38.4203
UniRef50_D1VUF3: Putative adenylyl cyclase CyaB	38.4067
UniRef50_D1VUF3: Putative adenylyl cyclase CyaB|unclassified	38.4067
UniRef50_UPI0003623458: hypothetical protein	38.3919
UniRef50_UPI0003623458: hypothetical protein|unclassified	38.3919
UniRef50_UPI0004766FAA: histidine kinase	38.3897
UniRef50_UPI0004766FAA: histidine kinase|unclassified	38.3897
UniRef50_F2LDH7: Peptidase, M23/M37 family protein	38.3184
UniRef50_F2LDH7: Peptidase, M23/M37 family protein|unclassified	38.3184
UniRef50_K6EPM4: PAS/PAC sensor protein	38.31
UniRef50_K6EPM4: PAS/PAC sensor protein|unclassified	38.31
UniRef50_UPI00036DF6A2: hypothetical protein	38.2892
UniRef50_UPI00036DF6A2: hypothetical protein|unclassified	38.2892
UniRef50_Q7MSN8	38.2672
UniRef50_Q7MSN8|unclassified	38.2672
UniRef50_D7GEL7	38.2611
UniRef50_D7GEL7|unclassified	38.2611
UniRef50_B2AGX0: Putative diguanylate cyclase (GGDEF domain)	38.2488
UniRef50_B2AGX0: Putative diguanylate cyclase (GGDEF domain)|unclassified	38.2488
UniRef50_UPI0003A3D12D: hypothetical protein	38.2315
UniRef50_UPI0003A3D12D: hypothetical protein|unclassified	38.2315
UniRef50_X1L2X5: Marine sediment metagenome DNA, contig: S03H2_S22404 (Fragment)	38.1522
UniRef50_X1L2X5: Marine sediment metagenome DNA, contig: S03H2_S22404 (Fragment)|unclassified	38.1522
UniRef50_UPI000289E145: hypothetical protein	38.1023
UniRef50_UPI000289E145: hypothetical protein|unclassified	38.1023
UniRef50_B8HYT2	38.0661
UniRef50_B8HYT2|unclassified	38.0661
UniRef50_K1WGB5: Adenylate cyclase	38.0477
UniRef50_K1WGB5: Adenylate cyclase|unclassified	38.0477
UniRef50_UPI00030644D4: hypothetical protein	38.0158
UniRef50_UPI00030644D4: hypothetical protein|unclassified	38.0158
UniRef50_W0TPL4: Peptidase M23/M37 family protein	38.0093
UniRef50_W0TPL4: Peptidase M23/M37 family protein|unclassified	38.0093
UniRef50_Q1GX71: Peptidase M23B	38.0034
UniRef50_Q1GX71: Peptidase M23B|unclassified	38.0034
UniRef50_F6IFC7: Membrane protein	37.9659
UniRef50_F6IFC7: Membrane protein|unclassified	37.9659
UniRef50_A0A034T851: 3',5'-cyclic-nucleotide phosphodiesterase	37.9586
UniRef50_A0A034T851: 3',5'-cyclic-nucleotide phosphodiesterase|unclassified	37.9586
UniRef50_K2BDN2	37.9022
UniRef50_K2BDN2|unclassified	37.9022
UniRef50_W4LTI9	37.873
UniRef50_W4LTI9|unclassified	37.873
UniRef50_UPI000368955D: hypothetical protein	37.8725
UniRef50_UPI000368955D: hypothetical protein|unclassified	37.8725
UniRef50_UPI00040364C0: peptidase C39	37.8417
UniRef50_UPI00040364C0: peptidase C39|unclassified	37.8417
UniRef50_J2JQC0	37.8324
UniRef50_J2JQC0|unclassified	37.8324
UniRef50_F3FXE5: Insecticidal toxin protein (Fragment)	37.8067
UniRef50_F3FXE5: Insecticidal toxin protein (Fragment)|unclassified	37.8067
UniRef50_A6GST8	37.803
UniRef50_A6GST8|unclassified	37.803
UniRef50_D8FWX0	37.7394
UniRef50_D8FWX0|unclassified	37.7394
UniRef50_S7W4H4: Membrane protein	37.7146
UniRef50_S7W4H4: Membrane protein|unclassified	37.7146
UniRef50_I4AEF6: Membrane-bound metallopeptidase	37.672
UniRef50_I4AEF6: Membrane-bound metallopeptidase|unclassified	37.672
UniRef50_X1HCQ4: Marine sediment metagenome DNA, contig: S03H2_L10350 (Fragment)	37.6393
UniRef50_X1HCQ4: Marine sediment metagenome DNA, contig: S03H2_L10350 (Fragment)|unclassified	37.6393
UniRef50_C8X3R5: Peptidase M23	37.6321
UniRef50_C8X3R5: Peptidase M23|unclassified	37.6321
UniRef50_UPI0003B45D5E: ArsR family transcriptional regulator	37.6249
UniRef50_UPI0003B45D5E: ArsR family transcriptional regulator|unclassified	37.6249
UniRef50_H1RPG8: CHAD domain containing protein	37.6168
UniRef50_H1RPG8: CHAD domain containing protein|unclassified	37.6168
UniRef50_K9WU49: FHA domain-containing protein	37.5515
UniRef50_K9WU49: FHA domain-containing protein|unclassified	37.5515
UniRef50_W4MBX2	37.5296
UniRef50_W4MBX2|unclassified	37.5296
UniRef50_Q2J708: Peptidase M23B	37.4776
UniRef50_Q2J708: Peptidase M23B|unclassified	37.4776
UniRef50_UPI00035E50CC: hypothetical protein	37.4744
UniRef50_UPI00035E50CC: hypothetical protein|unclassified	37.4744
UniRef50_UPI0003A5BADB: hypothetical protein	37.4714
UniRef50_UPI0003A5BADB: hypothetical protein|unclassified	37.4714
UniRef50_UPI00036AD151: hypothetical protein	37.4564
UniRef50_UPI00036AD151: hypothetical protein|unclassified	37.4564
UniRef50_UPI0002D94271: hypothetical protein	37.4314
UniRef50_UPI0002D94271: hypothetical protein|unclassified	37.4314
UniRef50_L0HGA7	37.4057
UniRef50_L0HGA7|unclassified	37.4057
UniRef50_K9VQM8: Diguanylate cyclase/phosphodiesterase with Chase sensor	37.3161
UniRef50_K9VQM8: Diguanylate cyclase/phosphodiesterase with Chase sensor|unclassified	37.3161
UniRef50_UPI0002DC98E9: hypothetical protein	37.1851
UniRef50_UPI0002DC98E9: hypothetical protein|unclassified	37.1851
UniRef50_F7YHG6: Peptidase M23	37.1531
UniRef50_F7YHG6: Peptidase M23|unclassified	37.1531
UniRef50_B4WG09: Conserved domain protein	37.1468
UniRef50_B4WG09: Conserved domain protein|unclassified	37.1468
UniRef50_UPI00046921AF: hypothetical protein	37.1366
UniRef50_UPI00046921AF: hypothetical protein|unclassified	37.1366
UniRef50_R0DCQ9: Putative insecticidal toxin complex	37.1291
UniRef50_R0DCQ9: Putative insecticidal toxin complex|unclassified	37.1291
UniRef50_K9QNF5: Transcriptional regulator containing GAF, AAA-type ATPase, and DNA binding domains	37.1003
UniRef50_K9QNF5: Transcriptional regulator containing GAF, AAA-type ATPase, and DNA binding domains|unclassified	37.1003
UniRef50_UPI00037A3165: hypothetical protein	37.0895
UniRef50_UPI00037A3165: hypothetical protein|unclassified	37.0895
UniRef50_Q4CAF1: TPR repeat:Sel1-like repeat:Sel1-like repeat	37.0655
UniRef50_Q4CAF1: TPR repeat:Sel1-like repeat:Sel1-like repeat|unclassified	37.0655
UniRef50_C4WTZ4: ACYPI008695 protein	37.0334
UniRef50_C4WTZ4: ACYPI008695 protein|unclassified	37.0334
UniRef50_W1W2W5: Peptidase, M23 family (Fragment)	36.9404
UniRef50_W1W2W5: Peptidase, M23 family (Fragment)|unclassified	36.9404
UniRef50_D3E613: Transcriptional regulator, ArsR family	36.8899
UniRef50_D3E613: Transcriptional regulator, ArsR family|unclassified	36.8899
UniRef50_V8QWY3: Adenylate cyclase	36.8807
UniRef50_V8QWY3: Adenylate cyclase|unclassified	36.8807
UniRef50_UPI0003B7495B: hypothetical protein	36.8378
UniRef50_UPI0003B7495B: hypothetical protein|unclassified	36.8378
UniRef50_B7H8W1	36.7923
UniRef50_B7H8W1|unclassified	36.7923
UniRef50_E0UFK3	36.7768
UniRef50_E0UFK3|unclassified	36.7768
UniRef50_UPI000465454F: hypothetical protein	36.7386
UniRef50_UPI000465454F: hypothetical protein|unclassified	36.7386
UniRef50_S4MZV5	36.6878
UniRef50_S4MZV5|unclassified	36.6878
UniRef50_A7BLN5: Adenylate cyclase	36.6495
UniRef50_A7BLN5: Adenylate cyclase|unclassified	36.6495
UniRef50_UPI000362B6B2: hypothetical protein	36.646
UniRef50_UPI000362B6B2: hypothetical protein|unclassified	36.646
UniRef50_K0CI32: M23 peptidase domain protein	36.6229
UniRef50_K0CI32: M23 peptidase domain protein|unclassified	36.6229
UniRef50_B2GKT7	36.6139
UniRef50_B2GKT7|unclassified	36.6139
UniRef50_T0J406	36.5744
UniRef50_T0J406|unclassified	36.5744
UniRef50_UPI00040E44F9: hypothetical protein	36.4685
UniRef50_UPI00040E44F9: hypothetical protein|unclassified	36.4685
UniRef50_D1C6A5: Peptidase M23	36.455
UniRef50_D1C6A5: Peptidase M23|unclassified	36.455
UniRef50_UPI000379CBDF: hypothetical protein	36.4532
UniRef50_UPI000379CBDF: hypothetical protein|unclassified	36.4532
UniRef50_A4FH17	36.4466
UniRef50_A4FH17|unclassified	36.4466
UniRef50_Q8DLL2: Tlr0474 protein	36.4151
UniRef50_Q8DLL2: Tlr0474 protein|unclassified	36.4151
UniRef50_UPI00037BCCFB: hypothetical protein	36.3806
UniRef50_UPI00037BCCFB: hypothetical protein|unclassified	36.3806
UniRef50_UPI0003F80B9A: hypothetical protein	36.3779
UniRef50_UPI0003F80B9A: hypothetical protein|unclassified	36.3779
UniRef50_UPI00047630B7: hypothetical protein, partial	36.342
UniRef50_UPI00047630B7: hypothetical protein, partial|unclassified	36.342
UniRef50_UPI00047688EF: hypothetical protein	36.2965
UniRef50_UPI00047688EF: hypothetical protein|unclassified	36.2965
UniRef50_UPI000375FF1E: hypothetical protein	36.182
UniRef50_UPI000375FF1E: hypothetical protein|unclassified	36.182
UniRef50_K9Q8B1: CHASE2 domain protein	36.1711
UniRef50_K9Q8B1: CHASE2 domain protein|unclassified	36.1711
UniRef50_UPI00035D0BBD: hypothetical protein	36.1551
UniRef50_UPI00035D0BBD: hypothetical protein|unclassified	36.1551
UniRef50_B4VJF7: Conserved domain protein	36.0889
UniRef50_B4VJF7: Conserved domain protein|unclassified	36.0889
UniRef50_K9VPH3: CHAD domain containing protein	35.9762
UniRef50_K9VPH3: CHAD domain containing protein|unclassified	35.9762
UniRef50_UPI00046381C7: hypothetical protein	35.972
UniRef50_UPI00046381C7: hypothetical protein|unclassified	35.972
UniRef50_I9W2H9	35.8779
UniRef50_I9W2H9|unclassified	35.8779
UniRef50_UPI00037AB039: hypothetical protein	35.8716
UniRef50_UPI00037AB039: hypothetical protein|unclassified	35.8716
UniRef50_B4VR71	35.8154
UniRef50_B4VR71|unclassified	35.8154
UniRef50_F4HDJ0: CYTH domain protein	35.7994
UniRef50_F4HDJ0: CYTH domain protein|unclassified	35.7994
UniRef50_M6GET8: 7TM diverse intracellular signaling domain protein	35.779
UniRef50_M6GET8: 7TM diverse intracellular signaling domain protein|unclassified	35.779
UniRef50_UPI00046704D1: ArsR family transcriptional regulator	35.7272
UniRef50_UPI00046704D1: ArsR family transcriptional regulator|unclassified	35.7272
UniRef50_B0RHV9: Putative secreted peptidase	35.7054
UniRef50_B0RHV9: Putative secreted peptidase|unclassified	35.7054
UniRef50_W0VBJ0: CYTH domain protein	35.6762
UniRef50_W0VBJ0: CYTH domain protein|unclassified	35.6762
UniRef50_I3CKS9: Metalloendopeptidase-like membrane protein	35.6345
UniRef50_I3CKS9: Metalloendopeptidase-like membrane protein|unclassified	35.6345
UniRef50_I3BYU9: Peptidase M23	35.5474
UniRef50_I3BYU9: Peptidase M23|unclassified	35.5474
UniRef50_F1Z5W5: Peptidase M23B	35.5397
UniRef50_F1Z5W5: Peptidase M23B|unclassified	35.5397
UniRef50_A0A011MS33	35.4446
UniRef50_A0A011MS33|unclassified	35.4446
UniRef50_UPI00037B2028: hypothetical protein	35.3995
UniRef50_UPI00037B2028: hypothetical protein|unclassified	35.3995
UniRef50_F4GNQ6	35.384
UniRef50_F4GNQ6|unclassified	35.384
UniRef50_UPI0001C37452: ArsR family transcriptional regulator	35.3703
UniRef50_UPI0001C37452: ArsR family transcriptional regulator|unclassified	35.3703
UniRef50_D6ZBA5: FHA domain containing protein	35.2962
UniRef50_D6ZBA5: FHA domain containing protein|unclassified	35.2962
UniRef50_K9TDH6	35.2813
UniRef50_K9TDH6|unclassified	35.2813
UniRef50_UPI00030A0812: hypothetical protein	35.2597
UniRef50_UPI00030A0812: hypothetical protein|unclassified	35.2597
UniRef50_UPI0003618493: hypothetical protein	35.2522
UniRef50_UPI0003618493: hypothetical protein|unclassified	35.2522
UniRef50_UPI00036CABA5: hypothetical protein	35.249
UniRef50_UPI00036CABA5: hypothetical protein|unclassified	35.249
UniRef50_UPI00031CB04A: hypothetical protein	35.1623
UniRef50_UPI00031CB04A: hypothetical protein|unclassified	35.1623
UniRef50_UPI00037AAD81: hypothetical protein	35.1034
UniRef50_UPI00037AAD81: hypothetical protein|unclassified	35.1034
UniRef50_W0A4U9	35.0264
UniRef50_W0A4U9|unclassified	35.0264
UniRef50_A9W046: Peptidase M23B	35.0201
UniRef50_A9W046: Peptidase M23B|unclassified	35.0201
UniRef50_A4AH02	34.9917
UniRef50_A4AH02|unclassified	34.9917
UniRef50_UPI00046A11FD: hypothetical protein	34.9833
UniRef50_UPI00046A11FD: hypothetical protein|unclassified	34.9833
UniRef50_UPI0002EF1798: hypothetical protein	34.919
UniRef50_UPI0002EF1798: hypothetical protein|unclassified	34.919
UniRef50_UPI00034AEDE7: hypothetical protein	34.9136
UniRef50_UPI00034AEDE7: hypothetical protein|unclassified	34.9136
UniRef50_UPI00035D6604: hypothetical protein	34.8996
UniRef50_UPI00035D6604: hypothetical protein|unclassified	34.8996
UniRef50_UPI000382E4A0: hypothetical protein	34.852
UniRef50_UPI000382E4A0: hypothetical protein|unclassified	34.852
UniRef50_UPI00046D6031: hypothetical protein	34.8286
UniRef50_UPI00046D6031: hypothetical protein|unclassified	34.8286
UniRef50_I4WVN6: Exported peptidase-like enzyme	34.7714
UniRef50_I4WVN6: Exported peptidase-like enzyme|unclassified	34.7714
UniRef50_C7P1H2	34.755
UniRef50_C7P1H2|unclassified	34.755
UniRef50_I4HIC0: Putative sensor with CHASE2 domain	34.6716
UniRef50_I4HIC0: Putative sensor with CHASE2 domain|unclassified	34.6716
UniRef50_X1FIQ8: Marine sediment metagenome DNA, contig: S03H2_L03771 (Fragment)	34.6716
UniRef50_X1FIQ8: Marine sediment metagenome DNA, contig: S03H2_L03771 (Fragment)|unclassified	34.6716
UniRef50_C7MB86: Metalloendopeptidase-like membrane protein	34.646
UniRef50_C7MB86: Metalloendopeptidase-like membrane protein|unclassified	34.646
UniRef50_Q20034: Protein F35D11.4	34.5823
UniRef50_Q20034: Protein F35D11.4|unclassified	34.5823
UniRef50_UPI000369B9E6: hypothetical protein	34.5433
UniRef50_UPI000369B9E6: hypothetical protein|unclassified	34.5433
UniRef50_V2IWK7	34.5213
UniRef50_V2IWK7|unclassified	34.5213
UniRef50_Q3IT71: ArsR family transcription regulator	34.5128
UniRef50_Q3IT71: ArsR family transcription regulator|unclassified	34.5128
UniRef50_D8KNE1	34.4906
UniRef50_D8KNE1|unclassified	34.4906
UniRef50_D7E9T7	34.4801
UniRef50_D7E9T7|unclassified	34.4801
UniRef50_X4Z5K5: EAL domain protein	34.4454
UniRef50_X4Z5K5: EAL domain protein|unclassified	34.4454
UniRef50_D9VSS4: Peptidase	34.4422
UniRef50_D9VSS4: Peptidase|unclassified	34.4422
UniRef50_UPI0002F08AFD: hypothetical protein	34.4391
UniRef50_UPI0002F08AFD: hypothetical protein|unclassified	34.4391
UniRef50_Q119T5: Peptidase M23B	34.4284
UniRef50_Q119T5: Peptidase M23B|unclassified	34.4284
UniRef50_H6SPM3: Peptidase M23B	34.4279
UniRef50_H6SPM3: Peptidase M23B|unclassified	34.4279
UniRef50_B4VT08: GAF domain protein	34.4267
UniRef50_B4VT08: GAF domain protein|unclassified	34.4267
UniRef50_UPI00047C3159: hypothetical protein	34.4181
UniRef50_UPI00047C3159: hypothetical protein|unclassified	34.4181
UniRef50_B2JND3: Peptidase M23B	34.4167
UniRef50_B2JND3: Peptidase M23B|unclassified	34.4167
UniRef50_UPI0003B6CF0B: adenylate cyclase	34.3783
