# Gene Family	SampleDNA_repair._bacterial_Abundance-RPKs
UniRef50_UPI000381DF2F: hypothetical protein	16.4148501009
UniRef50_UPI000381DF2F: hypothetical protein|unclassified	16.4148501009
UniRef50_F3CAN2	16.4116769273
UniRef50_F3CAN2|unclassified	16.4116769273
UniRef50_UPI00030EC216: hypothetical protein	16.3858744773
UniRef50_UPI00030EC216: hypothetical protein|unclassified	16.3858744773
UniRef50_Q7N0J8: Exodeoxyribonuclease 7 small subunit	16.3786223803
UniRef50_Q7N0J8: Exodeoxyribonuclease 7 small subunit|unclassified	16.3786223803
UniRef50_D1AWS8: DNA repair protein RadC	16.3459764253
UniRef50_D1AWS8: DNA repair protein RadC|unclassified	16.3459764253
UniRef50_Q98QA2	16.3373183634
UniRef50_Q98QA2|unclassified	16.3373183634
UniRef50_C6V407: RmuC domain protein	16.2584944935
UniRef50_C6V407: RmuC domain protein|unclassified	16.2584944935
UniRef50_UPI00035E56FD: hypothetical protein	16.2450356864
UniRef50_UPI00035E56FD: hypothetical protein|unclassified	16.2450356864
UniRef50_D7CPX9: DNA repair protein RadC	16.2447579841
UniRef50_D7CPX9: DNA repair protein RadC|unclassified	16.2447579841
UniRef50_M7ALI3: DNA repair protein radC (Fragment)	16.2190362168
UniRef50_M7ALI3: DNA repair protein radC (Fragment)|unclassified	16.2190362168
UniRef50_D1B826	16.2152821854
UniRef50_D1B826|unclassified	16.2152821854
UniRef50_G4LES1: AsmA family protein	16.2031210493
UniRef50_G4LES1: AsmA family protein|unclassified	16.2031210493
UniRef50_F3FNG4	16.2009707464
UniRef50_F3FNG4|unclassified	16.2009707464
UniRef50_E5BNV9: RecF/RecN/SMC N-terminal domain protein	16.1953473781
UniRef50_E5BNV9: RecF/RecN/SMC N-terminal domain protein|unclassified	16.1953473781
UniRef50_UPI00046ED832: DNA polymerase V	16.1873574996
UniRef50_UPI00046ED832: DNA polymerase V|unclassified	16.1873574996
UniRef50_A1WW54: AsmA family protein	16.1610153106
UniRef50_A1WW54: AsmA family protein|unclassified	16.1610153106
UniRef50_J9FS76: DNA repair protein RadC	16.1367926951
UniRef50_J9FS76: DNA repair protein RadC|unclassified	16.1367926951
UniRef50_F9EPQ5: DNA repair protein RadC-like protein (Fragment)	16.1274118060
UniRef50_F9EPQ5: DNA repair protein RadC-like protein (Fragment)|unclassified	16.1274118060
UniRef50_F4L2C3: RmuC-domain protein	16.1252947278
UniRef50_F4L2C3: RmuC-domain protein|unclassified	16.1252947278
UniRef50_Q0S487: Possible DNA recombination protein, RmuC family protein	16.1225760718
UniRef50_Q0S487: Possible DNA recombination protein, RmuC family protein|unclassified	16.1225760718
UniRef50_C0R5Y5	16.1210461610
UniRef50_C0R5Y5|unclassified	16.1210461610
UniRef50_W0JJG0: DNA recombination protein RmuC	16.1201621559
UniRef50_W0JJG0: DNA recombination protein RmuC|unclassified	16.1201621559
UniRef50_V6SBH2: Putative DNA repair protein	16.0895122937
UniRef50_V6SBH2: Putative DNA repair protein|unclassified	16.0895122937
UniRef50_A5KVB2: DNA repair protein RadC	16.0859080394
UniRef50_A5KVB2: DNA repair protein RadC|unclassified	16.0859080394
UniRef50_Q21LY8	16.0604439434
UniRef50_Q21LY8|unclassified	16.0604439434
UniRef50_E9S0W6	16.0560614883
UniRef50_E9S0W6|unclassified	16.0560614883
UniRef50_Q0TNF2	16.0548604151
UniRef50_Q0TNF2|unclassified	16.0548604151
UniRef50_UPI0003C4D18F: PREDICTED: A/G-specific adenine DNA glycosylase	16.0353292904
UniRef50_UPI0003C4D18F: PREDICTED: A/G-specific adenine DNA glycosylase|unclassified	16.0353292904
UniRef50_UPI0003603640: recombinase RecT	15.9860116746
UniRef50_UPI0003603640: recombinase RecT|unclassified	15.9860116746
UniRef50_R6XGE4: RhuM protein	15.9707465173
UniRef50_R6XGE4: RhuM protein|unclassified	15.9707465173
UniRef50_Q1IRU2	15.9661154647
UniRef50_Q1IRU2|unclassified	15.9661154647
UniRef50_K4TK95	15.9659207428
UniRef50_K4TK95|unclassified	15.9659207428
UniRef50_UPI000262C99E: hypothetical protein	15.9514242204
UniRef50_UPI000262C99E: hypothetical protein|unclassified	15.9514242204
UniRef50_C5ZYS9: DNA recombination protein RmuC family protein	15.9510154329
UniRef50_C5ZYS9: DNA recombination protein RmuC family protein|unclassified	15.9510154329
UniRef50_UPI00036EF866: hypothetical protein, partial	15.9482160350
UniRef50_UPI00036EF866: hypothetical protein, partial|unclassified	15.9482160350
UniRef50_R7F074: DNA recombination protein RmuC family protein	15.9317119993
UniRef50_R7F074: DNA recombination protein RmuC family protein|unclassified	15.9317119993
UniRef50_D4DSD5	15.9200058785
UniRef50_D4DSD5|unclassified	15.9200058785
UniRef50_X8C9Q2	15.9197067658
UniRef50_X8C9Q2|unclassified	15.9197067658
UniRef50_UPI0003F89235: exodeoxyribonuclease VII	15.9166100621
UniRef50_UPI0003F89235: exodeoxyribonuclease VII|unclassified	15.9166100621
UniRef50_Q6ADU8: Exodeoxyribonuclease 7 small subunit	15.9082081114
UniRef50_Q6ADU8: Exodeoxyribonuclease 7 small subunit|unclassified	15.9082081114
UniRef50_U2YX21: DNA repair protein RadC	15.8944514291
UniRef50_U2YX21: DNA repair protein RadC|unclassified	15.8944514291
UniRef50_UPI00037CB8EF: hypothetical protein	15.8829492922
UniRef50_UPI00037CB8EF: hypothetical protein|unclassified	15.8829492922
UniRef50_UPI000371173E: hypothetical protein	15.8763147339
UniRef50_UPI000371173E: hypothetical protein|unclassified	15.8763147339
UniRef50_UPI00036A8075: hypothetical protein	15.8521533766
UniRef50_UPI00036A8075: hypothetical protein|unclassified	15.8521533766
UniRef50_UPI00046D4F30: hypothetical protein	15.8052422709
UniRef50_UPI00046D4F30: hypothetical protein|unclassified	15.8052422709
UniRef50_A9BIK5: DNA repair protein RadC	15.7987208899
UniRef50_A9BIK5: DNA repair protein RadC|unclassified	15.7987208899
UniRef50_B6Y7G0: DNA repair protein RadC	15.7844096852
UniRef50_B6Y7G0: DNA repair protein RadC|unclassified	15.7844096852
UniRef50_UPI0003758C7A: hypothetical protein	15.7714935244
UniRef50_UPI0003758C7A: hypothetical protein|unclassified	15.7714935244
UniRef50_D0Z918: DNA repair protein	15.7310543684
UniRef50_D0Z918: DNA repair protein|unclassified	15.7310543684
UniRef50_R6S1S8	15.7289043577
UniRef50_R6S1S8|unclassified	15.7289043577
UniRef50_Q6ADV5	15.7214714345
UniRef50_Q6ADV5|unclassified	15.7214714345
UniRef50_V7Z7E9	15.7009122778
UniRef50_V7Z7E9|unclassified	15.7009122778
UniRef50_UPI00024917E1: metallophosphoesterase	15.7007724141
UniRef50_UPI00024917E1: metallophosphoesterase|unclassified	15.7007724141
UniRef50_UPI0003B578A9: recombinase RmuC	15.6790923797
UniRef50_UPI0003B578A9: recombinase RmuC|unclassified	15.6790923797
UniRef50_UPI000467ECE8: hypothetical protein	15.6731130473
UniRef50_UPI000467ECE8: hypothetical protein|unclassified	15.6731130473
UniRef50_R5US02: DNA repair protein RadC	15.6718299813
UniRef50_R5US02: DNA repair protein RadC|unclassified	15.6718299813
UniRef50_A4J8M9: HEAT domain containing protein	15.6649233950
UniRef50_A4J8M9: HEAT domain containing protein|unclassified	15.6649233950
UniRef50_B8GN64: Exodeoxyribonuclease 7 small subunit	15.6472630038
UniRef50_B8GN64: Exodeoxyribonuclease 7 small subunit|unclassified	15.6472630038
UniRef50_J2Q3C1: DNA repair protein radc	15.6377381465
UniRef50_J2Q3C1: DNA repair protein radc|unclassified	15.6377381465
UniRef50_D5B926: DNA double-strand break repair rad50 ATPase	15.6176363548
UniRef50_D5B926: DNA double-strand break repair rad50 ATPase|unclassified	15.6176363548
UniRef50_UPI00031281EC: hypothetical protein	15.6131190522
UniRef50_UPI00031281EC: hypothetical protein|unclassified	15.6131190522
UniRef50_X1EFY4: Marine sediment metagenome DNA, contig: S01H4_S22305	15.6107850437
UniRef50_X1EFY4: Marine sediment metagenome DNA, contig: S01H4_S22305|unclassified	15.6107850437
UniRef50_A9ITB6: Exodeoxyribonuclease 7 small subunit	15.6093541934
UniRef50_A9ITB6: Exodeoxyribonuclease 7 small subunit|unclassified	15.6093541934
UniRef50_R6KCE4	15.5955865309
UniRef50_R6KCE4|unclassified	15.5955865309
UniRef50_U1WY67: DNA repair protein RadC family protein	15.5766918582
UniRef50_U1WY67: DNA repair protein RadC family protein|unclassified	15.5766918582
UniRef50_Q6F1D5: Exodeoxyribonuclease 7 large subunit	15.5572008502
UniRef50_Q6F1D5: Exodeoxyribonuclease 7 large subunit|unclassified	15.5572008502
UniRef50_D5EQU3: DNA repair protein RadC	15.5554070749
UniRef50_D5EQU3: DNA repair protein RadC|unclassified	15.5554070749
UniRef50_UPI0004713381: hypothetical protein	15.5403243276
UniRef50_UPI0004713381: hypothetical protein|unclassified	15.5403243276
UniRef50_UPI00021941E5: DNA repair exonuclease	15.5309244928
UniRef50_UPI00021941E5: DNA repair exonuclease|unclassified	15.5309244928
UniRef50_J1A4S8	15.5246015896
UniRef50_J1A4S8|unclassified	15.5246015896
UniRef50_N2A2E3	15.5214053812
UniRef50_N2A2E3|unclassified	15.5214053812
UniRef50_UPI000429AA40: hypothetical protein	15.4638239172
UniRef50_UPI000429AA40: hypothetical protein|unclassified	15.4638239172
UniRef50_UPI0002192C12: DNA polymerase IV	15.4508924996
UniRef50_UPI0002192C12: DNA polymerase IV|unclassified	15.4508924996
UniRef50_D0LRN7	15.4278087906
UniRef50_D0LRN7|unclassified	15.4278087906
UniRef50_A0RPQ7: RmuC family protein	15.4083645250
UniRef50_A0RPQ7: RmuC family protein|unclassified	15.4083645250
UniRef50_A1TJG0: DNA repair protein RadC	15.3925786422
UniRef50_A1TJG0: DNA repair protein RadC|unclassified	15.3925786422
UniRef50_D6GRN9: Putative DNA repair protein RadC	15.3753500811
UniRef50_D6GRN9: Putative DNA repair protein RadC|unclassified	15.3753500811
UniRef50_A1W7C1	15.3735542035
UniRef50_A1W7C1|unclassified	15.3735542035
UniRef50_Q6MEE1	15.3677603873
UniRef50_Q6MEE1|unclassified	15.3677603873
UniRef50_A1WWN7: AsmA family protein	15.3483647404
UniRef50_A1WWN7: AsmA family protein|unclassified	15.3483647404
UniRef50_C5C0V9	15.3456824423
UniRef50_C5C0V9|unclassified	15.3456824423
UniRef50_W1XJ42: Nuclease sbcCD subunit C (Fragment)	15.3150669331
UniRef50_W1XJ42: Nuclease sbcCD subunit C (Fragment)|unclassified	15.3150669331
UniRef50_Q31JF9: AsmA protein	15.3146302829
UniRef50_Q31JF9: AsmA protein|unclassified	15.3146302829
UniRef50_UPI0004711847: DNA polymerase	15.2982755650
UniRef50_UPI0004711847: DNA polymerase|unclassified	15.2982755650
UniRef50_UPI000309E565: hypothetical protein	15.2930511309
UniRef50_UPI000309E565: hypothetical protein|unclassified	15.2930511309
UniRef50_Q58015: Modification methylase MjaIII	15.2881222186
UniRef50_Q58015: Modification methylase MjaIII|unclassified	15.2881222186
UniRef50_R5TL95: RmuC domain protein	15.2590442601
UniRef50_R5TL95: RmuC domain protein|unclassified	15.2590442601
UniRef50_J9ZDB4: Putative DNA recombination protein, RmuC family	15.2440732510
UniRef50_J9ZDB4: Putative DNA recombination protein, RmuC family|unclassified	15.2440732510
UniRef50_UPI0002F272B4: hypothetical protein	15.2438018135
UniRef50_UPI0002F272B4: hypothetical protein|unclassified	15.2438018135
UniRef50_UPI00037B52AD: hypothetical protein	15.1566815939
UniRef50_UPI00037B52AD: hypothetical protein|unclassified	15.1566815939
UniRef50_F7V9N5: DNA repair protein RadC	15.1462287336
UniRef50_F7V9N5: DNA repair protein RadC|unclassified	15.1462287336
UniRef50_G0IV22: DNA repair protein RadC	15.1237348543
UniRef50_G0IV22: DNA repair protein RadC|unclassified	15.1237348543
UniRef50_UPI00047B938B: cysteine methyltransferase	15.1154464652
UniRef50_UPI00047B938B: cysteine methyltransferase|unclassified	15.1154464652
UniRef50_UPI00047913B3: endonuclease	15.1135616078
UniRef50_UPI00047913B3: endonuclease|unclassified	15.1135616078
UniRef50_UPI00036B533D: hypothetical protein	15.0776536513
UniRef50_UPI00036B533D: hypothetical protein|unclassified	15.0776536513
UniRef50_A9BLV4	15.0630297685
UniRef50_A9BLV4|unclassified	15.0630297685
UniRef50_E4T5Q6	15.0324543892
UniRef50_E4T5Q6|unclassified	15.0324543892
UniRef50_C5CKZ3	15.0286820261
UniRef50_C5CKZ3|unclassified	15.0286820261
UniRef50_R7PGF5	15.0224352662
UniRef50_R7PGF5|unclassified	15.0224352662
UniRef50_UPI0003B5914D: hypothetical protein	15.0222380151
UniRef50_UPI0003B5914D: hypothetical protein|unclassified	15.0222380151
UniRef50_UPI00037A3B37: hypothetical protein	15.0187371229
UniRef50_UPI00037A3B37: hypothetical protein|unclassified	15.0187371229
UniRef50_UPI00047521A7: hypothetical protein	15.0117353590
UniRef50_UPI00047521A7: hypothetical protein|unclassified	15.0117353590
UniRef50_B9L835: DNA recombination protein RmuC family protein	14.9675793060
UniRef50_B9L835: DNA recombination protein RmuC family protein|unclassified	14.9675793060
UniRef50_M3GBT7	14.9520171007
UniRef50_M3GBT7|unclassified	14.9520171007
UniRef50_K1ZNZ2	14.9390244127
UniRef50_K1ZNZ2|unclassified	14.9390244127
UniRef50_UPI00046CF35E: hypothetical protein	14.9253731343
UniRef50_UPI00046CF35E: hypothetical protein|unclassified	14.9253731343
UniRef50_Q9PFJ7: Exodeoxyribonuclease 7 small subunit	14.8871226931
UniRef50_Q9PFJ7: Exodeoxyribonuclease 7 small subunit|unclassified	14.8871226931
UniRef50_UPI0004723288: hypothetical protein, partial	14.8547023714
UniRef50_UPI0004723288: hypothetical protein, partial|unclassified	14.8547023714
UniRef50_B1ZRK9: DNA repair protein RadC	14.8539725438
UniRef50_B1ZRK9: DNA repair protein RadC|unclassified	14.8539725438
UniRef50_UPI00047BCA78: hypothetical protein	14.8490073559
UniRef50_UPI00047BCA78: hypothetical protein|unclassified	14.8490073559
UniRef50_F3L0Y2: DNA recombination protein RmuC	14.8355729877
UniRef50_F3L0Y2: DNA recombination protein RmuC|unclassified	14.8355729877
UniRef50_X1PDI6: Marine sediment metagenome DNA, contig: S06H3_S16864 (Fragment)	14.8073845945
UniRef50_X1PDI6: Marine sediment metagenome DNA, contig: S06H3_S16864 (Fragment)|unclassified	14.8073845945
UniRef50_W1EHK5: Alkylated DNA repair protein AlkB	14.8044734082
UniRef50_W1EHK5: Alkylated DNA repair protein AlkB|unclassified	14.8044734082
UniRef50_UPI00035CEEAA: hypothetical protein	14.7899591626
UniRef50_UPI00035CEEAA: hypothetical protein|unclassified	14.7899591626
UniRef50_D3UJB0: Putative DNA recombination protein	14.7411483106
UniRef50_D3UJB0: Putative DNA recombination protein|unclassified	14.7411483106
UniRef50_UPI0004082EB9: hypothetical protein	14.7147735633
UniRef50_UPI0004082EB9: hypothetical protein|unclassified	14.7147735633
UniRef50_X0ULZ2: Marine sediment metagenome DNA, contig: S01H1_S10406 (Fragment)	14.7127629759
UniRef50_X0ULZ2: Marine sediment metagenome DNA, contig: S01H1_S10406 (Fragment)|unclassified	14.7127629759
UniRef50_UPI00024923F7: modification methylase	14.6922352137
UniRef50_UPI00024923F7: modification methylase|unclassified	14.6922352137
UniRef50_UPI00046D209B: hypothetical protein	14.6851982353
UniRef50_UPI00046D209B: hypothetical protein|unclassified	14.6851982353
UniRef50_B0U3Y1: Exodeoxyribonuclease 7 small subunit	14.6683412286
UniRef50_B0U3Y1: Exodeoxyribonuclease 7 small subunit|unclassified	14.6683412286
UniRef50_UPI00024907DE: DNA repair protein RadC	14.6530512477
UniRef50_UPI00024907DE: DNA repair protein RadC|unclassified	14.6530512477
UniRef50_A6E7J3: DNA repair protein	14.6456371668
UniRef50_A6E7J3: DNA repair protein|unclassified	14.6456371668
UniRef50_D5UC03: SMC domain-containing protein	14.6389499352
UniRef50_D5UC03: SMC domain-containing protein|unclassified	14.6389499352
UniRef50_U8ZUQ5: UPF0758 protein	14.6355319920
UniRef50_U8ZUQ5: UPF0758 protein|unclassified	14.6355319920
UniRef50_F3KE52: DNA repair protein RadA	14.6247839745
UniRef50_F3KE52: DNA repair protein RadA|unclassified	14.6247839745
UniRef50_E7GD13	14.6189200384
UniRef50_E7GD13|unclassified	14.6189200384
UniRef50_A7HHD1: HEAT domain containing protein	14.6173412141
UniRef50_A7HHD1: HEAT domain containing protein|unclassified	14.6173412141
UniRef50_UPI000465CDFE: hypothetical protein	14.6053163689
UniRef50_UPI000465CDFE: hypothetical protein|unclassified	14.6053163689
UniRef50_Q5V474: Endonuclease V	14.5610360708
UniRef50_Q5V474: Endonuclease V|unclassified	14.5610360708
UniRef50_M1KWM8	14.5601923783
UniRef50_M1KWM8|unclassified	14.5601923783
UniRef50_A4G1L1	14.5559127697
UniRef50_A4G1L1|unclassified	14.5559127697
UniRef50_B7K126: BRCT domain protein	14.5518639639
UniRef50_B7K126: BRCT domain protein|unclassified	14.5518639639
UniRef50_K7RVB3: DNA recombination RmuC-like protein	14.4706888152
UniRef50_K7RVB3: DNA recombination RmuC-like protein|unclassified	14.4706888152
UniRef50_UPI000365D386: methylated-DNA-protein-cysteine methyltransferase	14.4706418486
UniRef50_UPI000365D386: methylated-DNA-protein-cysteine methyltransferase|unclassified	14.4706418486
UniRef50_K1YMU5	14.4654156134
UniRef50_K1YMU5|unclassified	14.4654156134
UniRef50_D4YY04	14.4540851056
UniRef50_D4YY04|unclassified	14.4540851056
UniRef50_U9VMV0: Dna recombination protein	14.4377411095
UniRef50_U9VMV0: Dna recombination protein|unclassified	14.4377411095
UniRef50_UPI0002485442: hypothetical protein	14.4232162116
UniRef50_UPI0002485442: hypothetical protein|unclassified	14.4232162116
UniRef50_R7DTR0: DNA repair protein RadC	14.4069158993
UniRef50_R7DTR0: DNA repair protein RadC|unclassified	14.4069158993
UniRef50_Q6M9K6	14.3995460261
UniRef50_Q6M9K6|unclassified	14.3995460261
UniRef50_W0DSV8: DNA recombination protein RmuC	14.3911139615
UniRef50_W0DSV8: DNA recombination protein RmuC|unclassified	14.3911139615
UniRef50_F0J4U6	14.3899725960
UniRef50_F0J4U6|unclassified	14.3899725960
UniRef50_UPI00017F38F2: BdrM	14.3620276065
UniRef50_UPI00017F38F2: BdrM|unclassified	14.3620276065
UniRef50_A1HTL6	14.3597069704
UniRef50_A1HTL6|unclassified	14.3597069704
UniRef50_UPI0001C37F77: UMUC domain protein DNA-repair protein	14.3436458872
UniRef50_UPI0001C37F77: UMUC domain protein DNA-repair protein|unclassified	14.3436458872
UniRef50_D1JEP0: Probable DNA repair protein radC homolog	14.3402056788
UniRef50_D1JEP0: Probable DNA repair protein radC homolog|unclassified	14.3402056788
UniRef50_Q6L1W6: Hypothetical DUF195 protein	14.3099993324
UniRef50_Q6L1W6: Hypothetical DUF195 protein|unclassified	14.3099993324
UniRef50_T0R0E0: RmuC domain protein	14.2690058530
UniRef50_T0R0E0: RmuC domain protein|unclassified	14.2690058530
UniRef50_UPI000362B8D4: hypothetical protein	14.2674641004
UniRef50_UPI000362B8D4: hypothetical protein|unclassified	14.2674641004
UniRef50_D1C5M5: Ser/Thr protein phosphatase family protein	14.2503102901
UniRef50_D1C5M5: Ser/Thr protein phosphatase family protein|unclassified	14.2503102901
UniRef50_UPI0003B4E41C: DNA polymerase V	14.2319328165
UniRef50_UPI0003B4E41C: DNA polymerase V|unclassified	14.2319328165
UniRef50_UPI000363432D: hypothetical protein	14.2318520593
UniRef50_UPI000363432D: hypothetical protein|unclassified	14.2318520593
UniRef50_H6R1S9: DNA repair protein RadC	14.2311092818
UniRef50_H6R1S9: DNA repair protein RadC|unclassified	14.2311092818
UniRef50_R6BUY8	14.2275395464
UniRef50_R6BUY8|unclassified	14.2275395464
UniRef50_UPI00035C521F: hypothetical protein	14.1362661951
UniRef50_UPI00035C521F: hypothetical protein|unclassified	14.1362661951
UniRef50_UPI00029AA5CD: DNA repair protein	14.1278034555
UniRef50_UPI00029AA5CD: DNA repair protein|unclassified	14.1278034555
UniRef50_UPI00036FA249: hypothetical protein	14.1210049915
UniRef50_UPI00036FA249: hypothetical protein|unclassified	14.1210049915
UniRef50_UPI0004796727: hypothetical protein	14.0170574055
UniRef50_UPI0004796727: hypothetical protein|unclassified	14.0170574055
UniRef50_A1VWD8	14.0135534889
UniRef50_A1VWD8|unclassified	14.0135534889
UniRef50_UPI0003731B15: hypothetical protein	14.0120117895
UniRef50_UPI0003731B15: hypothetical protein|unclassified	14.0120117895
UniRef50_B8KQ45: DNA repair protein RadC	13.9829456295
UniRef50_B8KQ45: DNA repair protein RadC|unclassified	13.9829456295
UniRef50_Q8KAE9: Exodeoxyribonuclease 7 small subunit	13.9754240222
UniRef50_Q8KAE9: Exodeoxyribonuclease 7 small subunit|unclassified	13.9754240222
UniRef50_X1VS83: Marine sediment metagenome DNA, contig: S12H4_S24989 (Fragment)	13.9748298831
UniRef50_X1VS83: Marine sediment metagenome DNA, contig: S12H4_S24989 (Fragment)|unclassified	13.9748298831
UniRef50_UPI000476CA07: 6-O-methylguanine DNA methyltransferase	13.9747222074
UniRef50_UPI000476CA07: 6-O-methylguanine DNA methyltransferase|unclassified	13.9747222074
UniRef50_J9GGN6: DNA recombination protein RmuC (Fragment)	13.9694410944
UniRef50_J9GGN6: DNA recombination protein RmuC (Fragment)|unclassified	13.9694410944
UniRef50_UPI00028948F2: exonuclease III	13.9517175472
UniRef50_UPI00028948F2: exonuclease III|unclassified	13.9517175472
UniRef50_UPI0002260012: DNA repair protein RadC	13.9511986055
UniRef50_UPI0002260012: DNA repair protein RadC|unclassified	13.9511986055
UniRef50_S6VHE0	13.9332501847
UniRef50_S6VHE0|unclassified	13.9332501847
UniRef50_UPI00040D8D1F: hypothetical protein	13.9317377118
UniRef50_UPI00040D8D1F: hypothetical protein|unclassified	13.9317377118
UniRef50_B2KEG6: DNA repair protein RadC	13.9167212269
UniRef50_B2KEG6: DNA repair protein RadC|unclassified	13.9167212269
UniRef50_R5S1X3: Putative DNA recombination protein RmuC	13.9041015491
UniRef50_R5S1X3: Putative DNA recombination protein RmuC|unclassified	13.9041015491
UniRef50_Q1QTA9	13.8997948933
UniRef50_Q1QTA9|unclassified	13.8997948933
UniRef50_B8HC96	13.8907050441
UniRef50_B8HC96|unclassified	13.8907050441
UniRef50_UPI00030B2610: hypothetical protein	13.8845385804
UniRef50_UPI00030B2610: hypothetical protein|unclassified	13.8845385804
UniRef50_M7NWT4: DNA recombination protein rmuC	13.8713113516
UniRef50_M7NWT4: DNA recombination protein rmuC|unclassified	13.8713113516
UniRef50_A6NZB7: DNA repair protein RadC	13.8519353484
UniRef50_A6NZB7: DNA repair protein RadC|unclassified	13.8519353484
UniRef50_B6WQ75: DNA repair protein RadC	13.8318479616
UniRef50_B6WQ75: DNA repair protein RadC|unclassified	13.8318479616
UniRef50_UPI0002F2F7C1: hypothetical protein	13.8290239732
UniRef50_UPI0002F2F7C1: hypothetical protein|unclassified	13.8290239732
UniRef50_F6FPI1: RmuC-domain protein	13.7758052111
UniRef50_F6FPI1: RmuC-domain protein|unclassified	13.7758052111
UniRef50_G2II26: DNA recombination protein RmuC	13.7641262357
UniRef50_G2II26: DNA recombination protein RmuC|unclassified	13.7641262357
UniRef50_R7B0N0	13.7617162971
UniRef50_R7B0N0|unclassified	13.7617162971
UniRef50_C1A518	13.7485662053
UniRef50_C1A518|unclassified	13.7485662053
UniRef50_T4UM40: RadC-like JAB domain protein	13.7396235891
UniRef50_T4UM40: RadC-like JAB domain protein|unclassified	13.7396235891
UniRef50_UPI00036775AC: hypothetical protein	13.7352447655
UniRef50_UPI00036775AC: hypothetical protein|unclassified	13.7352447655
UniRef50_E6RQ41: DNA recombination protein rmuC	13.7314843351
UniRef50_E6RQ41: DNA recombination protein rmuC|unclassified	13.7314843351
UniRef50_P39788: Endonuclease III	13.7202686776
UniRef50_P39788: Endonuclease III|unclassified	13.7202686776
UniRef50_UPI00037F6912: hypothetical protein	13.7163841978
UniRef50_UPI00037F6912: hypothetical protein|unclassified	13.7163841978
UniRef50_UPI00036559DB: hypothetical protein	13.7068441807
UniRef50_UPI00036559DB: hypothetical protein|unclassified	13.7068441807
UniRef50_B1WR20	13.6965421909
UniRef50_B1WR20|unclassified	13.6965421909
UniRef50_V8QYY5: DNA recombination protein RmuC	13.6875067599
UniRef50_V8QYY5: DNA recombination protein RmuC|unclassified	13.6875067599
UniRef50_UPI000417C9FD: DNA repair protein RadA	13.6779942134
UniRef50_UPI000417C9FD: DNA repair protein RadA|unclassified	13.6779942134
UniRef50_UPI000374EDBC: hypothetical protein	13.6528246417
UniRef50_UPI000374EDBC: hypothetical protein|unclassified	13.6528246417
UniRef50_UPI0003827FD5: hypothetical protein	13.6511622791
UniRef50_UPI0003827FD5: hypothetical protein|unclassified	13.6511622791
UniRef50_A4BNR3	13.6288747269
UniRef50_A4BNR3|unclassified	13.6288747269
UniRef50_C8WYB3: DNA repair protein RadC	13.6045316718
UniRef50_C8WYB3: DNA repair protein RadC|unclassified	13.6045316718
UniRef50_K1YAH4	13.5947304960
UniRef50_K1YAH4|unclassified	13.5947304960
UniRef50_K2A8R1: RadC3	13.5855556830
UniRef50_K2A8R1: RadC3|unclassified	13.5855556830
UniRef50_UPI000382F12F: hypothetical protein	13.5852635616
UniRef50_UPI000382F12F: hypothetical protein|unclassified	13.5852635616
UniRef50_A0A022FQQ2	13.5765010479
UniRef50_A0A022FQQ2|unclassified	13.5765010479
UniRef50_D1AYA9	13.5730133278
UniRef50_D1AYA9|unclassified	13.5730133278
UniRef50_R6J4Q9: RmuC-domain protein	13.5662105775
UniRef50_R6J4Q9: RmuC-domain protein|unclassified	13.5662105775
UniRef50_UPI00045EB63C: exodeoxyribonuclease VII large subunit	13.5653796791
UniRef50_UPI00045EB63C: exodeoxyribonuclease VII large subunit|unclassified	13.5653796791
UniRef50_B6J212: DNA repair protein	13.5623031522
UniRef50_B6J212: DNA repair protein|unclassified	13.5623031522
UniRef50_UPI0003B6577F: DNA recombination protein RmuC	13.5410118829
UniRef50_UPI0003B6577F: DNA recombination protein RmuC|unclassified	13.5410118829
UniRef50_A1W2L4	13.5144560259
UniRef50_A1W2L4|unclassified	13.5144560259
UniRef50_K1TSQ1: DNA recombination protein RmuC domain protein (Fragment)	13.5065812370
UniRef50_K1TSQ1: DNA recombination protein RmuC domain protein (Fragment)|unclassified	13.5065812370
UniRef50_F0Q0N4	13.4668726645
UniRef50_F0Q0N4|unclassified	13.4668726645
UniRef50_UPI0004647155: hypothetical protein	13.4563063356
UniRef50_UPI0004647155: hypothetical protein|unclassified	13.4563063356
UniRef50_W0YV97: RmuC domain-containing protein family protein	13.4403921245
UniRef50_W0YV97: RmuC domain-containing protein family protein|unclassified	13.4403921245
UniRef50_R4XS25: DNA repair protein RadC	13.4342661864
UniRef50_R4XS25: DNA repair protein RadC|unclassified	13.4342661864
UniRef50_H8KK17: DNA repair protein RadC	13.4303759148
UniRef50_H8KK17: DNA repair protein RadC|unclassified	13.4303759148
UniRef50_O86954: Probable endonuclease 4 (Fragment)	13.4282895109
UniRef50_O86954: Probable endonuclease 4 (Fragment)|unclassified	13.4282895109
UniRef50_UPI00035FB165: hypothetical protein	13.4264281359
UniRef50_UPI00035FB165: hypothetical protein|unclassified	13.4264281359
UniRef50_R5TI06	13.4174150275
UniRef50_R5TI06|unclassified	13.4174150275
UniRef50_W4TPF8	13.3940957809
UniRef50_W4TPF8|unclassified	13.3940957809
UniRef50_UPI0003B4A12A: methylated-DNA-protein-cysteine methyltransferase	13.3896500037
UniRef50_UPI0003B4A12A: methylated-DNA-protein-cysteine methyltransferase|unclassified	13.3896500037
UniRef50_A6DE83: SMC domain protein	13.3758639022
