# Gene Family	SampleDNA_repair._bacterial_Abundance-CPM
UniRef50_UPI000225C1B7: endonuclease IV	56.1631
UniRef50_UPI000225C1B7: endonuclease IV|unclassified	56.1631
UniRef50_E6QVX1: Putative ATPase involved in DNA repair	56.1587
UniRef50_E6QVX1: Putative ATPase involved in DNA repair|unclassified	56.1587
UniRef50_B8FHA4: DNA repair protein RadC	56.0884
UniRef50_B8FHA4: DNA repair protein RadC|unclassified	56.0884
UniRef50_Q2SAN5: DNA repair protein	55.9575
UniRef50_Q2SAN5: DNA repair protein|unclassified	55.9575
UniRef50_Q9HJS3: Probable endonuclease 4	55.9376
UniRef50_Q9HJS3: Probable endonuclease 4|unclassified	55.9376
UniRef50_W1M1S7	55.8718
UniRef50_W1M1S7|unclassified	55.8718
UniRef50_UPI000466ED93: MULTISPECIES: modification methylase	55.7996
UniRef50_UPI000466ED93: MULTISPECIES: modification methylase|unclassified	55.7996
UniRef50_G2PPT1: DNA repair protein RadC	55.7753
UniRef50_G2PPT1: DNA repair protein RadC|unclassified	55.7753
UniRef50_K7YRJ8: DNA recombination protein rmuC	55.7742
UniRef50_K7YRJ8: DNA recombination protein rmuC|unclassified	55.7742
UniRef50_B3PMT9: RmuC domain protein	55.7697
UniRef50_B3PMT9: RmuC domain protein|unclassified	55.7697
UniRef50_Q3ABA7: Probable endonuclease 4	55.753
UniRef50_Q3ABA7: Probable endonuclease 4|unclassified	55.753
UniRef50_UPI00041E55E7: hypothetical protein	55.7217
UniRef50_UPI00041E55E7: hypothetical protein|unclassified	55.7217
UniRef50_K2A2R1	55.6761
UniRef50_K2A2R1|unclassified	55.6761
UniRef50_UPI00035C5D7C: hypothetical protein	55.6451
UniRef50_UPI00035C5D7C: hypothetical protein|unclassified	55.6451
UniRef50_R6YAS2	55.6057
UniRef50_R6YAS2|unclassified	55.6057
UniRef50_UPI00037755A9: hypothetical protein	55.5704
UniRef50_UPI00037755A9: hypothetical protein|unclassified	55.5704
UniRef50_X1I2X3: Marine sediment metagenome DNA, contig: S03H2_S05576 (Fragment)	55.5317
UniRef50_X1I2X3: Marine sediment metagenome DNA, contig: S03H2_S05576 (Fragment)|unclassified	55.5317
UniRef50_B2ULX8	55.4578
UniRef50_B2ULX8|unclassified	55.4578
UniRef50_A9NF52: DNA repair protein	55.428
UniRef50_A9NF52: DNA repair protein|unclassified	55.428
UniRef50_J0ULI2	55.3556
UniRef50_J0ULI2|unclassified	55.3556
UniRef50_A0A031GLP8	55.0755
UniRef50_A0A031GLP8|unclassified	55.0755
UniRef50_UPI0004628553: hypothetical protein	55.0562
UniRef50_UPI0004628553: hypothetical protein|unclassified	55.0562
UniRef50_B6Y9E4: DNA repair protein RadC	54.9733
UniRef50_B6Y9E4: DNA repair protein RadC|unclassified	54.9733
UniRef50_B6YRP9: DNA recombination protein rmuC homolog	54.861
UniRef50_B6YRP9: DNA recombination protein rmuC homolog|unclassified	54.861
UniRef50_Q6MA43	54.7212
UniRef50_Q6MA43|unclassified	54.7212
UniRef50_UPI00047C34A3: hypothetical protein	54.7074
UniRef50_UPI00047C34A3: hypothetical protein|unclassified	54.7074
UniRef50_S6A4W6: DNA repair protein RadC	54.6664
UniRef50_S6A4W6: DNA repair protein RadC|unclassified	54.6664
UniRef50_R5T4E8: DNA repair protein RadC	54.5086
UniRef50_R5T4E8: DNA repair protein RadC|unclassified	54.5086
UniRef50_UPI0002F116D4: hypothetical protein	54.3943
UniRef50_UPI0002F116D4: hypothetical protein|unclassified	54.3943
UniRef50_R6Y766	54.3936
UniRef50_R6Y766|unclassified	54.3936
UniRef50_K2W303	54.3732
UniRef50_K2W303|unclassified	54.3732
UniRef50_UPI00047CE29D: hypothetical protein	54.3342
UniRef50_UPI00047CE29D: hypothetical protein|unclassified	54.3342
UniRef50_UPI00046F91F5: hypothetical protein	54.308
UniRef50_UPI00046F91F5: hypothetical protein|unclassified	54.308
UniRef50_UPI000248B22D: nucleotidyltransferase/DNA polymerase involved in DNA repair-like protein	54.2707
UniRef50_UPI000248B22D: nucleotidyltransferase/DNA polymerase involved in DNA repair-like protein|unclassified	54.2707
UniRef50_G9PYX9	54.2626
UniRef50_G9PYX9|unclassified	54.2626
UniRef50_UPI000366AA8E: hypothetical protein	54.2355
UniRef50_UPI000366AA8E: hypothetical protein|unclassified	54.2355
UniRef50_A6L552: DNA repair protein	54.2247
UniRef50_A6L552: DNA repair protein|unclassified	54.2247
UniRef50_Q0ACW7: DNA repair protein RadC	54.2245
UniRef50_Q0ACW7: DNA repair protein RadC|unclassified	54.2245
UniRef50_Q0A9P1	54.1989
UniRef50_Q0A9P1|unclassified	54.1989
UniRef50_UPI0003821EBF: hypothetical protein	54.1734
UniRef50_UPI0003821EBF: hypothetical protein|unclassified	54.1734
UniRef50_C0B5A4: M protein repeat protein	54.1454
UniRef50_C0B5A4: M protein repeat protein|unclassified	54.1454
UniRef50_UPI000225ABCF: DNA polymerase V	54.1387
UniRef50_UPI000225ABCF: DNA polymerase V|unclassified	54.1387
UniRef50_A9B8G6: DNA repair protein RadC	54.1218
UniRef50_A9B8G6: DNA repair protein RadC|unclassified	54.1218
UniRef50_X7YNT9: IMS HHH motif family protein	53.8552
UniRef50_X7YNT9: IMS HHH motif family protein|unclassified	53.8552
UniRef50_F0IY06	53.8214
UniRef50_F0IY06|unclassified	53.8214
UniRef50_UPI0002035C7A: PREDICTED: A/G-specific adenine DNA glycosylase-like, partial	53.8088
UniRef50_UPI0002035C7A: PREDICTED: A/G-specific adenine DNA glycosylase-like, partial|unclassified	53.8088
UniRef50_UPI000381DF2F: hypothetical protein	53.7738
UniRef50_UPI000381DF2F: hypothetical protein|unclassified	53.7738
UniRef50_F3CAN2	53.7635
UniRef50_F3CAN2|unclassified	53.7635
UniRef50_UPI00030EC216: hypothetical protein	53.6789
UniRef50_UPI00030EC216: hypothetical protein|unclassified	53.6789
UniRef50_Q7N0J8: Exodeoxyribonuclease 7 small subunit	53.6552
UniRef50_Q7N0J8: Exodeoxyribonuclease 7 small subunit|unclassified	53.6552
UniRef50_D1AWS8: DNA repair protein RadC	53.5482
UniRef50_D1AWS8: DNA repair protein RadC|unclassified	53.5482
UniRef50_Q98QA2	53.5199
UniRef50_Q98QA2|unclassified	53.5199
UniRef50_C6V407: RmuC domain protein	53.2616
UniRef50_C6V407: RmuC domain protein|unclassified	53.2616
UniRef50_UPI00035E56FD: hypothetical protein	53.2176
UniRef50_UPI00035E56FD: hypothetical protein|unclassified	53.2176
UniRef50_D7CPX9: DNA repair protein RadC	53.2166
UniRef50_D7CPX9: DNA repair protein RadC|unclassified	53.2166
UniRef50_M7ALI3: DNA repair protein radC (Fragment)	53.1324
UniRef50_M7ALI3: DNA repair protein radC (Fragment)|unclassified	53.1324
UniRef50_D1B826	53.1201
UniRef50_D1B826|unclassified	53.1201
UniRef50_G4LES1: AsmA family protein	53.0802
UniRef50_G4LES1: AsmA family protein|unclassified	53.0802
UniRef50_F3FNG4	53.0732
UniRef50_F3FNG4|unclassified	53.0732
UniRef50_E5BNV9: RecF/RecN/SMC N-terminal domain protein	53.0548
UniRef50_E5BNV9: RecF/RecN/SMC N-terminal domain protein|unclassified	53.0548
UniRef50_UPI00046ED832: DNA polymerase V	53.0286
UniRef50_UPI00046ED832: DNA polymerase V|unclassified	53.0286
UniRef50_A1WW54: AsmA family protein	52.9423
UniRef50_A1WW54: AsmA family protein|unclassified	52.9423
UniRef50_J9FS76: DNA repair protein RadC	52.863
UniRef50_J9FS76: DNA repair protein RadC|unclassified	52.863
UniRef50_F9EPQ5: DNA repair protein RadC-like protein (Fragment)	52.8322
UniRef50_F9EPQ5: DNA repair protein RadC-like protein (Fragment)|unclassified	52.8322
UniRef50_F4L2C3: RmuC-domain protein	52.8253
UniRef50_F4L2C3: RmuC-domain protein|unclassified	52.8253
UniRef50_Q0S487: Possible DNA recombination protein, RmuC family protein	52.8164
UniRef50_Q0S487: Possible DNA recombination protein, RmuC family protein|unclassified	52.8164
UniRef50_C0R5Y5	52.8114
UniRef50_C0R5Y5|unclassified	52.8114
UniRef50_W0JJG0: DNA recombination protein RmuC	52.8085
UniRef50_W0JJG0: DNA recombination protein RmuC|unclassified	52.8085
UniRef50_V6SBH2: Putative DNA repair protein	52.7081
UniRef50_V6SBH2: Putative DNA repair protein|unclassified	52.7081
UniRef50_A5KVB2: DNA repair protein RadC	52.6963
UniRef50_A5KVB2: DNA repair protein RadC|unclassified	52.6963
UniRef50_Q21LY8	52.6128
UniRef50_Q21LY8|unclassified	52.6128
UniRef50_E9S0W6	52.5985
UniRef50_E9S0W6|unclassified	52.5985
UniRef50_Q0TNF2	52.5945
UniRef50_Q0TNF2|unclassified	52.5945
UniRef50_UPI0003C4D18F: PREDICTED: A/G-specific adenine DNA glycosylase	52.5306
UniRef50_UPI0003C4D18F: PREDICTED: A/G-specific adenine DNA glycosylase|unclassified	52.5306
UniRef50_UPI0003603640: recombinase RecT	52.369
UniRef50_UPI0003603640: recombinase RecT|unclassified	52.369
UniRef50_R6XGE4: RhuM protein	52.319
UniRef50_R6XGE4: RhuM protein|unclassified	52.319
UniRef50_Q1IRU2	52.3038
UniRef50_Q1IRU2|unclassified	52.3038
UniRef50_K4TK95	52.3032
UniRef50_K4TK95|unclassified	52.3032
UniRef50_UPI000262C99E: hypothetical protein	52.2557
UniRef50_UPI000262C99E: hypothetical protein|unclassified	52.2557
UniRef50_C5ZYS9: DNA recombination protein RmuC family protein	52.2544
UniRef50_C5ZYS9: DNA recombination protein RmuC family protein|unclassified	52.2544
UniRef50_UPI00036EF866: hypothetical protein, partial	52.2452
UniRef50_UPI00036EF866: hypothetical protein, partial|unclassified	52.2452
UniRef50_R7F074: DNA recombination protein RmuC family protein	52.1911
UniRef50_R7F074: DNA recombination protein RmuC family protein|unclassified	52.1911
UniRef50_D4DSD5	52.1528
UniRef50_D4DSD5|unclassified	52.1528
UniRef50_X8C9Q2	52.1518
UniRef50_X8C9Q2|unclassified	52.1518
UniRef50_UPI0003F89235: exodeoxyribonuclease VII	52.1417
UniRef50_UPI0003F89235: exodeoxyribonuclease VII|unclassified	52.1417
UniRef50_Q6ADU8: Exodeoxyribonuclease 7 small subunit	52.1141
UniRef50_Q6ADU8: Exodeoxyribonuclease 7 small subunit|unclassified	52.1141
UniRef50_U2YX21: DNA repair protein RadC	52.0691
UniRef50_U2YX21: DNA repair protein RadC|unclassified	52.0691
UniRef50_UPI00037CB8EF: hypothetical protein	52.0314
UniRef50_UPI00037CB8EF: hypothetical protein|unclassified	52.0314
UniRef50_UPI000371173E: hypothetical protein	52.0096
UniRef50_UPI000371173E: hypothetical protein|unclassified	52.0096
UniRef50_UPI00036A8075: hypothetical protein	51.9305
UniRef50_UPI00036A8075: hypothetical protein|unclassified	51.9305
UniRef50_UPI00046D4F30: hypothetical protein	51.7768
UniRef50_UPI00046D4F30: hypothetical protein|unclassified	51.7768
UniRef50_A9BIK5: DNA repair protein RadC	51.7555
UniRef50_A9BIK5: DNA repair protein RadC|unclassified	51.7555
UniRef50_B6Y7G0: DNA repair protein RadC	51.7086
UniRef50_B6Y7G0: DNA repair protein RadC|unclassified	51.7086
UniRef50_UPI0003758C7A: hypothetical protein	51.6663
UniRef50_UPI0003758C7A: hypothetical protein|unclassified	51.6663
UniRef50_D0Z918: DNA repair protein	51.5338
UniRef50_D0Z918: DNA repair protein|unclassified	51.5338
UniRef50_R6S1S8	51.5267
UniRef50_R6S1S8|unclassified	51.5267
UniRef50_Q6ADV5	51.5024
UniRef50_Q6ADV5|unclassified	51.5024
UniRef50_V7Z7E9	51.435
UniRef50_V7Z7E9|unclassified	51.435
UniRef50_UPI00024917E1: metallophosphoesterase	51.4346
UniRef50_UPI00024917E1: metallophosphoesterase|unclassified	51.4346
UniRef50_UPI0003B578A9: recombinase RmuC	51.3636
UniRef50_UPI0003B578A9: recombinase RmuC|unclassified	51.3636
UniRef50_UPI000467ECE8: hypothetical protein	51.344
UniRef50_UPI000467ECE8: hypothetical protein|unclassified	51.344
UniRef50_R5US02: DNA repair protein RadC	51.3398
UniRef50_R5US02: DNA repair protein RadC|unclassified	51.3398
UniRef50_A4J8M9: HEAT domain containing protein	51.3171
UniRef50_A4J8M9: HEAT domain containing protein|unclassified	51.3171
UniRef50_B8GN64: Exodeoxyribonuclease 7 small subunit	51.2593
UniRef50_B8GN64: Exodeoxyribonuclease 7 small subunit|unclassified	51.2593
UniRef50_J2Q3C1: DNA repair protein radc	51.2281
UniRef50_J2Q3C1: DNA repair protein radc|unclassified	51.2281
UniRef50_D5B926: DNA double-strand break repair rad50 ATPase	51.1622
UniRef50_D5B926: DNA double-strand break repair rad50 ATPase|unclassified	51.1622
UniRef50_UPI00031281EC: hypothetical protein	51.1474
UniRef50_UPI00031281EC: hypothetical protein|unclassified	51.1474
UniRef50_X1EFY4: Marine sediment metagenome DNA, contig: S01H4_S22305	51.1398
UniRef50_X1EFY4: Marine sediment metagenome DNA, contig: S01H4_S22305|unclassified	51.1398
UniRef50_A9ITB6: Exodeoxyribonuclease 7 small subunit	51.1351
UniRef50_A9ITB6: Exodeoxyribonuclease 7 small subunit|unclassified	51.1351
UniRef50_R6KCE4	51.09
UniRef50_R6KCE4|unclassified	51.09
UniRef50_U1WY67: DNA repair protein RadC family protein	51.0281
UniRef50_U1WY67: DNA repair protein RadC family protein|unclassified	51.0281
UniRef50_Q6F1D5: Exodeoxyribonuclease 7 large subunit	50.9643
UniRef50_Q6F1D5: Exodeoxyribonuclease 7 large subunit|unclassified	50.9643
UniRef50_D5EQU3: DNA repair protein RadC	50.9584
UniRef50_D5EQU3: DNA repair protein RadC|unclassified	50.9584
UniRef50_UPI0004713381: hypothetical protein	50.909
UniRef50_UPI0004713381: hypothetical protein|unclassified	50.909
UniRef50_UPI00021941E5: DNA repair exonuclease	50.8782
UniRef50_UPI00021941E5: DNA repair exonuclease|unclassified	50.8782
UniRef50_J1A4S8	50.8575
UniRef50_J1A4S8|unclassified	50.8575
UniRef50_N2A2E3	50.847
UniRef50_N2A2E3|unclassified	50.847
UniRef50_UPI000429AA40: hypothetical protein	50.6584
UniRef50_UPI000429AA40: hypothetical protein|unclassified	50.6584
UniRef50_UPI0002192C12: DNA polymerase IV	50.616
UniRef50_UPI0002192C12: DNA polymerase IV|unclassified	50.616
UniRef50_D0LRN7	50.5404
UniRef50_D0LRN7|unclassified	50.5404
UniRef50_A0RPQ7: RmuC family protein	50.4767
UniRef50_A0RPQ7: RmuC family protein|unclassified	50.4767
UniRef50_A1TJG0: DNA repair protein RadC	50.425
UniRef50_A1TJG0: DNA repair protein RadC|unclassified	50.425
UniRef50_D6GRN9: Putative DNA repair protein RadC	50.3685
UniRef50_D6GRN9: Putative DNA repair protein RadC|unclassified	50.3685
UniRef50_A1W7C1	50.3626
UniRef50_A1W7C1|unclassified	50.3626
UniRef50_Q6MEE1	50.3437
UniRef50_Q6MEE1|unclassified	50.3437
UniRef50_A1WWN7: AsmA family protein	50.2801
UniRef50_A1WWN7: AsmA family protein|unclassified	50.2801
UniRef50_C5C0V9	50.2713
UniRef50_C5C0V9|unclassified	50.2713
UniRef50_W1XJ42: Nuclease sbcCD subunit C (Fragment)	50.171
UniRef50_W1XJ42: Nuclease sbcCD subunit C (Fragment)|unclassified	50.171
UniRef50_Q31JF9: AsmA protein	50.1696
UniRef50_Q31JF9: AsmA protein|unclassified	50.1696
UniRef50_UPI0004711847: DNA polymerase	50.116
UniRef50_UPI0004711847: DNA polymerase|unclassified	50.116
UniRef50_UPI000309E565: hypothetical protein	50.0989
UniRef50_UPI000309E565: hypothetical protein|unclassified	50.0989
UniRef50_Q58015: Modification methylase MjaIII	50.0828
UniRef50_Q58015: Modification methylase MjaIII|unclassified	50.0828
UniRef50_R5TL95: RmuC domain protein	49.9875
UniRef50_R5TL95: RmuC domain protein|unclassified	49.9875
UniRef50_J9ZDB4: Putative DNA recombination protein, RmuC family	49.9385
UniRef50_J9ZDB4: Putative DNA recombination protein, RmuC family|unclassified	49.9385
UniRef50_UPI0002F272B4: hypothetical protein	49.9376
UniRef50_UPI0002F272B4: hypothetical protein|unclassified	49.9376
UniRef50_UPI00037B52AD: hypothetical protein	49.6522
UniRef50_UPI00037B52AD: hypothetical protein|unclassified	49.6522
UniRef50_F7V9N5: DNA repair protein RadC	49.6179
UniRef50_F7V9N5: DNA repair protein RadC|unclassified	49.6179
UniRef50_G0IV22: DNA repair protein RadC	49.5443
UniRef50_G0IV22: DNA repair protein RadC|unclassified	49.5443
UniRef50_UPI00047B938B: cysteine methyltransferase	49.5171
UniRef50_UPI00047B938B: cysteine methyltransferase|unclassified	49.5171
UniRef50_UPI00047913B3: endonuclease	49.5109
UniRef50_UPI00047913B3: endonuclease|unclassified	49.5109
UniRef50_UPI00036B533D: hypothetical protein	49.3933
UniRef50_UPI00036B533D: hypothetical protein|unclassified	49.3933
UniRef50_A9BLV4	49.3454
UniRef50_A9BLV4|unclassified	49.3454
UniRef50_E4T5Q6	49.2452
UniRef50_E4T5Q6|unclassified	49.2452
UniRef50_C5CKZ3	49.2329
UniRef50_C5CKZ3|unclassified	49.2329
UniRef50_R7PGF5	49.2124
UniRef50_R7PGF5|unclassified	49.2124
UniRef50_UPI0003B5914D: hypothetical protein	49.2118
UniRef50_UPI0003B5914D: hypothetical protein|unclassified	49.2118
UniRef50_UPI00037A3B37: hypothetical protein	49.2003
UniRef50_UPI00037A3B37: hypothetical protein|unclassified	49.2003
UniRef50_UPI00047521A7: hypothetical protein	49.1773
UniRef50_UPI00047521A7: hypothetical protein|unclassified	49.1773
UniRef50_B9L835: DNA recombination protein RmuC family protein	49.0327
UniRef50_B9L835: DNA recombination protein RmuC family protein|unclassified	49.0327
UniRef50_M3GBT7	48.9817
UniRef50_M3GBT7|unclassified	48.9817
UniRef50_K1ZNZ2	48.9392
UniRef50_K1ZNZ2|unclassified	48.9392
UniRef50_UPI00046CF35E: hypothetical protein	48.8944
UniRef50_UPI00046CF35E: hypothetical protein|unclassified	48.8944
UniRef50_Q9PFJ7: Exodeoxyribonuclease 7 small subunit	48.7691
UniRef50_Q9PFJ7: Exodeoxyribonuclease 7 small subunit|unclassified	48.7691
UniRef50_UPI0004723288: hypothetical protein, partial	48.6629
UniRef50_UPI0004723288: hypothetical protein, partial|unclassified	48.6629
UniRef50_B1ZRK9: DNA repair protein RadC	48.6605
UniRef50_B1ZRK9: DNA repair protein RadC|unclassified	48.6605
UniRef50_UPI00047BCA78: hypothetical protein	48.6443
UniRef50_UPI00047BCA78: hypothetical protein|unclassified	48.6443
UniRef50_F3L0Y2: DNA recombination protein RmuC	48.6003
UniRef50_F3L0Y2: DNA recombination protein RmuC|unclassified	48.6003
UniRef50_X1PDI6: Marine sediment metagenome DNA, contig: S06H3_S16864 (Fragment)	48.5079
UniRef50_X1PDI6: Marine sediment metagenome DNA, contig: S06H3_S16864 (Fragment)|unclassified	48.5079
UniRef50_W1EHK5: Alkylated DNA repair protein AlkB	48.4984
UniRef50_W1EHK5: Alkylated DNA repair protein AlkB|unclassified	48.4984
UniRef50_UPI00035CEEAA: hypothetical protein	48.4508
UniRef50_UPI00035CEEAA: hypothetical protein|unclassified	48.4508
UniRef50_D3UJB0: Putative DNA recombination protein	48.2909
UniRef50_D3UJB0: Putative DNA recombination protein|unclassified	48.2909
UniRef50_UPI0004082EB9: hypothetical protein	48.2045
UniRef50_UPI0004082EB9: hypothetical protein|unclassified	48.2045
UniRef50_X0ULZ2: Marine sediment metagenome DNA, contig: S01H1_S10406 (Fragment)	48.1979
UniRef50_X0ULZ2: Marine sediment metagenome DNA, contig: S01H1_S10406 (Fragment)|unclassified	48.1979
UniRef50_UPI00024923F7: modification methylase	48.1307
UniRef50_UPI00024923F7: modification methylase|unclassified	48.1307
UniRef50_UPI00046D209B: hypothetical protein	48.1076
UniRef50_UPI00046D209B: hypothetical protein|unclassified	48.1076
UniRef50_B0U3Y1: Exodeoxyribonuclease 7 small subunit	48.0524
UniRef50_B0U3Y1: Exodeoxyribonuclease 7 small subunit|unclassified	48.0524
UniRef50_UPI00024907DE: DNA repair protein RadC	48.0023
UniRef50_UPI00024907DE: DNA repair protein RadC|unclassified	48.0023
UniRef50_A6E7J3: DNA repair protein	47.978
UniRef50_A6E7J3: DNA repair protein|unclassified	47.978
UniRef50_D5UC03: SMC domain-containing protein	47.9561
UniRef50_D5UC03: SMC domain-containing protein|unclassified	47.9561
UniRef50_U8ZUQ5: UPF0758 protein	47.9449
UniRef50_U8ZUQ5: UPF0758 protein|unclassified	47.9449
UniRef50_F3KE52: DNA repair protein RadA	47.9097
UniRef50_F3KE52: DNA repair protein RadA|unclassified	47.9097
UniRef50_E7GD13	47.8905
UniRef50_E7GD13|unclassified	47.8905
UniRef50_A7HHD1: HEAT domain containing protein	47.8853
UniRef50_A7HHD1: HEAT domain containing protein|unclassified	47.8853
UniRef50_UPI000465CDFE: hypothetical protein	47.8459
UniRef50_UPI000465CDFE: hypothetical protein|unclassified	47.8459
UniRef50_Q5V474: Endonuclease V	47.7009
UniRef50_Q5V474: Endonuclease V|unclassified	47.7009
UniRef50_M1KWM8	47.6981
UniRef50_M1KWM8|unclassified	47.6981
UniRef50_A4G1L1	47.6841
UniRef50_A4G1L1|unclassified	47.6841
UniRef50_B7K126: BRCT domain protein	47.6708
UniRef50_B7K126: BRCT domain protein|unclassified	47.6708
UniRef50_K7RVB3: DNA recombination RmuC-like protein	47.4049
UniRef50_K7RVB3: DNA recombination RmuC-like protein|unclassified	47.4049
UniRef50_UPI000365D386: methylated-DNA-protein-cysteine methyltransferase	47.4048
UniRef50_UPI000365D386: methylated-DNA-protein-cysteine methyltransferase|unclassified	47.4048
UniRef50_K1YMU5	47.3876
UniRef50_K1YMU5|unclassified	47.3876
UniRef50_D4YY04	47.3505
UniRef50_D4YY04|unclassified	47.3505
UniRef50_U9VMV0: Dna recombination protein	47.297
UniRef50_U9VMV0: Dna recombination protein|unclassified	47.297
UniRef50_UPI0002485442: hypothetical protein	47.2494
UniRef50_UPI0002485442: hypothetical protein|unclassified	47.2494
UniRef50_R7DTR0: DNA repair protein RadC	47.196
UniRef50_R7DTR0: DNA repair protein RadC|unclassified	47.196
UniRef50_Q6M9K6	47.1719
UniRef50_Q6M9K6|unclassified	47.1719
UniRef50_W0DSV8: DNA recombination protein RmuC	47.1442
UniRef50_W0DSV8: DNA recombination protein RmuC|unclassified	47.1442
UniRef50_F0J4U6	47.1405
UniRef50_F0J4U6|unclassified	47.1405
UniRef50_UPI00017F38F2: BdrM	47.049
UniRef50_UPI00017F38F2: BdrM|unclassified	47.049
UniRef50_A1HTL6	47.0414
UniRef50_A1HTL6|unclassified	47.0414
UniRef50_UPI0001C37F77: UMUC domain protein DNA-repair protein	46.9887
UniRef50_UPI0001C37F77: UMUC domain protein DNA-repair protein|unclassified	46.9887
UniRef50_D1JEP0: Probable DNA repair protein radC homolog	46.9775
UniRef50_D1JEP0: Probable DNA repair protein radC homolog|unclassified	46.9775
UniRef50_Q6L1W6: Hypothetical DUF195 protein	46.8785
UniRef50_Q6L1W6: Hypothetical DUF195 protein|unclassified	46.8785
UniRef50_T0R0E0: RmuC domain protein	46.7442
UniRef50_T0R0E0: RmuC domain protein|unclassified	46.7442
UniRef50_UPI000362B8D4: hypothetical protein	46.7392
UniRef50_UPI000362B8D4: hypothetical protein|unclassified	46.7392
UniRef50_D1C5M5: Ser/Thr protein phosphatase family protein	46.683
UniRef50_D1C5M5: Ser/Thr protein phosphatase family protein|unclassified	46.683
UniRef50_UPI0003B4E41C: DNA polymerase V	46.6228
UniRef50_UPI0003B4E41C: DNA polymerase V|unclassified	46.6228
UniRef50_UPI000363432D: hypothetical protein	46.6225
UniRef50_UPI000363432D: hypothetical protein|unclassified	46.6225
UniRef50_H6R1S9: DNA repair protein RadC	46.6201
UniRef50_H6R1S9: DNA repair protein RadC|unclassified	46.6201
UniRef50_R6BUY8	46.6084
UniRef50_R6BUY8|unclassified	46.6084
UniRef50_UPI00035C521F: hypothetical protein	46.3094
UniRef50_UPI00035C521F: hypothetical protein|unclassified	46.3094
UniRef50_UPI00029AA5CD: DNA repair protein	46.2817
UniRef50_UPI00029AA5CD: DNA repair protein|unclassified	46.2817
UniRef50_UPI00036FA249: hypothetical protein	46.2594
UniRef50_UPI00036FA249: hypothetical protein|unclassified	46.2594
UniRef50_UPI0004796727: hypothetical protein	45.9189
UniRef50_UPI0004796727: hypothetical protein|unclassified	45.9189
UniRef50_A1VWD8	45.9074
UniRef50_A1VWD8|unclassified	45.9074
UniRef50_UPI0003731B15: hypothetical protein	45.9023
UniRef50_UPI0003731B15: hypothetical protein|unclassified	45.9023
UniRef50_B8KQ45: DNA repair protein RadC	45.8071
UniRef50_B8KQ45: DNA repair protein RadC|unclassified	45.8071
UniRef50_Q8KAE9: Exodeoxyribonuclease 7 small subunit	45.7825
UniRef50_Q8KAE9: Exodeoxyribonuclease 7 small subunit|unclassified	45.7825
UniRef50_X1VS83: Marine sediment metagenome DNA, contig: S12H4_S24989 (Fragment)	45.7805
UniRef50_X1VS83: Marine sediment metagenome DNA, contig: S12H4_S24989 (Fragment)|unclassified	45.7805
UniRef50_UPI000476CA07: 6-O-methylguanine DNA methyltransferase	45.7802
UniRef50_UPI000476CA07: 6-O-methylguanine DNA methyltransferase|unclassified	45.7802
UniRef50_J9GGN6: DNA recombination protein RmuC (Fragment)	45.7629
UniRef50_J9GGN6: DNA recombination protein RmuC (Fragment)|unclassified	45.7629
UniRef50_UPI00028948F2: exonuclease III	45.7048
UniRef50_UPI00028948F2: exonuclease III|unclassified	45.7048
UniRef50_UPI0002260012: DNA repair protein RadC	45.7031
UniRef50_UPI0002260012: DNA repair protein RadC|unclassified	45.7031
UniRef50_S6VHE0	45.6443
UniRef50_S6VHE0|unclassified	45.6443
UniRef50_UPI00040D8D1F: hypothetical protein	45.6394
UniRef50_UPI00040D8D1F: hypothetical protein|unclassified	45.6394
UniRef50_B2KEG6: DNA repair protein RadC	45.5902
UniRef50_B2KEG6: DNA repair protein RadC|unclassified	45.5902
UniRef50_R5S1X3: Putative DNA recombination protein RmuC	45.5488
UniRef50_R5S1X3: Putative DNA recombination protein RmuC|unclassified	45.5488
UniRef50_Q1QTA9	45.5347
UniRef50_Q1QTA9|unclassified	45.5347
UniRef50_B8HC96	45.5049
UniRef50_B8HC96|unclassified	45.5049
UniRef50_UPI00030B2610: hypothetical protein	45.4847
UniRef50_UPI00030B2610: hypothetical protein|unclassified	45.4847
UniRef50_M7NWT4: DNA recombination protein rmuC	45.4414
UniRef50_M7NWT4: DNA recombination protein rmuC|unclassified	45.4414
UniRef50_A6NZB7: DNA repair protein RadC	45.3779
UniRef50_A6NZB7: DNA repair protein RadC|unclassified	45.3779
UniRef50_B6WQ75: DNA repair protein RadC	45.3121
UniRef50_B6WQ75: DNA repair protein RadC|unclassified	45.3121
UniRef50_UPI0002F2F7C1: hypothetical protein	45.3029
UniRef50_UPI0002F2F7C1: hypothetical protein|unclassified	45.3029
UniRef50_F6FPI1: RmuC-domain protein	45.1285
UniRef50_F6FPI1: RmuC-domain protein|unclassified	45.1285
UniRef50_G2II26: DNA recombination protein RmuC	45.0903
UniRef50_G2II26: DNA recombination protein RmuC|unclassified	45.0903
UniRef50_R7B0N0	45.0824
UniRef50_R7B0N0|unclassified	45.0824
UniRef50_C1A518	45.0393
UniRef50_C1A518|unclassified	45.0393
UniRef50_T4UM40: RadC-like JAB domain protein	45.01
UniRef50_T4UM40: RadC-like JAB domain protein|unclassified	45.01
UniRef50_UPI00036775AC: hypothetical protein	44.9957
UniRef50_UPI00036775AC: hypothetical protein|unclassified	44.9957
UniRef50_E6RQ41: DNA recombination protein rmuC	44.9833
