# Gene Family	SampleDNA-replication_Abundance-CPM
UniRef50_Q984I1: Mlr7995 protein	63.2
UniRef50_Q984I1: Mlr7995 protein|unclassified	63.2
UniRef50_J7Q715: DNA polymerase III subunit delta	63.1686
UniRef50_J7Q715: DNA polymerase III subunit delta|unclassified	63.1686
UniRef50_C8M3D3	62.9984
UniRef50_C8M3D3|unclassified	62.9984
UniRef50_UPI0004670B7A: DNA primase, partial	62.915
UniRef50_UPI0004670B7A: DNA primase, partial|unclassified	62.915
UniRef50_G9W4G1: Primosomal protein I (Fragment)	62.8896
UniRef50_G9W4G1: Primosomal protein I (Fragment)|unclassified	62.8896
UniRef50_R7GNI7: DNA polymerase III delta' subunit	62.8555
UniRef50_R7GNI7: DNA polymerase III delta' subunit|unclassified	62.8555
UniRef50_UPI0003941979: prepilin peptidase	62.8319
UniRef50_UPI0003941979: prepilin peptidase|unclassified	62.8319
UniRef50_Q89AG8: DNA polymerase III subunit delta'	62.7919
UniRef50_Q89AG8: DNA polymerase III subunit delta'|unclassified	62.7919
UniRef50_UPI00037FC073: hypothetical protein	62.7841
UniRef50_UPI00037FC073: hypothetical protein|unclassified	62.7841
UniRef50_W8SRN2: Replication protein	62.5369
UniRef50_W8SRN2: Replication protein|unclassified	62.5369
UniRef50_E6A234	62.1495
UniRef50_E6A234|unclassified	62.1495
UniRef50_J7KPI9	62.1343
UniRef50_J7KPI9|unclassified	62.1343
UniRef50_J9FDD2: Secreted protein	62.119
UniRef50_J9FDD2: Secreted protein|unclassified	62.119
UniRef50_J2HQ06	62.0941
UniRef50_J2HQ06|unclassified	62.0941
UniRef50_C4GBZ0	62.0108
UniRef50_C4GBZ0|unclassified	62.0108
UniRef50_A4CQS4	61.9333
UniRef50_A4CQS4|unclassified	61.9333
UniRef50_UPI0003B4E06C: Holliday junction resolvase	61.848
UniRef50_UPI0003B4E06C: Holliday junction resolvase|unclassified	61.848
UniRef50_UPI00034DCF0E: DNA polymerase III subunit epsilon	61.7589
UniRef50_UPI00034DCF0E: DNA polymerase III subunit epsilon|unclassified	61.7589
UniRef50_X1KKK9: Marine sediment metagenome DNA, contig: S06H3_L07018 (Fragment)	61.7321
UniRef50_X1KKK9: Marine sediment metagenome DNA, contig: S06H3_L07018 (Fragment)|unclassified	61.7321
UniRef50_B3ES29	61.6361
UniRef50_B3ES29|unclassified	61.6361
UniRef50_Q89AC0: DNA polymerase III subunit delta	61.5803
UniRef50_Q89AC0: DNA polymerase III subunit delta|unclassified	61.5803
UniRef50_C4U3F7: Alpha replication protein of prophage (Fragment)	61.2435
UniRef50_C4U3F7: Alpha replication protein of prophage (Fragment)|unclassified	61.2435
UniRef50_Q5DY96	61.1744
UniRef50_Q5DY96|unclassified	61.1744
UniRef50_UPI00041D675E: DNA primase	61.1632
UniRef50_UPI00041D675E: DNA primase|unclassified	61.1632
UniRef50_W2EZX2: Primosome assembly protein PriA (Fragment)	61.0714
UniRef50_W2EZX2: Primosome assembly protein PriA (Fragment)|unclassified	61.0714
UniRef50_X1SWK0: Marine sediment metagenome DNA, contig: S12H4_L01019 (Fragment)	60.9575
UniRef50_X1SWK0: Marine sediment metagenome DNA, contig: S12H4_L01019 (Fragment)|unclassified	60.9575
UniRef50_D9VK39: Primosome assembly protein PriA	60.8852
UniRef50_D9VK39: Primosome assembly protein PriA|unclassified	60.8852
UniRef50_H5D6K4: Replication protein	60.8798
UniRef50_H5D6K4: Replication protein|unclassified	60.8798
UniRef50_K0HPP4	60.8479
UniRef50_K0HPP4|unclassified	60.8479
UniRef50_A7H905: Crossover junction endodeoxyribonuclease RuvC	60.8462
UniRef50_A7H905: Crossover junction endodeoxyribonuclease RuvC|unclassified	60.8462
UniRef50_UPI000477DD33: DNA polymerase III subunit delta''	60.8224
UniRef50_UPI000477DD33: DNA polymerase III subunit delta''|unclassified	60.8224
UniRef50_UPI000476F217: DNA replication protein	60.792
UniRef50_UPI000476F217: DNA replication protein|unclassified	60.792
UniRef50_UPI000382C01A: hypothetical protein	60.6696
UniRef50_UPI000382C01A: hypothetical protein|unclassified	60.6696
UniRef50_D4IXP2: DNA polymerase III, gamma/tau subunits	60.6606
UniRef50_D4IXP2: DNA polymerase III, gamma/tau subunits|unclassified	60.6606
UniRef50_UPI00031B2126: hypothetical protein	60.613
UniRef50_UPI00031B2126: hypothetical protein|unclassified	60.613
UniRef50_I2MV87: Primosome assembly protein PriA	60.5889
UniRef50_I2MV87: Primosome assembly protein PriA|unclassified	60.5889
UniRef50_D8FGA3	60.5646
UniRef50_D8FGA3|unclassified	60.5646
UniRef50_X1EXF3: Marine sediment metagenome DNA, contig: S03H2_L05784 (Fragment)	60.5352
UniRef50_X1EXF3: Marine sediment metagenome DNA, contig: S03H2_L05784 (Fragment)|unclassified	60.5352
UniRef50_UPI0004648130: primosome assembly protein PriA	60.4361
UniRef50_UPI0004648130: primosome assembly protein PriA|unclassified	60.4361
UniRef50_UPI00034CB94F: hypothetical protein	60.325
UniRef50_UPI00034CB94F: hypothetical protein|unclassified	60.325
UniRef50_UPI00046F2BB5: chromosomal replication initiation protein, partial	60.3233
UniRef50_UPI00046F2BB5: chromosomal replication initiation protein, partial|unclassified	60.3233
UniRef50_D4T1Y8	60.2255
UniRef50_D4T1Y8|unclassified	60.2255
UniRef50_UPI0003B7804B: exonuclease	60.1559
UniRef50_UPI0003B7804B: exonuclease|unclassified	60.1559
UniRef50_UPI0004023117: helicase DnaB	60.1274
UniRef50_UPI0004023117: helicase DnaB|unclassified	60.1274
UniRef50_X1IFH3: Marine sediment metagenome DNA, contig: S03H2_S17051 (Fragment)	60.0017
UniRef50_X1IFH3: Marine sediment metagenome DNA, contig: S03H2_S17051 (Fragment)|unclassified	60.0017
UniRef50_UPI0003B47579: DNA primase	59.893
UniRef50_UPI0003B47579: DNA primase|unclassified	59.893
UniRef50_B0UH92	59.7807
UniRef50_B0UH92|unclassified	59.7807
UniRef50_I7RGC3: Poxvirus D5-like family protein	59.7649
UniRef50_I7RGC3: Poxvirus D5-like family protein|unclassified	59.7649
UniRef50_UPI000468A97D: DNA polymerase III subunit alpha	59.7486
UniRef50_UPI000468A97D: DNA polymerase III subunit alpha|unclassified	59.7486
UniRef50_R4LWK0	59.7071
UniRef50_R4LWK0|unclassified	59.7071
UniRef50_D0W0F6	59.7067
UniRef50_D0W0F6|unclassified	59.7067
UniRef50_F9EPL3	59.6562
UniRef50_F9EPL3|unclassified	59.6562
UniRef50_Q84BA4	59.4514
UniRef50_Q84BA4|unclassified	59.4514
UniRef50_UPI0003CF9F0C: hypothetical protein P148_SR1C00001G1062	59.1403
UniRef50_UPI0003CF9F0C: hypothetical protein P148_SR1C00001G1062|unclassified	59.1403
UniRef50_G1UMU8	58.9408
UniRef50_G1UMU8|unclassified	58.9408
UniRef50_UPI00035FD935: hypothetical protein	58.8671
UniRef50_UPI00035FD935: hypothetical protein|unclassified	58.8671
UniRef50_UPI000470ED73: hypothetical protein	58.8426
UniRef50_UPI000470ED73: hypothetical protein|unclassified	58.8426
UniRef50_UPI000306DCD3: hypothetical protein	58.7641
UniRef50_UPI000306DCD3: hypothetical protein|unclassified	58.7641
UniRef50_X1IQH4: Marine sediment metagenome DNA, contig: S03H2_S06272 (Fragment)	58.7159
UniRef50_X1IQH4: Marine sediment metagenome DNA, contig: S03H2_S06272 (Fragment)|unclassified	58.7159
UniRef50_A6NVA3	58.6064
UniRef50_A6NVA3|unclassified	58.6064
UniRef50_F8UHN8: DNA polymerase III alpha subunit (Fragment)	58.5882
UniRef50_F8UHN8: DNA polymerase III alpha subunit (Fragment)|unclassified	58.5882
UniRef50_UPI0003781003: hypothetical protein	58.533
UniRef50_UPI0003781003: hypothetical protein|unclassified	58.533
UniRef50_F6DWI0: Circadian clock protein KaiC central region	58.5125
UniRef50_F6DWI0: Circadian clock protein KaiC central region|unclassified	58.5125
UniRef50_UPI000472E74A: hypothetical protein	58.3312
UniRef50_UPI000472E74A: hypothetical protein|unclassified	58.3312
UniRef50_P33655: DNA primase	58.2482
UniRef50_P33655: DNA primase|unclassified	58.2482
UniRef50_V2XPS1	58.1801
UniRef50_V2XPS1|unclassified	58.1801
UniRef50_R8ANR6: Primosomal replication protein N	58.1417
UniRef50_R8ANR6: Primosomal replication protein N|unclassified	58.1417
UniRef50_UPI00036831C7: hypothetical protein	58.0976
UniRef50_UPI00036831C7: hypothetical protein|unclassified	58.0976
UniRef50_I0K2C2: DNA polymerase III gamma/tau subunits-like protein	57.9221
UniRef50_I0K2C2: DNA polymerase III gamma/tau subunits-like protein|unclassified	57.9221
UniRef50_I3IFW7: Zinc finger CHC2-family protein	57.8986
UniRef50_I3IFW7: Zinc finger CHC2-family protein|unclassified	57.8986
UniRef50_A0A011Q3G3: Excinuclease cho	57.8108
UniRef50_A0A011Q3G3: Excinuclease cho|unclassified	57.8108
UniRef50_UPI000345905F: hypothetical protein	57.3456
UniRef50_UPI000345905F: hypothetical protein|unclassified	57.3456
UniRef50_W7WSK3	57.3058
UniRef50_W7WSK3|unclassified	57.3058
UniRef50_UPI0004723727: hypothetical protein	57.1339
UniRef50_UPI0004723727: hypothetical protein|unclassified	57.1339
UniRef50_T0ZNP2: Inner membrane protein (Fragment)	57.0181
UniRef50_T0ZNP2: Inner membrane protein (Fragment)|unclassified	57.0181
UniRef50_B2UP63: Crossover junction endodeoxyribonuclease RuvC	56.9512
UniRef50_B2UP63: Crossover junction endodeoxyribonuclease RuvC|unclassified	56.9512
UniRef50_UPI00037FF4E8: hypothetical protein	56.8902
UniRef50_UPI00037FF4E8: hypothetical protein|unclassified	56.8902
UniRef50_D2U367: Phage primase	56.7978
UniRef50_D2U367: Phage primase|unclassified	56.7978
UniRef50_UPI0003804843: hypothetical protein	56.7636
UniRef50_UPI0003804843: hypothetical protein|unclassified	56.7636
UniRef50_G2NEN1: Putative phiRv2 prophage protein	56.7205
UniRef50_G2NEN1: Putative phiRv2 prophage protein|unclassified	56.7205
UniRef50_R6XW43: Primosomal protein N	56.5933
UniRef50_R6XW43: Primosomal protein N|unclassified	56.5933
UniRef50_U1G7S7: DNA polymerase III, delta' subunit (Fragment)	56.4968
UniRef50_U1G7S7: DNA polymerase III, delta' subunit (Fragment)|unclassified	56.4968
UniRef50_UPI0003B35118: hypothetical protein	56.4278
UniRef50_UPI0003B35118: hypothetical protein|unclassified	56.4278
UniRef50_UPI000255D7C4: DNA polymerase III subunit delta''''	56.4134
UniRef50_UPI000255D7C4: DNA polymerase III subunit delta''''|unclassified	56.4134
UniRef50_A1AQW8: TOPRIM domain protein	56.3764
UniRef50_A1AQW8: TOPRIM domain protein|unclassified	56.3764
UniRef50_B4SMD1: Virulence-associated E family protein	56.373
UniRef50_B4SMD1: Virulence-associated E family protein|unclassified	56.373
UniRef50_UPI0002E90BFD: hypothetical protein	56.1758
UniRef50_UPI0002E90BFD: hypothetical protein|unclassified	56.1758
UniRef50_R9CE35: Primosomal protein DnaI	56.1172
UniRef50_R9CE35: Primosomal protein DnaI|unclassified	56.1172
UniRef50_A5ZAN8: Putative primosomal protein N	56.0998
UniRef50_A5ZAN8: Putative primosomal protein N|unclassified	56.0998
UniRef50_W7D9B6: Primosome assembly protein PriA	55.9638
UniRef50_W7D9B6: Primosome assembly protein PriA|unclassified	55.9638
UniRef50_UPI000466265B: DNA-directed DNA polymerase	55.7521
UniRef50_UPI000466265B: DNA-directed DNA polymerase|unclassified	55.7521
UniRef50_UPI00047EB9A0: DNA polymerase III subunit epsilon	55.5576
UniRef50_UPI00047EB9A0: DNA polymerase III subunit epsilon|unclassified	55.5576
UniRef50_UPI000300777B: hypothetical protein	55.5488
UniRef50_UPI000300777B: hypothetical protein|unclassified	55.5488
UniRef50_Q2LRA9: Holliday junction ATP-dependent DNA helicase RuvA	55.4604
UniRef50_Q2LRA9: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	55.4604
UniRef50_I0L1A9: Fragment of primosomal protein N' (Replication factor Y) (Part 1)	55.4603
UniRef50_I0L1A9: Fragment of primosomal protein N' (Replication factor Y) (Part 1)|unclassified	55.4603
UniRef50_Q6A780: Error-prone DNA polymerase	55.4563
UniRef50_Q6A780: Error-prone DNA polymerase|unclassified	55.4563
UniRef50_W4N528	55.3903
UniRef50_W4N528|unclassified	55.3903
UniRef50_UPI000372088C: hypothetical protein	55.351
UniRef50_UPI000372088C: hypothetical protein|unclassified	55.351
UniRef50_D6Z329: Phage/plasmid primase, P4 family	55.3505
UniRef50_D6Z329: Phage/plasmid primase, P4 family|unclassified	55.3505
UniRef50_F4QX23	55.3222
UniRef50_F4QX23|unclassified	55.3222
UniRef50_E7AGQ5	55.3113
UniRef50_E7AGQ5|unclassified	55.3113
UniRef50_UPI0003B56400: DNA polymerase III subunit delta''''	55.2317
UniRef50_UPI0003B56400: DNA polymerase III subunit delta''''|unclassified	55.2317
UniRef50_X5E3L2: Primosomal DnaI family protein	55.2032
UniRef50_X5E3L2: Primosomal DnaI family protein|unclassified	55.2032
UniRef50_Q4JTH1: Error-prone DNA polymerase	55.163
UniRef50_Q4JTH1: Error-prone DNA polymerase|unclassified	55.163
UniRef50_K1N8D3	54.9986
UniRef50_K1N8D3|unclassified	54.9986
UniRef50_N6ZL54: DNA polymerase III subunit epsilon (Fragment)	54.9486
UniRef50_N6ZL54: DNA polymerase III subunit epsilon (Fragment)|unclassified	54.9486
UniRef50_UPI00021922AC: DNA polymerase III subunit alpha, partial	54.6236
UniRef50_UPI00021922AC: DNA polymerase III subunit alpha, partial|unclassified	54.6236
UniRef50_W8UKV2	54.5952
UniRef50_W8UKV2|unclassified	54.5952
UniRef50_UPI0003756899: hypothetical protein, partial	54.5074
UniRef50_UPI0003756899: hypothetical protein, partial|unclassified	54.5074
UniRef50_UPI00037EA484: hypothetical protein	54.4903
UniRef50_UPI00037EA484: hypothetical protein|unclassified	54.4903
UniRef50_H5B2R1	54.2133
UniRef50_H5B2R1|unclassified	54.2133
UniRef50_UPI000465010B: hypothetical protein	54.2057
UniRef50_UPI000465010B: hypothetical protein|unclassified	54.2057
UniRef50_D4E0N2	54.1539
UniRef50_D4E0N2|unclassified	54.1539
UniRef50_R5UTQ6: DNA polymerase III delta' subunit	54.0082
UniRef50_R5UTQ6: DNA polymerase III delta' subunit|unclassified	54.0082
UniRef50_D0Z7P1	53.982
UniRef50_D0Z7P1|unclassified	53.982
UniRef50_Q7P260: Hypothetical Cytosolic Protein	53.9688
UniRef50_Q7P260: Hypothetical Cytosolic Protein|unclassified	53.9688
UniRef50_L1KWD9	53.9429
UniRef50_L1KWD9|unclassified	53.9429
UniRef50_X1TQ30: Marine sediment metagenome DNA, contig: S12H4_C05684 (Fragment)	53.9349
UniRef50_X1TQ30: Marine sediment metagenome DNA, contig: S12H4_C05684 (Fragment)|unclassified	53.9349
UniRef50_X1RRQ8: Marine sediment metagenome DNA, contig: S12H4_C05061 (Fragment)	53.8358
UniRef50_X1RRQ8: Marine sediment metagenome DNA, contig: S12H4_C05061 (Fragment)|unclassified	53.8358
UniRef50_UPI0001F85860: hypothetical protein	53.6624
UniRef50_UPI0001F85860: hypothetical protein|unclassified	53.6624
UniRef50_Q1QLR8: RecA-family ATPase-like protein	53.5776
UniRef50_Q1QLR8: RecA-family ATPase-like protein|unclassified	53.5776
UniRef50_R7CV21	53.4815
UniRef50_R7CV21|unclassified	53.4815
UniRef50_N2BPF7: DNA polymerase III, delta' subunit	53.4505
UniRef50_N2BPF7: DNA polymerase III, delta' subunit|unclassified	53.4505
UniRef50_UPI00016C5236: replicative DNA helicase	53.3095
UniRef50_UPI00016C5236: replicative DNA helicase|unclassified	53.3095
UniRef50_C3AMI8	53.2067
UniRef50_C3AMI8|unclassified	53.2067
UniRef50_R7QW94: DNA primase	53.1218
UniRef50_R7QW94: DNA primase|unclassified	53.1218
UniRef50_B7KMR1: DNA polymerase III delta prime subunit	53.0242
UniRef50_B7KMR1: DNA polymerase III delta prime subunit|unclassified	53.0242
UniRef50_M1JID5: Replication protein	52.8171
UniRef50_M1JID5: Replication protein|unclassified	52.8171
UniRef50_UPI00047CEA81: hypothetical protein, partial	52.7578
UniRef50_UPI00047CEA81: hypothetical protein, partial|unclassified	52.7578
UniRef50_B5YKF0: Holliday junction ATP-dependent DNA helicase RuvA	52.7194
UniRef50_B5YKF0: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	52.7194
UniRef50_UPI000382D0E4: hypothetical protein, partial	52.6263
UniRef50_UPI000382D0E4: hypothetical protein, partial|unclassified	52.6263
UniRef50_UPI00046F03E5: hypothetical protein	52.5923
UniRef50_UPI00046F03E5: hypothetical protein|unclassified	52.5923
UniRef50_UPI00046CC8A8: hypothetical protein	52.5489
UniRef50_UPI00046CC8A8: hypothetical protein|unclassified	52.5489
UniRef50_V0EHN4: DNA polymerase III	52.3626
UniRef50_V0EHN4: DNA polymerase III|unclassified	52.3626
UniRef50_UPI0003B79DC8: DNA polymerase III subunit chi	52.3251
UniRef50_UPI0003B79DC8: DNA polymerase III subunit chi|unclassified	52.3251
UniRef50_UPI00047825DC: DNA polymerase III	52.2556
UniRef50_UPI00047825DC: DNA polymerase III|unclassified	52.2556
UniRef50_A7GST1: DNA replication protein-like protein	52.2394
UniRef50_A7GST1: DNA replication protein-like protein|unclassified	52.2394
UniRef50_Q9LCV5: Atp operon (Fragment)	52.1294
UniRef50_Q9LCV5: Atp operon (Fragment)|unclassified	52.1294
UniRef50_Q5P4X8	52.0817
UniRef50_Q5P4X8|unclassified	52.0817
UniRef50_K1GSG1	52.0766
UniRef50_K1GSG1|unclassified	52.0766
UniRef50_W1IV61: Putative prophage primase	51.9665
UniRef50_W1IV61: Putative prophage primase|unclassified	51.9665
UniRef50_UPI00046F55A4: hypothetical protein	51.6682
UniRef50_UPI00046F55A4: hypothetical protein|unclassified	51.6682
UniRef50_F8IIY9: DNA polymerase III gamma/tau subunits-like protein	51.5372
UniRef50_F8IIY9: DNA polymerase III gamma/tau subunits-like protein|unclassified	51.5372
UniRef50_UPI00037E1561: hypothetical protein	51.5347
UniRef50_UPI00037E1561: hypothetical protein|unclassified	51.5347
UniRef50_UPI00016C0A50: DNA primase	51.4994
UniRef50_UPI00016C0A50: DNA primase|unclassified	51.4994
UniRef50_B9TJP1	51.3737
UniRef50_B9TJP1|unclassified	51.3737
UniRef50_R1IAA3: Chromosomal replication initiation protein (Fragment)	51.3326
UniRef50_R1IAA3: Chromosomal replication initiation protein (Fragment)|unclassified	51.3326
UniRef50_W1WLZ5: DNA replication protein DnaC (Fragment)	51.3305
UniRef50_W1WLZ5: DNA replication protein DnaC (Fragment)|unclassified	51.3305
UniRef50_W6JW22: Putative DNA polymerase III, delta' subunit	51.3157
UniRef50_W6JW22: Putative DNA polymerase III, delta' subunit|unclassified	51.3157
UniRef50_I4LR69: Primosome assembly protein PriA	51.3073
UniRef50_I4LR69: Primosome assembly protein PriA|unclassified	51.3073
UniRef50_A0A059ECM4	50.9932
UniRef50_A0A059ECM4|unclassified	50.9932
UniRef50_UPI000367B90A: hypothetical protein	50.9697
UniRef50_UPI000367B90A: hypothetical protein|unclassified	50.9697
UniRef50_UPI00020038EA: DNA polymerase III, delta prime subunit, partial	50.9519
UniRef50_UPI00020038EA: DNA polymerase III, delta prime subunit, partial|unclassified	50.9519
UniRef50_B9KYT2: Holliday junction ATP-dependent DNA helicase RuvA	50.9221
UniRef50_B9KYT2: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	50.9221
UniRef50_R4YEC0: Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432, complete genome	50.8724
UniRef50_R4YEC0: Klebsiella pneumoniae subsp. rhinoscleromatis strain SB3432, complete genome|unclassified	50.8724
UniRef50_R6FZN8: Putative DNA polymerase III delta' subunit	50.8449
UniRef50_R6FZN8: Putative DNA polymerase III delta' subunit|unclassified	50.8449
UniRef50_U5W5F2: Primosomal protein N	50.811
UniRef50_U5W5F2: Primosomal protein N|unclassified	50.811
UniRef50_UPI00016A8997: chromosomal replication initiation protein, partial	50.8085
UniRef50_UPI00016A8997: chromosomal replication initiation protein, partial|unclassified	50.8085
UniRef50_C0QKP5: Holliday junction ATP-dependent DNA helicase RuvA	50.7063
UniRef50_C0QKP5: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	50.7063
UniRef50_UPI000465CA86: DNA primase	50.5358
UniRef50_UPI000465CA86: DNA primase|unclassified	50.5358
UniRef50_U9A7U4	50.4892
UniRef50_U9A7U4|unclassified	50.4892
UniRef50_UPI00026292C4: Holliday junction resolvase	50.3935
UniRef50_UPI00026292C4: Holliday junction resolvase|unclassified	50.3935
UniRef50_A0LUF1: Primosomal protein N	50.389
UniRef50_A0LUF1: Primosomal protein N|unclassified	50.389
UniRef50_E6KPF4	50.3877
UniRef50_E6KPF4|unclassified	50.3877
UniRef50_V0PDV8	50.3782
UniRef50_V0PDV8|unclassified	50.3782
UniRef50_F9DDE8	50.3751
UniRef50_F9DDE8|unclassified	50.3751
UniRef50_V3SZ80: Phage O protein	50.3423
UniRef50_V3SZ80: Phage O protein|unclassified	50.3423
UniRef50_B1I477: Holliday junction ATP-dependent DNA helicase RuvA	50.3351
UniRef50_B1I477: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	50.3351
UniRef50_J4VXH7: DNA polymerase III, delta subunit	50.2336
UniRef50_J4VXH7: DNA polymerase III, delta subunit|unclassified	50.2336
UniRef50_U2QE58: Toprim-like protein (Fragment)	50.2275
UniRef50_U2QE58: Toprim-like protein (Fragment)|unclassified	50.2275
UniRef50_UPI000255CDD5: exonuclease	50.2212
UniRef50_UPI000255CDD5: exonuclease|unclassified	50.2212
UniRef50_UPI00036A6318: hypothetical protein	50.1954
UniRef50_UPI00036A6318: hypothetical protein|unclassified	50.1954
UniRef50_UPI000400F34A: hypothetical protein	50.1339
UniRef50_UPI000400F34A: hypothetical protein|unclassified	50.1339
UniRef50_UPI000429E038: DNA polymerase III subunit delta	50.1123
UniRef50_UPI000429E038: DNA polymerase III subunit delta|unclassified	50.1123
UniRef50_X1JIM0: Marine sediment metagenome DNA, contig: S03H2_S30394 (Fragment)	50.0046
UniRef50_X1JIM0: Marine sediment metagenome DNA, contig: S03H2_S30394 (Fragment)|unclassified	50.0046
UniRef50_F0SA60: DNA polymerase III gamma/tau subunit	49.9694
UniRef50_F0SA60: DNA polymerase III gamma/tau subunit|unclassified	49.9694
UniRef50_K9ZRK4: DNA polymerase III subunit delta	49.9679
UniRef50_K9ZRK4: DNA polymerase III subunit delta|unclassified	49.9679
UniRef50_D9VK38: Primosome assembly protein PriA	49.9017
UniRef50_D9VK38: Primosome assembly protein PriA|unclassified	49.9017
UniRef50_UPI00047EE787: hypothetical protein	49.88
UniRef50_UPI00047EE787: hypothetical protein|unclassified	49.88
UniRef50_E3JA44: Primosome assembly protein PriA	49.7099
UniRef50_E3JA44: Primosome assembly protein PriA|unclassified	49.7099
UniRef50_X1UPK0: Marine sediment metagenome DNA, contig: S12H4_S19964 (Fragment)	49.6804
UniRef50_X1UPK0: Marine sediment metagenome DNA, contig: S12H4_S19964 (Fragment)|unclassified	49.6804
UniRef50_V7ELE4	49.5961
UniRef50_V7ELE4|unclassified	49.5961
UniRef50_E4P0V4: PriA Primosomal protein	49.5691
UniRef50_E4P0V4: PriA Primosomal protein|unclassified	49.5691
UniRef50_E1KME4	49.3986
UniRef50_E1KME4|unclassified	49.3986
UniRef50_UPI00046E781C: hypothetical protein	49.3255
UniRef50_UPI00046E781C: hypothetical protein|unclassified	49.3255
UniRef50_E8U5I3: Primosomal protein N	49.2963
UniRef50_E8U5I3: Primosomal protein N|unclassified	49.2963
UniRef50_UPI0002192A1D: hypothetical protein, partial	49.2935
UniRef50_UPI0002192A1D: hypothetical protein, partial|unclassified	49.2935
UniRef50_J7L9X6: Putative primosome assembly protein PriA	49.2908
UniRef50_J7L9X6: Putative primosome assembly protein PriA|unclassified	49.2908
UniRef50_Q9X4D0: DNA primase	49.2707
UniRef50_Q9X4D0: DNA primase|unclassified	49.2707
UniRef50_UPI000382CC53: hypothetical protein	49.229
UniRef50_UPI000382CC53: hypothetical protein|unclassified	49.229
UniRef50_UPI0003801BDE: hypothetical protein	49.2002
UniRef50_UPI0003801BDE: hypothetical protein|unclassified	49.2002
UniRef50_UPI00046638AB: DNA primase	49.1917
UniRef50_UPI00046638AB: DNA primase|unclassified	49.1917
UniRef50_X1S690: Marine sediment metagenome DNA, contig: S12H4_S09635	49.1899
UniRef50_X1S690: Marine sediment metagenome DNA, contig: S12H4_S09635|unclassified	49.1899
UniRef50_W7SVU9: DNA polymerase III subunit alpha (Fragment)	49.1796
UniRef50_W7SVU9: DNA polymerase III subunit alpha (Fragment)|unclassified	49.1796
UniRef50_B0UGI3	48.9654
UniRef50_B0UGI3|unclassified	48.9654
UniRef50_Q5P8W9	48.9599
UniRef50_Q5P8W9|unclassified	48.9599
UniRef50_UPI00046AF4B2: hypothetical protein	48.884
UniRef50_UPI00046AF4B2: hypothetical protein|unclassified	48.884
UniRef50_F9H6B4	48.8835
UniRef50_F9H6B4|unclassified	48.8835
UniRef50_R8RRR9	48.8333
UniRef50_R8RRR9|unclassified	48.8333
UniRef50_C4SVS9	48.8125
UniRef50_C4SVS9|unclassified	48.8125
UniRef50_M5B9B6: Primosomal protein N	48.8084
UniRef50_M5B9B6: Primosomal protein N|unclassified	48.8084
UniRef50_UPI000470837A: hypothetical protein	48.755
UniRef50_UPI000470837A: hypothetical protein|unclassified	48.755
UniRef50_A8TUR1: ATPase involved in DNA replication	48.6909
UniRef50_A8TUR1: ATPase involved in DNA replication|unclassified	48.6909
UniRef50_A4FBI9: Primosomal protein N' (Replication factor Y)	48.6512
UniRef50_A4FBI9: Primosomal protein N' (Replication factor Y)|unclassified	48.6512
UniRef50_M0Q7R9	48.6287
UniRef50_M0Q7R9|unclassified	48.6287
UniRef50_UPI00037228A5: hypothetical protein	48.6151
UniRef50_UPI00037228A5: hypothetical protein|unclassified	48.6151
UniRef50_A8LYU6	48.4657
UniRef50_A8LYU6|unclassified	48.4657
UniRef50_D2PUJ8	48.4295
UniRef50_D2PUJ8|unclassified	48.4295
UniRef50_G4C252	48.3201
UniRef50_G4C252|unclassified	48.3201
UniRef50_F8XND3	48.2967
UniRef50_F8XND3|unclassified	48.2967
UniRef50_UPI00035FECB6: hypothetical protein	48.2617
UniRef50_UPI00035FECB6: hypothetical protein|unclassified	48.2617
UniRef50_U1ASU5	48.2552
UniRef50_U1ASU5|unclassified	48.2552
UniRef50_N1MQ41: DNA primase	48.2207
UniRef50_N1MQ41: DNA primase|unclassified	48.2207
UniRef50_R6K7K9	48.0423
UniRef50_R6K7K9|unclassified	48.0423
UniRef50_UPI0003B3B46E: Holliday junction DNA helicase RuvA	47.8573
UniRef50_UPI0003B3B46E: Holliday junction DNA helicase RuvA|unclassified	47.8573
UniRef50_UPI0003B2ED0B: hypothetical protein	47.7728
UniRef50_UPI0003B2ED0B: hypothetical protein|unclassified	47.7728
UniRef50_E4LJP7: Putative DNA polymerase III, delta' subunit	47.7437
UniRef50_E4LJP7: Putative DNA polymerase III, delta' subunit|unclassified	47.7437
UniRef50_UPI000479041A: DNA polymerase III subunit delta	47.6249
UniRef50_UPI000479041A: DNA polymerase III subunit delta|unclassified	47.6249
UniRef50_UPI00046EAAA3: DNA polymerase	47.58
UniRef50_UPI00046EAAA3: DNA polymerase|unclassified	47.58
UniRef50_W0AC18	47.5212
UniRef50_W0AC18|unclassified	47.5212
UniRef50_K8W2C7: Phage O protein family protein	47.4526
UniRef50_K8W2C7: Phage O protein family protein|unclassified	47.4526
UniRef50_A3WQJ1: DNA polymerase III, delta prime subunit, ATPase	47.4284
