# Gene Family	SampleDNA-replication_Abundance-RPKs
UniRef50_UPI00037A4777: hypothetical protein	19.3368742698
UniRef50_UPI00037A4777: hypothetical protein|unclassified	19.3368742698
UniRef50_D7BL54: DNA polymerase III, delta prime subunit	19.2767473435
UniRef50_D7BL54: DNA polymerase III, delta prime subunit|unclassified	19.2767473435
UniRef50_B7UM66: Predicted DNA primase	19.2378023666
UniRef50_B7UM66: Predicted DNA primase|unclassified	19.2378023666
UniRef50_UPI000479B63F: hypothetical protein	19.2305028739
UniRef50_UPI000479B63F: hypothetical protein|unclassified	19.2305028739
UniRef50_Q6MKB7: Holliday junction ATP-dependent DNA helicase RuvA	19.2016998510
UniRef50_Q6MKB7: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	19.2016998510
UniRef50_P52308: DNA primase	19.1925661212
UniRef50_P52308: DNA primase|unclassified	19.1925661212
UniRef50_UPI000346F555: hypothetical protein	19.1653464652
UniRef50_UPI000346F555: hypothetical protein|unclassified	19.1653464652
UniRef50_A3ZYH4: DNA polymerase III, tau/gamma subunit	19.1356877078
UniRef50_A3ZYH4: DNA polymerase III, tau/gamma subunit|unclassified	19.1356877078
UniRef50_B5H9T6: PhiRv2 prophage protein	19.1189585457
UniRef50_B5H9T6: PhiRv2 prophage protein|unclassified	19.1189585457
UniRef50_UPI000262A105: holliday junction resolvasome, DNA-binding subunit	19.1183950348
UniRef50_UPI000262A105: holliday junction resolvasome, DNA-binding subunit|unclassified	19.1183950348
UniRef50_B0MTE8	19.1078870809
UniRef50_B0MTE8|unclassified	19.1078870809
UniRef50_Q6A8K8: Holliday junction ATP-dependent DNA helicase RuvA	19.1026160707
UniRef50_Q6A8K8: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	19.1026160707
UniRef50_UPI0003B646B9: hypothetical protein	19.0981637003
UniRef50_UPI0003B646B9: hypothetical protein|unclassified	19.0981637003
UniRef50_E6MSP6	19.0838160899
UniRef50_E6MSP6|unclassified	19.0838160899
UniRef50_UPI000478FD34: hypothetical protein	19.0750704855
UniRef50_UPI000478FD34: hypothetical protein|unclassified	19.0750704855
UniRef50_K1FNY5	19.0554664646
UniRef50_K1FNY5|unclassified	19.0554664646
UniRef50_UPI00047AA443: hypothetical protein	19.0376794127
UniRef50_UPI00047AA443: hypothetical protein|unclassified	19.0376794127
UniRef50_UPI00037FFD2A: hypothetical protein	19.0322095092
UniRef50_UPI00037FFD2A: hypothetical protein|unclassified	19.0322095092
UniRef50_UPI0004737520: hypothetical protein, partial	19.0225666296
UniRef50_UPI0004737520: hypothetical protein, partial|unclassified	19.0225666296
UniRef50_V7Z5B9	19.0150996764
UniRef50_V7Z5B9|unclassified	19.0150996764
UniRef50_U6B8J7: DNA polymerase III delta prime subunit	18.9949697471
UniRef50_U6B8J7: DNA polymerase III delta prime subunit|unclassified	18.9949697471
UniRef50_UPI000219261C: DNA polymerase	18.9731191597
UniRef50_UPI000219261C: DNA polymerase|unclassified	18.9731191597
UniRef50_C8W0L1: TOPRIM domain protein	18.9653818680
UniRef50_C8W0L1: TOPRIM domain protein|unclassified	18.9653818680
UniRef50_B2J0C2	18.9271037584
UniRef50_B2J0C2|unclassified	18.9271037584
UniRef50_H7WIQ1: Cpp22 (Fragment)	18.8805812070
UniRef50_H7WIQ1: Cpp22 (Fragment)|unclassified	18.8805812070
UniRef50_UPI000466481B: DNA polymerase III subunit delta''	18.8705699629
UniRef50_UPI000466481B: DNA polymerase III subunit delta''|unclassified	18.8705699629
UniRef50_UPI0004651F13: hypothetical protein	18.8140479498
UniRef50_UPI0004651F13: hypothetical protein|unclassified	18.8140479498
UniRef50_K8BX54: Primosomal replication protein N prime prime	18.8040295492
UniRef50_K8BX54: Primosomal replication protein N prime prime|unclassified	18.8040295492
UniRef50_UPI000406D2F5: hypothetical protein	18.7893299898
UniRef50_UPI000406D2F5: hypothetical protein|unclassified	18.7893299898
UniRef50_R6M287	18.7634368828
UniRef50_R6M287|unclassified	18.7634368828
UniRef50_UPI00040BA8FC: hypothetical protein	18.7561231700
UniRef50_UPI00040BA8FC: hypothetical protein|unclassified	18.7561231700
UniRef50_N6YYZ3: DNA polymerase III subunit epsilon (Fragment)	18.6976438376
UniRef50_N6YYZ3: DNA polymerase III subunit epsilon (Fragment)|unclassified	18.6976438376
UniRef50_UPI0003455C16: DNA replication protein	18.6421334850
UniRef50_UPI0003455C16: DNA replication protein|unclassified	18.6421334850
UniRef50_UPI0003FBE481: hypothetical protein	18.5467782572
UniRef50_UPI0003FBE481: hypothetical protein|unclassified	18.5467782572
UniRef50_UPI0001C3966B: DNA polymerase III, alpha subunit, partial	18.5228730725
UniRef50_UPI0001C3966B: DNA polymerase III, alpha subunit, partial|unclassified	18.5228730725
UniRef50_UPI00047203D3: hypothetical protein	18.4296837760
UniRef50_UPI00047203D3: hypothetical protein|unclassified	18.4296837760
UniRef50_F3ZL53: Putative phiRv2 prophage protein	18.4155754594
UniRef50_F3ZL53: Putative phiRv2 prophage protein|unclassified	18.4155754594
UniRef50_UPI0002F58987: hypothetical protein	18.4008289050
UniRef50_UPI0002F58987: hypothetical protein|unclassified	18.4008289050
UniRef50_UPI0003EE731D: replication protein	18.3877777427
UniRef50_UPI0003EE731D: replication protein|unclassified	18.3877777427
UniRef50_W1YFN4: DNA polymerase III, alpha subunit (Fragment)	18.3224385085
UniRef50_W1YFN4: DNA polymerase III, alpha subunit (Fragment)|unclassified	18.3224385085
UniRef50_A5EXH7: Holliday junction ATP-dependent DNA helicase RuvA	18.3152174634
UniRef50_A5EXH7: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	18.3152174634
UniRef50_UPI000255B81E: DNA polymerase III subunit chi	18.2590771265
UniRef50_UPI000255B81E: DNA polymerase III subunit chi|unclassified	18.2590771265
UniRef50_UPI00034AABCF: hypothetical protein	18.2532912026
UniRef50_UPI00034AABCF: hypothetical protein|unclassified	18.2532912026
UniRef50_UPI0003B76E29: hypothetical protein	18.2514316913
UniRef50_UPI0003B76E29: hypothetical protein|unclassified	18.2514316913
UniRef50_UPI00046D6F54: hypothetical protein	18.2084361065
UniRef50_UPI00046D6F54: hypothetical protein|unclassified	18.2084361065
UniRef50_D4QP48	18.1332438131
UniRef50_D4QP48|unclassified	18.1332438131
UniRef50_UPI00047383AD: hypothetical protein, partial	18.1280537801
UniRef50_UPI00047383AD: hypothetical protein, partial|unclassified	18.1280537801
UniRef50_D3UXK7	18.1220971037
UniRef50_D3UXK7|unclassified	18.1220971037
UniRef50_U3QL37	18.1211115093
UniRef50_U3QL37|unclassified	18.1211115093
UniRef50_X1DV04: Marine sediment metagenome DNA, contig: S01H4_S21413 (Fragment)	18.1031249463
UniRef50_X1DV04: Marine sediment metagenome DNA, contig: S01H4_S21413 (Fragment)|unclassified	18.1031249463
UniRef50_K5A6I5: DNA primase (Fragment)	18.0897028429
UniRef50_K5A6I5: DNA primase (Fragment)|unclassified	18.0897028429
UniRef50_UPI0002559AE9: DNA polymerase III subunit epsilon	18.0737279543
UniRef50_UPI0002559AE9: DNA polymerase III subunit epsilon|unclassified	18.0737279543
UniRef50_UPI000367F3B5: hypothetical protein	18.0313027071
UniRef50_UPI000367F3B5: hypothetical protein|unclassified	18.0313027071
UniRef50_UPI00036843F9: hypothetical protein	17.9807448880
UniRef50_UPI00036843F9: hypothetical protein|unclassified	17.9807448880
UniRef50_J2KLC7	17.9069069379
UniRef50_J2KLC7|unclassified	17.9069069379
UniRef50_UPI0003EB2F24: alkaline-shock protein, partial	17.8711682725
UniRef50_UPI0003EB2F24: alkaline-shock protein, partial|unclassified	17.8711682725
UniRef50_UPI0003A9CAF9: chromosomal replication initiation protein	17.8552942428
UniRef50_UPI0003A9CAF9: chromosomal replication initiation protein|unclassified	17.8552942428
UniRef50_W1H3F1	17.8446955589
UniRef50_W1H3F1|unclassified	17.8446955589
UniRef50_UPI000364C56E: hypothetical protein	17.8169864596
UniRef50_UPI000364C56E: hypothetical protein|unclassified	17.8169864596
UniRef50_C9PSG0	17.8066113013
UniRef50_C9PSG0|unclassified	17.8066113013
UniRef50_K9IEX4: DNA replication factor Y	17.8036263614
UniRef50_K9IEX4: DNA replication factor Y|unclassified	17.8036263614
UniRef50_B0G2N3	17.7914230456
UniRef50_B0G2N3|unclassified	17.7914230456
UniRef50_T7IXU2	17.7634510298
UniRef50_T7IXU2|unclassified	17.7634510298
UniRef50_B6YQP6: DNA polymerase III delta' subunit	17.7565272662
UniRef50_B6YQP6: DNA polymerase III delta' subunit|unclassified	17.7565272662
UniRef50_X1NIW4: Marine sediment metagenome DNA, contig: S06H3_S04538	17.7530083124
UniRef50_X1NIW4: Marine sediment metagenome DNA, contig: S06H3_S04538|unclassified	17.7530083124
UniRef50_B0USW7	17.7426442285
UniRef50_B0USW7|unclassified	17.7426442285
UniRef50_UPI00037C3791: hypothetical protein	17.7359050628
UniRef50_UPI00037C3791: hypothetical protein|unclassified	17.7359050628
UniRef50_UPI0001FFF256: primosomal protein n'''' pria, partial	17.7357858008
UniRef50_UPI0001FFF256: primosomal protein n'''' pria, partial|unclassified	17.7357858008
UniRef50_UPI00046A7BEE: exonuclease	17.7288917297
UniRef50_UPI00046A7BEE: exonuclease|unclassified	17.7288917297
UniRef50_B1MVT2: ATPase involved in DNA replication	17.7098584457
UniRef50_B1MVT2: ATPase involved in DNA replication|unclassified	17.7098584457
UniRef50_P72856: DNA polymerase III subunit beta	17.6864291349
UniRef50_P72856: DNA polymerase III subunit beta|unclassified	17.6864291349
UniRef50_F8K522	17.6235344224
UniRef50_F8K522|unclassified	17.6235344224
UniRef50_UPI0004046E67: hypothetical protein	17.6178723307
UniRef50_UPI0004046E67: hypothetical protein|unclassified	17.6178723307
UniRef50_UPI00036E9A37: hypothetical protein	17.5712401980
UniRef50_UPI00036E9A37: hypothetical protein|unclassified	17.5712401980
UniRef50_X1N5H1: Marine sediment metagenome DNA, contig: S06H3_S09134 (Fragment)	17.5097426029
UniRef50_X1N5H1: Marine sediment metagenome DNA, contig: S06H3_S09134 (Fragment)|unclassified	17.5097426029
UniRef50_H1QN31: Primosome assembly protein PriA (Fragment)	17.4978806157
UniRef50_H1QN31: Primosome assembly protein PriA (Fragment)|unclassified	17.4978806157
UniRef50_UPI00029A9156: DNA polymerase III subunit alpha, partial	17.4927042662
UniRef50_UPI00029A9156: DNA polymerase III subunit alpha, partial|unclassified	17.4927042662
UniRef50_UPI00041B9202: hypothetical protein	17.4821365935
UniRef50_UPI00041B9202: hypothetical protein|unclassified	17.4821365935
UniRef50_F3LCC1	17.4735520346
UniRef50_F3LCC1|unclassified	17.4735520346
UniRef50_F4M7M9	17.4674764108
UniRef50_F4M7M9|unclassified	17.4674764108
UniRef50_Q98J31: Mll2129 protein	17.4568530838
UniRef50_Q98J31: Mll2129 protein|unclassified	17.4568530838
UniRef50_UPI0003622C90: hypothetical protein	17.4146766196
UniRef50_UPI0003622C90: hypothetical protein|unclassified	17.4146766196
UniRef50_W1U0I6: Primosomal protein N (Fragment)	17.3952609434
UniRef50_W1U0I6: Primosomal protein N (Fragment)|unclassified	17.3952609434
UniRef50_UPI00035D3A17: hypothetical protein	17.3862259643
UniRef50_UPI00035D3A17: hypothetical protein|unclassified	17.3862259643
UniRef50_E4UAB9: Primosomal protein N	17.3860349797
UniRef50_E4UAB9: Primosomal protein N|unclassified	17.3860349797
UniRef50_X5DF39: DNA polymerase III subunit delta	17.3551389804
UniRef50_X5DF39: DNA polymerase III subunit delta|unclassified	17.3551389804
UniRef50_U2UNU7	17.3241197100
UniRef50_U2UNU7|unclassified	17.3241197100
UniRef50_UPI0003B5B74D: hypothetical protein	17.3230946907
UniRef50_UPI0003B5B74D: hypothetical protein|unclassified	17.3230946907
UniRef50_D3CZV3: DNA polymerase III alpha subunit-like protein	17.2889370122
UniRef50_D3CZV3: DNA polymerase III alpha subunit-like protein|unclassified	17.2889370122
UniRef50_UPI00047C0064: hypothetical protein, partial	17.2465122000
UniRef50_UPI00047C0064: hypothetical protein, partial|unclassified	17.2465122000
UniRef50_D2NPK2: ATPase involved in DNA replication	17.2280461828
UniRef50_D2NPK2: ATPase involved in DNA replication|unclassified	17.2280461828
UniRef50_M6I0D8	17.2003606924
UniRef50_M6I0D8|unclassified	17.2003606924
UniRef50_UPI000474F274: DNA polymerase III subunit epsilon	17.1869563160
UniRef50_UPI000474F274: DNA polymerase III subunit epsilon|unclassified	17.1869563160
UniRef50_W7E2W5: DNA polymerase III subunit alpha	17.1366034033
UniRef50_W7E2W5: DNA polymerase III subunit alpha|unclassified	17.1366034033
UniRef50_P47256	17.0686284420
UniRef50_P47256|unclassified	17.0686284420
UniRef50_UPI00037450A2: hypothetical protein, partial	17.0567380167
UniRef50_UPI00037450A2: hypothetical protein, partial|unclassified	17.0567380167
UniRef50_C3JCU0	17.0446165751
UniRef50_C3JCU0|unclassified	17.0446165751
UniRef50_H8CZG1: Cpp22 (Fragment)	17.0400843141
UniRef50_H8CZG1: Cpp22 (Fragment)|unclassified	17.0400843141
UniRef50_C0R1L6: Crossover junction endodeoxyribonuclease RuvC	17.0330782320
UniRef50_C0R1L6: Crossover junction endodeoxyribonuclease RuvC|unclassified	17.0330782320
UniRef50_B0S3A9	16.9830353243
UniRef50_B0S3A9|unclassified	16.9830353243
UniRef50_UPI0003B3F78F: DNA primase	16.9794651324
UniRef50_UPI0003B3F78F: DNA primase|unclassified	16.9794651324
UniRef50_UPI00036F9F51: hypothetical protein	16.9789774007
UniRef50_UPI00036F9F51: hypothetical protein|unclassified	16.9789774007
UniRef50_UPI00016C60DA: DNA polymerase III	16.9743498715
UniRef50_UPI00016C60DA: DNA polymerase III|unclassified	16.9743498715
UniRef50_J9FZH0: DNA polymerase III, gamma and tau subunit	16.9683408845
UniRef50_J9FZH0: DNA polymerase III, gamma and tau subunit|unclassified	16.9683408845
UniRef50_T0SGR4	16.9515966148
UniRef50_T0SGR4|unclassified	16.9515966148
UniRef50_UPI00047D74C3: hypothetical protein	16.9177690122
UniRef50_UPI00047D74C3: hypothetical protein|unclassified	16.9177690122
UniRef50_UPI0002196832: DNA polymerase III, delta prime subunit	16.8954872605
UniRef50_UPI0002196832: DNA polymerase III, delta prime subunit|unclassified	16.8954872605
UniRef50_UPI0004786BC8: hypothetical protein	16.8851516282
UniRef50_UPI0004786BC8: hypothetical protein|unclassified	16.8851516282
UniRef50_UPI000471B010: hypothetical protein	16.8839226582
UniRef50_UPI000471B010: hypothetical protein|unclassified	16.8839226582
UniRef50_G1WAM2	16.8590420926
UniRef50_G1WAM2|unclassified	16.8590420926
UniRef50_X1PB71: Marine sediment metagenome DNA, contig: S06H3_S13125 (Fragment)	16.8527558508
UniRef50_X1PB71: Marine sediment metagenome DNA, contig: S06H3_S13125 (Fragment)|unclassified	16.8527558508
UniRef50_UPI000360693A: hypothetical protein	16.8230755908
UniRef50_UPI000360693A: hypothetical protein|unclassified	16.8230755908
UniRef50_Q984I1: Mlr7995 protein	16.8165370188
UniRef50_Q984I1: Mlr7995 protein|unclassified	16.8165370188
UniRef50_J7Q715: DNA polymerase III subunit delta	16.8081916085
UniRef50_J7Q715: DNA polymerase III subunit delta|unclassified	16.8081916085
UniRef50_C8M3D3	16.7629158551
UniRef50_C8M3D3|unclassified	16.7629158551
UniRef50_UPI0004670B7A: DNA primase, partial	16.7407161714
UniRef50_UPI0004670B7A: DNA primase, partial|unclassified	16.7407161714
UniRef50_G9W4G1: Primosomal protein I (Fragment)	16.7339617535
UniRef50_G9W4G1: Primosomal protein I (Fragment)|unclassified	16.7339617535
UniRef50_R7GNI7: DNA polymerase III delta' subunit	16.7248846758
UniRef50_R7GNI7: DNA polymerase III delta' subunit|unclassified	16.7248846758
UniRef50_UPI0003941979: prepilin peptidase	16.7185960364
UniRef50_UPI0003941979: prepilin peptidase|unclassified	16.7185960364
UniRef50_Q89AG8: DNA polymerase III subunit delta'	16.7079496065
UniRef50_Q89AG8: DNA polymerase III subunit delta'|unclassified	16.7079496065
UniRef50_UPI00037FC073: hypothetical protein	16.7058853788
UniRef50_UPI00037FC073: hypothetical protein|unclassified	16.7058853788
UniRef50_W8SRN2: Replication protein	16.6400986574
UniRef50_W8SRN2: Replication protein|unclassified	16.6400986574
UniRef50_E6A234	16.5370388873
UniRef50_E6A234|unclassified	16.5370388873
UniRef50_J7KPI9	16.5329961095
UniRef50_J7KPI9|unclassified	16.5329961095
UniRef50_J9FDD2: Secreted protein	16.5289256198
UniRef50_J9FDD2: Secreted protein|unclassified	16.5289256198
UniRef50_J2HQ06	16.5222980697
UniRef50_J2HQ06|unclassified	16.5222980697
UniRef50_C4GBZ0	16.5001107027
UniRef50_C4GBZ0|unclassified	16.5001107027
UniRef50_A4CQS4	16.4795024950
UniRef50_A4CQS4|unclassified	16.4795024950
UniRef50_UPI0003B4E06C: Holliday junction resolvase	16.4567945824
UniRef50_UPI0003B4E06C: Holliday junction resolvase|unclassified	16.4567945824
UniRef50_UPI00034DCF0E: DNA polymerase III subunit epsilon	16.4331071488
UniRef50_UPI00034DCF0E: DNA polymerase III subunit epsilon|unclassified	16.4331071488
UniRef50_X1KKK9: Marine sediment metagenome DNA, contig: S06H3_L07018 (Fragment)	16.4259617319
UniRef50_X1KKK9: Marine sediment metagenome DNA, contig: S06H3_L07018 (Fragment)|unclassified	16.4259617319
UniRef50_B3ES29	16.4004281947
UniRef50_B3ES29|unclassified	16.4004281947
UniRef50_Q89AC0: DNA polymerase III subunit delta	16.3855717060
UniRef50_Q89AC0: DNA polymerase III subunit delta|unclassified	16.3855717060
UniRef50_C4U3F7: Alpha replication protein of prophage (Fragment)	16.2959558502
UniRef50_C4U3F7: Alpha replication protein of prophage (Fragment)|unclassified	16.2959558502
UniRef50_Q5DY96	16.2775680745
UniRef50_Q5DY96|unclassified	16.2775680745
UniRef50_UPI00041D675E: DNA primase	16.2745786221
UniRef50_UPI00041D675E: DNA primase|unclassified	16.2745786221
UniRef50_W2EZX2: Primosome assembly protein PriA (Fragment)	16.2501584018
UniRef50_W2EZX2: Primosome assembly protein PriA (Fragment)|unclassified	16.2501584018
UniRef50_X1SWK0: Marine sediment metagenome DNA, contig: S12H4_L01019 (Fragment)	16.2198502264
UniRef50_X1SWK0: Marine sediment metagenome DNA, contig: S12H4_L01019 (Fragment)|unclassified	16.2198502264
UniRef50_D9VK39: Primosome assembly protein PriA	16.2006225933
UniRef50_D9VK39: Primosome assembly protein PriA|unclassified	16.2006225933
UniRef50_H5D6K4: Replication protein	16.1991741112
UniRef50_H5D6K4: Replication protein|unclassified	16.1991741112
UniRef50_K0HPP4	16.1907047770
UniRef50_K0HPP4|unclassified	16.1907047770
UniRef50_A7H905: Crossover junction endodeoxyribonuclease RuvC	16.1902521511
UniRef50_A7H905: Crossover junction endodeoxyribonuclease RuvC|unclassified	16.1902521511
UniRef50_UPI000477DD33: DNA polymerase III subunit delta''	16.1839132196
UniRef50_UPI000477DD33: DNA polymerase III subunit delta''|unclassified	16.1839132196
UniRef50_UPI000476F217: DNA replication protein	16.1758269034
UniRef50_UPI000476F217: DNA replication protein|unclassified	16.1758269034
UniRef50_UPI000382C01A: hypothetical protein	16.1432454886
UniRef50_UPI000382C01A: hypothetical protein|unclassified	16.1432454886
UniRef50_D4IXP2: DNA polymerase III, gamma/tau subunits	16.1408605571
UniRef50_D4IXP2: DNA polymerase III, gamma/tau subunits|unclassified	16.1408605571
UniRef50_UPI00031B2126: hypothetical protein	16.1281933846
UniRef50_UPI00031B2126: hypothetical protein|unclassified	16.1281933846
UniRef50_I2MV87: Primosome assembly protein PriA	16.1217647819
UniRef50_I2MV87: Primosome assembly protein PriA|unclassified	16.1217647819
UniRef50_D8FGA3	16.1153067305
UniRef50_D8FGA3|unclassified	16.1153067305
UniRef50_X1EXF3: Marine sediment metagenome DNA, contig: S03H2_L05784 (Fragment)	16.1074822708
UniRef50_X1EXF3: Marine sediment metagenome DNA, contig: S03H2_L05784 (Fragment)|unclassified	16.1074822708
UniRef50_UPI0004648130: primosome assembly protein PriA	16.0811062065
UniRef50_UPI0004648130: primosome assembly protein PriA|unclassified	16.0811062065
UniRef50_UPI00034CB94F: hypothetical protein	16.0515572862
UniRef50_UPI00034CB94F: hypothetical protein|unclassified	16.0515572862
UniRef50_UPI00046F2BB5: chromosomal replication initiation protein, partial	16.0511087270
UniRef50_UPI00046F2BB5: chromosomal replication initiation protein, partial|unclassified	16.0511087270
UniRef50_D4T1Y8	16.0250680816
UniRef50_D4T1Y8|unclassified	16.0250680816
UniRef50_UPI0003B7804B: exonuclease	16.0065604137
UniRef50_UPI0003B7804B: exonuclease|unclassified	16.0065604137
UniRef50_UPI0004023117: helicase DnaB	15.9989679940
UniRef50_UPI0004023117: helicase DnaB|unclassified	15.9989679940
UniRef50_X1IFH3: Marine sediment metagenome DNA, contig: S03H2_S17051 (Fragment)	15.9655275860
UniRef50_X1IFH3: Marine sediment metagenome DNA, contig: S03H2_S17051 (Fragment)|unclassified	15.9655275860
UniRef50_UPI0003B47579: DNA primase	15.9366090724
UniRef50_UPI0003B47579: DNA primase|unclassified	15.9366090724
UniRef50_B0UH92	15.9067221808
UniRef50_B0UH92|unclassified	15.9067221808
UniRef50_I7RGC3: Poxvirus D5-like family protein	15.9025260870
UniRef50_I7RGC3: Poxvirus D5-like family protein|unclassified	15.9025260870
UniRef50_UPI000468A97D: DNA polymerase III subunit alpha	15.8981910812
UniRef50_UPI000468A97D: DNA polymerase III subunit alpha|unclassified	15.8981910812
UniRef50_R4LWK0	15.8871541318
UniRef50_R4LWK0|unclassified	15.8871541318
UniRef50_D0W0F6	15.8870391096
UniRef50_D0W0F6|unclassified	15.8870391096
UniRef50_F9EPL3	15.8736025249
UniRef50_F9EPL3|unclassified	15.8736025249
UniRef50_Q84BA4	15.8191176148
UniRef50_Q84BA4|unclassified	15.8191176148
UniRef50_UPI0003CF9F0C: hypothetical protein P148_SR1C00001G1062	15.7363284143
UniRef50_UPI0003CF9F0C: hypothetical protein P148_SR1C00001G1062|unclassified	15.7363284143
UniRef50_G1UMU8	15.6832508845
UniRef50_G1UMU8|unclassified	15.6832508845
UniRef50_UPI00035FD935: hypothetical protein	15.6636311036
UniRef50_UPI00035FD935: hypothetical protein|unclassified	15.6636311036
UniRef50_UPI000470ED73: hypothetical protein	15.6571123178
UniRef50_UPI000470ED73: hypothetical protein|unclassified	15.6571123178
UniRef50_UPI000306DCD3: hypothetical protein	15.6362248662
UniRef50_UPI000306DCD3: hypothetical protein|unclassified	15.6362248662
UniRef50_X1IQH4: Marine sediment metagenome DNA, contig: S03H2_S06272 (Fragment)	15.6233918040
UniRef50_X1IQH4: Marine sediment metagenome DNA, contig: S03H2_S06272 (Fragment)|unclassified	15.6233918040
UniRef50_A6NVA3	15.5942536249
UniRef50_A6NVA3|unclassified	15.5942536249
UniRef50_F8UHN8: DNA polymerase III alpha subunit (Fragment)	15.5894222991
UniRef50_F8UHN8: DNA polymerase III alpha subunit (Fragment)|unclassified	15.5894222991
UniRef50_UPI0003781003: hypothetical protein	15.5747363380
UniRef50_UPI0003781003: hypothetical protein|unclassified	15.5747363380
UniRef50_F6DWI0: Circadian clock protein KaiC central region	15.5692694213
UniRef50_F6DWI0: Circadian clock protein KaiC central region|unclassified	15.5692694213
UniRef50_UPI000472E74A: hypothetical protein	15.5210386092
UniRef50_UPI000472E74A: hypothetical protein|unclassified	15.5210386092
UniRef50_P33655: DNA primase	15.4989421187
UniRef50_P33655: DNA primase|unclassified	15.4989421187
UniRef50_V2XPS1	15.4808383983
UniRef50_V2XPS1|unclassified	15.4808383983
UniRef50_R8ANR6: Primosomal replication protein N	15.4706177438
UniRef50_R8ANR6: Primosomal replication protein N|unclassified	15.4706177438
UniRef50_UPI00036831C7: hypothetical protein	15.4588705613
UniRef50_UPI00036831C7: hypothetical protein|unclassified	15.4588705613
UniRef50_I0K2C2: DNA polymerase III gamma/tau subunits-like protein	15.4121712591
UniRef50_I0K2C2: DNA polymerase III gamma/tau subunits-like protein|unclassified	15.4121712591
UniRef50_I3IFW7: Zinc finger CHC2-family protein	15.4059275203
UniRef50_I3IFW7: Zinc finger CHC2-family protein|unclassified	15.4059275203
UniRef50_A0A011Q3G3: Excinuclease cho	15.3825789559
UniRef50_A0A011Q3G3: Excinuclease cho|unclassified	15.3825789559
UniRef50_UPI000345905F: hypothetical protein	15.2587898713
UniRef50_UPI000345905F: hypothetical protein|unclassified	15.2587898713
UniRef50_W7WSK3	15.2482014590
UniRef50_W7WSK3|unclassified	15.2482014590
UniRef50_UPI0004723727: hypothetical protein	15.2024591169
UniRef50_UPI0004723727: hypothetical protein|unclassified	15.2024591169
UniRef50_T0ZNP2: Inner membrane protein (Fragment)	15.1716370204
UniRef50_T0ZNP2: Inner membrane protein (Fragment)|unclassified	15.1716370204
UniRef50_B2UP63: Crossover junction endodeoxyribonuclease RuvC	15.1538443787
UniRef50_B2UP63: Crossover junction endodeoxyribonuclease RuvC|unclassified	15.1538443787
UniRef50_UPI00037FF4E8: hypothetical protein	15.1376022474
UniRef50_UPI00037FF4E8: hypothetical protein|unclassified	15.1376022474
UniRef50_D2U367: Phage primase	15.1130289921
UniRef50_D2U367: Phage primase|unclassified	15.1130289921
UniRef50_UPI0003804843: hypothetical protein	15.1039198688
UniRef50_UPI0003804843: hypothetical protein|unclassified	15.1039198688
UniRef50_G2NEN1: Putative phiRv2 prophage protein	15.0924556762
UniRef50_G2NEN1: Putative phiRv2 prophage protein|unclassified	15.0924556762
UniRef50_R6XW43: Primosomal protein N	15.0586068494
UniRef50_R6XW43: Primosomal protein N|unclassified	15.0586068494
UniRef50_U1G7S7: DNA polymerase III, delta' subunit (Fragment)	15.0329313510
UniRef50_U1G7S7: DNA polymerase III, delta' subunit (Fragment)|unclassified	15.0329313510
UniRef50_UPI0003B35118: hypothetical protein	15.0145612029
UniRef50_UPI0003B35118: hypothetical protein|unclassified	15.0145612029
UniRef50_UPI000255D7C4: DNA polymerase III subunit delta''''	15.0107421206
UniRef50_UPI000255D7C4: DNA polymerase III subunit delta''''|unclassified	15.0107421206
UniRef50_A1AQW8: TOPRIM domain protein	15.0008957812
UniRef50_A1AQW8: TOPRIM domain protein|unclassified	15.0008957812
UniRef50_B4SMD1: Virulence-associated E family protein	14.9999773923
UniRef50_B4SMD1: Virulence-associated E family protein|unclassified	14.9999773923
UniRef50_UPI0002E90BFD: hypothetical protein	14.9475070381
UniRef50_UPI0002E90BFD: hypothetical protein|unclassified	14.9475070381
UniRef50_R9CE35: Primosomal protein DnaI	14.9319279754
UniRef50_R9CE35: Primosomal protein DnaI|unclassified	14.9319279754
UniRef50_A5ZAN8: Putative primosomal protein N	14.9273047954
UniRef50_A5ZAN8: Putative primosomal protein N|unclassified	14.9273047954
UniRef50_W7D9B6: Primosome assembly protein PriA	14.8911061467
UniRef50_W7D9B6: Primosome assembly protein PriA|unclassified	14.8911061467
UniRef50_UPI000466265B: DNA-directed DNA polymerase	14.8347702427
UniRef50_UPI000466265B: DNA-directed DNA polymerase|unclassified	14.8347702427
UniRef50_UPI00047EB9A0: DNA polymerase III subunit epsilon	14.7830118570
UniRef50_UPI00047EB9A0: DNA polymerase III subunit epsilon|unclassified	14.7830118570
UniRef50_UPI000300777B: hypothetical protein	14.7806891702
UniRef50_UPI000300777B: hypothetical protein|unclassified	14.7806891702
UniRef50_Q2LRA9: Holliday junction ATP-dependent DNA helicase RuvA	14.7571633158
UniRef50_Q2LRA9: Holliday junction ATP-dependent DNA helicase RuvA|unclassified	14.7571633158
UniRef50_I0L1A9: Fragment of primosomal protein N' (Replication factor Y) (Part 1)	14.7571354664
UniRef50_I0L1A9: Fragment of primosomal protein N' (Replication factor Y) (Part 1)|unclassified	14.7571354664
