# Gene Family	SampleDNA_Repair_Base_Excision_Abundance-CPM
UniRef50_Q92383: DNA-3-methyladenine glycosylase 1	197.347
UniRef50_Q92383: DNA-3-methyladenine glycosylase 1|unclassified	197.347
UniRef50_D9SMV0: Phosphoesterase RecJ domain protein	197.03
UniRef50_D9SMV0: Phosphoesterase RecJ domain protein|unclassified	197.03
UniRef50_UPI0003781D54: hypothetical protein	196.09
UniRef50_UPI0003781D54: hypothetical protein|unclassified	196.09
UniRef50_G5P363	195.898
UniRef50_G5P363|unclassified	195.898
UniRef50_UPI00035DE328: hypothetical protein	195.525
UniRef50_UPI00035DE328: hypothetical protein|unclassified	195.525
UniRef50_U3P8I4	195.242
UniRef50_U3P8I4|unclassified	195.242
UniRef50_UPI00036A33BB: hypothetical protein	193.98
UniRef50_UPI00036A33BB: hypothetical protein|unclassified	193.98
UniRef50_X0YQG7: Marine sediment metagenome DNA, contig: S01H4_C00901 (Fragment)	193.31
UniRef50_X0YQG7: Marine sediment metagenome DNA, contig: S01H4_C00901 (Fragment)|unclassified	193.31
UniRef50_I4ETY2: DNA primase, small subunit	193.307
UniRef50_I4ETY2: DNA primase, small subunit|unclassified	193.307
UniRef50_UPI0003B2E335: DNA ligase	193.126
UniRef50_UPI0003B2E335: DNA ligase|unclassified	193.126
UniRef50_UPI00016C3887: DNA polymerase I, partial	192.667
UniRef50_UPI00016C3887: DNA polymerase I, partial|unclassified	192.667
UniRef50_UPI0003B49296: 5-hydroxymethyluracil DNA glycosylase	192.302
UniRef50_UPI0003B49296: 5-hydroxymethyluracil DNA glycosylase|unclassified	192.302
UniRef50_UPI000477944E: hypothetical protein	191.796
UniRef50_UPI000477944E: hypothetical protein|unclassified	191.796
UniRef50_UPI0004672EE3: hypothetical protein	191.666
UniRef50_UPI0004672EE3: hypothetical protein|unclassified	191.666
UniRef50_UPI00021949C6: endonuclease III, partial	191.403
UniRef50_UPI00021949C6: endonuclease III, partial|unclassified	191.403
UniRef50_UPI0004665912: hypothetical protein	191.359
UniRef50_UPI0004665912: hypothetical protein|unclassified	191.359
UniRef50_Q4FPL3: DNA ligase	190.325
UniRef50_Q4FPL3: DNA ligase|unclassified	190.325
UniRef50_H2JMJ7: Putative Ku70/Ku80 protein	189.483
UniRef50_H2JMJ7: Putative Ku70/Ku80 protein|unclassified	189.483
UniRef50_X0WL22: Marine sediment metagenome DNA, contig: S01H1_S25265 (Fragment)	187.848
UniRef50_X0WL22: Marine sediment metagenome DNA, contig: S01H1_S25265 (Fragment)|unclassified	187.848
UniRef50_Q9KAV6: 5'-3' exonuclease	187.733
UniRef50_Q9KAV6: 5'-3' exonuclease|unclassified	187.733
UniRef50_UPI000237A088: exodeoxyribonuclease I	187.685
UniRef50_UPI000237A088: exodeoxyribonuclease I|unclassified	187.685
UniRef50_UPI0004729365: hypothetical protein	187.435
UniRef50_UPI0004729365: hypothetical protein|unclassified	187.435
UniRef50_UPI00037ABF29: hypothetical protein	187.178
UniRef50_UPI00037ABF29: hypothetical protein|unclassified	187.178
UniRef50_UPI00035CE1F9: hypothetical protein, partial	186.469
UniRef50_UPI00035CE1F9: hypothetical protein, partial|unclassified	186.469
UniRef50_UPI000478E9D4: hypothetical protein	185.837
UniRef50_UPI000478E9D4: hypothetical protein|unclassified	185.837
UniRef50_UPI0004704207: hypothetical protein	185.643
UniRef50_UPI0004704207: hypothetical protein|unclassified	185.643
UniRef50_UPI00037ED16C: hypothetical protein	185.41
UniRef50_UPI00037ED16C: hypothetical protein|unclassified	185.41
UniRef50_UPI0002E8925E: hypothetical protein	185.316
UniRef50_UPI0002E8925E: hypothetical protein|unclassified	185.316
UniRef50_A3D5Y2: DNA ligase	184.973
UniRef50_A3D5Y2: DNA ligase|unclassified	184.973
UniRef50_Q8SQI1: Probable DNA-3-methyladenine glycosylase	184.806
UniRef50_Q8SQI1: Probable DNA-3-methyladenine glycosylase|unclassified	184.806
UniRef50_Q01WD4	184.8
UniRef50_Q01WD4|unclassified	184.8
UniRef50_UPI000289FD7E: formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase	184.684
UniRef50_UPI000289FD7E: formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase|unclassified	184.684
UniRef50_UPI000469BD51: 3''-5'' exonuclease	184.415
UniRef50_UPI000469BD51: 3''-5'' exonuclease|unclassified	184.415
UniRef50_UPI0003B5D73F: DNA glycosylase, partial	183.489
UniRef50_UPI0003B5D73F: DNA glycosylase, partial|unclassified	183.489
UniRef50_UPI0003B5366A: iron-sulfur cluster assembly protein HesB	183.448
UniRef50_UPI0003B5366A: iron-sulfur cluster assembly protein HesB|unclassified	183.448
UniRef50_P06225: DNA polymerase	183.423
UniRef50_P06225: DNA polymerase|unclassified	183.423
UniRef50_UPI00040E827D: hypothetical protein	182.746
UniRef50_UPI00040E827D: hypothetical protein|unclassified	182.746
UniRef50_F8XQF9	180.44
UniRef50_F8XQF9|unclassified	180.44
UniRef50_UPI000361E414: MULTISPECIES: hypothetical protein	180.148
UniRef50_UPI000361E414: MULTISPECIES: hypothetical protein|unclassified	180.148
UniRef50_G5K5J5	179.5
UniRef50_G5K5J5|unclassified	179.5
UniRef50_L8FSQ9	179.412
UniRef50_L8FSQ9|unclassified	179.412
UniRef50_UPI0004737581: hypothetical protein	178.5
UniRef50_UPI0004737581: hypothetical protein|unclassified	178.5
UniRef50_UPI000369A7C5: hypothetical protein	177.576
UniRef50_UPI000369A7C5: hypothetical protein|unclassified	177.576
UniRef50_UPI0002D29488: hypothetical protein	175.979
UniRef50_UPI0002D29488: hypothetical protein|unclassified	175.979
UniRef50_X1GPL2: Marine sediment metagenome DNA, contig: S03H2_L05540 (Fragment)	175.183
UniRef50_X1GPL2: Marine sediment metagenome DNA, contig: S03H2_L05540 (Fragment)|unclassified	175.183
UniRef50_Q2GDR2: DNA ligase	174.81
UniRef50_Q2GDR2: DNA ligase|unclassified	174.81
UniRef50_X5RBW9	174.131
UniRef50_X5RBW9|unclassified	174.131
UniRef50_B5YD88: Probable DNA ligase	173.996
UniRef50_B5YD88: Probable DNA ligase|unclassified	173.996
UniRef50_Q7N9N4: DNA ligase B	173.72
UniRef50_Q7N9N4: DNA ligase B|unclassified	173.72
UniRef50_I0HFQ8	173.588
UniRef50_I0HFQ8|unclassified	173.588
UniRef50_UPI0001BF5FAD: hypothetical protein SMAC_10553	172.128
UniRef50_UPI0001BF5FAD: hypothetical protein SMAC_10553|unclassified	172.128
UniRef50_UPI00039A3B03: hypothetical protein	171.984
UniRef50_UPI00039A3B03: hypothetical protein|unclassified	171.984
UniRef50_UPI0004729E6B: hypothetical protein, partial	171.613
UniRef50_UPI0004729E6B: hypothetical protein, partial|unclassified	171.613
UniRef50_UPI00035CE714: hypothetical protein	171.586
UniRef50_UPI00035CE714: hypothetical protein|unclassified	171.586
UniRef50_UPI0002492629: 3-methyladenine DNA glycosylase	171.535
UniRef50_UPI0002492629: 3-methyladenine DNA glycosylase|unclassified	171.535
UniRef50_UPI00017452AB: single-stranded-DNA-specific exonuclease RecJ	171.238
UniRef50_UPI00017452AB: single-stranded-DNA-specific exonuclease RecJ|unclassified	171.238
UniRef50_T0H709	170.839
UniRef50_T0H709|unclassified	170.839
UniRef50_UPI0003721A46: hypothetical protein	170.649
UniRef50_UPI0003721A46: hypothetical protein|unclassified	170.649
UniRef50_D8FCY6: DHH family protein (Fragment)	170.634
UniRef50_D8FCY6: DHH family protein (Fragment)|unclassified	170.634
UniRef50_UPI00037FEACF: hypothetical protein	169.598
UniRef50_UPI00037FEACF: hypothetical protein|unclassified	169.598
UniRef50_UPI00029AFC82: putative 3-methyladenine DNA glycosylase	169.079
UniRef50_UPI00029AFC82: putative 3-methyladenine DNA glycosylase|unclassified	169.079
UniRef50_UPI0003B4BACB: recombination protein RecJ	168.403
UniRef50_UPI0003B4BACB: recombination protein RecJ|unclassified	168.403
UniRef50_V7Z4N1	167.896
UniRef50_V7Z4N1|unclassified	167.896
UniRef50_UPI00037FD556: hypothetical protein	167.796
UniRef50_UPI00037FD556: hypothetical protein|unclassified	167.796
UniRef50_Z5XJI4	166.971
UniRef50_Z5XJI4|unclassified	166.971
UniRef50_E3IUU9: DNA polymerase LigD, polymerase domain protein	166.882
UniRef50_E3IUU9: DNA polymerase LigD, polymerase domain protein|unclassified	166.882
UniRef50_X0SAS8: Marine sediment metagenome DNA, contig: S01H1_L06568 (Fragment)	166.53
UniRef50_X0SAS8: Marine sediment metagenome DNA, contig: S01H1_L06568 (Fragment)|unclassified	166.53
UniRef50_UPI00035F3FC8: hypothetical protein	166.403
UniRef50_UPI00035F3FC8: hypothetical protein|unclassified	166.403
UniRef50_UPI0003B73A05: NAD-dependent DNA ligase LigA	165.696
UniRef50_UPI0003B73A05: NAD-dependent DNA ligase LigA|unclassified	165.696
UniRef50_UPI00047351C3: hypothetical protein, partial	165.347
UniRef50_UPI00047351C3: hypothetical protein, partial|unclassified	165.347
UniRef50_A5IY71: DNA ligase	164.517
UniRef50_A5IY71: DNA ligase|unclassified	164.517
UniRef50_Q50096: U650i	164.499
UniRef50_Q50096: U650i|unclassified	164.499
UniRef50_UPI0002D6696C: hypothetical protein	164.318
UniRef50_UPI0002D6696C: hypothetical protein|unclassified	164.318
UniRef50_A5IEV4	163.746
UniRef50_A5IEV4|unclassified	163.746
UniRef50_UPI00034D578E: hypothetical protein	163.558
UniRef50_UPI00034D578E: hypothetical protein|unclassified	163.558
UniRef50_UPI00046D3AA4: hypothetical protein	163.45
UniRef50_UPI00046D3AA4: hypothetical protein|unclassified	163.45
UniRef50_V6JF06	162.25
UniRef50_V6JF06|unclassified	162.25
UniRef50_UPI00037DE738: hypothetical protein	161.95
UniRef50_UPI00037DE738: hypothetical protein|unclassified	161.95
UniRef50_Q7NAF8: DNA ligase	161.617
UniRef50_Q7NAF8: DNA ligase|unclassified	161.617
UniRef50_UPI000362E665: hypothetical protein	161.213
UniRef50_UPI000362E665: hypothetical protein|unclassified	161.213
UniRef50_UPI00047240A4: hypothetical protein	160.997
UniRef50_UPI00047240A4: hypothetical protein|unclassified	160.997
UniRef50_UPI00037AA31A: hypothetical protein	160.954
UniRef50_UPI00037AA31A: hypothetical protein|unclassified	160.954
UniRef50_B1H072: DNA ligase	160.247
UniRef50_B1H072: DNA ligase|unclassified	160.247
UniRef50_UPI00047860CF: hypothetical protein	159.694
UniRef50_UPI00047860CF: hypothetical protein|unclassified	159.694
UniRef50_F7Z6Q4	159.576
UniRef50_F7Z6Q4|unclassified	159.576
UniRef50_Q6MGX6: Putative 3-methyladenine DNA glycosylase	159.128
UniRef50_Q6MGX6: Putative 3-methyladenine DNA glycosylase|unclassified	159.128
UniRef50_UPI0004736F5B: hypothetical protein, partial	159.042
UniRef50_UPI0004736F5B: hypothetical protein, partial|unclassified	159.042
UniRef50_UPI00037B3242: MULTISPECIES: hypothetical protein	158.655
UniRef50_UPI00037B3242: MULTISPECIES: hypothetical protein|unclassified	158.655
UniRef50_Q3JEY0: Putative 3-methyladenine DNA glycosylase	158.299
UniRef50_Q3JEY0: Putative 3-methyladenine DNA glycosylase|unclassified	158.299
UniRef50_Q01RU9: Formamidopyrimidine-DNA glycosylase	157.677
UniRef50_Q01RU9: Formamidopyrimidine-DNA glycosylase|unclassified	157.677
UniRef50_UPI00037D8CCB: hypothetical protein	156.423
UniRef50_UPI00037D8CCB: hypothetical protein|unclassified	156.423
UniRef50_UPI00047224A9: DNA ligase	156.357
UniRef50_UPI00047224A9: DNA ligase|unclassified	156.357
UniRef50_C6NRI4: Single-stranded-DNA-specific exonuclease recJ	155.534
UniRef50_C6NRI4: Single-stranded-DNA-specific exonuclease recJ|unclassified	155.534
UniRef50_UPI0003B4EF7E: DNA glycosylase	155.403
UniRef50_UPI0003B4EF7E: DNA glycosylase|unclassified	155.403
UniRef50_X1S9G8: Marine sediment metagenome DNA, contig: S12H4_L07088 (Fragment)	155.016
UniRef50_X1S9G8: Marine sediment metagenome DNA, contig: S12H4_L07088 (Fragment)|unclassified	155.016
UniRef50_Q7UKD1: DNA ligase	154.938
UniRef50_Q7UKD1: DNA ligase|unclassified	154.938
UniRef50_UPI00024933F1: single-stranded DNA-binding protein	154.785
UniRef50_UPI00024933F1: single-stranded DNA-binding protein|unclassified	154.785
UniRef50_UPI0002F49063: hypothetical protein	153.806
UniRef50_UPI0002F49063: hypothetical protein|unclassified	153.806
UniRef50_UPI0003B6CA2F: hypothetical protein	153.785
UniRef50_UPI0003B6CA2F: hypothetical protein|unclassified	153.785
UniRef50_UPI00047883C5: hypothetical protein	152.771
UniRef50_UPI00047883C5: hypothetical protein|unclassified	152.771
UniRef50_B0H019	152.743
UniRef50_B0H019|unclassified	152.743
UniRef50_UPI000344EB01: DNA-cytosine methyltransferase	152.41
UniRef50_UPI000344EB01: DNA-cytosine methyltransferase|unclassified	152.41
UniRef50_O83642: DNA ligase	151.887
UniRef50_O83642: DNA ligase|unclassified	151.887
UniRef50_B3PMJ0: DNA ligase	151.487
UniRef50_B3PMJ0: DNA ligase|unclassified	151.487
UniRef50_UPI00037C07C2: hypothetical protein, partial	151.448
UniRef50_UPI00037C07C2: hypothetical protein, partial|unclassified	151.448
UniRef50_UPI000364AD23: hypothetical protein, partial	151.034
UniRef50_UPI000364AD23: hypothetical protein, partial|unclassified	151.034
UniRef50_UPI00036B8518: hypothetical protein	151.027
UniRef50_UPI00036B8518: hypothetical protein|unclassified	151.027
UniRef50_Q5NYD7	150.994
UniRef50_Q5NYD7|unclassified	150.994
UniRef50_UPI00035DA3C4: hypothetical protein	150.737
UniRef50_UPI00035DA3C4: hypothetical protein|unclassified	150.737
UniRef50_G9EP19	149.806
UniRef50_G9EP19|unclassified	149.806
UniRef50_W6RWP2	149.614
UniRef50_W6RWP2|unclassified	149.614
UniRef50_UPI00029A398A: DNA-3-methyladenine glycosylase	149.246
UniRef50_UPI00029A398A: DNA-3-methyladenine glycosylase|unclassified	149.246
UniRef50_C6BUX8: Formamidopyrimidine-DNA glycosylase	149.242
UniRef50_C6BUX8: Formamidopyrimidine-DNA glycosylase|unclassified	149.242
UniRef50_UPI00016C4908: single-strand DNA-specific exonuclease	148.869
UniRef50_UPI00016C4908: single-strand DNA-specific exonuclease|unclassified	148.869
UniRef50_B8FKD5: DNA ligase	148.787
UniRef50_B8FKD5: DNA ligase|unclassified	148.787
UniRef50_UPI000472CA5C: hypothetical protein	148.594
UniRef50_UPI000472CA5C: hypothetical protein|unclassified	148.594
UniRef50_UPI00029AFB14: DNA ligase D	147.807
UniRef50_UPI00029AFB14: DNA ligase D|unclassified	147.807
UniRef50_UPI0004772ADB: hypothetical protein	147.46
UniRef50_UPI0004772ADB: hypothetical protein|unclassified	147.46
UniRef50_UPI000473810E: hypothetical protein, partial	146.485
UniRef50_UPI000473810E: hypothetical protein, partial|unclassified	146.485
UniRef50_UPI0001745069: ATP-dependent DNA ligase	146.236
UniRef50_UPI0001745069: ATP-dependent DNA ligase|unclassified	146.236
UniRef50_W4SUY4	144.833
UniRef50_W4SUY4|unclassified	144.833
UniRef50_UPI0003696A36: hypothetical protein	144.571
UniRef50_UPI0003696A36: hypothetical protein|unclassified	144.571
UniRef50_UPI0003B556B9: NAD-dependent DNA ligase LigA	144.384
UniRef50_UPI0003B556B9: NAD-dependent DNA ligase LigA|unclassified	144.384
UniRef50_X8BGJ7: DNA polymerase LigD domain protein	144.383
UniRef50_X8BGJ7: DNA polymerase LigD domain protein|unclassified	144.383
UniRef50_D9W4V4: Secreted protein	144.343
UniRef50_D9W4V4: Secreted protein|unclassified	144.343
UniRef50_UPI00047529F7: hypothetical protein, partial	144.19
UniRef50_UPI00047529F7: hypothetical protein, partial|unclassified	144.19
UniRef50_A7NMJ5	143.489
UniRef50_A7NMJ5|unclassified	143.489
UniRef50_Q1IXS9: Putative 3-methyladenine DNA glycosylase	142.911
UniRef50_Q1IXS9: Putative 3-methyladenine DNA glycosylase|unclassified	142.911
UniRef50_UPI00036505A6: ATP-dependent DNA ligase	142.776
UniRef50_UPI00036505A6: ATP-dependent DNA ligase|unclassified	142.776
UniRef50_R6J5D3	141.931
UniRef50_R6J5D3|unclassified	141.931
UniRef50_UPI00040AF6C9: hypothetical protein	141.572
UniRef50_UPI00040AF6C9: hypothetical protein|unclassified	141.572
UniRef50_UPI0004188562: hypothetical protein	141.017
UniRef50_UPI0004188562: hypothetical protein|unclassified	141.017
UniRef50_X1L3Z2: Marine sediment metagenome DNA, contig: S06H3_L02148 (Fragment)	140.784
UniRef50_X1L3Z2: Marine sediment metagenome DNA, contig: S06H3_L02148 (Fragment)|unclassified	140.784
UniRef50_H4EPV0	140.55
UniRef50_H4EPV0|unclassified	140.55
UniRef50_UPI00036635B8: hypothetical protein	140.011
UniRef50_UPI00036635B8: hypothetical protein|unclassified	140.011
UniRef50_U2RVN9	139.321
UniRef50_U2RVN9|unclassified	139.321
UniRef50_UPI0002002B64: methylpurine-DNA glycosylase (MPG)	138.757
UniRef50_UPI0002002B64: methylpurine-DNA glycosylase (MPG)|unclassified	138.757
UniRef50_A5CXB8: DNA ligase	138.326
UniRef50_A5CXB8: DNA ligase|unclassified	138.326
UniRef50_R9IEI0	137.856
UniRef50_R9IEI0|unclassified	137.856
UniRef50_UPI0004781178: hypothetical protein, partial	137.721
UniRef50_UPI0004781178: hypothetical protein, partial|unclassified	137.721
UniRef50_UPI000370B151: MULTISPECIES: hypothetical protein	137.701
UniRef50_UPI000370B151: MULTISPECIES: hypothetical protein|unclassified	137.701
UniRef50_D4DPF6	137.125
UniRef50_D4DPF6|unclassified	137.125
UniRef50_UPI00037E6AA0: hypothetical protein	137.125
UniRef50_UPI00037E6AA0: hypothetical protein|unclassified	137.125
UniRef50_UPI0004705827: hypothetical protein	137.122
UniRef50_UPI0004705827: hypothetical protein|unclassified	137.122
UniRef50_UPI0004677C47: DNA lyase	136.903
UniRef50_UPI0004677C47: DNA lyase|unclassified	136.903
UniRef50_UPI000375BEB0: hypothetical protein, partial	135.754
UniRef50_UPI000375BEB0: hypothetical protein, partial|unclassified	135.754
UniRef50_U3PA22	135.734
UniRef50_U3PA22|unclassified	135.734
UniRef50_UPI00036DAE0D: hypothetical protein	135.713
UniRef50_UPI00036DAE0D: hypothetical protein|unclassified	135.713
UniRef50_A9B1N9: Putative 3-methyladenine DNA glycosylase	135.389
UniRef50_A9B1N9: Putative 3-methyladenine DNA glycosylase|unclassified	135.389
UniRef50_UPI0002D49382: hypothetical protein	134.615
UniRef50_UPI0002D49382: hypothetical protein|unclassified	134.615
UniRef50_Q98QH2: DNA ligase	134.365
UniRef50_Q98QH2: DNA ligase|unclassified	134.365
UniRef50_UPI000380DA08: hypothetical protein	134.122
UniRef50_UPI000380DA08: hypothetical protein|unclassified	134.122
UniRef50_B4CTM4: Phosphoesterase RecJ domain protein	134.068
UniRef50_B4CTM4: Phosphoesterase RecJ domain protein|unclassified	134.068
UniRef50_UPI000465BEC1: hypothetical protein	133.939
UniRef50_UPI000465BEC1: hypothetical protein|unclassified	133.939
UniRef50_UPI0004781296: DNA-3-methyladenine glycosidase	133.74
UniRef50_UPI0004781296: DNA-3-methyladenine glycosidase|unclassified	133.74
UniRef50_UPI000364A579: hypothetical protein	133.547
UniRef50_UPI000364A579: hypothetical protein|unclassified	133.547
UniRef50_UPI00037E757E: hypothetical protein	133.2
UniRef50_UPI00037E757E: hypothetical protein|unclassified	133.2
UniRef50_F8A5P5: DNA polymerase LigD, polymerase domain protein	132.201
UniRef50_F8A5P5: DNA polymerase LigD, polymerase domain protein|unclassified	132.201
UniRef50_UPI0003460289: DNA polymerase	132.044
UniRef50_UPI0003460289: DNA polymerase|unclassified	132.044
UniRef50_UPI00035DF41E: hypothetical protein, partial	131.633
UniRef50_UPI00035DF41E: hypothetical protein, partial|unclassified	131.633
UniRef50_UPI00047239DC: hypothetical protein, partial	131.555
UniRef50_UPI00047239DC: hypothetical protein, partial|unclassified	131.555
UniRef50_UPI0003B4F917: DNA-3-methyladenine glycosylase	129.88
UniRef50_UPI0003B4F917: DNA-3-methyladenine glycosylase|unclassified	129.88
UniRef50_X7ZBK4: DNA polymerase LigD domain protein	129.668
UniRef50_X7ZBK4: DNA polymerase LigD domain protein|unclassified	129.668
UniRef50_F0BDZ5	128.897
UniRef50_F0BDZ5|unclassified	128.897
UniRef50_UPI00046EEAF8: hypothetical protein	128.757
UniRef50_UPI00046EEAF8: hypothetical protein|unclassified	128.757
UniRef50_UPI00046D5EB5: hypothetical protein	128.641
UniRef50_UPI00046D5EB5: hypothetical protein|unclassified	128.641
UniRef50_UPI0003711182: hypothetical protein	128.338
UniRef50_UPI0003711182: hypothetical protein|unclassified	128.338
UniRef50_Q1QEF7: Putative 3-methyladenine DNA glycosylase	128.11
UniRef50_Q1QEF7: Putative 3-methyladenine DNA glycosylase|unclassified	128.11
UniRef50_UPI00046A7E69: acetyltransferase	127.834
UniRef50_UPI00046A7E69: acetyltransferase|unclassified	127.834
UniRef50_D7CNI8: DNA polymerase LigD, polymerase domain protein	127.729
UniRef50_D7CNI8: DNA polymerase LigD, polymerase domain protein|unclassified	127.729
UniRef50_UPI00047B5F74: DNA ligase	127.356
UniRef50_UPI00047B5F74: DNA ligase|unclassified	127.356
UniRef50_UPI000470CCA1: hypothetical protein, partial	126.48
UniRef50_UPI000470CCA1: hypothetical protein, partial|unclassified	126.48
UniRef50_E7GEF4	125.74
UniRef50_E7GEF4|unclassified	125.74
UniRef50_UPI00037832AD: hypothetical protein	125.482
UniRef50_UPI00037832AD: hypothetical protein|unclassified	125.482
UniRef50_F4CVX7: DNA polymerase LigD, polymerase domain protein	124.745
UniRef50_F4CVX7: DNA polymerase LigD, polymerase domain protein|unclassified	124.745
UniRef50_Q49406: 5'-3' exonuclease	124.385
UniRef50_Q49406: 5'-3' exonuclease|unclassified	124.385
UniRef50_UPI0003F9DEE4: 3-methyladenine DNA glycosylase	124.329
UniRef50_UPI0003F9DEE4: 3-methyladenine DNA glycosylase|unclassified	124.329
UniRef50_UPI00047DE0C5: hypothetical protein	124.237
UniRef50_UPI00047DE0C5: hypothetical protein|unclassified	124.237
UniRef50_Q8D2B9: DNA ligase	124.114
UniRef50_Q8D2B9: DNA ligase|unclassified	124.114
UniRef50_Q0A9S2	123.939
UniRef50_Q0A9S2|unclassified	123.939
UniRef50_UPI00036366A9: hypothetical protein	123.514
UniRef50_UPI00036366A9: hypothetical protein|unclassified	123.514
UniRef50_UPI0003B5F6E9: 3-methyladenine DNA glycosylase	123.235
UniRef50_UPI0003B5F6E9: 3-methyladenine DNA glycosylase|unclassified	123.235
UniRef50_UPI0003758B1C: hypothetical protein	123.188
UniRef50_UPI0003758B1C: hypothetical protein|unclassified	123.188
UniRef50_UPI000470242F: hypothetical protein, partial	123.078
UniRef50_UPI000470242F: hypothetical protein, partial|unclassified	123.078
UniRef50_Q6API9: DNA ligase	121.614
UniRef50_Q6API9: DNA ligase|unclassified	121.614
UniRef50_UPI000474840D: hypothetical protein	121.034
UniRef50_UPI000474840D: hypothetical protein|unclassified	121.034
UniRef50_UPI0002EB9B73: hypothetical protein	120.498
UniRef50_UPI0002EB9B73: hypothetical protein|unclassified	120.498
UniRef50_UPI0002DF4EB8: hypothetical protein	120.228
UniRef50_UPI0002DF4EB8: hypothetical protein|unclassified	120.228
UniRef50_N1VFT1: DHH family protein	119.655
UniRef50_N1VFT1: DHH family protein|unclassified	119.655
UniRef50_UPI00047BFBE8: hypothetical protein	119.408
UniRef50_UPI00047BFBE8: hypothetical protein|unclassified	119.408
UniRef50_E6S9Y2: DNA polymerase LigD, polymerase domain protein	118.652
UniRef50_E6S9Y2: DNA polymerase LigD, polymerase domain protein|unclassified	118.652
UniRef50_UPI00041F92A0: DNA polymerase I	118.62
UniRef50_UPI00041F92A0: DNA polymerase I|unclassified	118.62
UniRef50_UPI0003B676D8: DNA ligase	117.694
UniRef50_UPI0003B676D8: DNA ligase|unclassified	117.694
UniRef50_C6W6G0: DNA polymerase LigD, polymerase domain protein	117.442
UniRef50_C6W6G0: DNA polymerase LigD, polymerase domain protein|unclassified	117.442
UniRef50_UPI00005102DC: ATP-dependent DNA ligase	117.333
UniRef50_UPI00005102DC: ATP-dependent DNA ligase|unclassified	117.333
UniRef50_UPI00035FD355: hypothetical protein	116.183
UniRef50_UPI00035FD355: hypothetical protein|unclassified	116.183
UniRef50_UPI00037F7523: hypothetical protein	115.878
UniRef50_UPI00037F7523: hypothetical protein|unclassified	115.878
UniRef50_UPI0003FE9D80: Fe-S cluster assembly protein HesB	115.391
UniRef50_UPI0003FE9D80: Fe-S cluster assembly protein HesB|unclassified	115.391
UniRef50_UPI00036DEE79: hypothetical protein	115.12
UniRef50_UPI00036DEE79: hypothetical protein|unclassified	115.12
UniRef50_UPI00037B4156: hypothetical protein	114.956
UniRef50_UPI00037B4156: hypothetical protein|unclassified	114.956
UniRef50_UPI0001FFDB87: DNA ligase (ATP), partial	114.469
UniRef50_UPI0001FFDB87: DNA ligase (ATP), partial|unclassified	114.469
UniRef50_UPI0003755901: hypothetical protein	114.006
UniRef50_UPI0003755901: hypothetical protein|unclassified	114.006
UniRef50_UPI0004774D53: hypothetical protein, partial	113.727
UniRef50_UPI0004774D53: hypothetical protein, partial|unclassified	113.727
UniRef50_UPI00047CBDA9: hypothetical protein	113.25
UniRef50_UPI00047CBDA9: hypothetical protein|unclassified	113.25
UniRef50_UPI0003722287: hypothetical protein	113.082
UniRef50_UPI0003722287: hypothetical protein|unclassified	113.082
UniRef50_UPI00037F5B66: hypothetical protein	112.903
UniRef50_UPI00037F5B66: hypothetical protein|unclassified	112.903
UniRef50_UPI000471DBA5: hypothetical protein, partial	112.787
UniRef50_UPI000471DBA5: hypothetical protein, partial|unclassified	112.787
UniRef50_C0QSL7: Probable DNA ligase	112.415
UniRef50_C0QSL7: Probable DNA ligase|unclassified	112.415
UniRef50_UPI0003B6398D: Ada	112.251
UniRef50_UPI0003B6398D: Ada|unclassified	112.251
UniRef50_UPI000474C4DC: hypothetical protein	112.112
UniRef50_UPI000474C4DC: hypothetical protein|unclassified	112.112
UniRef50_UPI0002DC5F50: hypothetical protein	112.078
UniRef50_UPI0002DC5F50: hypothetical protein|unclassified	112.078
UniRef50_UPI00036E92AD: hypothetical protein	112.017
UniRef50_UPI00036E92AD: hypothetical protein|unclassified	112.017
UniRef50_UPI0003A2FC62: NAD-dependent DNA ligase LigA	111.644
UniRef50_UPI0003A2FC62: NAD-dependent DNA ligase LigA|unclassified	111.644
UniRef50_A1SYB8: Flap endonuclease Xni	111.216
UniRef50_A1SYB8: Flap endonuclease Xni|unclassified	111.216
UniRef50_UPI0003A80A1D: hypothetical protein	110.883
UniRef50_UPI0003A80A1D: hypothetical protein|unclassified	110.883
UniRef50_Q1QXD7: DNA ligase B	110.746
UniRef50_Q1QXD7: DNA ligase B|unclassified	110.746
UniRef50_UPI0004771438: ATP-dependent DNA ligase	109.916
UniRef50_UPI0004771438: ATP-dependent DNA ligase|unclassified	109.916
UniRef50_UPI0003A11470: DNA-3-methyladenine glycosylase	109.844
UniRef50_UPI0003A11470: DNA-3-methyladenine glycosylase|unclassified	109.844
UniRef50_UPI0003793D81: hypothetical protein	109.32
UniRef50_UPI0003793D81: hypothetical protein|unclassified	109.32
UniRef50_C0Z6X8	109.187
UniRef50_C0Z6X8|unclassified	109.187
UniRef50_UPI0003B6185D: DNA ligase D	108.778
UniRef50_UPI0003B6185D: DNA ligase D|unclassified	108.778
UniRef50_UPI00035ED6AC: hypothetical protein	108.314
UniRef50_UPI00035ED6AC: hypothetical protein|unclassified	108.314
UniRef50_UPI0002D5F837: hypothetical protein	108.243
UniRef50_UPI0002D5F837: hypothetical protein|unclassified	108.243
