# Gene Family	SampleDNA_Repair_Base_Excision_Abundance-RPKs
UniRef50_Q9KAV6: 5'-3' exonuclease	43.4444882272
UniRef50_Q9KAV6: 5'-3' exonuclease|unclassified	43.4444882272
UniRef50_UPI000237A088: exodeoxyribonuclease I	43.4333926673
UniRef50_UPI000237A088: exodeoxyribonuclease I|unclassified	43.4333926673
UniRef50_UPI0004729365: hypothetical protein	43.3755929183
UniRef50_UPI0004729365: hypothetical protein|unclassified	43.3755929183
UniRef50_UPI00037ABF29: hypothetical protein	43.3159546617
UniRef50_UPI00037ABF29: hypothetical protein|unclassified	43.3159546617
UniRef50_UPI00035CE1F9: hypothetical protein, partial	43.1518707638
UniRef50_UPI00035CE1F9: hypothetical protein, partial|unclassified	43.1518707638
UniRef50_UPI000478E9D4: hypothetical protein	43.0057067946
UniRef50_UPI000478E9D4: hypothetical protein|unclassified	43.0057067946
UniRef50_UPI0004704207: hypothetical protein	42.9606704105
UniRef50_UPI0004704207: hypothetical protein|unclassified	42.9606704105
UniRef50_UPI00037ED16C: hypothetical protein	42.9069531031
UniRef50_UPI00037ED16C: hypothetical protein|unclassified	42.9069531031
UniRef50_UPI0002E8925E: hypothetical protein	42.8850572561
UniRef50_UPI0002E8925E: hypothetical protein|unclassified	42.8850572561
UniRef50_A3D5Y2: DNA ligase	42.8056445194
UniRef50_A3D5Y2: DNA ligase|unclassified	42.8056445194
UniRef50_Q8SQI1: Probable DNA-3-methyladenine glycosylase	42.7671556783
UniRef50_Q8SQI1: Probable DNA-3-methyladenine glycosylase|unclassified	42.7671556783
UniRef50_Q01WD4	42.7656424783
UniRef50_Q01WD4|unclassified	42.7656424783
UniRef50_UPI000289FD7E: formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase	42.7388508887
UniRef50_UPI000289FD7E: formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase|unclassified	42.7388508887
UniRef50_UPI000469BD51: 3''-5'' exonuclease	42.6766331814
UniRef50_UPI000469BD51: 3''-5'' exonuclease|unclassified	42.6766331814
UniRef50_UPI0003B5D73F: DNA glycosylase, partial	42.4622239128
UniRef50_UPI0003B5D73F: DNA glycosylase, partial|unclassified	42.4622239128
UniRef50_UPI0003B5366A: iron-sulfur cluster assembly protein HesB	42.4528688532
UniRef50_UPI0003B5366A: iron-sulfur cluster assembly protein HesB|unclassified	42.4528688532
UniRef50_P06225: DNA polymerase	42.4471035345
UniRef50_P06225: DNA polymerase|unclassified	42.4471035345
UniRef50_UPI00040E827D: hypothetical protein	42.2903413762
UniRef50_UPI00040E827D: hypothetical protein|unclassified	42.2903413762
UniRef50_F8XQF9	41.7567120008
UniRef50_F8XQF9|unclassified	41.7567120008
UniRef50_UPI000361E414: MULTISPECIES: hypothetical protein	41.6891149369
UniRef50_UPI000361E414: MULTISPECIES: hypothetical protein|unclassified	41.6891149369
UniRef50_G5K5J5	41.5391025494
UniRef50_G5K5J5|unclassified	41.5391025494
UniRef50_L8FSQ9	41.5188706261
UniRef50_L8FSQ9|unclassified	41.5188706261
UniRef50_UPI0004737581: hypothetical protein	41.3078207945
UniRef50_UPI0004737581: hypothetical protein|unclassified	41.3078207945
UniRef50_UPI000369A7C5: hypothetical protein	41.0939944145
UniRef50_UPI000369A7C5: hypothetical protein|unclassified	41.0939944145
UniRef50_UPI0002D29488: hypothetical protein	40.7243422107
UniRef50_UPI0002D29488: hypothetical protein|unclassified	40.7243422107
UniRef50_X1GPL2: Marine sediment metagenome DNA, contig: S03H2_L05540 (Fragment)	40.5401476211
UniRef50_X1GPL2: Marine sediment metagenome DNA, contig: S03H2_L05540 (Fragment)|unclassified	40.5401476211
UniRef50_Q2GDR2: DNA ligase	40.4539420371
UniRef50_Q2GDR2: DNA ligase|unclassified	40.4539420371
UniRef50_X5RBW9	40.2967231562
UniRef50_X5RBW9|unclassified	40.2967231562
UniRef50_B5YD88: Probable DNA ligase	40.2654689062
UniRef50_B5YD88: Probable DNA ligase|unclassified	40.2654689062
UniRef50_Q7N9N4: DNA ligase B	40.2015839461
UniRef50_Q7N9N4: DNA ligase B|unclassified	40.2015839461
UniRef50_I0HFQ8	40.1710878668
UniRef50_I0HFQ8|unclassified	40.1710878668
UniRef50_UPI0001BF5FAD: hypothetical protein SMAC_10553	39.8330821917
UniRef50_UPI0001BF5FAD: hypothetical protein SMAC_10553|unclassified	39.8330821917
UniRef50_UPI00039A3B03: hypothetical protein	39.7998394567
UniRef50_UPI00039A3B03: hypothetical protein|unclassified	39.7998394567
UniRef50_UPI0004729E6B: hypothetical protein, partial	39.7140153016
UniRef50_UPI0004729E6B: hypothetical protein, partial|unclassified	39.7140153016
UniRef50_UPI00035CE714: hypothetical protein	39.7078180698
UniRef50_UPI00035CE714: hypothetical protein|unclassified	39.7078180698
UniRef50_UPI0002492629: 3-methyladenine DNA glycosylase	39.6958765146
UniRef50_UPI0002492629: 3-methyladenine DNA glycosylase|unclassified	39.6958765146
UniRef50_UPI00017452AB: single-stranded-DNA-specific exonuclease RecJ	39.6273163486
UniRef50_UPI00017452AB: single-stranded-DNA-specific exonuclease RecJ|unclassified	39.6273163486
UniRef50_T0H709	39.5350014777
UniRef50_T0H709|unclassified	39.5350014777
UniRef50_UPI0003721A46: hypothetical protein	39.4908543676
UniRef50_UPI0003721A46: hypothetical protein|unclassified	39.4908543676
UniRef50_D8FCY6: DHH family protein (Fragment)	39.4874730429
UniRef50_D8FCY6: DHH family protein (Fragment)|unclassified	39.4874730429
UniRef50_UPI00037FEACF: hypothetical protein	39.2477172645
UniRef50_UPI00037FEACF: hypothetical protein|unclassified	39.2477172645
UniRef50_UPI00029AFC82: putative 3-methyladenine DNA glycosylase	39.1275905068
UniRef50_UPI00029AFC82: putative 3-methyladenine DNA glycosylase|unclassified	39.1275905068
UniRef50_UPI0003B4BACB: recombination protein RecJ	38.9712508131
UniRef50_UPI0003B4BACB: recombination protein RecJ|unclassified	38.9712508131
UniRef50_V7Z4N1	38.8539272729
UniRef50_V7Z4N1|unclassified	38.8539272729
UniRef50_UPI00037FD556: hypothetical protein	38.8307386300
UniRef50_UPI00037FD556: hypothetical protein|unclassified	38.8307386300
UniRef50_Z5XJI4	38.6398779208
UniRef50_Z5XJI4|unclassified	38.6398779208
UniRef50_E3IUU9: DNA polymerase LigD, polymerase domain protein	38.6192048889
UniRef50_E3IUU9: DNA polymerase LigD, polymerase domain protein|unclassified	38.6192048889
UniRef50_X0SAS8: Marine sediment metagenome DNA, contig: S01H1_L06568 (Fragment)	38.5377750255
UniRef50_X0SAS8: Marine sediment metagenome DNA, contig: S01H1_L06568 (Fragment)|unclassified	38.5377750255
UniRef50_UPI00035F3FC8: hypothetical protein	38.5082764101
UniRef50_UPI00035F3FC8: hypothetical protein|unclassified	38.5082764101
UniRef50_UPI0003B73A05: NAD-dependent DNA ligase LigA	38.3446727735
UniRef50_UPI0003B73A05: NAD-dependent DNA ligase LigA|unclassified	38.3446727735
UniRef50_UPI00047351C3: hypothetical protein, partial	38.2639939905
UniRef50_UPI00047351C3: hypothetical protein, partial|unclassified	38.2639939905
UniRef50_A5IY71: DNA ligase	38.0719329566
UniRef50_A5IY71: DNA ligase|unclassified	38.0719329566
UniRef50_Q50096: U650i	38.0677005407
UniRef50_Q50096: U650i|unclassified	38.0677005407
UniRef50_UPI0002D6696C: hypothetical protein	38.0258685850
UniRef50_UPI0002D6696C: hypothetical protein|unclassified	38.0258685850
UniRef50_A5IEV4	37.8934953516
UniRef50_A5IEV4|unclassified	37.8934953516
UniRef50_UPI00034D578E: hypothetical protein	37.8498628424
UniRef50_UPI00034D578E: hypothetical protein|unclassified	37.8498628424
UniRef50_UPI00046D3AA4: hypothetical protein	37.8249360524
UniRef50_UPI00046D3AA4: hypothetical protein|unclassified	37.8249360524
UniRef50_V6JF06	37.5473051004
UniRef50_V6JF06|unclassified	37.5473051004
UniRef50_UPI00037DE738: hypothetical protein	37.4778571346
UniRef50_UPI00037DE738: hypothetical protein|unclassified	37.4778571346
UniRef50_Q7NAF8: DNA ligase	37.4007462463
UniRef50_Q7NAF8: DNA ligase|unclassified	37.4007462463
UniRef50_UPI000362E665: hypothetical protein	37.3073139482
UniRef50_UPI000362E665: hypothetical protein|unclassified	37.3073139482
UniRef50_UPI00047240A4: hypothetical protein	37.2573033715
UniRef50_UPI00047240A4: hypothetical protein|unclassified	37.2573033715
UniRef50_UPI00037AA31A: hypothetical protein	37.2473269012
UniRef50_UPI00037AA31A: hypothetical protein|unclassified	37.2473269012
UniRef50_B1H072: DNA ligase	37.0838081420
UniRef50_B1H072: DNA ligase|unclassified	37.0838081420
UniRef50_UPI00047860CF: hypothetical protein	36.9557568675
UniRef50_UPI00047860CF: hypothetical protein|unclassified	36.9557568675
UniRef50_F7Z6Q4	36.9285225637
UniRef50_F7Z6Q4|unclassified	36.9285225637
UniRef50_Q6MGX6: Putative 3-methyladenine DNA glycosylase	36.8247762682
UniRef50_Q6MGX6: Putative 3-methyladenine DNA glycosylase|unclassified	36.8247762682
UniRef50_UPI0004736F5B: hypothetical protein, partial	36.8049724227
UniRef50_UPI0004736F5B: hypothetical protein, partial|unclassified	36.8049724227
UniRef50_UPI00037B3242: MULTISPECIES: hypothetical protein	36.7153482609
UniRef50_UPI00037B3242: MULTISPECIES: hypothetical protein|unclassified	36.7153482609
UniRef50_Q3JEY0: Putative 3-methyladenine DNA glycosylase	36.6329227289
UniRef50_Q3JEY0: Putative 3-methyladenine DNA glycosylase|unclassified	36.6329227289
UniRef50_Q01RU9: Formamidopyrimidine-DNA glycosylase	36.4890895477
UniRef50_Q01RU9: Formamidopyrimidine-DNA glycosylase|unclassified	36.4890895477
UniRef50_UPI00037D8CCB: hypothetical protein	36.1987010630
UniRef50_UPI00037D8CCB: hypothetical protein|unclassified	36.1987010630
UniRef50_UPI00047224A9: DNA ligase	36.1834700358
UniRef50_UPI00047224A9: DNA ligase|unclassified	36.1834700358
UniRef50_C6NRI4: Single-stranded-DNA-specific exonuclease recJ	35.9930472200
UniRef50_C6NRI4: Single-stranded-DNA-specific exonuclease recJ|unclassified	35.9930472200
UniRef50_UPI0003B4EF7E: DNA glycosylase	35.9627146286
UniRef50_UPI0003B4EF7E: DNA glycosylase|unclassified	35.9627146286
UniRef50_X1S9G8: Marine sediment metagenome DNA, contig: S12H4_L07088 (Fragment)	35.8733081431
UniRef50_X1S9G8: Marine sediment metagenome DNA, contig: S12H4_L07088 (Fragment)|unclassified	35.8733081431
UniRef50_Q7UKD1: DNA ligase	35.8551973488
UniRef50_Q7UKD1: DNA ligase|unclassified	35.8551973488
UniRef50_UPI00024933F1: single-stranded DNA-binding protein	35.8198193182
UniRef50_UPI00024933F1: single-stranded DNA-binding protein|unclassified	35.8198193182
UniRef50_UPI0002F49063: hypothetical protein	35.5931952570
UniRef50_UPI0002F49063: hypothetical protein|unclassified	35.5931952570
UniRef50_UPI0003B6CA2F: hypothetical protein	35.5883515216
UniRef50_UPI0003B6CA2F: hypothetical protein|unclassified	35.5883515216
UniRef50_UPI00047883C5: hypothetical protein	35.3537075196
UniRef50_UPI00047883C5: hypothetical protein|unclassified	35.3537075196
UniRef50_B0H019	35.3472217006
UniRef50_B0H019|unclassified	35.3472217006
UniRef50_UPI000344EB01: DNA-cytosine methyltransferase	35.2702009795
UniRef50_UPI000344EB01: DNA-cytosine methyltransferase|unclassified	35.2702009795
UniRef50_O83642: DNA ligase	35.1491269834
UniRef50_O83642: DNA ligase|unclassified	35.1491269834
UniRef50_B3PMJ0: DNA ligase	35.0566092564
UniRef50_B3PMJ0: DNA ligase|unclassified	35.0566092564
UniRef50_UPI00037C07C2: hypothetical protein, partial	35.0475242304
UniRef50_UPI00037C07C2: hypothetical protein, partial|unclassified	35.0475242304
UniRef50_UPI000364AD23: hypothetical protein, partial	34.9516616354
UniRef50_UPI000364AD23: hypothetical protein, partial|unclassified	34.9516616354
UniRef50_UPI00036B8518: hypothetical protein	34.9499822776
UniRef50_UPI00036B8518: hypothetical protein|unclassified	34.9499822776
UniRef50_Q5NYD7	34.9424312065
UniRef50_Q5NYD7|unclassified	34.9424312065
UniRef50_UPI00035DA3C4: hypothetical protein	34.8829756171
UniRef50_UPI00035DA3C4: hypothetical protein|unclassified	34.8829756171
UniRef50_G9EP19	34.6675010423
UniRef50_G9EP19|unclassified	34.6675010423
UniRef50_W6RWP2	34.6230520561
UniRef50_W6RWP2|unclassified	34.6230520561
UniRef50_UPI00029A398A: DNA-3-methyladenine glycosylase	34.5378242319
UniRef50_UPI00029A398A: DNA-3-methyladenine glycosylase|unclassified	34.5378242319
UniRef50_C6BUX8: Formamidopyrimidine-DNA glycosylase	34.5371181771
UniRef50_C6BUX8: Formamidopyrimidine-DNA glycosylase|unclassified	34.5371181771
UniRef50_UPI00016C4908: single-strand DNA-specific exonuclease	34.4506385213
UniRef50_UPI00016C4908: single-strand DNA-specific exonuclease|unclassified	34.4506385213
UniRef50_B8FKD5: DNA ligase	34.4316214471
UniRef50_B8FKD5: DNA ligase|unclassified	34.4316214471
UniRef50_UPI000472CA5C: hypothetical protein	34.3870774064
UniRef50_UPI000472CA5C: hypothetical protein|unclassified	34.3870774064
UniRef50_UPI00029AFB14: DNA ligase D	34.2048936681
UniRef50_UPI00029AFB14: DNA ligase D|unclassified	34.2048936681
UniRef50_UPI0004772ADB: hypothetical protein	34.1247184479
UniRef50_UPI0004772ADB: hypothetical protein|unclassified	34.1247184479
UniRef50_UPI000473810E: hypothetical protein, partial	33.8989661179
UniRef50_UPI000473810E: hypothetical protein, partial|unclassified	33.8989661179
UniRef50_UPI0001745069: ATP-dependent DNA ligase	33.8414297034
UniRef50_UPI0001745069: ATP-dependent DNA ligase|unclassified	33.8414297034
UniRef50_W4SUY4	33.5166335476
UniRef50_W4SUY4|unclassified	33.5166335476
UniRef50_UPI0003696A36: hypothetical protein	33.4559505223
UniRef50_UPI0003696A36: hypothetical protein|unclassified	33.4559505223
UniRef50_UPI0003B556B9: NAD-dependent DNA ligase LigA	33.4127732633
UniRef50_UPI0003B556B9: NAD-dependent DNA ligase LigA|unclassified	33.4127732633
UniRef50_X8BGJ7: DNA polymerase LigD domain protein	33.4126483863
UniRef50_X8BGJ7: DNA polymerase LigD domain protein|unclassified	33.4126483863
UniRef50_D9W4V4: Secreted protein	33.4033812035
UniRef50_D9W4V4: Secreted protein|unclassified	33.4033812035
UniRef50_UPI00047529F7: hypothetical protein, partial	33.3677860293
UniRef50_UPI00047529F7: hypothetical protein, partial|unclassified	33.3677860293
UniRef50_A7NMJ5	33.2056272186
UniRef50_A7NMJ5|unclassified	33.2056272186
UniRef50_Q1IXS9: Putative 3-methyladenine DNA glycosylase	33.0719264598
UniRef50_Q1IXS9: Putative 3-methyladenine DNA glycosylase|unclassified	33.0719264598
UniRef50_UPI00036505A6: ATP-dependent DNA ligase	33.0406542849
UniRef50_UPI00036505A6: ATP-dependent DNA ligase|unclassified	33.0406542849
UniRef50_R6J5D3	32.8450446536
UniRef50_R6J5D3|unclassified	32.8450446536
UniRef50_UPI00040AF6C9: hypothetical protein	32.7620338119
UniRef50_UPI00040AF6C9: hypothetical protein|unclassified	32.7620338119
UniRef50_UPI0004188562: hypothetical protein	32.6335847966
UniRef50_UPI0004188562: hypothetical protein|unclassified	32.6335847966
UniRef50_X1L3Z2: Marine sediment metagenome DNA, contig: S06H3_L02148 (Fragment)	32.5796211365
UniRef50_X1L3Z2: Marine sediment metagenome DNA, contig: S06H3_L02148 (Fragment)|unclassified	32.5796211365
UniRef50_H4EPV0	32.5254972444
UniRef50_H4EPV0|unclassified	32.5254972444
UniRef50_UPI00036635B8: hypothetical protein	32.4006862473
UniRef50_UPI00036635B8: hypothetical protein|unclassified	32.4006862473
UniRef50_U2RVN9	32.2410639702
UniRef50_U2RVN9|unclassified	32.2410639702
UniRef50_UPI0002002B64: methylpurine-DNA glycosylase (MPG)	32.1106984083
UniRef50_UPI0002002B64: methylpurine-DNA glycosylase (MPG)|unclassified	32.1106984083
UniRef50_A5CXB8: DNA ligase	32.0109753590
UniRef50_A5CXB8: DNA ligase|unclassified	32.0109753590
UniRef50_R9IEI0	31.9022122504
UniRef50_R9IEI0|unclassified	31.9022122504
UniRef50_UPI0004781178: hypothetical protein, partial	31.8708842936
UniRef50_UPI0004781178: hypothetical protein, partial|unclassified	31.8708842936
UniRef50_UPI000370B151: MULTISPECIES: hypothetical protein	31.8662130624
UniRef50_UPI000370B151: MULTISPECIES: hypothetical protein|unclassified	31.8662130624
UniRef50_D4DPF6	31.7329953666
UniRef50_D4DPF6|unclassified	31.7329953666
UniRef50_UPI00037E6AA0: hypothetical protein	31.7329074286
UniRef50_UPI00037E6AA0: hypothetical protein|unclassified	31.7329074286
UniRef50_UPI0004705827: hypothetical protein	31.7322173894
UniRef50_UPI0004705827: hypothetical protein|unclassified	31.7322173894
UniRef50_UPI0004677C47: DNA lyase	31.6816642929
UniRef50_UPI0004677C47: DNA lyase|unclassified	31.6816642929
UniRef50_UPI000375BEB0: hypothetical protein, partial	31.4157035320
UniRef50_UPI000375BEB0: hypothetical protein, partial|unclassified	31.4157035320
UniRef50_U3PA22	31.4110991430
UniRef50_U3PA22|unclassified	31.4110991430
UniRef50_UPI00036DAE0D: hypothetical protein	31.4060777571
UniRef50_UPI00036DAE0D: hypothetical protein|unclassified	31.4060777571
UniRef50_A9B1N9: Putative 3-methyladenine DNA glycosylase	31.3311006366
UniRef50_A9B1N9: Putative 3-methyladenine DNA glycosylase|unclassified	31.3311006366
UniRef50_UPI0002D49382: hypothetical protein	31.1520998402
UniRef50_UPI0002D49382: hypothetical protein|unclassified	31.1520998402
UniRef50_Q98QH2: DNA ligase	31.0942721463
UniRef50_Q98QH2: DNA ligase|unclassified	31.0942721463
UniRef50_UPI000380DA08: hypothetical protein	31.0378961983
UniRef50_UPI000380DA08: hypothetical protein|unclassified	31.0378961983
UniRef50_B4CTM4: Phosphoesterase RecJ domain protein	31.0253873948
UniRef50_B4CTM4: Phosphoesterase RecJ domain protein|unclassified	31.0253873948
UniRef50_UPI000465BEC1: hypothetical protein	30.9955877410
UniRef50_UPI000465BEC1: hypothetical protein|unclassified	30.9955877410
UniRef50_UPI0004781296: DNA-3-methyladenine glycosidase	30.9495944125
UniRef50_UPI0004781296: DNA-3-methyladenine glycosidase|unclassified	30.9495944125
UniRef50_UPI000364A579: hypothetical protein	30.9049968667
UniRef50_UPI000364A579: hypothetical protein|unclassified	30.9049968667
UniRef50_UPI00037E757E: hypothetical protein	30.8245809318
UniRef50_UPI00037E757E: hypothetical protein|unclassified	30.8245809318
UniRef50_F8A5P5: DNA polymerase LigD, polymerase domain protein	30.5935419041
UniRef50_F8A5P5: DNA polymerase LigD, polymerase domain protein|unclassified	30.5935419041
UniRef50_UPI0003460289: DNA polymerase	30.5572236437
UniRef50_UPI0003460289: DNA polymerase|unclassified	30.5572236437
UniRef50_UPI00035DF41E: hypothetical protein, partial	30.4619644515
UniRef50_UPI00035DF41E: hypothetical protein, partial|unclassified	30.4619644515
UniRef50_UPI00047239DC: hypothetical protein, partial	30.4439658306
UniRef50_UPI00047239DC: hypothetical protein, partial|unclassified	30.4439658306
UniRef50_UPI0003B4F917: DNA-3-methyladenine glycosylase	30.0564042140
UniRef50_UPI0003B4F917: DNA-3-methyladenine glycosylase|unclassified	30.0564042140
UniRef50_X7ZBK4: DNA polymerase LigD domain protein	30.0072575634
UniRef50_X7ZBK4: DNA polymerase LigD domain protein|unclassified	30.0072575634
UniRef50_F0BDZ5	29.8288447564
UniRef50_F0BDZ5|unclassified	29.8288447564
UniRef50_UPI00046EEAF8: hypothetical protein	29.7964733291
UniRef50_UPI00046EEAF8: hypothetical protein|unclassified	29.7964733291
UniRef50_UPI00046D5EB5: hypothetical protein	29.7696130809
UniRef50_UPI00046D5EB5: hypothetical protein|unclassified	29.7696130809
UniRef50_UPI0003711182: hypothetical protein	29.6995501177
UniRef50_UPI0003711182: hypothetical protein|unclassified	29.6995501177
UniRef50_Q1QEF7: Putative 3-methyladenine DNA glycosylase	29.6466746842
UniRef50_Q1QEF7: Putative 3-methyladenine DNA glycosylase|unclassified	29.6466746842
UniRef50_UPI00046A7E69: acetyltransferase	29.5829188012
UniRef50_UPI00046A7E69: acetyltransferase|unclassified	29.5829188012
UniRef50_D7CNI8: DNA polymerase LigD, polymerase domain protein	29.5586060938
UniRef50_D7CNI8: DNA polymerase LigD, polymerase domain protein|unclassified	29.5586060938
UniRef50_UPI00047B5F74: DNA ligase	29.4721456080
UniRef50_UPI00047B5F74: DNA ligase|unclassified	29.4721456080
UniRef50_UPI000470CCA1: hypothetical protein, partial	29.2695220812
UniRef50_UPI000470CCA1: hypothetical protein, partial|unclassified	29.2695220812
UniRef50_E7GEF4	29.0982852965
UniRef50_E7GEF4|unclassified	29.0982852965
UniRef50_UPI00037832AD: hypothetical protein	29.0386648616
UniRef50_UPI00037832AD: hypothetical protein|unclassified	29.0386648616
UniRef50_F4CVX7: DNA polymerase LigD, polymerase domain protein	28.8680784442
UniRef50_F4CVX7: DNA polymerase LigD, polymerase domain protein|unclassified	28.8680784442
UniRef50_Q49406: 5'-3' exonuclease	28.7847768009
UniRef50_Q49406: 5'-3' exonuclease|unclassified	28.7847768009
UniRef50_UPI0003F9DEE4: 3-methyladenine DNA glycosylase	28.7718003480
UniRef50_UPI0003F9DEE4: 3-methyladenine DNA glycosylase|unclassified	28.7718003480
UniRef50_UPI00047DE0C5: hypothetical protein	28.7503520327
UniRef50_UPI00047DE0C5: hypothetical protein|unclassified	28.7503520327
UniRef50_Q8D2B9: DNA ligase	28.7219251538
UniRef50_Q8D2B9: DNA ligase|unclassified	28.7219251538
UniRef50_Q0A9S2	28.6814421833
UniRef50_Q0A9S2|unclassified	28.6814421833
UniRef50_UPI00036366A9: hypothetical protein	28.5830219521
UniRef50_UPI00036366A9: hypothetical protein|unclassified	28.5830219521
UniRef50_UPI0003B5F6E9: 3-methyladenine DNA glycosylase	28.5185998594
UniRef50_UPI0003B5F6E9: 3-methyladenine DNA glycosylase|unclassified	28.5185998594
UniRef50_UPI0003758B1C: hypothetical protein	28.5077468835
UniRef50_UPI0003758B1C: hypothetical protein|unclassified	28.5077468835
UniRef50_UPI000470242F: hypothetical protein, partial	28.4821702999
UniRef50_UPI000470242F: hypothetical protein, partial|unclassified	28.4821702999
UniRef50_Q6API9: DNA ligase	28.1435368737
UniRef50_Q6API9: DNA ligase|unclassified	28.1435368737
UniRef50_UPI000474840D: hypothetical protein	28.0091087216
UniRef50_UPI000474840D: hypothetical protein|unclassified	28.0091087216
UniRef50_UPI0002EB9B73: hypothetical protein	27.8851388881
UniRef50_UPI0002EB9B73: hypothetical protein|unclassified	27.8851388881
UniRef50_UPI0002DF4EB8: hypothetical protein	27.8226145373
UniRef50_UPI0002DF4EB8: hypothetical protein|unclassified	27.8226145373
UniRef50_N1VFT1: DHH family protein	27.6900452727
UniRef50_N1VFT1: DHH family protein|unclassified	27.6900452727
UniRef50_UPI00047BFBE8: hypothetical protein	27.6330449040
UniRef50_UPI00047BFBE8: hypothetical protein|unclassified	27.6330449040
UniRef50_E6S9Y2: DNA polymerase LigD, polymerase domain protein	27.4580859165
UniRef50_E6S9Y2: DNA polymerase LigD, polymerase domain protein|unclassified	27.4580859165
UniRef50_UPI00041F92A0: DNA polymerase I	27.4506194970
UniRef50_UPI00041F92A0: DNA polymerase I|unclassified	27.4506194970
UniRef50_UPI0003B676D8: DNA ligase	27.2362337137
UniRef50_UPI0003B676D8: DNA ligase|unclassified	27.2362337137
UniRef50_C6W6G0: DNA polymerase LigD, polymerase domain protein	27.1780005597
UniRef50_C6W6G0: DNA polymerase LigD, polymerase domain protein|unclassified	27.1780005597
UniRef50_UPI00005102DC: ATP-dependent DNA ligase	27.1528100683
UniRef50_UPI00005102DC: ATP-dependent DNA ligase|unclassified	27.1528100683
UniRef50_UPI00035FD355: hypothetical protein	26.8866221549
UniRef50_UPI00035FD355: hypothetical protein|unclassified	26.8866221549
UniRef50_UPI00037F7523: hypothetical protein	26.8160404201
UniRef50_UPI00037F7523: hypothetical protein|unclassified	26.8160404201
UniRef50_UPI0003FE9D80: Fe-S cluster assembly protein HesB	26.7034245362
UniRef50_UPI0003FE9D80: Fe-S cluster assembly protein HesB|unclassified	26.7034245362
UniRef50_UPI00036DEE79: hypothetical protein	26.6407124756
UniRef50_UPI00036DEE79: hypothetical protein|unclassified	26.6407124756
UniRef50_UPI00037B4156: hypothetical protein	26.6027599204
UniRef50_UPI00037B4156: hypothetical protein|unclassified	26.6027599204
UniRef50_UPI0001FFDB87: DNA ligase (ATP), partial	26.4900757231
UniRef50_UPI0001FFDB87: DNA ligase (ATP), partial|unclassified	26.4900757231
UniRef50_UPI0003755901: hypothetical protein	26.3828666698
UniRef50_UPI0003755901: hypothetical protein|unclassified	26.3828666698
UniRef50_UPI0004774D53: hypothetical protein, partial	26.3183730769
UniRef50_UPI0004774D53: hypothetical protein, partial|unclassified	26.3183730769
UniRef50_UPI00047CBDA9: hypothetical protein	26.2078401236
UniRef50_UPI00047CBDA9: hypothetical protein|unclassified	26.2078401236
UniRef50_UPI0003722287: hypothetical protein	26.1689189909
UniRef50_UPI0003722287: hypothetical protein|unclassified	26.1689189909
UniRef50_UPI00037F5B66: hypothetical protein	26.1275099014
UniRef50_UPI00037F5B66: hypothetical protein|unclassified	26.1275099014
UniRef50_UPI000471DBA5: hypothetical protein, partial	26.1007528870
UniRef50_UPI000471DBA5: hypothetical protein, partial|unclassified	26.1007528870
UniRef50_C0QSL7: Probable DNA ligase	26.0146577012
UniRef50_C0QSL7: Probable DNA ligase|unclassified	26.0146577012
UniRef50_UPI0003B6398D: Ada	25.9766698132
UniRef50_UPI0003B6398D: Ada|unclassified	25.9766698132
UniRef50_UPI000474C4DC: hypothetical protein	25.9444418198
UniRef50_UPI000474C4DC: hypothetical protein|unclassified	25.9444418198
UniRef50_UPI0002DC5F50: hypothetical protein	25.9366040924
UniRef50_UPI0002DC5F50: hypothetical protein|unclassified	25.9366040924
UniRef50_UPI00036E92AD: hypothetical protein	25.9225260846
UniRef50_UPI00036E92AD: hypothetical protein|unclassified	25.9225260846
UniRef50_UPI0003A2FC62: NAD-dependent DNA ligase LigA	25.8363358588
UniRef50_UPI0003A2FC62: NAD-dependent DNA ligase LigA|unclassified	25.8363358588
UniRef50_A1SYB8: Flap endonuclease Xni	25.7371227876
UniRef50_A1SYB8: Flap endonuclease Xni|unclassified	25.7371227876
UniRef50_UPI0003A80A1D: hypothetical protein	25.6602275431
UniRef50_UPI0003A80A1D: hypothetical protein|unclassified	25.6602275431
UniRef50_Q1QXD7: DNA ligase B	25.6284430701
UniRef50_Q1QXD7: DNA ligase B|unclassified	25.6284430701
UniRef50_UPI0004771438: ATP-dependent DNA ligase	25.4364456430
UniRef50_UPI0004771438: ATP-dependent DNA ligase|unclassified	25.4364456430
UniRef50_UPI0003A11470: DNA-3-methyladenine glycosylase	25.4197776892
UniRef50_UPI0003A11470: DNA-3-methyladenine glycosylase|unclassified	25.4197776892
UniRef50_UPI0003793D81: hypothetical protein	25.2983990284
UniRef50_UPI0003793D81: hypothetical protein|unclassified	25.2983990284
UniRef50_C0Z6X8	25.2675294078
UniRef50_C0Z6X8|unclassified	25.2675294078
UniRef50_UPI0003B6185D: DNA ligase D	25.1730949792
UniRef50_UPI0003B6185D: DNA ligase D|unclassified	25.1730949792
UniRef50_UPI00035ED6AC: hypothetical protein	25.0656414457
UniRef50_UPI00035ED6AC: hypothetical protein|unclassified	25.0656414457
UniRef50_UPI0002D5F837: hypothetical protein	25.0491652288
UniRef50_UPI0002D5F837: hypothetical protein|unclassified	25.0491652288
