# Gene Family	SampleEntner-Doudoroff_Pathway_Abundance-CPM
UniRef50_P49189: 4-trimethylaminobutyraldehyde dehydrogenase|unclassified	108.308
UniRef50_UPI00046D4730: hypothetical protein	108.287
UniRef50_UPI00046D4730: hypothetical protein|unclassified	108.287
UniRef50_UPI0003812162: hypothetical protein, partial	107.961
UniRef50_UPI0003812162: hypothetical protein, partial|unclassified	107.961
UniRef50_B8I7S2: ROK family protein	107.91
UniRef50_B8I7S2: ROK family protein|unclassified	107.91
UniRef50_UPI0003A998F6: hypothetical protein	107.308
UniRef50_UPI0003A998F6: hypothetical protein|unclassified	107.308
UniRef50_UPI000255EF8E: hypothetical protein	107.194
UniRef50_UPI000255EF8E: hypothetical protein|unclassified	107.194
UniRef50_X1AK94: Marine sediment metagenome DNA, contig: S01H4_S02730	107.047
UniRef50_X1AK94: Marine sediment metagenome DNA, contig: S01H4_S02730|unclassified	107.047
UniRef50_UPI0003B5F8B5: aldose 1-epimerase	106.995
UniRef50_UPI0003B5F8B5: aldose 1-epimerase|unclassified	106.995
UniRef50_G4R7W0: 1,4-lactonase	106.868
UniRef50_G4R7W0: 1,4-lactonase|unclassified	106.868
UniRef50_Q92RN9: Putative sugar lactone lactonase	106.663
UniRef50_Q92RN9: Putative sugar lactone lactonase|unclassified	106.663
UniRef50_W5X9Y5: Serine/threonine protein kinase	106.628
UniRef50_W5X9Y5: Serine/threonine protein kinase|unclassified	106.628
UniRef50_UPI00046D4A9C: PREDICTED: fructokinase-2-like, partial	106.516
UniRef50_UPI00046D4A9C: PREDICTED: fructokinase-2-like, partial|unclassified	106.516
UniRef50_A6LZ60: ROK family protein	106.507
UniRef50_A6LZ60: ROK family protein|unclassified	106.507
UniRef50_O04499: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1	106.456
UniRef50_O04499: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1|unclassified	106.456
UniRef50_UPI0003632FB6: hypothetical protein	106.39
UniRef50_UPI0003632FB6: hypothetical protein|unclassified	106.39
UniRef50_Q5GYP9: Regucalcin	106.36
UniRef50_Q5GYP9: Regucalcin|unclassified	106.36
UniRef50_UPI00047DD1FA: hypothetical protein	106.352
UniRef50_UPI00047DD1FA: hypothetical protein|unclassified	106.352
UniRef50_UPI000368D01B: hypothetical protein	106.336
UniRef50_UPI000368D01B: hypothetical protein|unclassified	106.336
UniRef50_UPI00031A1A33: hypothetical protein	105.901
UniRef50_UPI00031A1A33: hypothetical protein|unclassified	105.901
UniRef50_C5BV29: Putative OpcA protein	105.84
UniRef50_C5BV29: Putative OpcA protein|unclassified	105.84
UniRef50_UPI0004649CE2: aldehyde dehydrogenase	105.682
UniRef50_UPI0004649CE2: aldehyde dehydrogenase|unclassified	105.682
UniRef50_UPI000219319E: hypothetical protein	105.348
UniRef50_UPI000219319E: hypothetical protein|unclassified	105.348
UniRef50_UPI000392EA7F: PREDICTED: fatty aldehyde dehydrogenase-like	105.342
UniRef50_UPI000392EA7F: PREDICTED: fatty aldehyde dehydrogenase-like|unclassified	105.342
UniRef50_K2HM53: Senescence marker protein-30 (SMP-30)	105.3
UniRef50_K2HM53: Senescence marker protein-30 (SMP-30)|unclassified	105.3
UniRef50_UPI0003C03240: PREDICTED: cytosolic 10-formyltetrahydrofolate dehydrogenase-like, partial	105.13
UniRef50_UPI0003C03240: PREDICTED: cytosolic 10-formyltetrahydrofolate dehydrogenase-like, partial|unclassified	105.13
UniRef50_UPI000363710D: hypothetical protein	104.922
UniRef50_UPI000363710D: hypothetical protein|unclassified	104.922
UniRef50_V7KZ25	104.416
UniRef50_V7KZ25|unclassified	104.416
UniRef50_W0AJB8: Gluconolaconase	104.396
UniRef50_W0AJB8: Gluconolaconase|unclassified	104.396
UniRef50_UPI00036259C4: hypothetical protein	104.163
UniRef50_UPI00036259C4: hypothetical protein|unclassified	104.163
UniRef50_Q83HP8: Phosphoglycerate kinase	104.131
UniRef50_Q83HP8: Phosphoglycerate kinase|unclassified	104.131
UniRef50_P21955: Aldose 1-epimerase	103.839
UniRef50_P21955: Aldose 1-epimerase|unclassified	103.839
UniRef50_Q63IJ5: Senescence marker protein-30 (SMP-30) family protein	103.654
UniRef50_Q63IJ5: Senescence marker protein-30 (SMP-30) family protein|unclassified	103.654
UniRef50_K0WAB8	103.596
UniRef50_K0WAB8|unclassified	103.596
UniRef50_UPI0004726056: phenylacetaldehyde dehydrogenase	103.578
UniRef50_UPI0004726056: phenylacetaldehyde dehydrogenase|unclassified	103.578
UniRef50_Z5X4T2	103.309
UniRef50_Z5X4T2|unclassified	103.309
UniRef50_P32044: Pyruvate kinase	103.034
UniRef50_P32044: Pyruvate kinase|unclassified	103.034
UniRef50_UPI0003707CA3: hypothetical protein	102.578
UniRef50_UPI0003707CA3: hypothetical protein|unclassified	102.578
UniRef50_Q6F0W3: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	102.389
UniRef50_Q6F0W3: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase|unclassified	102.389
UniRef50_E0RQE3	102.202
UniRef50_E0RQE3|unclassified	102.202
UniRef50_UPI000365441A: hypothetical protein	102.125
UniRef50_UPI000365441A: hypothetical protein|unclassified	102.125
UniRef50_A9BHR1: ROK family protein	102.095
UniRef50_A9BHR1: ROK family protein|unclassified	102.095
UniRef50_UPI0003B4244F: 6-phosphogluconolactonase	102.084
UniRef50_UPI0003B4244F: 6-phosphogluconolactonase|unclassified	102.084
UniRef50_UPI000470450A: hypothetical protein	101.977
UniRef50_UPI000470450A: hypothetical protein|unclassified	101.977
UniRef50_UPI000473134E: hypothetical protein	101.823
UniRef50_UPI000473134E: hypothetical protein|unclassified	101.823
UniRef50_UPI0001BC9DE0: coniferyl aldehyde dehydrogenase, partial	101.415
UniRef50_UPI0001BC9DE0: coniferyl aldehyde dehydrogenase, partial|unclassified	101.415
UniRef50_UPI00037D41F0: hypothetical protein	101.374
UniRef50_UPI00037D41F0: hypothetical protein|unclassified	101.374
UniRef50_UPI000423447D: coniferyl aldehyde dehydrogenase	101.311
UniRef50_UPI000423447D: coniferyl aldehyde dehydrogenase|unclassified	101.311
UniRef50_Q84DC3: NAD(P)-dependent benzaldehyde dehydrogenase	101.15
UniRef50_Q84DC3: NAD(P)-dependent benzaldehyde dehydrogenase|unclassified	101.15
UniRef50_K2JR27: Hydroxypyruvate reductase	101.09
UniRef50_K2JR27: Hydroxypyruvate reductase|unclassified	101.09
UniRef50_F0BY35	101.016
UniRef50_F0BY35|unclassified	101.016
UniRef50_P30907: Aldehyde dehydrogenase, dimeric NADP-preferring (Fragment)	100.448
UniRef50_P30907: Aldehyde dehydrogenase, dimeric NADP-preferring (Fragment)|unclassified	100.448
UniRef50_Q66I21: Aldehyde dehydrogenase family 8 member A1	100.005
UniRef50_Q66I21: Aldehyde dehydrogenase family 8 member A1|unclassified	100.005
UniRef50_UPI000366F3D2: hypothetical protein	99.7856
UniRef50_UPI000366F3D2: hypothetical protein|unclassified	99.7856
UniRef50_B8E7V0: Major royal jelly protein	99.6674
UniRef50_B8E7V0: Major royal jelly protein|unclassified	99.6674
UniRef50_UPI00046D8178: hypothetical protein	99.6557
UniRef50_UPI00046D8178: hypothetical protein|unclassified	99.6557
UniRef50_F0Q4N2: SMP-30/Gluconolaconase/LRE-like region-containing protein	99.6443
UniRef50_F0Q4N2: SMP-30/Gluconolaconase/LRE-like region-containing protein|unclassified	99.6443
UniRef50_UPI000378869D: hypothetical protein	99.5797
UniRef50_UPI000378869D: hypothetical protein|unclassified	99.5797
UniRef50_UPI00046ECC82: hypothetical protein	99.2116
UniRef50_UPI00046ECC82: hypothetical protein|unclassified	99.2116
UniRef50_UPI000378EECE: hypothetical protein	99.1386
UniRef50_UPI000378EECE: hypothetical protein|unclassified	99.1386
UniRef50_UPI000370937D: hypothetical protein	98.9292
UniRef50_UPI000370937D: hypothetical protein|unclassified	98.9292
UniRef50_U1QQX4	98.9073
UniRef50_U1QQX4|unclassified	98.9073
UniRef50_UPI00034534AC: coniferyl aldehyde dehydrogenase	98.793
UniRef50_UPI00034534AC: coniferyl aldehyde dehydrogenase|unclassified	98.793
UniRef50_W4U3A9: An allosteric effector of glucose-6-phosphate dehydrogenase	98.4674
UniRef50_W4U3A9: An allosteric effector of glucose-6-phosphate dehydrogenase|unclassified	98.4674
UniRef50_D4GP41: Alpha-ketoglutarate semialdehyde dehydrogenase	97.8945
UniRef50_D4GP41: Alpha-ketoglutarate semialdehyde dehydrogenase|unclassified	97.8945
UniRef50_UPI0003B527C8: aldehyde dehydrogenase, partial	97.5899
UniRef50_UPI0003B527C8: aldehyde dehydrogenase, partial|unclassified	97.5899
UniRef50_T0IZX4	97.5586
UniRef50_T0IZX4|unclassified	97.5586
UniRef50_UPI00047C4426: hypothetical protein	97.3895
UniRef50_UPI00047C4426: hypothetical protein|unclassified	97.3895
UniRef50_UPI00035D27F4: MULTISPECIES: hypothetical protein	97.188
UniRef50_UPI00035D27F4: MULTISPECIES: hypothetical protein|unclassified	97.188
UniRef50_UPI00037F40F7: hypothetical protein	97.0291
UniRef50_UPI00037F40F7: hypothetical protein|unclassified	97.0291
UniRef50_UPI00037AC4CA: hypothetical protein	96.4107
UniRef50_UPI00037AC4CA: hypothetical protein|unclassified	96.4107
UniRef50_A5W1L2: SMP-30/Gluconolaconase/LRE domain protein	95.8259
UniRef50_A5W1L2: SMP-30/Gluconolaconase/LRE domain protein|unclassified	95.8259
UniRef50_UPI0004653E9F: hypothetical protein	95.718
UniRef50_UPI0004653E9F: hypothetical protein|unclassified	95.718
UniRef50_P43353: Aldehyde dehydrogenase family 3 member B1	95.7025
UniRef50_P43353: Aldehyde dehydrogenase family 3 member B1|unclassified	95.7025
UniRef50_UPI0004657D77: galactose mutarotase	95.3591
UniRef50_UPI0004657D77: galactose mutarotase|unclassified	95.3591
UniRef50_UPI0002B44EFB: PREDICTED: fatty aldehyde dehydrogenase-like, partial	94.905
UniRef50_UPI0002B44EFB: PREDICTED: fatty aldehyde dehydrogenase-like, partial|unclassified	94.905
UniRef50_UPI0003B44144: aldose 1-epimerase	94.7506
UniRef50_UPI0003B44144: aldose 1-epimerase|unclassified	94.7506
UniRef50_M5B962: Glucose-6-phosphate dehydrogenase assembly protein	94.7394
UniRef50_M5B962: Glucose-6-phosphate dehydrogenase assembly protein|unclassified	94.7394
UniRef50_K0Z4T7	94.6755
UniRef50_K0Z4T7|unclassified	94.6755
UniRef50_W1JYZ3	94.6381
UniRef50_W1JYZ3|unclassified	94.6381
UniRef50_Q96YZ3: Glycerate 2-kinase	93.5303
UniRef50_Q96YZ3: Glycerate 2-kinase|unclassified	93.5303
UniRef50_W4LP89	93.4698
UniRef50_W4LP89|unclassified	93.4698
UniRef50_UPI00038049F9: hypothetical protein	93.3312
UniRef50_UPI00038049F9: hypothetical protein|unclassified	93.3312
UniRef50_UPI00036FED05: hypothetical protein	93.2377
UniRef50_UPI00036FED05: hypothetical protein|unclassified	93.2377
UniRef50_UPI0003F8A0C2: oxidoreductase	93.1853
UniRef50_UPI0003F8A0C2: oxidoreductase|unclassified	93.1853
UniRef50_UPI0002D50CFB: hypothetical protein	93.1691
UniRef50_UPI0002D50CFB: hypothetical protein|unclassified	93.1691
UniRef50_UPI000475E9F7: hypothetical protein	92.7574
UniRef50_UPI000475E9F7: hypothetical protein|unclassified	92.7574
UniRef50_UPI00047B22CF: aldose epimerase	92.5195
UniRef50_UPI00047B22CF: aldose epimerase|unclassified	92.5195
UniRef50_UPI00037848F3: aldehyde dehydrogenase, partial	92.3673
UniRef50_UPI00037848F3: aldehyde dehydrogenase, partial|unclassified	92.3673
UniRef50_Q97UA1: 2,5-dioxopentanoate dehydrogenase	92.091
UniRef50_Q97UA1: 2,5-dioxopentanoate dehydrogenase|unclassified	92.091
UniRef50_D4IYP3	91.7868
UniRef50_D4IYP3|unclassified	91.7868
UniRef50_A6EH63: Possible gluconolactonase	91.6432
UniRef50_A6EH63: Possible gluconolactonase|unclassified	91.6432
UniRef50_UPI000366E794: hypothetical protein	91.4813
UniRef50_UPI000366E794: hypothetical protein|unclassified	91.4813
UniRef50_M0P5K0: MOFRL domain protein	91.4746
UniRef50_M0P5K0: MOFRL domain protein|unclassified	91.4746
UniRef50_W1N369: Gluconolactonase	91.2308
UniRef50_W1N369: Gluconolactonase|unclassified	91.2308
UniRef50_Q7NCV7: Gll2869 protein	91.1645
UniRef50_Q7NCV7: Gll2869 protein|unclassified	91.1645
UniRef50_UPI00047BAC9C: hypothetical protein	90.9493
UniRef50_UPI00047BAC9C: hypothetical protein|unclassified	90.9493
UniRef50_UPI000479D8B7: aldehyde dehydrogenase	90.2998
UniRef50_UPI000479D8B7: aldehyde dehydrogenase|unclassified	90.2998
UniRef50_W4U3I6: An allosteric effector of glucose-6-phosphate dehydrogenase	90.2118
UniRef50_W4U3I6: An allosteric effector of glucose-6-phosphate dehydrogenase|unclassified	90.2118
UniRef50_UPI0003B6D0E1: betaine-aldehyde dehydrogenase	89.8593
UniRef50_UPI0003B6D0E1: betaine-aldehyde dehydrogenase|unclassified	89.8593
UniRef50_UPI0003D0EA04: PREDICTED: aldehyde dehydrogenase family 3 member B1-like isoform X1	89.8029
UniRef50_UPI0003D0EA04: PREDICTED: aldehyde dehydrogenase family 3 member B1-like isoform X1|unclassified	89.8029
UniRef50_UPI000362C65C: hypothetical protein	89.4694
UniRef50_UPI000362C65C: hypothetical protein|unclassified	89.4694
UniRef50_UPI00041F8B35: polyphosphate glucokinase	89.4156
UniRef50_UPI00041F8B35: polyphosphate glucokinase|unclassified	89.4156
UniRef50_P43503: Benzaldehyde dehydrogenase [NAD(+)]	89.4044
UniRef50_P43503: Benzaldehyde dehydrogenase [NAD(+)]|unclassified	89.4044
UniRef50_UPI0003B64CE1: OxPP cycle protein OpcA	89.1993
UniRef50_UPI0003B64CE1: OxPP cycle protein OpcA|unclassified	89.1993
UniRef50_UPI000382F824: hypothetical protein M271_01115	89.1033
UniRef50_UPI000382F824: hypothetical protein M271_01115|unclassified	89.1033
UniRef50_D1C2P1: Phosphoglycerate mutase	89.0456
UniRef50_D1C2P1: Phosphoglycerate mutase|unclassified	89.0456
UniRef50_X4UDD9: Histidine phosphatase	89.0394
UniRef50_X4UDD9: Histidine phosphatase|unclassified	89.0394
UniRef50_UPI000468DC49: hypothetical protein	88.9155
UniRef50_UPI000468DC49: hypothetical protein|unclassified	88.9155
UniRef50_H8GW21: Glucose 6-phosphate dehydrogenase assembly protein OpcA, putative	88.7152
UniRef50_H8GW21: Glucose 6-phosphate dehydrogenase assembly protein OpcA, putative|unclassified	88.7152
UniRef50_Q8W033: Aldehyde dehydrogenase family 3 member I1, chloroplastic	88.3708
UniRef50_Q8W033: Aldehyde dehydrogenase family 3 member I1, chloroplastic|unclassified	88.3708
UniRef50_UPI000367A423: hypothetical protein	88.3584
UniRef50_UPI000367A423: hypothetical protein|unclassified	88.3584
UniRef50_UPI00038162BB: hypothetical protein	87.9603
UniRef50_UPI00038162BB: hypothetical protein|unclassified	87.9603
UniRef50_UPI00034858C4: aldehyde dehydrogenase	87.8718
UniRef50_UPI00034858C4: aldehyde dehydrogenase|unclassified	87.8718
UniRef50_UPI00037EEBC7: hypothetical protein	87.8701
UniRef50_UPI00037EEBC7: hypothetical protein|unclassified	87.8701
UniRef50_X0S4D2: Marine sediment metagenome DNA, contig: S01H1_C00346 (Fragment)	87.6872
UniRef50_X0S4D2: Marine sediment metagenome DNA, contig: S01H1_C00346 (Fragment)|unclassified	87.6872
UniRef50_UPI00037758B6: hypothetical protein, partial	87.6709
UniRef50_UPI00037758B6: hypothetical protein, partial|unclassified	87.6709
UniRef50_UPI0003645D4E: hypothetical protein	87.2806
UniRef50_UPI0003645D4E: hypothetical protein|unclassified	87.2806
UniRef50_UPI00037700FE: hypothetical protein	87.1239
UniRef50_UPI00037700FE: hypothetical protein|unclassified	87.1239
UniRef50_UPI0002627729: 2-dehydro-3-deoxygluconokinase	86.7591
UniRef50_UPI0002627729: 2-dehydro-3-deoxygluconokinase|unclassified	86.7591
UniRef50_UPI00016C40A1: hypothetical protein	86.3384
UniRef50_UPI00016C40A1: hypothetical protein|unclassified	86.3384
UniRef50_UPI0003625AF1: aldehyde dehydrogenase, partial	86.2155
UniRef50_UPI0003625AF1: aldehyde dehydrogenase, partial|unclassified	86.2155
UniRef50_O75891: Cytosolic 10-formyltetrahydrofolate dehydrogenase	85.8061
UniRef50_O75891: Cytosolic 10-formyltetrahydrofolate dehydrogenase|unclassified	85.8061
UniRef50_UPI00039A7CC0: MULTISPECIES: aldehyde dehydrogenase	85.7094
UniRef50_UPI00039A7CC0: MULTISPECIES: aldehyde dehydrogenase|unclassified	85.7094
UniRef50_UPI0003F19399: aldehyde dehydrogenase family 3 member B1 isoform c	85.2501
UniRef50_UPI0003F19399: aldehyde dehydrogenase family 3 member B1 isoform c|unclassified	85.2501
UniRef50_UPI0003AD0A29: hypothetical protein	84.9181
UniRef50_UPI0003AD0A29: hypothetical protein|unclassified	84.9181
UniRef50_UPI00036CA1BE: hypothetical protein	84.7985
UniRef50_UPI00036CA1BE: hypothetical protein|unclassified	84.7985
UniRef50_UPI0003B66123: gluconolaconase, partial	84.7339
UniRef50_UPI0003B66123: gluconolaconase, partial|unclassified	84.7339
UniRef50_UPI000420F324: hypothetical protein	84.5263
UniRef50_UPI000420F324: hypothetical protein|unclassified	84.5263
UniRef50_UPI0002652736: PREDICTED: aldehyde dehydrogenase family 9 member A1-A-like	84.4892
UniRef50_UPI0002652736: PREDICTED: aldehyde dehydrogenase family 9 member A1-A-like|unclassified	84.4892
UniRef50_UPI0003B7958A: glucokinase	84.1301
UniRef50_UPI0003B7958A: glucokinase|unclassified	84.1301
UniRef50_A8KX72: SMP-30/Gluconolaconase/LRE domain protein	84.0981
UniRef50_A8KX72: SMP-30/Gluconolaconase/LRE domain protein|unclassified	84.0981
UniRef50_Q97U28: 2-dehydro-3-deoxy-D-gluconate/2-dehydro-3-deoxy-phosphogluconate aldolase	83.7857
UniRef50_Q97U28: 2-dehydro-3-deoxy-D-gluconate/2-dehydro-3-deoxy-phosphogluconate aldolase|unclassified	83.7857
UniRef50_UPI000478BE6B: hypothetical protein	83.6465
UniRef50_UPI000478BE6B: hypothetical protein|unclassified	83.6465
UniRef50_UPI0003645625: hypothetical protein	83.581
UniRef50_UPI0003645625: hypothetical protein|unclassified	83.581
UniRef50_W4HNS9: SMP-30/gluconolaconase/LRE-like region	83.3216
UniRef50_W4HNS9: SMP-30/gluconolaconase/LRE-like region|unclassified	83.3216
UniRef50_UPI00036A80AE: hypothetical protein	83.2374
UniRef50_UPI00036A80AE: hypothetical protein|unclassified	83.2374
UniRef50_UPI0002657B15: PREDICTED: gluconolactonase-like, partial	83.1649
UniRef50_UPI0002657B15: PREDICTED: gluconolactonase-like, partial|unclassified	83.1649
UniRef50_UPI00036D8A55: hypothetical protein	83.1198
UniRef50_UPI00036D8A55: hypothetical protein|unclassified	83.1198
UniRef50_UPI00026C4F70: 2-dehydro-3-deoxygluconokinase	82.904
UniRef50_UPI00026C4F70: 2-dehydro-3-deoxygluconokinase|unclassified	82.904
UniRef50_N6UY15: Putative gluconolactonase protein	82.8887
UniRef50_N6UY15: Putative gluconolactonase protein|unclassified	82.8887
UniRef50_UPI0003722D3D: hypothetical protein, partial	82.8781
UniRef50_UPI0003722D3D: hypothetical protein, partial|unclassified	82.8781
UniRef50_A0A011PAE3	82.8171
UniRef50_A0A011PAE3|unclassified	82.8171
UniRef50_D5BE59: ROK family protein	82.6968
UniRef50_D5BE59: ROK family protein|unclassified	82.6968
UniRef50_UPI000237AD1B: aldehyde dehydrogenase	82.574
UniRef50_UPI000237AD1B: aldehyde dehydrogenase|unclassified	82.574
UniRef50_A0A059FU44: Gluconolactonase	82.4704
UniRef50_A0A059FU44: Gluconolactonase|unclassified	82.4704
UniRef50_Q6BA76	82.2689
UniRef50_Q6BA76|unclassified	82.2689
UniRef50_F2GW34	82.1399
UniRef50_F2GW34|unclassified	82.1399
UniRef50_UPI0004692991: 6-phosphogluconolactonase	81.9535
UniRef50_UPI0004692991: 6-phosphogluconolactonase|unclassified	81.9535
UniRef50_UPI0004692488: hypothetical protein	81.6219
UniRef50_UPI0004692488: hypothetical protein|unclassified	81.6219
UniRef50_UPI00029B1F55: succinate-semialdehyde dehydrogenase	81.3092
UniRef50_UPI00029B1F55: succinate-semialdehyde dehydrogenase|unclassified	81.3092
UniRef50_D2Q4L5: Glucose-6-P dehydrogenase subunit-like protein	81.2272
UniRef50_D2Q4L5: Glucose-6-P dehydrogenase subunit-like protein|unclassified	81.2272
UniRef50_UPI000360F81F: hypothetical protein	80.9381
UniRef50_UPI000360F81F: hypothetical protein|unclassified	80.9381
UniRef50_UPI0003F07A7B: PREDICTED: LOW QUALITY PROTEIN: aldehyde dehydrogenase, dimeric NADP-preferring	80.9235
UniRef50_UPI0003F07A7B: PREDICTED: LOW QUALITY PROTEIN: aldehyde dehydrogenase, dimeric NADP-preferring|unclassified	80.9235
UniRef50_UPI000479C466: hypothetical protein	80.7887
UniRef50_UPI000479C466: hypothetical protein|unclassified	80.7887
UniRef50_A6VRW1: MOFRL domain protein	80.725
UniRef50_A6VRW1: MOFRL domain protein|unclassified	80.725
UniRef50_O86447: Coniferyl aldehyde dehydrogenase	80.5361
UniRef50_O86447: Coniferyl aldehyde dehydrogenase|unclassified	80.5361
UniRef50_Q9JLJ2: 4-trimethylaminobutyraldehyde dehydrogenase	80.2585
UniRef50_Q9JLJ2: 4-trimethylaminobutyraldehyde dehydrogenase|unclassified	80.2585
UniRef50_UPI000363F0F7: hypothetical protein	79.9152
UniRef50_UPI000363F0F7: hypothetical protein|unclassified	79.9152
UniRef50_UPI00036B365C: hypothetical protein	79.8659
UniRef50_UPI00036B365C: hypothetical protein|unclassified	79.8659
UniRef50_D7C7F9: Calcium-binding protein	79.8417
UniRef50_D7C7F9: Calcium-binding protein|unclassified	79.8417
UniRef50_D1C7Y1: Glucose-6-P dehydrogenase subunit-like protein	79.6368
UniRef50_D1C7Y1: Glucose-6-P dehydrogenase subunit-like protein|unclassified	79.6368
UniRef50_C7R460: Glucose-6-P dehydrogenase subunit-like protein	79.4794
UniRef50_C7R460: Glucose-6-P dehydrogenase subunit-like protein|unclassified	79.4794
UniRef50_J2V6P1: Gluconolactonase (Fragment)	79.4442
UniRef50_J2V6P1: Gluconolactonase (Fragment)|unclassified	79.4442
UniRef50_B5JJC7: SMP-30/Gluconolaconase/LRE-like region superfamily	79.4333
UniRef50_B5JJC7: SMP-30/Gluconolaconase/LRE-like region superfamily|unclassified	79.4333
UniRef50_R5XC86	79.3671
UniRef50_R5XC86|unclassified	79.3671
UniRef50_UPI000362388B: hypothetical protein	79.2568
UniRef50_UPI000362388B: hypothetical protein|unclassified	79.2568
UniRef50_UPI0003D26110: PREDICTED: aldehyde dehydrogenase family 2 member B4, mitochondrial-like	78.8036
UniRef50_UPI0003D26110: PREDICTED: aldehyde dehydrogenase family 2 member B4, mitochondrial-like|unclassified	78.8036
UniRef50_UPI0004635A6D: 3-oxoacyl-ACP reductase	78.729
UniRef50_UPI0004635A6D: 3-oxoacyl-ACP reductase|unclassified	78.729
UniRef50_A0A022MEG2: Calcium-binding protein (Fragment)	78.6007
UniRef50_A0A022MEG2: Calcium-binding protein (Fragment)|unclassified	78.6007
UniRef50_UPI00035FA1AB: hypothetical protein	78.4198
UniRef50_UPI00035FA1AB: hypothetical protein|unclassified	78.4198
UniRef50_R7LAI1	78.3658
UniRef50_R7LAI1|unclassified	78.3658
UniRef50_U3P8T1: Oxppcycle protein	78.3433
UniRef50_U3P8T1: Oxppcycle protein|unclassified	78.3433
UniRef50_UPI000344351A: PREDICTED: aldehyde dehydrogenase, dimeric NADP-preferring	78.2976
UniRef50_UPI000344351A: PREDICTED: aldehyde dehydrogenase, dimeric NADP-preferring|unclassified	78.2976
UniRef50_UPI000366474A: hypothetical protein	78.1822
UniRef50_UPI000366474A: hypothetical protein|unclassified	78.1822
UniRef50_Q3JY01	78.0563
UniRef50_Q3JY01|unclassified	78.0563
UniRef50_Q01VT5: Glucose-6-P dehydrogenase subunit-like protein	77.9848
UniRef50_Q01VT5: Glucose-6-P dehydrogenase subunit-like protein|unclassified	77.9848
UniRef50_R7ART1: Hydroxypyruvate reductase	77.973
UniRef50_R7ART1: Hydroxypyruvate reductase|unclassified	77.973
UniRef50_UPI0003A4417A: 6-phosphogluconolactonase	77.9276
UniRef50_UPI0003A4417A: 6-phosphogluconolactonase|unclassified	77.9276
UniRef50_A0A011R4T0: 6-phosphogluconolactonase	77.9105
UniRef50_A0A011R4T0: 6-phosphogluconolactonase|unclassified	77.9105
UniRef50_UPI0004740A00: hypothetical protein, partial	77.8223
UniRef50_UPI0004740A00: hypothetical protein, partial|unclassified	77.8223
UniRef50_I4F069: Glucose-6-P dehydrogenase subunit	77.7829
UniRef50_I4F069: Glucose-6-P dehydrogenase subunit|unclassified	77.7829
UniRef50_V6VJ51	77.7646
UniRef50_V6VJ51|unclassified	77.7646
UniRef50_UPI0003C7B62A: hypothetical protein	77.7197
UniRef50_UPI0003C7B62A: hypothetical protein|unclassified	77.7197
UniRef50_X8FBT1: Glucose-6-phosphate dehydrogenase assembly protein OpcA	77.6879
UniRef50_X8FBT1: Glucose-6-phosphate dehydrogenase assembly protein OpcA|unclassified	77.6879
UniRef50_F8B5I5: Glucose-6-phosphate dehydrogenase subunit	77.1246
UniRef50_F8B5I5: Glucose-6-phosphate dehydrogenase subunit|unclassified	77.1246
UniRef50_K1YYZ8	77.0705
UniRef50_K1YYZ8|unclassified	77.0705
UniRef50_A4CNC0: Gluconolactonase (Precursor)	76.9196
UniRef50_A4CNC0: Gluconolactonase (Precursor)|unclassified	76.9196
UniRef50_D8MLI9: SMP-30/Gluconolaconase/LRE domain protein	76.8846
UniRef50_D8MLI9: SMP-30/Gluconolaconase/LRE domain protein|unclassified	76.8846
UniRef50_UPI0004739186: hypothetical protein, partial	76.6413
UniRef50_UPI0004739186: hypothetical protein, partial|unclassified	76.6413
UniRef50_UPI0003B5315B: gluconolactonase	76.5928
UniRef50_UPI0003B5315B: gluconolactonase|unclassified	76.5928
UniRef50_O57693: NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase	76.3416
UniRef50_O57693: NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase|unclassified	76.3416
UniRef50_X1UZU3: Marine sediment metagenome DNA, contig: S12H4_S10759 (Fragment)	76.1408
UniRef50_X1UZU3: Marine sediment metagenome DNA, contig: S12H4_S10759 (Fragment)|unclassified	76.1408
UniRef50_UPI00036EFEAB: hypothetical protein	75.9539
UniRef50_UPI00036EFEAB: hypothetical protein|unclassified	75.9539
UniRef50_Q9KWS5: 2-aminomuconic 6-semialdehyde dehydrogenase	75.7739
UniRef50_Q9KWS5: 2-aminomuconic 6-semialdehyde dehydrogenase|unclassified	75.7739
UniRef50_D6XYI5: Phosphoglycerate mutase	75.7726
UniRef50_D6XYI5: Phosphoglycerate mutase|unclassified	75.7726
UniRef50_UPI0004415A08: NAD-dependent succinate aldehyde dehydrogenase	75.7009
UniRef50_UPI0004415A08: NAD-dependent succinate aldehyde dehydrogenase|unclassified	75.7009
UniRef50_UPI0003FA9877: hypothetical protein	75.6946
UniRef50_UPI0003FA9877: hypothetical protein|unclassified	75.6946
UniRef50_UPI00047E123E: aldehyde dehydrogenase	75.5389
UniRef50_UPI00047E123E: aldehyde dehydrogenase|unclassified	75.5389
UniRef50_UPI0003612B61: hypothetical protein, partial	75.2892
UniRef50_UPI0003612B61: hypothetical protein, partial|unclassified	75.2892
UniRef50_X8AV82: Glucose-6-phosphate dehydrogenase subunit	75.2641
