# Gene Family	SampleBacterial_Cytoskeleton_Abundance-CPM
UniRef50_UPI00036695D5: hypothetical protein	63.9481
UniRef50_UPI00036695D5: hypothetical protein|unclassified	63.9481
UniRef50_UPI0001850E69: cell division protein FtsQ	63.7664
UniRef50_UPI0001850E69: cell division protein FtsQ|unclassified	63.7664
UniRef50_E7JDY5: Plasmid Partition par B protein	63.7621
UniRef50_E7JDY5: Plasmid Partition par B protein|unclassified	63.7621
UniRef50_L2IR04: Transglutaminase	63.7178
UniRef50_L2IR04: Transglutaminase|unclassified	63.7178
UniRef50_UPI00039B744A: DNA-binding protein	63.6821
UniRef50_UPI00039B744A: DNA-binding protein|unclassified	63.6821
UniRef50_UPI00037C8FFF: hypothetical protein	63.5351
UniRef50_UPI00037C8FFF: hypothetical protein|unclassified	63.5351
UniRef50_UPI00046E7D1A: hypothetical protein	63.4203
UniRef50_UPI00046E7D1A: hypothetical protein|unclassified	63.4203
UniRef50_UPI0003B6BE09: septum formation inhibitor Maf	63.4143
UniRef50_UPI0003B6BE09: septum formation inhibitor Maf|unclassified	63.4143
UniRef50_E6NC12	63.2986
UniRef50_E6NC12|unclassified	63.2986
UniRef50_A9B405: Polypeptide-transport-associated domain protein FtsQ-type	63.2814
UniRef50_A9B405: Polypeptide-transport-associated domain protein FtsQ-type|unclassified	63.2814
UniRef50_K1SSS0: Sporulation initiation inhibitor protein Soj	63.2733
UniRef50_K1SSS0: Sporulation initiation inhibitor protein Soj|unclassified	63.2733
UniRef50_Q2F4B8: Actin-like ATPase (Fragment)	63.159
UniRef50_Q2F4B8: Actin-like ATPase (Fragment)|unclassified	63.159
UniRef50_A5ZTA7	63.1453
UniRef50_A5ZTA7|unclassified	63.1453
UniRef50_C4RKU7	63.1358
UniRef50_C4RKU7|unclassified	63.1358
UniRef50_UPI00036EAB47: hypothetical protein	63.0827
UniRef50_UPI00036EAB47: hypothetical protein|unclassified	63.0827
UniRef50_UPI00021928D9: cell division initiation protein DivIVA	62.7847
UniRef50_UPI00021928D9: cell division initiation protein DivIVA|unclassified	62.7847
UniRef50_C0EYW4: CobQ/CobB/MinD/ParA nucleotide binding domain protein	62.7594
UniRef50_C0EYW4: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	62.7594
UniRef50_A4XI06: Polypeptide-transport-associated domain protein, FtsQ-type	62.6532
UniRef50_A4XI06: Polypeptide-transport-associated domain protein, FtsQ-type|unclassified	62.6532
UniRef50_K1SQS6: FtsK/SpoIIIE family protein (Fragment)	62.501
UniRef50_K1SQS6: FtsK/SpoIIIE family protein (Fragment)|unclassified	62.501
UniRef50_D5UMK7	62.4176
UniRef50_D5UMK7|unclassified	62.4176
UniRef50_X1JKD4: Marine sediment metagenome DNA, contig: S03H2_S11968 (Fragment)	62.3825
UniRef50_X1JKD4: Marine sediment metagenome DNA, contig: S03H2_S11968 (Fragment)|unclassified	62.3825
UniRef50_UPI00035E37F9: hypothetical protein	62.3642
UniRef50_UPI00035E37F9: hypothetical protein|unclassified	62.3642
UniRef50_Q4FKW4: Rod shape-determining protein MreD	62.2383
UniRef50_Q4FKW4: Rod shape-determining protein MreD|unclassified	62.2383
UniRef50_C7LST1: Polypeptide-transport-associated domain protein FtsQ-type	62.2366
UniRef50_C7LST1: Polypeptide-transport-associated domain protein FtsQ-type|unclassified	62.2366
UniRef50_UPI00037F9382: hypothetical protein, partial	62.2304
UniRef50_UPI00037F9382: hypothetical protein, partial|unclassified	62.2304
UniRef50_UPI00029A3868: DNA segregation ATPase FtsK, partial	62.1716
UniRef50_UPI00029A3868: DNA segregation ATPase FtsK, partial|unclassified	62.1716
UniRef50_B0KHC1: DNA segregation ATPase FtsK/SpoIIIE and related protein-like protein	62.1513
UniRef50_B0KHC1: DNA segregation ATPase FtsK/SpoIIIE and related protein-like protein|unclassified	62.1513
UniRef50_UPI0004714AA7: hypothetical protein, partial	62.1034
UniRef50_UPI0004714AA7: hypothetical protein, partial|unclassified	62.1034
UniRef50_UPI0003B3D0CF: septum formation inhibitor Maf	61.8449
UniRef50_UPI0003B3D0CF: septum formation inhibitor Maf|unclassified	61.8449
UniRef50_A0A011Q1R0: Penicillin-binding protein 2	61.4915
UniRef50_A0A011Q1R0: Penicillin-binding protein 2|unclassified	61.4915
UniRef50_W0D9V1	61.1558
UniRef50_W0D9V1|unclassified	61.1558
UniRef50_UPI0003647F73: hypothetical protein	60.8392
UniRef50_UPI0003647F73: hypothetical protein|unclassified	60.8392
UniRef50_W4JET0	60.564
UniRef50_W4JET0|unclassified	60.564
UniRef50_UPI000200015E: hypothetical protein, partial	60.4292
UniRef50_UPI000200015E: hypothetical protein, partial|unclassified	60.4292
UniRef50_UPI00046EFD73: hypothetical protein	60.2497
UniRef50_UPI00046EFD73: hypothetical protein|unclassified	60.2497
UniRef50_UPI00029AE6A2: cell division protein	60.2227
UniRef50_UPI00029AE6A2: cell division protein|unclassified	60.2227
UniRef50_UPI00046A1DFC: hypothetical protein, partial	60.0732
UniRef50_UPI00046A1DFC: hypothetical protein, partial|unclassified	60.0732
UniRef50_X7TJ76	60.0536
UniRef50_X7TJ76|unclassified	60.0536
UniRef50_UPI00036E36AA: hypothetical protein	60.0058
UniRef50_UPI00036E36AA: hypothetical protein|unclassified	60.0058
UniRef50_UPI000465727C: hypothetical protein, partial	59.941
UniRef50_UPI000465727C: hypothetical protein, partial|unclassified	59.941
UniRef50_UPI00037B68F6: hypothetical protein	59.9021
UniRef50_UPI00037B68F6: hypothetical protein|unclassified	59.9021
UniRef50_B2UPW4: Polypeptide-transport-associated domain protein FtsQ-type	59.8622
UniRef50_B2UPW4: Polypeptide-transport-associated domain protein FtsQ-type|unclassified	59.8622
UniRef50_UPI0001BC2C4C: cell divisionFtsK/SpoIIIE	59.5731
UniRef50_UPI0001BC2C4C: cell divisionFtsK/SpoIIIE|unclassified	59.5731
UniRef50_D4H5N9: Cobyrinic acid ac-diamide synthase	59.3625
UniRef50_D4H5N9: Cobyrinic acid ac-diamide synthase|unclassified	59.3625
UniRef50_D4M321: ATPases involved in chromosome partitioning	59.2572
UniRef50_D4M321: ATPases involved in chromosome partitioning|unclassified	59.2572
UniRef50_Q1J0B5	59.252
UniRef50_Q1J0B5|unclassified	59.252
UniRef50_UPI00046D01A4: hypothetical protein	58.9804
UniRef50_UPI00046D01A4: hypothetical protein|unclassified	58.9804
UniRef50_A0A023BX26	58.8494
UniRef50_A0A023BX26|unclassified	58.8494
UniRef50_R5TRB2	58.7561
UniRef50_R5TRB2|unclassified	58.7561
UniRef50_I7GG64	58.7083
UniRef50_I7GG64|unclassified	58.7083
UniRef50_UPI00016C359F: stage III sporulation protein E	58.7047
UniRef50_UPI00016C359F: stage III sporulation protein E|unclassified	58.7047
UniRef50_UPI0003764069: hypothetical protein	58.7022
UniRef50_UPI0003764069: hypothetical protein|unclassified	58.7022
UniRef50_W1YP71: Cobyrinic acid ac-diamide synthase (Fragment)	58.6467
UniRef50_W1YP71: Cobyrinic acid ac-diamide synthase (Fragment)|unclassified	58.6467
UniRef50_R7DE93	58.5002
UniRef50_R7DE93|unclassified	58.5002
UniRef50_C9K2Z7: Putative GTP/ATP binding protein (Fragment)	58.2818
UniRef50_C9K2Z7: Putative GTP/ATP binding protein (Fragment)|unclassified	58.2818
UniRef50_UPI00036732E7: hypothetical protein	57.8728
UniRef50_UPI00036732E7: hypothetical protein|unclassified	57.8728
UniRef50_UPI0003732CA8: hypothetical protein	57.8455
UniRef50_UPI0003732CA8: hypothetical protein|unclassified	57.8455
UniRef50_M2ACV0	57.8004
UniRef50_M2ACV0|unclassified	57.8004
UniRef50_A9FC87: Chromosome partitioning protein	57.7759
UniRef50_A9FC87: Chromosome partitioning protein|unclassified	57.7759
UniRef50_UPI0004739133: rod shape-determining protein MreD	57.4803
UniRef50_UPI0004739133: rod shape-determining protein MreD|unclassified	57.4803
UniRef50_M1GHC8: Polypeptide-transport-associated domain protein FtsQ-type	57.3752
UniRef50_M1GHC8: Polypeptide-transport-associated domain protein FtsQ-type|unclassified	57.3752
UniRef50_K4J2Q9	57.3402
UniRef50_K4J2Q9|unclassified	57.3402
UniRef50_Q2S6R3	57.2658
UniRef50_Q2S6R3|unclassified	57.2658
UniRef50_E6K254: CobQ/CobB/MinD/ParA nucleotide binding domain protein	57.156
UniRef50_E6K254: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	57.156
UniRef50_Q7NNV9: Gll0299 protein	57.1039
UniRef50_Q7NNV9: Gll0299 protein|unclassified	57.1039
UniRef50_F3N011: Cell shape-determining protein (Fragment)	57.0825
UniRef50_F3N011: Cell shape-determining protein (Fragment)|unclassified	57.0825
UniRef50_UPI0004668891: Pbp	57.0634
UniRef50_UPI0004668891: Pbp|unclassified	57.0634
UniRef50_UPI00047D88C2: stage V sporulation protein D	56.9734
UniRef50_UPI00047D88C2: stage V sporulation protein D|unclassified	56.9734
UniRef50_A9KLT9	56.7901
UniRef50_A9KLT9|unclassified	56.7901
UniRef50_UPI000367BD3D: hypothetical protein	56.7401
UniRef50_UPI000367BD3D: hypothetical protein|unclassified	56.7401
UniRef50_UPI0002E276BB: hypothetical protein	56.4595
UniRef50_UPI0002E276BB: hypothetical protein|unclassified	56.4595
UniRef50_D2Z872: Cobyrinic acid ac-diamide synthase	55.5445
UniRef50_D2Z872: Cobyrinic acid ac-diamide synthase|unclassified	55.5445
UniRef50_D2S5C9: Cobyrinic acid ac-diamide synthase	55.5314
UniRef50_D2S5C9: Cobyrinic acid ac-diamide synthase|unclassified	55.5314
UniRef50_UPI0003692892: hypothetical protein	55.3745
UniRef50_UPI0003692892: hypothetical protein|unclassified	55.3745
UniRef50_UPI00042301A6: cell division protein	55.0092
UniRef50_UPI00042301A6: cell division protein|unclassified	55.0092
UniRef50_D1PSL3: CobQ/CobB/MinD/ParA nucleotide binding domain protein	55.0058
UniRef50_D1PSL3: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	55.0058
UniRef50_UPI0002D96A3B: rod shape-determining protein MreC	54.9566
UniRef50_UPI0002D96A3B: rod shape-determining protein MreC|unclassified	54.9566
UniRef50_UPI0003AB43C7: hypothetical protein	54.7479
UniRef50_UPI0003AB43C7: hypothetical protein|unclassified	54.7479
UniRef50_U2RC86	54.6742
UniRef50_U2RC86|unclassified	54.6742
UniRef50_C7GCM7: CobQ/CobB/MinD/ParA nucleotide binding domain protein	54.6024
UniRef50_C7GCM7: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	54.6024
UniRef50_UPI00030FAF91: hypothetical protein	54.4062
UniRef50_UPI00030FAF91: hypothetical protein|unclassified	54.4062
UniRef50_M6T0S7: PF13491 domain protein	54.3711
UniRef50_M6T0S7: PF13491 domain protein|unclassified	54.3711
UniRef50_K7X0B6: Polypeptide-transport-associated protein FtsQ	54.225
UniRef50_K7X0B6: Polypeptide-transport-associated protein FtsQ|unclassified	54.225
UniRef50_B0L8V5: FtsA (Fragment)	54.1481
UniRef50_B0L8V5: FtsA (Fragment)|unclassified	54.1481
UniRef50_E5W6Y9	54.146
UniRef50_E5W6Y9|unclassified	54.146
UniRef50_UPI000365C2B6: hypothetical protein	54.1339
UniRef50_UPI000365C2B6: hypothetical protein|unclassified	54.1339
UniRef50_S9S2K0: CobQ/CobB/MinD/ParA nucleotide binding domain protein	54.1045
UniRef50_S9S2K0: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	54.1045
UniRef50_UPI00036B378A: hypothetical protein	53.91
UniRef50_UPI00036B378A: hypothetical protein|unclassified	53.91
UniRef50_B6YVW5: ATPase	53.8492
UniRef50_B6YVW5: ATPase|unclassified	53.8492
UniRef50_K2BYG8: DNA translocase ftsK	53.7511
UniRef50_K2BYG8: DNA translocase ftsK|unclassified	53.7511
UniRef50_A9I8S7	53.7443
UniRef50_A9I8S7|unclassified	53.7443
UniRef50_UPI0003B48BB1: peptidoglycan glycosyltransferase	53.5714
UniRef50_UPI0003B48BB1: peptidoglycan glycosyltransferase|unclassified	53.5714
UniRef50_K1SEB7: MraZ protein	53.563
UniRef50_K1SEB7: MraZ protein|unclassified	53.563
UniRef50_A0A037ZQW3: Chromosome partitioning protein ParA	53.4291
UniRef50_A0A037ZQW3: Chromosome partitioning protein ParA|unclassified	53.4291
UniRef50_UPI0002E0443F: hypothetical protein	53.4125
UniRef50_UPI0002E0443F: hypothetical protein|unclassified	53.4125
UniRef50_W5IIM0	53.2939
UniRef50_W5IIM0|unclassified	53.2939
UniRef50_X8FJN1: Chromosome partitioning ParB domain protein	53.2107
UniRef50_X8FJN1: Chromosome partitioning ParB domain protein|unclassified	53.2107
UniRef50_R5MW91: Sporulation initiation inhibitor protein Soj	53.1006
UniRef50_R5MW91: Sporulation initiation inhibitor protein Soj|unclassified	53.1006
UniRef50_UPI00046F4DB6: hypothetical protein	52.7852
UniRef50_UPI00046F4DB6: hypothetical protein|unclassified	52.7852
UniRef50_UPI000466A605: cell division protein FtsZ, partial	52.7645
UniRef50_UPI000466A605: cell division protein FtsZ, partial|unclassified	52.7645
UniRef50_UPI0004674403: hypothetical protein	52.7551
UniRef50_UPI0004674403: hypothetical protein|unclassified	52.7551
UniRef50_K1S5M0: FtsK/SpoIIIE family protein	52.6717
UniRef50_K1S5M0: FtsK/SpoIIIE family protein|unclassified	52.6717
UniRef50_X0ZDV1: Marine sediment metagenome DNA, contig: S01H4_C05554 (Fragment)	52.6666
UniRef50_X0ZDV1: Marine sediment metagenome DNA, contig: S01H4_C05554 (Fragment)|unclassified	52.6666
UniRef50_F8L310: Chlamydia virulence plasmid protein pGP5-D	52.6279
UniRef50_F8L310: Chlamydia virulence plasmid protein pGP5-D|unclassified	52.6279
UniRef50_UPI00036DE5F8: hypothetical protein	52.6219
UniRef50_UPI00036DE5F8: hypothetical protein|unclassified	52.6219
UniRef50_UPI0003B50E9A: DNA segregation ATPase	52.5308
UniRef50_UPI0003B50E9A: DNA segregation ATPase|unclassified	52.5308
UniRef50_A7NJU4	52.306
UniRef50_A7NJU4|unclassified	52.306
UniRef50_U8FJY3	52.1296
UniRef50_U8FJY3|unclassified	52.1296
UniRef50_B8IZT4	52.1083
UniRef50_B8IZT4|unclassified	52.1083
UniRef50_A0QNG3: Penicillin-binding protein A	52.1013
UniRef50_A0QNG3: Penicillin-binding protein A|unclassified	52.1013
UniRef50_UPI00037A92EE: hypothetical protein	52.0697
UniRef50_UPI00037A92EE: hypothetical protein|unclassified	52.0697
UniRef50_UPI00016B25C1: cell division protein FtsA, partial	51.9665
UniRef50_UPI00016B25C1: cell division protein FtsA, partial|unclassified	51.9665
UniRef50_D4H2T7	51.8142
UniRef50_D4H2T7|unclassified	51.8142
UniRef50_S4XQJ8: ParA	51.5836
UniRef50_S4XQJ8: ParA|unclassified	51.5836
UniRef50_UPI00040314B0: rod shape-determining protein MreD	51.5506
UniRef50_UPI00040314B0: rod shape-determining protein MreD|unclassified	51.5506
UniRef50_R6PV26: CobQ/CobB/MinD/ParA nucleotide binding domain protein	51.4965
UniRef50_R6PV26: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	51.4965
UniRef50_K1T572: Protein containing DNA translocase ftsK gamma domain protein	51.4641
UniRef50_K1T572: Protein containing DNA translocase ftsK gamma domain protein|unclassified	51.4641
UniRef50_Q313Q0: Polypeptide-transport-associated domain protein FtsQ-type	51.4175
UniRef50_Q313Q0: Polypeptide-transport-associated domain protein FtsQ-type|unclassified	51.4175
UniRef50_R5ZDY8: ATPases involved in chromosome partitioning	51.3485
UniRef50_R5ZDY8: ATPases involved in chromosome partitioning|unclassified	51.3485
UniRef50_C7PRE2	51.2864
UniRef50_C7PRE2|unclassified	51.2864
UniRef50_H5XJ04: ATPase involved in chromosome partitioning	51.1686
UniRef50_H5XJ04: ATPase involved in chromosome partitioning|unclassified	51.1686
UniRef50_A9BA90: Tfp pilus assembly protein, ATPase PilM	51.1347
UniRef50_A9BA90: Tfp pilus assembly protein, ATPase PilM|unclassified	51.1347
UniRef50_D4M153: ATPases involved in chromosome partitioning	51.0894
UniRef50_D4M153: ATPases involved in chromosome partitioning|unclassified	51.0894
UniRef50_D4H745: Cobyrinic acid ac-diamide synthase	50.9432
UniRef50_D4H745: Cobyrinic acid ac-diamide synthase|unclassified	50.9432
UniRef50_K1UK39: ParB-like partition protein	50.8908
UniRef50_K1UK39: ParB-like partition protein|unclassified	50.8908
UniRef50_X1LTX3: Marine sediment metagenome DNA, contig: S06H3_S04170 (Fragment)	50.8397
UniRef50_X1LTX3: Marine sediment metagenome DNA, contig: S06H3_S04170 (Fragment)|unclassified	50.8397
UniRef50_T3GEK9	50.8217
UniRef50_T3GEK9|unclassified	50.8217
UniRef50_Q02BB7: ParB domain protein nuclease	50.6523
UniRef50_Q02BB7: ParB domain protein nuclease|unclassified	50.6523
UniRef50_UPI000362DFF5: hypothetical protein	50.6486
UniRef50_UPI000362DFF5: hypothetical protein|unclassified	50.6486
UniRef50_M3HQ96: ParB-like protein	50.6229
UniRef50_M3HQ96: ParB-like protein|unclassified	50.6229
UniRef50_UPI000474E99D: septum site-determining protein MinC	50.4969
UniRef50_UPI000474E99D: septum site-determining protein MinC|unclassified	50.4969
UniRef50_UPI000478E9BF: chromosome partitioning protein ParB	50.4533
UniRef50_UPI000478E9BF: chromosome partitioning protein ParB|unclassified	50.4533
UniRef50_UPI00046538B3: rod shape-determining protein MreD	50.2064
UniRef50_UPI00046538B3: rod shape-determining protein MreD|unclassified	50.2064
UniRef50_D7CP51: Cobyrinic acid ac-diamide synthase	50.1991
UniRef50_D7CP51: Cobyrinic acid ac-diamide synthase|unclassified	50.1991
UniRef50_E6UJQ3: Cobyrinic acid ac-diamide synthase	50.0785
UniRef50_E6UJQ3: Cobyrinic acid ac-diamide synthase|unclassified	50.0785
UniRef50_UPI00047908A3: cell division protein FtsI	50.0706
UniRef50_UPI00047908A3: cell division protein FtsI|unclassified	50.0706
UniRef50_Q0RBJ6	50.0274
UniRef50_Q0RBJ6|unclassified	50.0274
UniRef50_A0A031FMV5	49.9685
UniRef50_A0A031FMV5|unclassified	49.9685
UniRef50_V6ZMY3	49.907
UniRef50_V6ZMY3|unclassified	49.907
UniRef50_A1BJX5: Polypeptide-transport-associated domain protein, FtsQ-type	49.7336
UniRef50_A1BJX5: Polypeptide-transport-associated domain protein, FtsQ-type|unclassified	49.7336
UniRef50_S8B802	49.6934
UniRef50_S8B802|unclassified	49.6934
UniRef50_F8X4T4	49.5608
UniRef50_F8X4T4|unclassified	49.5608
UniRef50_UPI00034DE442: hypothetical protein	49.4923
UniRef50_UPI00034DE442: hypothetical protein|unclassified	49.4923
UniRef50_B8HLH1: Polypeptide-transport-associated domain protein FtsQ-type	49.4165
UniRef50_B8HLH1: Polypeptide-transport-associated domain protein FtsQ-type|unclassified	49.4165
UniRef50_L0T911: Penicillin-binding protein PbpB	49.2455
UniRef50_L0T911: Penicillin-binding protein PbpB|unclassified	49.2455
UniRef50_A3DCK1: Polypeptide-transport-associated domain protein FtsQ-type	49.1374
UniRef50_A3DCK1: Polypeptide-transport-associated domain protein FtsQ-type|unclassified	49.1374
UniRef50_UPI000466D143: rod shape-determining protein RodA, partial	49.0961
UniRef50_UPI000466D143: rod shape-determining protein RodA, partial|unclassified	49.0961
UniRef50_Q8FST5	48.8872
UniRef50_Q8FST5|unclassified	48.8872
UniRef50_I0GJL4	48.681
UniRef50_I0GJL4|unclassified	48.681
UniRef50_UPI000468194A: hypothetical protein	48.6654
UniRef50_UPI000468194A: hypothetical protein|unclassified	48.6654
UniRef50_D1ARZ4: Cobyrinic acid ac-diamide synthase	48.6373
UniRef50_D1ARZ4: Cobyrinic acid ac-diamide synthase|unclassified	48.6373
UniRef50_C8XEZ0: Cobyrinic acid ac-diamide synthase	48.6308
UniRef50_C8XEZ0: Cobyrinic acid ac-diamide synthase|unclassified	48.6308
UniRef50_B1ZVE5: Cobyrinic acid ac-diamide synthase	48.5998
UniRef50_B1ZVE5: Cobyrinic acid ac-diamide synthase|unclassified	48.5998
UniRef50_R9FAT2: Septum site determining protein	48.5796
UniRef50_R9FAT2: Septum site determining protein|unclassified	48.5796
UniRef50_W9U1B8	48.2184
UniRef50_W9U1B8|unclassified	48.2184
UniRef50_Q3Y018: Cobyrinic acid a,c-diamide synthase	48.2179
UniRef50_Q3Y018: Cobyrinic acid a,c-diamide synthase|unclassified	48.2179
UniRef50_R4MI40	48.1316
UniRef50_R4MI40|unclassified	48.1316
UniRef50_UPI0004638991: hypothetical protein	48.0876
UniRef50_UPI0004638991: hypothetical protein|unclassified	48.0876
UniRef50_W7UJL8: Cobyrinic acid a,c-diamide synthase	47.9509
UniRef50_W7UJL8: Cobyrinic acid a,c-diamide synthase|unclassified	47.9509
UniRef50_A0A011QJS8	47.8925
UniRef50_A0A011QJS8|unclassified	47.8925
UniRef50_W1DK10: Chromosome (Plasmid) partitioning protein ParB	47.7751
UniRef50_W1DK10: Chromosome (Plasmid) partitioning protein ParB|unclassified	47.7751
UniRef50_UPI0003EE643C: hypothetical protein	47.7645
UniRef50_UPI0003EE643C: hypothetical protein|unclassified	47.7645
UniRef50_A0LWE5: Septum site determining protein	47.6245
UniRef50_A0LWE5: Septum site determining protein|unclassified	47.6245
UniRef50_UPI0002D3A892: hypothetical protein	47.5986
UniRef50_UPI0002D3A892: hypothetical protein|unclassified	47.5986
UniRef50_UPI00037828F7: hypothetical protein	47.3001
UniRef50_UPI00037828F7: hypothetical protein|unclassified	47.3001
UniRef50_R6Q621: Site-determining protein	47.2173
UniRef50_R6Q621: Site-determining protein|unclassified	47.2173
UniRef50_UPI00036D436F: hypothetical protein	47.2086
UniRef50_UPI00036D436F: hypothetical protein|unclassified	47.2086
UniRef50_R1GPE8: Rod shape-determining protein MreC	47.1722
UniRef50_R1GPE8: Rod shape-determining protein MreC|unclassified	47.1722
UniRef50_B8G5X4	47.0106
UniRef50_B8G5X4|unclassified	47.0106
UniRef50_A1SDM1: Septum site determining protein	46.9986
UniRef50_A1SDM1: Septum site determining protein|unclassified	46.9986
UniRef50_UPI0003B2E1F8: cell division protein DivIVA	46.9521
UniRef50_UPI0003B2E1F8: cell division protein DivIVA|unclassified	46.9521
UniRef50_Q1PY47: Similar to chromosome partitioning protein ParA	46.9139
UniRef50_Q1PY47: Similar to chromosome partitioning protein ParA|unclassified	46.9139
UniRef50_H1DBA7	46.817
UniRef50_H1DBA7|unclassified	46.817
UniRef50_W1UW17: Cobyrinic acid ac-diamide synthase (Fragment)	46.7974
UniRef50_W1UW17: Cobyrinic acid ac-diamide synthase (Fragment)|unclassified	46.7974
UniRef50_UPI000472BE81: hypothetical protein, partial	46.7463
UniRef50_UPI000472BE81: hypothetical protein, partial|unclassified	46.7463
UniRef50_C6XMZ2	46.6943
UniRef50_C6XMZ2|unclassified	46.6943
UniRef50_UPI000379A902: cell division protein ZipA, partial	46.6608
UniRef50_UPI000379A902: cell division protein ZipA, partial|unclassified	46.6608
UniRef50_UPI000375B5A4: hypothetical protein	46.5428
UniRef50_UPI000375B5A4: hypothetical protein|unclassified	46.5428
UniRef50_UPI0004757107: hypothetical protein	46.4861
UniRef50_UPI0004757107: hypothetical protein|unclassified	46.4861
UniRef50_R9KJ91: Chromosome partitioning protein	46.435
UniRef50_R9KJ91: Chromosome partitioning protein|unclassified	46.435
UniRef50_A9GDX8	46.3855
UniRef50_A9GDX8|unclassified	46.3855
UniRef50_UPI0003B6AB6F: ADP-ribose pyrophosphatase	46.1944
UniRef50_UPI0003B6AB6F: ADP-ribose pyrophosphatase|unclassified	46.1944
UniRef50_U3HME7	46.1699
UniRef50_U3HME7|unclassified	46.1699
UniRef50_C2CJM1: CobQ/CobB/MinD/ParA nucleotide binding domain protein	45.9629
UniRef50_C2CJM1: CobQ/CobB/MinD/ParA nucleotide binding domain protein|unclassified	45.9629
UniRef50_R5TRS3	45.8322
UniRef50_R5TRS3|unclassified	45.8322
UniRef50_F0GZ88	45.7454
UniRef50_F0GZ88|unclassified	45.7454
UniRef50_UPI00037EB80C: hypothetical protein, partial	45.6618
UniRef50_UPI00037EB80C: hypothetical protein, partial|unclassified	45.6618
UniRef50_Q8DJ34: Tll1395 protein	45.6248
UniRef50_Q8DJ34: Tll1395 protein|unclassified	45.6248
UniRef50_D1C0U8: Cobyrinic acid ac-diamide synthase	45.6197
UniRef50_D1C0U8: Cobyrinic acid ac-diamide synthase|unclassified	45.6197
UniRef50_Q2Y677: Sporulation related protein	45.6129
UniRef50_Q2Y677: Sporulation related protein|unclassified	45.6129
UniRef50_R2A5H5	45.5866
UniRef50_R2A5H5|unclassified	45.5866
UniRef50_UPI0004765242: hypothetical protein	45.4439
UniRef50_UPI0004765242: hypothetical protein|unclassified	45.4439
UniRef50_U7UNR0: Sporulation initiation inhibitor protein Soj	45.4006
UniRef50_U7UNR0: Sporulation initiation inhibitor protein Soj|unclassified	45.4006
UniRef50_F3S3E1	45.3713
UniRef50_F3S3E1|unclassified	45.3713
UniRef50_UPI0004752D2A: cell division protein FtsQ	45.3691
UniRef50_UPI0004752D2A: cell division protein FtsQ|unclassified	45.3691
UniRef50_UPI00046D264F: hypothetical protein	45.155
UniRef50_UPI00046D264F: hypothetical protein|unclassified	45.155
UniRef50_UPI000464F361: hypothetical protein	45.1234
UniRef50_UPI000464F361: hypothetical protein|unclassified	45.1234
UniRef50_G9YEF0: Sporulation initiation inhibitor protein Soj domain protein	45.1222
UniRef50_G9YEF0: Sporulation initiation inhibitor protein Soj domain protein|unclassified	45.1222
UniRef50_B1XQW2: ParA, plasmid partitioning protein	44.9056
UniRef50_B1XQW2: ParA, plasmid partitioning protein|unclassified	44.9056
UniRef50_Q2IEN6: Cobyrinic acid a,c-diamide synthase	44.885
UniRef50_Q2IEN6: Cobyrinic acid a,c-diamide synthase|unclassified	44.885
UniRef50_UPI00037C0D3F: hypothetical protein	44.5597
UniRef50_UPI00037C0D3F: hypothetical protein|unclassified	44.5597
UniRef50_E1QL02: ATPase-like, ParA/MinD	44.5305
UniRef50_E1QL02: ATPase-like, ParA/MinD|unclassified	44.5305
UniRef50_D2MNN6	44.4996
UniRef50_D2MNN6|unclassified	44.4996
UniRef50_C7HC73	44.4992
UniRef50_C7HC73|unclassified	44.4992
UniRef50_B5GMT9: Plasmid partitioning protein ParA	44.4465
UniRef50_B5GMT9: Plasmid partitioning protein ParA|unclassified	44.4465
UniRef50_UPI000404735A: cell division protein DivIVA	44.3937
UniRef50_UPI000404735A: cell division protein DivIVA|unclassified	44.3937
UniRef50_UPI0003B52FF8: cell division protein MraZ	44.3852
UniRef50_UPI0003B52FF8: cell division protein MraZ|unclassified	44.3852
UniRef50_X1ACZ8: Marine sediment metagenome DNA, contig: S01H4_L06595 (Fragment)	44.3772
UniRef50_X1ACZ8: Marine sediment metagenome DNA, contig: S01H4_L06595 (Fragment)|unclassified	44.3772
UniRef50_UPI00046E5C38: stage V sporulation protein D, partial	44.3613
UniRef50_UPI00046E5C38: stage V sporulation protein D, partial|unclassified	44.3613
UniRef50_W9E4G1	44.294
UniRef50_W9E4G1|unclassified	44.294
UniRef50_F1TH30: Sporulation initiation inhibitor soj family protein	44.1142
UniRef50_F1TH30: Sporulation initiation inhibitor soj family protein|unclassified	44.1142
UniRef50_UPI00030FED7D: hypothetical protein	44.0757
UniRef50_UPI00030FED7D: hypothetical protein|unclassified	44.0757
UniRef50_UPI0002485095: ParB family chromosome partitioning protein	43.9005
UniRef50_UPI0002485095: ParB family chromosome partitioning protein|unclassified	43.9005
UniRef50_Q9ZIQ4: MRP ATPase homolog	43.8562
UniRef50_Q9ZIQ4: MRP ATPase homolog|unclassified	43.8562
UniRef50_S4DQT6: Replication-associated protein RepB family protein	43.7048
