# Gene Family	SampleBiotin_biosynthesis_Abundance-CPM
UniRef50_UPI00035F012A: hypothetical protein|unclassified	91.7785
UniRef50_UPI0003820A93: hypothetical protein	91.662
UniRef50_UPI0003820A93: hypothetical protein|unclassified	91.662
UniRef50_UPI0001FFE705: acyl-CoA synthetase	91.2175
UniRef50_UPI0001FFE705: acyl-CoA synthetase|unclassified	91.2175
UniRef50_UPI000307DE16: hypothetical protein	91.0562
UniRef50_UPI000307DE16: hypothetical protein|unclassified	91.0562
UniRef50_G3ZWR8: Biotin biosynthesis protein BioC	90.728
UniRef50_G3ZWR8: Biotin biosynthesis protein BioC|unclassified	90.728
UniRef50_Q7VGW2	90.6052
UniRef50_Q7VGW2|unclassified	90.6052
UniRef50_Q2GDE9: ATP-dependent dethiobiotin synthetase BioD	90.5641
UniRef50_Q2GDE9: ATP-dependent dethiobiotin synthetase BioD|unclassified	90.5641
UniRef50_UPI00037A1672: MULTISPECIES: hypothetical protein	90.3703
UniRef50_UPI00037A1672: MULTISPECIES: hypothetical protein|unclassified	90.3703
UniRef50_UPI00016BFDAE: biotin--acetyl-CoA-carboxylase ligase	90.267
UniRef50_UPI00016BFDAE: biotin--acetyl-CoA-carboxylase ligase|unclassified	90.267
UniRef50_UPI00035DE178: hypothetical protein	90.241
UniRef50_UPI00035DE178: hypothetical protein|unclassified	90.241
UniRef50_UPI0002E42148: hypothetical protein	90.2261
UniRef50_UPI0002E42148: hypothetical protein|unclassified	90.2261
UniRef50_Z5XJI1	90.1571
UniRef50_Z5XJI1|unclassified	90.1571
UniRef50_UPI0002192F25: acyl-CoA synthetase	90.1485
UniRef50_UPI0002192F25: acyl-CoA synthetase|unclassified	90.1485
UniRef50_W1XR01: AMP-binding enzyme (Fragment)	89.9138
UniRef50_W1XR01: AMP-binding enzyme (Fragment)|unclassified	89.9138
UniRef50_UPI0004637650: hypothetical protein, partial	89.8033
UniRef50_UPI0004637650: hypothetical protein, partial|unclassified	89.8033
UniRef50_UPI00037033FD: hypothetical protein	89.7888
UniRef50_UPI00037033FD: hypothetical protein|unclassified	89.7888
UniRef50_UPI0004668C60: acid--CoA ligase	89.6435
UniRef50_UPI0004668C60: acid--CoA ligase|unclassified	89.6435
UniRef50_UPI000380DA1D: hypothetical protein	89.5957
UniRef50_UPI000380DA1D: hypothetical protein|unclassified	89.5957
UniRef50_V8G951	89.5337
UniRef50_V8G951|unclassified	89.5337
UniRef50_P25026: Non-heme chloroperoxidase	89.4669
UniRef50_P25026: Non-heme chloroperoxidase|unclassified	89.4669
UniRef50_UPI000380E5EB: hypothetical protein	89.4489
UniRef50_UPI000380E5EB: hypothetical protein|unclassified	89.4489
UniRef50_UPI0001910F43: hypothetical protein, partial	89.3265
UniRef50_UPI0001910F43: hypothetical protein, partial|unclassified	89.3265
UniRef50_UPI0003EF58C9: acyl-ACP synthetase, partial	89.1426
UniRef50_UPI0003EF58C9: acyl-ACP synthetase, partial|unclassified	89.1426
UniRef50_UPI00047BE95E: dethiobiotin synthase	89.1051
UniRef50_UPI00047BE95E: dethiobiotin synthase|unclassified	89.1051
UniRef50_Q70JY9: BioF protein	88.9491
UniRef50_Q70JY9: BioF protein|unclassified	88.9491
UniRef50_UPI0003B67049: long-chain fatty acid--CoA ligase	88.9253
UniRef50_UPI0003B67049: long-chain fatty acid--CoA ligase|unclassified	88.9253
UniRef50_UPI0003B3F2D9: BirA protein	88.8803
UniRef50_UPI0003B3F2D9: BirA protein|unclassified	88.8803
UniRef50_UPI00037AEBE3: hypothetical protein	88.8342
UniRef50_UPI00037AEBE3: hypothetical protein|unclassified	88.8342
UniRef50_UPI0003B58F6D: biotin synthase	88.8307
UniRef50_UPI0003B58F6D: biotin synthase|unclassified	88.8307
UniRef50_UPI00047780B8: acyl-CoA synthetase	88.3754
UniRef50_UPI00047780B8: acyl-CoA synthetase|unclassified	88.3754
UniRef50_UPI000369C254: hypothetical protein	88.2032
UniRef50_UPI000369C254: hypothetical protein|unclassified	88.2032
UniRef50_UPI00036712AA: hypothetical protein	88.163
UniRef50_UPI00036712AA: hypothetical protein|unclassified	88.163
UniRef50_UPI000369423B: hypothetical protein	88.1189
UniRef50_UPI000369423B: hypothetical protein|unclassified	88.1189
UniRef50_Q7URG0: ATP-dependent dethiobiotin synthetase BioD	88.0369
UniRef50_Q7URG0: ATP-dependent dethiobiotin synthetase BioD|unclassified	88.0369
UniRef50_UPI0003B379C6: hypothetical protein	87.788
UniRef50_UPI0003B379C6: hypothetical protein|unclassified	87.788
UniRef50_UPI00037F08B1: hypothetical protein	87.7743
UniRef50_UPI00037F08B1: hypothetical protein|unclassified	87.7743
UniRef50_C0QSH0: 6-carboxyhexanoate--CoA ligase	87.4989
UniRef50_C0QSH0: 6-carboxyhexanoate--CoA ligase|unclassified	87.4989
UniRef50_Q5KVA3: Pimeloyl-CoA synthesis (Biotin biosynthesis)	87.3275
UniRef50_Q5KVA3: Pimeloyl-CoA synthesis (Biotin biosynthesis)|unclassified	87.3275
UniRef50_UPI00046D1184: hypothetical protein	87.0841
UniRef50_UPI00046D1184: hypothetical protein|unclassified	87.0841
UniRef50_UPI000363B241: hypothetical protein	87.0618
UniRef50_UPI000363B241: hypothetical protein|unclassified	87.0618
UniRef50_UPI00047E02E3: AMP-binding protein	87.0291
UniRef50_UPI00047E02E3: AMP-binding protein|unclassified	87.0291
UniRef50_UPI000219269E: TetR family transcriptional regulator, partial	87.0183
UniRef50_UPI000219269E: TetR family transcriptional regulator, partial|unclassified	87.0183
UniRef50_UPI0004713B86: hypothetical protein	86.7948
UniRef50_UPI0004713B86: hypothetical protein|unclassified	86.7948
UniRef50_UPI0002B4D0D6: PREDICTED: 4-coumarate--CoA ligase-like 7-like, partial	86.629
UniRef50_UPI0002B4D0D6: PREDICTED: 4-coumarate--CoA ligase-like 7-like, partial|unclassified	86.629
UniRef50_Q31SA9	86.5299
UniRef50_Q31SA9|unclassified	86.5299
UniRef50_UPI00046C3003: PREDICTED: acyl-CoA synthetase family member 3, mitochondrial isoform X3	86.4295
UniRef50_UPI00046C3003: PREDICTED: acyl-CoA synthetase family member 3, mitochondrial isoform X3|unclassified	86.4295
UniRef50_UPI00036646AA: hypothetical protein	86.4282
UniRef50_UPI00036646AA: hypothetical protein|unclassified	86.4282
UniRef50_UPI00046CD73B: hypothetical protein	86.174
UniRef50_UPI00046CD73B: hypothetical protein|unclassified	86.174
UniRef50_UPI000473BA3D: hypothetical protein, partial	86.0478
UniRef50_UPI000473BA3D: hypothetical protein, partial|unclassified	86.0478
UniRef50_UPI00041D346F: hypothetical protein	85.9851
UniRef50_UPI00041D346F: hypothetical protein|unclassified	85.9851
UniRef50_V4QYY6	85.9194
UniRef50_V4QYY6|unclassified	85.9194
UniRef50_UPI0004760A5B: hypothetical protein	85.6886
UniRef50_UPI0004760A5B: hypothetical protein|unclassified	85.6886
UniRef50_Q9F5Q0	85.6858
UniRef50_Q9F5Q0|unclassified	85.6858
UniRef50_UPI0002F5979B: hypothetical protein	85.6748
UniRef50_UPI0002F5979B: hypothetical protein|unclassified	85.6748
UniRef50_D3EP62: Dethiobiotin synthetase	85.6291
UniRef50_D3EP62: Dethiobiotin synthetase|unclassified	85.6291
UniRef50_W7W3A6: Biotin biosynthesis protein BioC	85.5134
UniRef50_W7W3A6: Biotin biosynthesis protein BioC|unclassified	85.5134
UniRef50_B7GHW8: Carboxylesterase bioH (Biotin synthesis protein bioH)	85.4008
UniRef50_B7GHW8: Carboxylesterase bioH (Biotin synthesis protein bioH)|unclassified	85.4008
UniRef50_UPI0003B3B267: AMP-dependent acyl-CoA synthetase	85.3982
UniRef50_UPI0003B3B267: AMP-dependent acyl-CoA synthetase|unclassified	85.3982
UniRef50_UPI000378DEA2: hypothetical protein	85.3145
UniRef50_UPI000378DEA2: hypothetical protein|unclassified	85.3145
UniRef50_Q0VMD3: Malonyl-[acyl-carrier protein] O-methyltransferase	85.2652
UniRef50_Q0VMD3: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	85.2652
UniRef50_UPI0003A4605A: hypothetical protein	85.0796
UniRef50_UPI0003A4605A: hypothetical protein|unclassified	85.0796
UniRef50_UPI00046EAE05: 2-amino-3-ketobutyrate CoA ligase	84.7464
UniRef50_UPI00046EAE05: 2-amino-3-ketobutyrate CoA ligase|unclassified	84.7464
UniRef50_UPI0003728398: hypothetical protein	84.696
UniRef50_UPI0003728398: hypothetical protein|unclassified	84.696
UniRef50_UPI0002EDD6C6: hypothetical protein	84.559
UniRef50_UPI0002EDD6C6: hypothetical protein|unclassified	84.559
UniRef50_UPI000375D0C8: hypothetical protein, partial	84.5509
UniRef50_UPI000375D0C8: hypothetical protein, partial|unclassified	84.5509
UniRef50_T0HRJ6	84.4225
UniRef50_T0HRJ6|unclassified	84.4225
UniRef50_T0ESS0	84.4063
UniRef50_T0ESS0|unclassified	84.4063
UniRef50_UPI00046A8292: hypothetical protein	84.4051
UniRef50_UPI00046A8292: hypothetical protein|unclassified	84.4051
UniRef50_UPI000368BC4D: hypothetical protein	84.3849
UniRef50_UPI000368BC4D: hypothetical protein|unclassified	84.3849
UniRef50_B2UNC5: ATP-dependent dethiobiotin synthetase BioD	84.1836
UniRef50_B2UNC5: ATP-dependent dethiobiotin synthetase BioD|unclassified	84.1836
UniRef50_X7Z0T4	84.1423
UniRef50_X7Z0T4|unclassified	84.1423
UniRef50_UPI000467A3C1: hypothetical protein	84.1055
UniRef50_UPI000467A3C1: hypothetical protein|unclassified	84.1055
UniRef50_UPI00036D3263: hypothetical protein, partial	84.1055
UniRef50_UPI00036D3263: hypothetical protein, partial|unclassified	84.1055
UniRef50_K1DU22	84.051
UniRef50_K1DU22|unclassified	84.051
UniRef50_K2CGA8	84.0419
UniRef50_K2CGA8|unclassified	84.0419
UniRef50_X8FIP1: AMP-binding enzyme family protein	83.9323
UniRef50_X8FIP1: AMP-binding enzyme family protein|unclassified	83.9323
UniRef50_UPI000370068A: hypothetical protein	83.6812
UniRef50_UPI000370068A: hypothetical protein|unclassified	83.6812
UniRef50_UPI0003B33F84: hypothetical protein	83.6331
UniRef50_UPI0003B33F84: hypothetical protein|unclassified	83.6331
UniRef50_UPI0001FFE296: dethiobiotin synthase, partial	83.4413
UniRef50_UPI0001FFE296: dethiobiotin synthase, partial|unclassified	83.4413
UniRef50_D3UHA5: Putative biotin synthesis protein	83.4056
UniRef50_D3UHA5: Putative biotin synthesis protein|unclassified	83.4056
UniRef50_A0A022FZB7: Thiolase	83.255
UniRef50_A0A022FZB7: Thiolase|unclassified	83.255
UniRef50_V5AC50: Biotin biosynthesis protein BioC	83.2536
UniRef50_V5AC50: Biotin biosynthesis protein BioC|unclassified	83.2536
UniRef50_X8AJ14	83.209
UniRef50_X8AJ14|unclassified	83.209
UniRef50_UPI000248EBA5: biotin-(acetyl-CoA carboxylase) ligase	83.0289
UniRef50_UPI000248EBA5: biotin-(acetyl-CoA carboxylase) ligase|unclassified	83.0289
UniRef50_UPI00029B46A0: Acyl-CoA synthetase	82.8747
UniRef50_UPI00029B46A0: Acyl-CoA synthetase|unclassified	82.8747
UniRef50_UPI000381A172: hypothetical protein	82.6915
UniRef50_UPI000381A172: hypothetical protein|unclassified	82.6915
UniRef50_W7WR23	82.5606
UniRef50_W7WR23|unclassified	82.5606
UniRef50_UPI0003725868: hypothetical protein	82.4763
UniRef50_UPI0003725868: hypothetical protein|unclassified	82.4763
UniRef50_UPI00029CADC6: hypothetical protein, partial	82.4708
UniRef50_UPI00029CADC6: hypothetical protein, partial|unclassified	82.4708
UniRef50_UPI0003B59AF4: AMP-dependent synthetase	82.4074
UniRef50_UPI0003B59AF4: AMP-dependent synthetase|unclassified	82.4074
UniRef50_Q3A3Z7: 6-carboxyhexanoate--CoA ligase	82.3958
UniRef50_Q3A3Z7: 6-carboxyhexanoate--CoA ligase|unclassified	82.3958
UniRef50_UPI00047DD5AB: hypothetical protein	82.2941
UniRef50_UPI00047DD5AB: hypothetical protein|unclassified	82.2941
UniRef50_UPI000306C96B: hypothetical protein	82.162
UniRef50_UPI000306C96B: hypothetical protein|unclassified	82.162
UniRef50_UPI0003B37D50: MULTISPECIES: AMP-dependent synthetase	82.1517
UniRef50_UPI0003B37D50: MULTISPECIES: AMP-dependent synthetase|unclassified	82.1517
UniRef50_UPI0003D7058F: PREDICTED: biotin synthase-like	82.1146
UniRef50_UPI0003D7058F: PREDICTED: biotin synthase-like|unclassified	82.1146
UniRef50_UPI00042C228A: PREDICTED: acyl-CoA synthetase family member 3, mitochondrial	82.0988
UniRef50_UPI00042C228A: PREDICTED: acyl-CoA synthetase family member 3, mitochondrial|unclassified	82.0988
UniRef50_A4SGW0	82.0977
UniRef50_A4SGW0|unclassified	82.0977
UniRef50_UPI00047B72A0: hypothetical protein	81.7059
UniRef50_UPI00047B72A0: hypothetical protein|unclassified	81.7059
UniRef50_R5V778	81.5112
UniRef50_R5V778|unclassified	81.5112
UniRef50_UPI00037CCC01: hypothetical protein	81.2924
UniRef50_UPI00037CCC01: hypothetical protein|unclassified	81.2924
UniRef50_UPI0003722EDE: hypothetical protein	81.1199
UniRef50_UPI0003722EDE: hypothetical protein|unclassified	81.1199
UniRef50_Q5GRW7	81.0978
UniRef50_Q5GRW7|unclassified	81.0978
UniRef50_UPI000255A308: bioH protein	81.0128
UniRef50_UPI000255A308: bioH protein|unclassified	81.0128
UniRef50_UPI000473DB63: hypothetical protein	80.9888
UniRef50_UPI000473DB63: hypothetical protein|unclassified	80.9888
UniRef50_A0A011MY89	80.9807
UniRef50_A0A011MY89|unclassified	80.9807
UniRef50_UPI0003B6D8C1: 3-phosphoshikimate 1-carboxyvinyltransferase, partial	80.3663
UniRef50_UPI0003B6D8C1: 3-phosphoshikimate 1-carboxyvinyltransferase, partial|unclassified	80.3663
UniRef50_UPI0003783097: hypothetical protein	80.3068
UniRef50_UPI0003783097: hypothetical protein|unclassified	80.3068
UniRef50_UPI000369905E: hypothetical protein	80.2925
UniRef50_UPI000369905E: hypothetical protein|unclassified	80.2925
UniRef50_UPI000363B126: AMP-dependent synthetase	80.2307
UniRef50_UPI000363B126: AMP-dependent synthetase|unclassified	80.2307
UniRef50_UPI00047A61E2: hypothetical protein	80.1436
UniRef50_UPI00047A61E2: hypothetical protein|unclassified	80.1436
UniRef50_B8J3V1: 6-carboxyhexanoate--CoA ligase	80.0937
UniRef50_B8J3V1: 6-carboxyhexanoate--CoA ligase|unclassified	80.0937
UniRef50_UPI00038297DE: hypothetical protein	79.8775
UniRef50_UPI00038297DE: hypothetical protein|unclassified	79.8775
UniRef50_UPI000376AC23: hypothetical protein, partial	79.7775
UniRef50_UPI000376AC23: hypothetical protein, partial|unclassified	79.7775
UniRef50_UPI00036FB3CD: hypothetical protein	79.4123
UniRef50_UPI00036FB3CD: hypothetical protein|unclassified	79.4123
UniRef50_UPI0003767064: hypothetical protein	79.3597
UniRef50_UPI0003767064: hypothetical protein|unclassified	79.3597
UniRef50_UPI000377096B: hypothetical protein	79.2379
UniRef50_UPI000377096B: hypothetical protein|unclassified	79.2379
UniRef50_L0NGB0	79.2288
UniRef50_L0NGB0|unclassified	79.2288
UniRef50_UPI0003717CA9: hypothetical protein	79.2099
UniRef50_UPI0003717CA9: hypothetical protein|unclassified	79.2099
UniRef50_UPI0003771F7B: hypothetical protein	79.1894
UniRef50_UPI0003771F7B: hypothetical protein|unclassified	79.1894
UniRef50_UPI0001C36D20: AMP-dependent synthetase and ligase, partial	79.0398
UniRef50_UPI0001C36D20: AMP-dependent synthetase and ligase, partial|unclassified	79.0398
UniRef50_N2BMQ1	78.9242
UniRef50_N2BMQ1|unclassified	78.9242
UniRef50_A0A024J613: Similar to Saccharomyces cerevisiae YDR062W LCB2 Component of serine palmitoyltransferase	78.8945
UniRef50_A0A024J613: Similar to Saccharomyces cerevisiae YDR062W LCB2 Component of serine palmitoyltransferase|unclassified	78.8945
UniRef50_UPI00046E02B4: PREDICTED: LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 10	78.6717
UniRef50_UPI00046E02B4: PREDICTED: LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 10|unclassified	78.6717
UniRef50_UPI00020D9CDD: biotin-(acetyl-CoA carboxylase) ligase	78.6481
UniRef50_UPI00020D9CDD: biotin-(acetyl-CoA carboxylase) ligase|unclassified	78.6481
UniRef50_B3DV50: Dethiobiotin synthetase	78.4366
UniRef50_B3DV50: Dethiobiotin synthetase|unclassified	78.4366
UniRef50_U5AF46	78.4067
UniRef50_U5AF46|unclassified	78.4067
UniRef50_UPI0001850C2A: hypothetical protein	78.3901
UniRef50_UPI0001850C2A: hypothetical protein|unclassified	78.3901
UniRef50_UPI0003696BDF: hypothetical protein	78.3721
UniRef50_UPI0003696BDF: hypothetical protein|unclassified	78.3721
UniRef50_UPI000370F377: hypothetical protein	78.3328
UniRef50_UPI000370F377: hypothetical protein|unclassified	78.3328
UniRef50_UPI0003636003: hypothetical protein, partial	78.0865
UniRef50_UPI0003636003: hypothetical protein, partial|unclassified	78.0865
UniRef50_UPI000248C2C4: AMP-dependent synthetase and ligase	78.062
UniRef50_UPI000248C2C4: AMP-dependent synthetase and ligase|unclassified	78.062
UniRef50_UPI0003AD1D35: hypothetical protein, partial	78.0603
UniRef50_UPI0003AD1D35: hypothetical protein, partial|unclassified	78.0603
UniRef50_UPI00036461A6: hypothetical protein	77.6199
UniRef50_UPI00036461A6: hypothetical protein|unclassified	77.6199
UniRef50_UPI000347C642: hypothetical protein	77.4634
UniRef50_UPI000347C642: hypothetical protein|unclassified	77.4634
UniRef50_V7ERU7	77.4417
UniRef50_V7ERU7|unclassified	77.4417
UniRef50_UPI0003B5C72C: biotin biosynthesis protein BioY	77.2801
UniRef50_UPI0003B5C72C: biotin biosynthesis protein BioY|unclassified	77.2801
UniRef50_H8MRB8: SCP-2 sterol transfer family protein	77.2571
UniRef50_H8MRB8: SCP-2 sterol transfer family protein|unclassified	77.2571
UniRef50_UPI000381FFD9: hypothetical protein	77.1037
UniRef50_UPI000381FFD9: hypothetical protein|unclassified	77.1037
UniRef50_C3J8Y1	77.0108
UniRef50_C3J8Y1|unclassified	77.0108
UniRef50_Q9APM5: Taurine--pyruvate aminotransferase	76.6468
UniRef50_Q9APM5: Taurine--pyruvate aminotransferase|unclassified	76.6468
UniRef50_A7ZQU2: Bifunctional protein Aas	76.6409
UniRef50_A7ZQU2: Bifunctional protein Aas|unclassified	76.6409
UniRef50_Q9K623: Malonyl-[acyl-carrier protein] O-methyltransferase	76.5177
UniRef50_Q9K623: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	76.5177
UniRef50_J4R1Y5: Carboxylesterase BioH family protein	76.3818
UniRef50_J4R1Y5: Carboxylesterase BioH family protein|unclassified	76.3818
UniRef50_UPI0002F78E26: hypothetical protein	76.3693
UniRef50_UPI0002F78E26: hypothetical protein|unclassified	76.3693
UniRef50_Q0FW40	76.1465
UniRef50_Q0FW40|unclassified	76.1465
UniRef50_UPI0002895735: AMP-dependent synthetase/ligase, partial	76.0183
UniRef50_UPI0002895735: AMP-dependent synthetase/ligase, partial|unclassified	76.0183
UniRef50_UPI00035EF64E: hypothetical protein	75.9101
UniRef50_UPI00035EF64E: hypothetical protein|unclassified	75.9101
UniRef50_UPI000377B434: hypothetical protein	75.8727
UniRef50_UPI000377B434: hypothetical protein|unclassified	75.8727
UniRef50_UPI00029A6609: amino acid adenylation domain-containing protein	75.8618
UniRef50_UPI00029A6609: amino acid adenylation domain-containing protein|unclassified	75.8618
UniRef50_UPI00035C6517: hypothetical protein	75.4319
UniRef50_UPI00035C6517: hypothetical protein|unclassified	75.4319
UniRef50_UPI00046976AA: hypothetical protein	75.4103
UniRef50_UPI00046976AA: hypothetical protein|unclassified	75.4103
UniRef50_UPI000255AF14: biotin--acetyl-CoA-carboxylase ligase	75.3925
UniRef50_UPI000255AF14: biotin--acetyl-CoA-carboxylase ligase|unclassified	75.3925
UniRef50_B3EPW0	75.3184
UniRef50_B3EPW0|unclassified	75.3184
UniRef50_UPI000372FB8B: hypothetical protein	75.1905
UniRef50_UPI000372FB8B: hypothetical protein|unclassified	75.1905
UniRef50_UPI00037BAAEA: MULTISPECIES: hypothetical protein	75.1548
UniRef50_UPI00037BAAEA: MULTISPECIES: hypothetical protein|unclassified	75.1548
UniRef50_A5CY11: ATP-dependent dethiobiotin synthetase BioD	75.1149
UniRef50_A5CY11: ATP-dependent dethiobiotin synthetase BioD|unclassified	75.1149
UniRef50_Q0A5W3: Carboxylesterase BioH (Pimeloyl-CoA synthesis)	75.0723
UniRef50_Q0A5W3: Carboxylesterase BioH (Pimeloyl-CoA synthesis)|unclassified	75.0723
UniRef50_UPI00037F799F: hypothetical protein	75.0042
UniRef50_UPI00037F799F: hypothetical protein|unclassified	75.0042
UniRef50_UPI000368F8EB: hypothetical protein	74.9676
UniRef50_UPI000368F8EB: hypothetical protein|unclassified	74.9676
UniRef50_UPI0003B6ACB9: biotin--acetyl-CoA-carboxylase ligase	74.9534
UniRef50_UPI0003B6ACB9: biotin--acetyl-CoA-carboxylase ligase|unclassified	74.9534
UniRef50_Q3A3Z9: O-methylpimelyl-(Acyl carrier protein) methylesterase	74.9474
UniRef50_Q3A3Z9: O-methylpimelyl-(Acyl carrier protein) methylesterase|unclassified	74.9474
UniRef50_UPI0003B70E43: malonyl-CoA O-methyltransferase	74.884
UniRef50_UPI0003B70E43: malonyl-CoA O-methyltransferase|unclassified	74.884
UniRef50_A0A022GV87	74.7178
UniRef50_A0A022GV87|unclassified	74.7178
UniRef50_UPI000467259C: biotin biosynthesis protein BioC	74.697
UniRef50_UPI000467259C: biotin biosynthesis protein BioC|unclassified	74.697
UniRef50_UPI00041ADC85: ATP-dependent dethiobiotin synthetase BioD	74.652
UniRef50_UPI00041ADC85: ATP-dependent dethiobiotin synthetase BioD|unclassified	74.652
UniRef50_UPI00029CC822: 4-coumarate-CoA ligase, partial	74.6498
UniRef50_UPI00029CC822: 4-coumarate-CoA ligase, partial|unclassified	74.6498
UniRef50_A0A011N7B5: Tyrocidine synthase I	74.4454
UniRef50_A0A011N7B5: Tyrocidine synthase I|unclassified	74.4454
UniRef50_UPI0003B399B9: biotin--acetyl-CoA-carboxylase ligase	74.4394
UniRef50_UPI0003B399B9: biotin--acetyl-CoA-carboxylase ligase|unclassified	74.4394
UniRef50_UPI00037839AE: hypothetical protein	74.3864
UniRef50_UPI00037839AE: hypothetical protein|unclassified	74.3864
UniRef50_UPI00037BC933: hypothetical protein	74.1459
UniRef50_UPI00037BC933: hypothetical protein|unclassified	74.1459
UniRef50_UPI00047EDD76: biotin--acetyl-CoA-carboxylase ligase	73.9878
UniRef50_UPI00047EDD76: biotin--acetyl-CoA-carboxylase ligase|unclassified	73.9878
UniRef50_UPI00036F6CD3: hypothetical protein	73.6061
UniRef50_UPI00036F6CD3: hypothetical protein|unclassified	73.6061
UniRef50_UPI00047A7D69: hypothetical protein	73.1796
UniRef50_UPI00047A7D69: hypothetical protein|unclassified	73.1796
UniRef50_UPI00046D5804: hypothetical protein	73.1689
UniRef50_UPI00046D5804: hypothetical protein|unclassified	73.1689
UniRef50_UPI0002D8467D: hypothetical protein	72.9361
UniRef50_UPI0002D8467D: hypothetical protein|unclassified	72.9361
UniRef50_UPI0002E236FA: hypothetical protein	72.8696
UniRef50_UPI0002E236FA: hypothetical protein|unclassified	72.8696
UniRef50_T1BK93: Biotin biosynthesis protein	72.7043
UniRef50_T1BK93: Biotin biosynthesis protein|unclassified	72.7043
UniRef50_K1Z7N6	72.6675
UniRef50_K1Z7N6|unclassified	72.6675
UniRef50_UPI0002E1C80F: hypothetical protein	72.6312
UniRef50_UPI0002E1C80F: hypothetical protein|unclassified	72.6312
UniRef50_UPI00036AE6E3: hypothetical protein, partial	72.6156
UniRef50_UPI00036AE6E3: hypothetical protein, partial|unclassified	72.6156
UniRef50_J7U2H6: Acyl-CoA synthetase (Fragment)	72.2802
UniRef50_J7U2H6: Acyl-CoA synthetase (Fragment)|unclassified	72.2802
UniRef50_UPI0003A93B17: hypothetical protein	72.2678
UniRef50_UPI0003A93B17: hypothetical protein|unclassified	72.2678
UniRef50_UPI000467B458: acyl-CoA synthetase, partial	72.2527
UniRef50_UPI000467B458: acyl-CoA synthetase, partial|unclassified	72.2527
UniRef50_UPI00016ADAB4: dihydroaeruginoic acid synthetase, partial	72.2067
UniRef50_UPI00016ADAB4: dihydroaeruginoic acid synthetase, partial|unclassified	72.2067
UniRef50_UPI000375257A: hypothetical protein	72.0578
UniRef50_UPI000375257A: hypothetical protein|unclassified	72.0578
UniRef50_UPI0003EE8FDF: short-chain dehydrogenase, partial	72.032
UniRef50_UPI0003EE8FDF: short-chain dehydrogenase, partial|unclassified	72.032
UniRef50_UPI00022603E0: acylglycerophosphoethanolamine acyltransferase	71.9813
UniRef50_UPI00022603E0: acylglycerophosphoethanolamine acyltransferase|unclassified	71.9813
UniRef50_E5VG20: Biotin synthesis protein BioC	71.8983
UniRef50_E5VG20: Biotin synthesis protein BioC|unclassified	71.8983
UniRef50_UPI00034A7A45: hypothetical protein	71.8778
UniRef50_UPI00034A7A45: hypothetical protein|unclassified	71.8778
UniRef50_UPI000255DFEA: hypothetical protein	71.8299
UniRef50_UPI000255DFEA: hypothetical protein|unclassified	71.8299
UniRef50_UPI0002C2F46D: PREDICTED: 3-ketoacyl-CoA thiolase 1, peroxisomal-like	71.7257
UniRef50_UPI0002C2F46D: PREDICTED: 3-ketoacyl-CoA thiolase 1, peroxisomal-like|unclassified	71.7257
UniRef50_UPI0003819E2D: hypothetical protein	71.6779
UniRef50_UPI0003819E2D: hypothetical protein|unclassified	71.6779
UniRef50_UPI0004726876: hypothetical protein	71.6569
UniRef50_UPI0004726876: hypothetical protein|unclassified	71.6569
UniRef50_UPI000237B001: AMP-dependent synthetase and ligase	71.6362
UniRef50_UPI000237B001: AMP-dependent synthetase and ligase|unclassified	71.6362
UniRef50_V6EY09: Putative Carboxylesterase BioH	71.6309
UniRef50_V6EY09: Putative Carboxylesterase BioH|unclassified	71.6309
UniRef50_UPI00036C4CBE: hypothetical protein	71.5212
UniRef50_UPI00036C4CBE: hypothetical protein|unclassified	71.5212
UniRef50_A0A024FI25: Biotin synthesis protein bioH	71.4765
UniRef50_A0A024FI25: Biotin synthesis protein bioH|unclassified	71.4765
UniRef50_Q2SBD7: Malonyl-[acyl-carrier protein] O-methyltransferase	71.409
UniRef50_Q2SBD7: Malonyl-[acyl-carrier protein] O-methyltransferase|unclassified	71.409
UniRef50_UPI00047444A9: biotin--protein ligase	71.3889
UniRef50_UPI00047444A9: biotin--protein ligase|unclassified	71.3889
UniRef50_UPI0004672C69: aminotransferase class III	71.255
UniRef50_UPI0004672C69: aminotransferase class III|unclassified	71.255
UniRef50_Q58DN7: Acyl-CoA synthetase family member 3, mitochondrial	71.0681
UniRef50_Q58DN7: Acyl-CoA synthetase family member 3, mitochondrial|unclassified	71.0681
UniRef50_UPI00026CC891: long-chain-fatty-acid--CoA ligase	70.8395
UniRef50_UPI00026CC891: long-chain-fatty-acid--CoA ligase|unclassified	70.8395
UniRef50_D3G0V0: 6-carboxyhexanoate--CoA ligase	70.8202
UniRef50_D3G0V0: 6-carboxyhexanoate--CoA ligase|unclassified	70.8202
UniRef50_UPI0003467413: hypothetical protein	70.7385
UniRef50_UPI0003467413: hypothetical protein|unclassified	70.7385
UniRef50_R5H6L7: AMP-binding enzyme	70.7297
UniRef50_R5H6L7: AMP-binding enzyme|unclassified	70.7297
UniRef50_UPI00037D91E3: hypothetical protein	70.6504
UniRef50_UPI00037D91E3: hypothetical protein|unclassified	70.6504
UniRef50_UPI0001BC2D86: putative acyl-CoA synthetase	70.6405
